review_id,company_id,mode,goal,cluster_id,evidence_value
100743031.0,accenture,fulfillment,phys,fulfillment_phys,4.0
100738113.0,accenture,fulfillment,stat,fulfillment_stat,3.0
100731216.0,accenture,fulfillment,fam,fulfillment_fam,16.5
100726866.0,accenture,hindrance,fam,hindrance_fam,2.5
100726823.0,accenture,none,,,0.0
100713205.0,accenture,fulfillment,stat,fulfillment_stat,3.0
100710136.0,accenture,fulfillment,fam,fulfillment_fam,9.0
100704262.0,accenture,hindrance,stat,hindrance_stat,3.0
100686594.0,accenture,fulfillment,fam,fulfillment_fam,6.0
100685845.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100680248.0,accenture,none,,,0.0
100679233.0,accenture,fulfillment,phys,fulfillment_phys,13.5
100678980.0,accenture,hindrance,phys,hindrance_phys,3.0
100678390.0,accenture,none,,,0.0
100672479.0,accenture,hindrance,phys,hindrance_phys,3.0
100659282.0,accenture,fulfillment,fam,fulfillment_fam,6.0
100654723.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100652334.0,accenture,fulfillment,fam,fulfillment_fam,36.0
100643999.0,accenture,hindrance,phys,hindrance_phys,3.75
100629117.0,accenture,fulfillment,fam,fulfillment_fam,13.5
100628998.0,accenture,none,,,0.0
100628873.0,accenture,fulfillment,phys,fulfillment_phys,6.0
100625468.0,accenture,none,,,0.0
100620445.0,accenture,none,,,0.0
100617648.0,accenture,hindrance,stat,hindrance_stat,3.75
100616628.0,accenture,fulfillment,stat,fulfillment_stat,3.0
100615061.0,accenture,fulfillment,stat,fulfillment_stat,9.0
100614005.0,accenture,fulfillment,phys,fulfillment_phys,6.0
100601103.0,accenture,none,,,0.0
100593584.0,accenture,none,,,0.0
100579067.0,accenture,none,,,0.0
100578884.0,accenture,none,,,0.0
100578795.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100578018.0,accenture,hindrance,stat,hindrance_stat,8.0
100556847.0,accenture,hindrance,phys,hindrance_phys,4.0
100554576.0,accenture,fulfillment,fam,fulfillment_fam,27.0
100552661.0,accenture,none,,,0.0
100548869.0,accenture,fulfillment,fam,fulfillment_fam,13.5
100548556.0,accenture,none,,,0.0
100536094.0,accenture,hindrance,phys,hindrance_phys,5.0
100536069.0,accenture,none,,,0.0
100531548.0,accenture,hindrance,selfprot,hindrance_selfprot,3.0
100528465.0,accenture,none,,,0.0
100526716.0,accenture,none,,,0.0
100524724.0,accenture,hindrance,stat,hindrance_stat,6.0
100520599.0,accenture,fulfillment,phys,fulfillment_phys,7.5
100509372.0,accenture,hindrance,fam,hindrance_fam,13.5
100509067.0,accenture,fulfillment,stat,fulfillment_stat,6.75
100507048.0,accenture,fulfillment,phys,fulfillment_phys,5.0
100490984.0,accenture,fulfillment,phys,fulfillment_phys,13.5
100490585.0,accenture,none,,,0.0
100480645.0,accenture,hindrance,selfprot,hindrance_selfprot,3.0
100476964.0,accenture,fulfillment,aff,fulfillment_aff,3.0
100475540.0,accenture,fulfillment,fam,fulfillment_fam,6.0
100467227.0,accenture,none,,,0.0
100454561.0,accenture,fulfillment,fam,fulfillment_fam,33.0
100451507.0,accenture,hindrance,fam,hindrance_fam,7.0
100432436.0,accenture,fulfillment,fam,fulfillment_fam,6.0
100428076.0,accenture,fulfillment,phys,fulfillment_phys,6.0
100421055.0,accenture,hindrance,stat,hindrance_stat,3.0
100413594.0,accenture,none,,,0.0
100413528.0,accenture,fulfillment,stat,fulfillment_stat,3.0
100412764.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100399276.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100397225.0,accenture,none,,,0.0
100396389.0,accenture,none,,,0.0
100395099.0,accenture,fulfillment,fam,fulfillment_fam,33.0
100389111.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100386489.0,accenture,fulfillment,phys,fulfillment_phys,7.5
100382093.0,accenture,none,,,0.0
100379408.0,accenture,hindrance,phys,hindrance_phys,5.0
100379074.0,accenture,hindrance,phys,hindrance_phys,4.0
100376956.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100375761.0,accenture,fulfillment,fam,fulfillment_fam,13.5
100372073.0,accenture,none,,,0.0
100362215.0,accenture,fulfillment,fam,fulfillment_fam,7.5
100357115.0,accenture,fulfillment,stat,fulfillment_stat,3.0
100353427.0,accenture,none,,,0.0
100349060.0,accenture,none,,,0.0
100341837.0,accenture,fulfillment,stat,fulfillment_stat,6.0
100331487.0,accenture,fulfillment,fam,fulfillment_fam,13.5
100324559.0,accenture,hindrance,aff,hindrance_aff,3.0
100306293.0,accenture,none,,,0.0
100303012.0,accenture,none,,,0.0
100300795.0,accenture,fulfillment,fam,fulfillment_fam,8.0
100288274.0,accenture,none,,,0.0
100287157.0,accenture,fulfillment,stat,fulfillment_stat,12.0
100285701.0,accenture,fulfillment,selfprot,fulfillment_selfprot,6.0
100277751.0,accenture,fulfillment,selfprot,fulfillment_selfprot,6.0
100277341.0,accenture,none,,,0.0
100275569.0,accenture,fulfillment,phys,fulfillment_phys,12.0
100245534.0,accenture,none,,,0.0
100236771.0,accenture,fulfillment,aff,fulfillment_aff,6.0
100224496.0,accenture,none,,,0.0
100219258.0,accenture,none,,,0.0
100208468.0,accenture,hindrance,phys,hindrance_phys,5.0
100199724.0,accenture,none,,,0.0
100198298.0,accenture,fulfillment,aff,fulfillment_aff,6.0
100177818.0,accenture,none,,,0.0
100173130.0,accenture,fulfillment,phys,fulfillment_phys,6.0
100171873.0,accenture,hindrance,aff,hindrance_aff,6.0
100170607.0,accenture,fulfillment,stat,fulfillment_stat,12.0
100169236.0,accenture,none,,,0.0
100154341.0,accenture,fulfillment,stat,fulfillment_stat,3.0
100140188.0,accenture,none,,,0.0
