review_id,company_id,mode,goal,cluster_id,evidence_value
100589103.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,13.5
100580157.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,12.0
100578694.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,6.0
100576221.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,6.0
100559025.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,35.5
100557117.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,6.0
100555508.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,18.0
100555298.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,21.0
100554524.0,bain_consulting_group,hindrance,phys,hindrance_phys,6.0
100554187.0,bain_consulting_group,none,,,0.0
100554107.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,9.0
100551101.0,bain_consulting_group,none,,,0.0
100511287.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,6.0
100504279.0,bain_consulting_group,none,,,0.0
100503357.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,12.0
100497412.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,13.5
100456153.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,8.0
100450343.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100448829.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,13.5
100432741.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,6.0
100425176.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,6.0
100411594.0,bain_consulting_group,hindrance,stat,hindrance_stat,6.0
100411231.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,6.0
100404494.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,16.5
100404365.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,24.0
100404351.0,bain_consulting_group,none,,,0.0
100403228.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,9.0
100402602.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100399939.0,bain_consulting_group,hindrance,phys,hindrance_phys,4.0
100389008.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100377149.0,bain_consulting_group,hindrance,phys,hindrance_phys,3.75
100376499.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,12.0
100375803.0,bain_consulting_group,none,,,0.0
100359676.0,bain_consulting_group,hindrance,fam,hindrance_fam,18.0
100353112.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100349663.0,bain_consulting_group,hindrance,phys,hindrance_phys,3.75
100330376.0,bain_consulting_group,none,,,0.0
100327281.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,9.0
100323411.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100304370.0,bain_consulting_group,none,,,0.0
100299601.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,7.5
100297852.0,bain_consulting_group,none,,,0.0
100295904.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,13.5
100295430.0,bain_consulting_group,none,,,0.0
100287061.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,12.0
100279118.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,13.5
100254790.0,bain_consulting_group,hindrance,phys,hindrance_phys,4.0
100250931.0,bain_consulting_group,none,,,0.0
100246244.0,bain_consulting_group,hindrance,selfprot,hindrance_selfprot,6.0
100234304.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,13.0
100227642.0,bain_consulting_group,none,,,0.0
100225029.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,15.0
100220043.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100219327.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,6.0
100217375.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,4.0
100208208.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,3.0
100207581.0,bain_consulting_group,none,,,0.0
100207264.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,9.75
100207239.0,bain_consulting_group,none,,,0.0
100206968.0,bain_consulting_group,none,,,0.0
100206149.0,bain_consulting_group,fulfillment,aff,fulfillment_aff,36.0
100205988.0,bain_consulting_group,none,,,0.0
100205816.0,bain_consulting_group,fulfillment,fam,fulfillment_fam,16.5
100179706.0,bain_consulting_group,none,,,0.0
100173773.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100140671.0,bain_consulting_group,hindrance,phys,hindrance_phys,5.25
100139859.0,bain_consulting_group,fulfillment,phys,fulfillment_phys,6.0
100108984.0,bain_consulting_group,fulfillment,stat,fulfillment_stat,13.5
