review_id,company_id,mode,goal,cluster_id,evidence_value
100742245.0,deloitte,fulfillment,fam,fulfillment_fam,5.0
100740656.0,deloitte,none,,,0.0
100737883.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100734334.0,deloitte,fulfillment,fam,fulfillment_fam,52.5
100732097.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100721773.0,deloitte,fulfillment,stat,fulfillment_stat,7.5
100719427.0,deloitte,fulfillment,stat,fulfillment_stat,15.0
100709287.0,deloitte,fulfillment,stat,fulfillment_stat,6.0
100705473.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100705021.0,deloitte,fulfillment,stat,fulfillment_stat,9.0
100702812.0,deloitte,fulfillment,stat,fulfillment_stat,6.0
100685087.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100684195.0,deloitte,hindrance,selfprot,hindrance_selfprot,3.0
100683513.0,deloitte,fulfillment,stat,fulfillment_stat,6.0
100673702.0,deloitte,fulfillment,stat,fulfillment_stat,9.0
100672609.0,deloitte,hindrance,phys,hindrance_phys,3.75
100671688.0,deloitte,hindrance,fam,hindrance_fam,13.5
100669694.0,deloitte,fulfillment,stat,fulfillment_stat,3.0
100661562.0,deloitte,none,,,0.0
100659843.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100659409.0,deloitte,none,,,0.0
100657460.0,deloitte,none,,,0.0
100652820.0,deloitte,hindrance,phys,hindrance_phys,3.75
100651045.0,deloitte,fulfillment,fam,fulfillment_fam,27.0
100635909.0,deloitte,fulfillment,phys,fulfillment_phys,7.5
100633712.0,deloitte,hindrance,fam,hindrance_fam,13.5
100632850.0,deloitte,fulfillment,fam,fulfillment_fam,6.0
100629298.0,deloitte,hindrance,phys,hindrance_phys,7.5
100626874.0,deloitte,none,,,0.0
100625760.0,deloitte,none,,,0.0
100625041.0,deloitte,hindrance,selfprot,hindrance_selfprot,3.0
100616652.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100605796.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100604322.0,deloitte,fulfillment,fam,fulfillment_fam,12.0
100602471.0,deloitte,hindrance,fam,hindrance_fam,13.5
100587740.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100584377.0,deloitte,none,,,0.0
100581045.0,deloitte,fulfillment,aff,fulfillment_aff,13.5
100578931.0,deloitte,hindrance,stat,hindrance_stat,6.0
100573080.0,deloitte,fulfillment,aff,fulfillment_aff,3.75
100568865.0,deloitte,hindrance,phys,hindrance_phys,3.75
100561387.0,deloitte,fulfillment,aff,fulfillment_aff,6.0
100560685.0,deloitte,none,,,0.0
100559085.0,deloitte,fulfillment,phys,fulfillment_phys,13.5
100558355.0,deloitte,fulfillment,phys,fulfillment_phys,9.75
100557522.0,deloitte,none,,,0.0
100553649.0,deloitte,none,,,0.0
100553030.0,deloitte,hindrance,fam,hindrance_fam,13.5
100552229.0,deloitte,none,,,0.0
100550113.0,deloitte,fulfillment,stat,fulfillment_stat,15.0
100537650.0,deloitte,fulfillment,stat,fulfillment_stat,7.0
100537523.0,deloitte,fulfillment,fam,fulfillment_fam,6.0
100536861.0,deloitte,fulfillment,fam,fulfillment_fam,18.0
100535681.0,deloitte,hindrance,phys,hindrance_phys,3.0
100534598.0,deloitte,fulfillment,phys,fulfillment_phys,7.5
100534435.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100532484.0,deloitte,none,,,0.0
100528006.0,deloitte,none,,,0.0
100525020.0,deloitte,none,,,0.0
100522982.0,deloitte,fulfillment,aff,fulfillment_aff,7.5
100522810.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100510282.0,deloitte,fulfillment,fam,fulfillment_fam,18.0
100501871.0,deloitte,none,,,0.0
100501190.0,deloitte,fulfillment,phys,fulfillment_phys,7.5
100500927.0,deloitte,fulfillment,fam,fulfillment_fam,27.0
100496105.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100494533.0,deloitte,none,,,0.0
100482027.0,deloitte,none,,,0.0
100480140.0,deloitte,hindrance,phys,hindrance_phys,3.0
100474929.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100474736.0,deloitte,fulfillment,fam,fulfillment_fam,27.0
100471764.0,deloitte,fulfillment,stat,fulfillment_stat,6.0
100469642.0,deloitte,fulfillment,fam,fulfillment_fam,6.0
100461549.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100454635.0,deloitte,fulfillment,aff,fulfillment_aff,7.5
100454143.0,deloitte,none,,,0.0
100453971.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100450927.0,deloitte,none,,,0.0
100444063.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100443676.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100442457.0,deloitte,fulfillment,stat,fulfillment_stat,6.0
100441617.0,deloitte,fulfillment,aff,fulfillment_aff,6.0
100441195.0,deloitte,fulfillment,phys,fulfillment_phys,3.75
100438322.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100437801.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100432792.0,deloitte,fulfillment,selfprot,fulfillment_selfprot,6.0
100426149.0,deloitte,fulfillment,fam,fulfillment_fam,19.5
100409621.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100407621.0,deloitte,fulfillment,fam,fulfillment_fam,33.0
100405711.0,deloitte,hindrance,phys,hindrance_phys,3.75
100400782.0,deloitte,none,,,0.0
100398248.0,deloitte,none,,,0.0
100388890.0,deloitte,fulfillment,stat,fulfillment_stat,7.5
100380534.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100364823.0,deloitte,none,,,0.0
100363917.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100362396.0,deloitte,none,,,0.0
100361562.0,deloitte,fulfillment,fam,fulfillment_fam,11.25
100361147.0,deloitte,hindrance,phys,hindrance_phys,3.75
100359899.0,deloitte,none,,,0.0
100356393.0,deloitte,none,,,0.0
100355291.0,deloitte,fulfillment,phys,fulfillment_phys,13.5
100352439.0,deloitte,hindrance,phys,hindrance_phys,7.5
100348081.0,deloitte,fulfillment,phys,fulfillment_phys,6.0
100348040.0,deloitte,none,,,0.0
100340463.0,deloitte,fulfillment,stat,fulfillment_stat,6.0
100331392.0,deloitte,fulfillment,fam,fulfillment_fam,13.5
100330698.0,deloitte,fulfillment,aff,fulfillment_aff,6.0
