review_id,company_id,date,n_tokens,S_raw,F_raw_phys,H_raw_phys,G_ratio_phys,w_sent_phys,G_final_phys,F_raw_selfprot,H_raw_selfprot,G_ratio_selfprot,w_sent_selfprot,G_final_selfprot,F_raw_aff,H_raw_aff,G_ratio_aff,w_sent_aff,G_final_aff,F_raw_stat,H_raw_stat,G_ratio_stat,w_sent_stat,G_final_stat,F_raw_fam,H_raw_fam,G_ratio_fam,w_sent_fam,G_final_fam
100741114.0,ey,,57,0.4328924,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100723794.0,ey,,66,-0.33764732,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.9999998333333611,0.7370301232028202,0.7370300003644868,16.5,0.0,0.999999939393943,0.7370301232028202,0.7370300785343307
100723051.0,ey,,351,0.97260034,0.0,0.0,0.0,0.5,0.0,0.0,3.0,-0.9999996666667778,0.3,-0.2999999000000333,6.0,0.0,0.9999998333333611,0.9726258772887812,0.9726257151844954,12.0,0.0,0.9999999166666736,0.9726258772887812,0.9726257962366316,0.0,0.0,0.0,0.5,0.0
100720637.0,ey,,138,0.93254894,6.0,3.75,0.23076920710059415,0.9680216629805426,0.2233895916222184,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,7.5,0.0,0.9999998666666844,0.9680216629805426,0.9680215339110047,3.0,9.75,-0.5294117231833942,0.3,-0.15882351695501826
100712864.0,ey,,630,0.95417386,0.0,0.0,0.0,0.5,0.0,3.0,3.0,0.0,0.5,0.0,9.0,6.0,0.19999998666666757,0.9705935984694708,0.19411870675264706,9.0,0.0,0.9999998888889013,0.9705935984694708,0.9705934906257497,13.5,0.0,0.9999999259259315,0.9705935984694708,0.970593526573654
100709891.0,ey,,66,0.89907014,4.0,2.0,0.33333327777778704,0.9636060702552574,0.32120196988475747,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,12.0,13.5,-0.05882352710495972,0.3,-0.017647058131487914
100707081.0,ey,,45,0.81923294,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,7.5,0.0,0.9999998666666844,0.9505900822467499,0.9505899555014224
100706139.0,ey,,135,0.59167886,6.0,0.0,0.9999998333333611,0.8856153103618822,0.885615162759355,0.0,0.0,0.0,0.5,0.0,0.0,3.0,-0.9999996666667778,0.3,-0.2999999000000333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100686837.0,ey,,63,0.7636337,6.0,0.0,0.9999998333333611,0.9390339746131894,0.939033818107553,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.9999998333333611,0.9390339746131894,0.939033818107553,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100682694.0,ey,,60,0.97528595,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100677388.0,ey,,45,0.89177686,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100671195.0,ey,,888,0.6035181,9.0,4.5,0.33333330864197713,0.8903257221930786,0.29677521874767665,0.0,0.0,0.0,0.5,0.0,5.0,8.5,-0.2592592400548711,0.3,-0.07777777201646133,25.5,0.0,0.9999999607843152,0.8903257221930786,0.8903256872783457,4.0,2.0,0.33333327777778704,0.8903257221930786,0.29677519126849433
100670567.0,ey,,57,0.8127125,6.0,0.0,0.9999998333333611,0.9493505603285597,0.9493504021034926,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100659055.0,ey,,513,0.7730764,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.9999998333333611,0.941160797378914,0.9411606405188072,3.75,0.0,0.9999997333334044,0.941160797378914,0.9411605464027682
100656813.0,ey,,105,0.5714062,7.5,0.0,0.9999998666666844,0.8771403904866197,0.8771402735345832,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,15.0,0.0,0.9999999333333378,0.8771403904866197,0.8771403320105976,27.0,0.0,0.9999999629629643,0.8771403904866197,0.8771403579999398
100649479.0,ey,,84,0.88188624,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,6.0,3.0,0.33333329629630043,0.9611172228303079,0.3203723720131724,0.0,0.0,0.0,0.5,0.0
100640794.0,ey,,57,0.9676462,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100635989.0,ey,,177,-0.39543787,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100633697.0,ey,,63,-0.21050496,6.0,0.0,0.9999998333333611,0.6276199547674868,0.6276198501641784,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100631766.0,ey,,51,0.8680306,6.0,0.0,0.9999998333333611,0.9589922700766462,0.9589921102446278,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100629074.0,ey,,69,0.5603683,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.9999998333333611,0.8723026243375797,0.8723024789538332,3.0,0.0,0.9999996666667778,0.8723026243375797,0.8723023335701351,0.0,0.0,0.0,0.5,0.0
100616505.0,ey,,51,0.15481576,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100604337.0,ey,,45,0.50163895,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100601889.0,ey,,45,0.7737165,6.0,0.0,0.9999998333333611,0.9413024237192856,0.9413022668355745,0.0,0.0,0.0,0.5,0.0,6.0,0.0,0.9999998333333611,0.9413024237192856,0.9413022668355745,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100593476.0,ey,,60,0.9162451,6.0,3.75,0.23076920710059415,0.9659400778503884,0.2229092258722203,0.0,3.0,-0.9999996666667778,0.3,-0.2999999000000333,0.0,0.0,0.0,0.5,0.0,6.0,3.0,0.33333329629630043,0.9659400778503884,0.321979990174575,0.0,3.75,-0.9999997333334044,0.3,-0.2999999200000213
100592552.0,ey,,54,0.09355259,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
100575023.0,ey,,63,0.38398924,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,27.0,0.0,0.9999999629629643,0.7713512702866466,0.7713512417180821
