review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
103760806,Good pay and benefits but tough work life balance,good pay great benefits lot of opportunity within company if you do well,work life balance cut throat if you want to be high flyer a lot of bad refinery locations,4.0,2026-04-28,Former employee - Corrosion Engineer,"Beaumont, TX",REGULAR,Good pay and benefits but tough work life balance good pay great benefits lot of opportunity within company if you do well work life balance cut throat if you want to be high flyer a lot of bad refinery locations good pay and benefits but tough work life balance,US,state_code:TX
103679935,Great training opportunities but expect long hours,company invest lots of time into trainings and employee events,plan for 60 hour work weeks,3.0,2026-04-22,Current employee - Facilties Engineer,"Midland, TX",REGULAR,Great training opportunities but expect long hours company invest lots of time into trainings and employee events plan for 60 hour work weeks great training opportunities but expect long hours,US,state_code:TX
103669973,Toxic environment despite decent pay,pays the bills benefits not very competitive,new mexico group is toxic,2.0,2026-04-22,Current employee - Production Superintendent,"Midland, TX",REGULAR,Toxic environment despite decent pay pays the bills benefits not very competitive new mexico group is toxic toxic environment despite decent pay,US,state_code:TX
103638551,Great benefits but competitive atmosphere with great vacation days,flex time and really great benefits,very competitive corporate atmosphere and little vacation days,5.0,2026-04-20,Former employee - Project Manager,"Houston, TX",REGULAR,Great benefits but competitive atmosphere with great vacation days flex time and really great benefits very competitive corporate atmosphere and little vacation days great benefits but competitive atmosphere with great vacation days,US,state_code:TX
103636320,Solid pay and strong culture but long hours,solid pay strong culture good benefits,hours flucuations in market tend to fuel culture at work,4.0,2026-04-20,Former employee - Analyst,"Houston, TX",REGULAR,Solid pay and strong culture but long hours solid pay strong culture good benefits hours flucuations in market tend to fuel culture at work solid pay and strong culture but long hours,US,state_code:TX
103548647,Positive environment with no downsides,good environment good pay opportunity,overall all good but still sometimes feels like,2.0,2026-04-13,Former employee - Simulation Engineer,"Houston, TX",REGULAR,Positive environment with no downsides good environment good pay opportunity overall all good but still sometimes feels like positive environment with no downsides,US,state_code:TX
103547215,Good benefits but a competitive atmosphere,good benefits lots of international opportunities,extremely competitive environment and shrinking footprint in the us,3.0,2026-04-13,Current employee - Risk and Controls Manager,"Spring, TX",REGULAR,Good benefits but a competitive atmosphere good benefits lots of international opportunities extremely competitive environment and shrinking footprint in the us good benefits but a competitive atmosphere,US,state_code:TX
103513727,Friendly environment with good management but no bonuses,good company friendly environment good management,not really any cons other than no bonuses,5.0,2026-04-10,Current employee - Pipeline Controller,"Houston, TX",REGULAR,Friendly environment with good management but no bonuses good company friendly environment good management not really any cons other than no bonuses friendly environment with good management but no bonuses,US,state_code:TX
103471322,Good pay but expect long hours,good pay and mid benefits honestly,hours are very long at times,4.0,2026-04-07,Current employee - Engineer,"Beaumont, TX",REGULAR,Good pay but expect long hours good pay and mid benefits honestly hours are very long at times good pay but expect long hours,US,state_code:TX
103371368,Competitive,good pay good opportunities if you network right,can get pigeonholed highly dependent on your supervisor,4.0,2026-03-30,Former employee - Drilling Engineer,"Houston, TX",REGULAR,Competitive good pay good opportunities if you network right can get pigeonholed highly dependent on your supervisor competitive,US,state_code:TX
103343111,TOXIC,toxic supervisors favoritism and nepotism,supervisors are narcissists toxic gang like behaviors stay away dont get tricked by the name of the company,1.0,2026-03-27,Former employee - Contact Engineer,"Baytown, TX",REGULAR,TOXIC toxic supervisors favoritism and nepotism supervisors are narcissists toxic gang like behaviors stay away dont get tricked by the name of the company toxic,US,state_code:TX
