review_id,company_id,mode,goal,cluster_id,evidence_value
103080274.0,google,none,,,0.0
103080141.0,google,fulfillment,phys,fulfillment_phys,2.0
103079726.0,google,none,,,0.0
103077882.0,google,none,,,0.0
103077803.0,google,none,,,0.0
103076975.0,google,fulfillment,fam,fulfillment_fam,11.0
103076682.0,google,none,,,0.0
103075987.0,google,fulfillment,fam,fulfillment_fam,9.0
103075623.0,google,none,,,0.0
103070009.0,google,hindrance,fam,hindrance_fam,13.5
103069767.0,google,fulfillment,stat,fulfillment_stat,2.0
103067807.0,google,fulfillment,selfprot,fulfillment_selfprot,2.5
103065716.0,google,fulfillment,phys,fulfillment_phys,1.0
103065282.0,google,fulfillment,phys,fulfillment_phys,2.0
103064943.0,google,hindrance,phys,hindrance_phys,2.0
103059797.0,google,none,,,0.0
103059771.0,google,fulfillment,aff,fulfillment_aff,2.0
103058335.0,google,fulfillment,stat,fulfillment_stat,4.5
103057144.0,google,fulfillment,fam,fulfillment_fam,9.0
103056657.0,google,none,,,0.0
103050998.0,google,none,,,0.0
103050576.0,google,none,,,0.0
103049925.0,google,none,,,0.0
103049030.0,google,fulfillment,stat,fulfillment_stat,2.0
103043228.0,google,none,,,0.0
103042933.0,google,none,,,0.0
103041223.0,google,fulfillment,fam,fulfillment_fam,4.5
103034679.0,google,fulfillment,fam,fulfillment_fam,22.5
103031559.0,google,fulfillment,stat,fulfillment_stat,2.0
103028241.0,google,fulfillment,stat,fulfillment_stat,4.5
103027636.0,google,fulfillment,stat,fulfillment_stat,4.0
103025208.0,google,fulfillment,phys,fulfillment_phys,4.0
103019020.0,google,none,,,0.0
103018859.0,google,fulfillment,fam,fulfillment_fam,9.0
103018197.0,google,none,,,0.0
103017952.0,google,fulfillment,stat,fulfillment_stat,3.0
103014245.0,google,none,,,0.0
103013895.0,google,fulfillment,stat,fulfillment_stat,2.0
103013887.0,google,fulfillment,phys,fulfillment_phys,5.0
103013844.0,google,fulfillment,phys,fulfillment_phys,2.0
103009936.0,google,hindrance,phys,hindrance_phys,2.0
103008890.0,google,none,,,0.0
103004986.0,google,fulfillment,phys,fulfillment_phys,2.0
103004860.0,google,hindrance,phys,hindrance_phys,2.5
103003449.0,google,fulfillment,fam,fulfillment_fam,9.0
103001243.0,google,hindrance,selfprot,hindrance_selfprot,6.0
102999462.0,google,none,,,0.0
102997057.0,google,none,,,0.0
102996887.0,google,none,,,0.0
102996278.0,google,none,,,0.0
102996115.0,google,fulfillment,aff,fulfillment_aff,2.0
