review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
103758666,Okay if you donâ t mind having to be a shark,most of the providers are nice to work with and they treat you like a person lots of flexibility with shifts keeps you busy and not bored,management needs work the lead mas can be petty and bully you for no reason they donâ t know how to train teach without making you feel lesser than,3.0,2026-04-28,Current employee - Medical Assistant,"Las Vegas, NV",REGULAR,Okay if you donâ t mind having to be a shark most of the providers are nice to work with and they treat you like a person lots of flexibility with shifts keeps you busy and not bored management needs work the lead mas can be petty and bully you for no reason they donâ t know how to train teach without making you feel lesser than okay if you donâ t mind having to be a shark,US,state_code:NV
103754993,optum,remote work allowed provide work laptop,low salary very poor bonus,3.0,2026-04-28,Former employee - Data Engineer,"Lake Success, NY",REGULAR,optum remote work allowed provide work laptop low salary very poor bonus optum,US,state_code:NY
103743663,Skills gained but micromanagement and instability abound,'- learned skills for other opportunities,'-lack of growth -micromanagement was next level -inconsistent with workload -will overwork you -constant changes to work instruction like every other month it changes -system always had issues -i t takes forever -- i was out of work for two weeks because of them not getting back to me -,2.0,2026-04-27,Former employee - Clinical Support Operations Coordinator,"Minneapolis, MN",REGULAR,Skills gained but micromanagement and instability abound '- learned skills for other opportunities '-lack of growth -micromanagement was next level -inconsistent with workload -will overwork you -constant changes to work instruction like every other month it changes -system always had issues -i t takes forever -- i was out of work for two weeks because of them not getting back to me - skills gained but micromanagement and instability abound,US,state_code:MN
103740956,Decent management but heavy workload and burnout risks,'-competitive pay -good benifets -management decent,'-workload is heavy -easy to burnout -steap learning curve,2.0,2026-04-27,Former employee - Systems Administrator,"Eden Prairie, MN",REGULAR,Decent management but heavy workload and burnout risks '-competitive pay -good benifets -management decent '-workload is heavy -easy to burnout -steap learning curve decent management but heavy workload and burnout risks,US,state_code:MN
103704775,Work balance is good but communication needs improvement,work balance and training is great,communication can always improve pay,4.0,2026-04-24,Current employee - Patient Access,"Waukesha, WI",PART_TIME,Work balance is good but communication needs improvement work balance and training is great communication can always improve pay work balance is good but communication needs improvement,US,state_code:WI
103694263,Great work life balance but poor career growth,good for coasting with a great work life balance still offers remote positions,bad for career growth company is in a rough spot right now and they can't afford to promote anyone or give anyone raises,3.0,2026-04-23,Current employee - Associate Software Engineer,"Schaumburg, IL",REGULAR,Great work life balance but poor career growth good for coasting with a great work life balance still offers remote positions bad for career growth company is in a rough spot right now and they can't afford to promote anyone or give anyone raises great work-life balance but poor career growth,US,state_code:IL
103692811,Great culture and remote work but low pay,great environment great culture fully remote,low pay and compensation minimal growth,4.0,2026-04-23,Current employee - Senior Data Analyst,"Edison, NJ",REGULAR,Great culture and remote work but low pay great environment great culture fully remote low pay and compensation minimal growth great culture and remote work but low pay,US,state_code:NJ
103680682,Not the worst I guess,good money and staff at the office are mostly nice,united healthcare and the way they manage everything,1.0,2026-04-22,Current employee - Physician,"Clearwater, FL",REGULAR,Not the worst I guess good money and staff at the office are mostly nice united healthcare and the way they manage everything not the worst i guess,US,state_code:FL
103674180,Great opportunities but need to return to office,very good company great opportunities,need to encourage return to office,5.0,2026-04-22,Current employee - Senior Software Engineering Manager,"Basking Ridge, NJ",REGULAR,Great opportunities but need to return to office very good company great opportunities need to encourage return to office great opportunities but need to return to office,US,state_code:NJ
103669579,Great team and management but pressure to meet deadlines,i've been working here close to a year and can say what makes the job better is definetly the team you work with and the management you have,there can be presure at times to get everything completed in a short period of time,3.0,2026-04-22,Current employee - Provider Enrollment Specialist,"Washington, DC",REGULAR,Great team and management but pressure to meet deadlines i've been working here close to a year and can say what makes the job better is definetly the team you work with and the management you have there can be presure at times to get everything completed in a short period of time great team and management but pressure to meet deadlines,US,state_code:DC
103667281,Good PTO but lack of flexibility and stability,good pto pay ok the work is easy and mindless as a clinician,no flexibility constant changes and management canâ t keep up,3.0,2026-04-22,Current employee - Behavioral Health Care Advocate,"Maine, ME",REGULAR,Good PTO but lack of flexibility and stability good pto pay ok the work is easy and mindless as a clinician no flexibility constant changes and management canâ t keep up good pto but lack of flexibility and stability,US,state_code:ME
103645449,Pretty decent,management has been caring and usually takes care of issues promptly,sometimes difficult to switch or get placed with another client when your life circumstances change,4.0,2026-04-20,Current employee - Licensed Practical Nurse (LPN),"Bossier City, LA",PART_TIME,Pretty decent management has been caring and usually takes care of issues promptly sometimes difficult to switch or get placed with another client when your life circumstances change pretty decent,US,state_code:LA
103645086,Chaos Headaches and Anxiety,pay was solid but bonus and annual increase were trash tenured employees from previous company solutran,everything else you name it this place was a mess i was in the optum financial space and that product was terrible leadership turnover really lead to terrible decisions at the top no sales happening no retention of major clients and problem after problem after problem,1.0,2026-04-20,Former employee - Strategic Account Manager,"Eden Prairie, MN",REGULAR,Chaos Headaches and Anxiety pay was solid but bonus and annual increase were trash tenured employees from previous company solutran everything else you name it this place was a mess i was in the optum financial space and that product was terrible leadership turnover really lead to terrible decisions at the top no sales happening no retention of major clients and problem after problem after problem chaos headaches and anxiety,US,state_code:MN
103641737,Flexibility and good team but poor communication issues,flexibility work remote options good team members,frequent changes without employee input very low raises lack of communication,2.0,2026-04-20,Current employee - Trainer,"Waukesha, WI",REGULAR,Flexibility and good team but poor communication issues flexibility work remote options good team members frequent changes without employee input very low raises lack of communication flexibility and good team but poor communication issues,US,state_code:WI
103622634,Good benefits and pay but focus on numbers over quality,pretty good benefits and pay,only worried about numbers not quality patient interactions,3.0,2026-04-18,Current employee - Nurse Practitioner,"Las Vegas, NV",REGULAR,Good benefits and pay but focus on numbers over quality pretty good benefits and pay only worried about numbers not quality patient interactions good benefits and pay but focus on numbers over quality,US,state_code:NV
103617536,Flexible environment but overly metrics driven approach,flexible benefits listens to employee feedback for the most part bonuses,very metrics focused now review metrics every month,3.0,2026-04-17,Current employee - Nurse Practitioner,"Denver, CO",REGULAR,Flexible environment but overly metrics driven approach flexible benefits listens to employee feedback for the most part bonuses very metrics focused now review metrics every month flexible environment but overly metrics-driven approach,US,state_code:CO
103617168,Fair benefits and kinda supportive management but training issues abound,full benefits from day 1 management is willing to take time to make sure you are trained correctly,top tier health insurance plans are only available in certain states and there is formal training program with some jobs job seeker beware management frequently will delegate out tasks to subordinate because they have another meeting to go to,3.0,2026-04-17,Current employee - Claims,"Minneapolis, MN",REGULAR,Fair benefits and kinda supportive management but training issues abound full benefits from day 1 management is willing to take time to make sure you are trained correctly top tier health insurance plans are only available in certain states and there is formal training program with some jobs job seeker beware management frequently will delegate out tasks to subordinate because they have another meeting to go to fair benefits and kinda supportive management but training issues abound,US,state_code:MN
103613921,Great colleagues but challenging hybrid work policy,i enjoy the people i work with,their hybrid requirements are worse than other companies,4.0,2026-04-17,Current employee - Designer,"Minneapolis, MN",REGULAR,Great colleagues but challenging hybrid work policy i enjoy the people i work with their hybrid requirements are worse than other companies great colleagues but challenging hybrid work policy,US,state_code:MN
103608477,Frequent mass layoffs in Behavioral Health,the clients and colleagues make the job worth it,they lay off often and a lot,2.0,2026-04-17,Former employee - Manager,Midtown New York,REGULAR,Frequent mass layoffs in Behavioral Health the clients and colleagues make the job worth it they lay off often and a lot frequent mass layoffs in behavioral health,non-US,fallback_nonus
103589689,Supportive culture but slow due to red tape,supportive culture with lots of smart colleagues,large org with typical red tape and speed,5.0,2026-04-16,Former employee - Senior Product Analyst,"Austin, TX",REGULAR,Supportive culture but slow due to red tape supportive culture with lots of smart colleagues large org with typical red tape and speed supportive culture but slow due to red tape,US,state_code:TX
103580476,Good management and benefits but frequent layoffs,good regional management good benefits,frequent layoffs poor advancement in certain positions,3.0,2026-04-15,Former employee - Family Nurse Practitioner,"Wisconsin Rapids, WI",REGULAR,Good management and benefits but frequent layoffs good regional management good benefits frequent layoffs poor advancement in certain positions good management and benefits but frequent layoffs,US,state_code:WI
103546180,Great team and relaxed PTO but raises are minimal,i personally love my team and the office atmosphere very relaxed on when you take your pto,since i have been here i have not gotten any big raise usually just a small raise every year,4.0,2026-04-13,Current employee - Associate Tech Product Manager,"Eden Prairie, MN",REGULAR,Great team and relaxed PTO but raises are minimal i personally love my team and the office atmosphere very relaxed on when you take your pto since i have been here i have not gotten any big raise usually just a small raise every year great team and relaxed pto but raises are minimal,US,state_code:MN
103545007,Great remote work but micromanagement is a concern,remote work coworkers are great training is okay,micromanagement not transparent no pto,1.0,2026-04-13,Current employee - HCC Coder,"Austin, TX",REGULAR,Great remote work but micromanagement is a concern remote work coworkers are great training is okay micromanagement not transparent no pto great remote work but micromanagement is a concern,US,state_code:TX
103526281,Greedy Leadership,not any really none zip,5a,1.0,2026-04-11,Former employee - Anonymous,"Saint Paul, MN",REGULAR,Greedy Leadership not any really none zip 5a greedy leadership,US,state_code:MN
103521753,Flexibility and opportunities hindered by poor leadership,flexible remote role huge company lots of opportunities,poor leadership always shuffling and reorg,2.0,2026-04-11,Former employee - Manager,"Minnesota City, MN",REGULAR,Flexibility and opportunities hindered by poor leadership flexible remote role huge company lots of opportunities poor leadership always shuffling and reorg flexibility and opportunities hindered by poor leadership,US,state_code:MN
103514315,Entrenamiento sÃ³lido pero ambiente laboral estresante y cambiante,el entrenamiento inicial es bueno y estructurado te dan una base sã³lida para comenzar en el ã rea de medical coding,75,1.0,2026-04-10,Former employee - Medical Coding,"San Juan, PR",REGULAR,Entrenamiento sÃ³lido pero ambiente laboral estresante y cambiante el entrenamiento inicial es bueno y estructurado te dan una base sã³lida para comenzar en el ã rea de medical coding 75 entrenamiento sã³lido pero ambiente laboral estresante y cambiante,non-US,fallback_nonus
103510958,Better pay and benefits but high chart quotas,better pay than other places good benefits flexible schedule it's easy to adjust your hours for the day last minute if you have an errand to run if your supervisor is nice,insane chart quotas lack of communication about changes,4.0,2026-04-10,Current employee - Coding Quality Analyst,"Austin, TX",REGULAR,Better pay and benefits but high chart quotas better pay than other places good benefits flexible schedule it's easy to adjust your hours for the day last minute if you have an errand to run if your supervisor is nice insane chart quotas lack of communication about changes better pay and benefits but high chart quotas,US,state_code:TX
103502694,Great Benefits Underpaid and under looked,bnenefits were good and they used to buy food and there was free coffe in the office as well as flexibility to work at home,management is always absolutely horrible and and i promise that in puerto rico we were all underpaid but call centers are the worst you will feel the burnout and discrimination as u go they always promise to get you a promotion and then dont,3.0,2026-04-09,Former employee - Coordinator,"San Juan, PR",REGULAR,Great Benefits Underpaid and under looked bnenefits were good and they used to buy food and there was free coffe in the office as well as flexibility to work at home management is always absolutely horrible and and i promise that in puerto rico we were all underpaid but call centers are the worst you will feel the burnout and discrimination as u go they always promise to get you a promotion and then dont great benefits - underpaid and under looked,non-US,fallback_nonus
103498805,Dont do it This company spits you out it doesnt matter on loyalty,as this company was growing with the pnw area they give you lots of leeway as they were not pros at servicing the satalite connection was bad in rural area the map would drop in your in a far away area i dont know how to get back as they are fine tuning their services they work with you however it is all under their terms so beware of the shadiness,76,1.0,2026-04-09,Former employee,"Washington, UT",REGULAR,Dont do it This company spits you out it doesnt matter on loyalty as this company was growing with the pnw area they give you lots of leeway as they were not pros at servicing the satalite connection was bad in rural area the map would drop in your in a far away area i dont know how to get back as they are fine tuning their services they work with you however it is all under their terms so beware of the shadiness 76 dont do it-this company spits you out it doesnt matter on loyalty,US,state_code:UT
103485947,Worst Experience of my Life,the providers and most of my coworkers in the clinic were caring hardworking and dedicated people and the only thing that made working for this money hungry company somewhat tolerable,'-management is awful all the way from the top down to the office managers and the favoritism for some employees is brazen and disgusting -they always put way too much work on their employees until they quit which is why the turn over rate is sky high -the pay was way under market value for the in clinic positions not to mention the yearly â raisesâ and â bonusesâ are an absolute joke -they do not listen to their employees feedback at all and do not communicate with the office staff until itâ s too late -the lack of communication and transparency company wide is incredibly frustrating as an employee -a hard work ethic is not appreciated or incentivized but is instead taken advantage of and the ones doing the least amount of work the favorite employees are the ones receiving all the recognition and praise,1.0,2026-04-08,Former employee - Patient Care Coordinator,"Aurora, CO",REGULAR,Worst Experience of my Life the providers and most of my coworkers in the clinic were caring hardworking and dedicated people and the only thing that made working for this money hungry company somewhat tolerable '-management is awful all the way from the top down to the office managers and the favoritism for some employees is brazen and disgusting -they always put way too much work on their employees until they quit which is why the turn over rate is sky high -the pay was way under market value for the in clinic positions not to mention the yearly â raisesâ and â bonusesâ are an absolute joke -they do not listen to their employees feedback at all and do not communicate with the office staff until itâ s too late -the lack of communication and transparency company wide is incredibly frustrating as an employee -a hard work ethic is not appreciated or incentivized but is instead taken advantage of and the ones doing the least amount of work the favorite employees are the ones receiving all the recognition and praise worst experience of my life,US,state_code:CO
103482378,Slow moving organization may not suit everyone,benefits are not the best but not the worst basically average for everything,big organization where things move very slowly some people like that wasn't very fun for my role,2.0,2026-04-08,Former employee - Software Engineer,"Minneapolis, MN",REGULAR,Slow moving organization may not suit everyone benefits are not the best but not the worst basically average for everything big organization where things move very slowly some people like that wasn't very fun for my role slow-moving organization may not suit everyone,US,state_code:MN
103481636,Supervisors that had no business supervising,higher starting average than most places get in to get clinical experience then get out not a place to grow,poor management workflow lacks structures supervisor will not take you seriously ot favors long time employees teammate issues brought to supervisor will be brushed under carpet,3.0,2026-04-08,Former employee - Senior Phlebotomist III,"Mukilteo, WA",REGULAR,Supervisors that had no business supervising higher starting average than most places get in to get clinical experience then get out not a place to grow poor management workflow lacks structures supervisor will not take you seriously ot favors long time employees teammate issues brought to supervisor will be brushed under carpet supervisors that had no business supervising,US,state_code:WA
103481461,Lots of lay offs,generous pto and bonuses when the company does well,not a lot of job mobility in the company due to constant reductions of roles,1.0,2026-04-08,Current employee - Technical Project Manager,"Eden Prairie, MN",REGULAR,Lots of lay offs generous pto and bonuses when the company does well not a lot of job mobility in the company due to constant reductions of roles lots of lay-offs,US,state_code:MN
103474003,Supportive management but heavy workload and no raises,management and senior management in my area psychological safety very inclusive,workload headcount nonexistent merit increases yoy,4.0,2026-04-07,Current employee - Marketing Specialist,"Eden Prairie, MN",REGULAR,Supportive management but heavy workload and no raises management and senior management in my area psychological safety very inclusive workload headcount nonexistent merit increases yoy supportive management but heavy workload and no raises,US,state_code:MN
