review_id,company_id,mode,goal,cluster_id,evidence_value
103758666.0,optum,fulfillment,fam,fulfillment_fam,2.0
103754993.0,optum,hindrance,phys,hindrance_phys,2.5
103743663.0,optum,hindrance,stat,hindrance_stat,4.0
103740956.0,optum,hindrance,phys,hindrance_phys,5.0
103704775.0,optum,none,,,0.0
103694263.0,optum,fulfillment,fam,fulfillment_fam,22.5
103692811.0,optum,hindrance,phys,hindrance_phys,6.25
103680682.0,optum,fulfillment,phys,fulfillment_phys,1.0
103674180.0,optum,none,,,0.0
103669579.0,optum,none,,,0.0
103667281.0,optum,fulfillment,fam,fulfillment_fam,10.5
103645449.0,optum,none,,,0.0
103645086.0,optum,hindrance,selfprot,hindrance_selfprot,6.0
103641737.0,optum,fulfillment,fam,fulfillment_fam,5.0
103622634.0,optum,hindrance,phys,hindrance_phys,5.0
103617536.0,optum,fulfillment,phys,fulfillment_phys,2.0
103617168.0,optum,fulfillment,phys,fulfillment_phys,7.0
103613921.0,optum,fulfillment,aff,fulfillment_aff,3.0
103608477.0,optum,fulfillment,aff,fulfillment_aff,2.0
103589689.0,optum,fulfillment,aff,fulfillment_aff,7.0
103580476.0,optum,fulfillment,phys,fulfillment_phys,5.0
103546180.0,optum,hindrance,fam,hindrance_fam,4.0
103545007.0,optum,fulfillment,fam,fulfillment_fam,8.25
103526281.0,optum,fulfillment,stat,fulfillment_stat,2.0
103521753.0,optum,fulfillment,stat,fulfillment_stat,5.0
103514315.0,optum,none,,,0.0
103510958.0,optum,fulfillment,phys,fulfillment_phys,5.0
103502694.0,optum,fulfillment,phys,fulfillment_phys,7.0
103498805.0,optum,hindrance,selfprot,hindrance_selfprot,3.0
103485947.0,optum,hindrance,stat,hindrance_stat,6.0
103482378.0,optum,hindrance,phys,hindrance_phys,2.0
103481636.0,optum,none,,,0.0
103481461.0,optum,fulfillment,fam,fulfillment_fam,2.0
103474003.0,optum,fulfillment,aff,fulfillment_aff,4.0
103467827.0,optum,hindrance,phys,hindrance_phys,8.25
103450093.0,optum,hindrance,selfprot,hindrance_selfprot,5.0
103441493.0,optum,hindrance,fam,hindrance_fam,9.0
103427156.0,optum,fulfillment,fam,fulfillment_fam,9.0
103419304.0,optum,none,,,0.0
103405601.0,optum,hindrance,stat,hindrance_stat,2.0
103401754.0,optum,fulfillment,fam,fulfillment_fam,9.0
103400177.0,optum,fulfillment,aff,fulfillment_aff,5.0
103399684.0,optum,fulfillment,fam,fulfillment_fam,4.5
103396801.0,optum,fulfillment,stat,fulfillment_stat,8.0
103389532.0,optum,hindrance,stat,hindrance_stat,5.0
103385457.0,optum,fulfillment,stat,fulfillment_stat,4.0
103380217.0,optum,fulfillment,fam,fulfillment_fam,15.0
103364022.0,optum,none,,,0.0
103354790.0,optum,fulfillment,fam,fulfillment_fam,11.0
103352058.0,optum,fulfillment,fam,fulfillment_fam,6.25
103295105.0,optum,none,,,0.0
103289541.0,optum,fulfillment,aff,fulfillment_aff,2.5
103287908.0,optum,fulfillment,phys,fulfillment_phys,4.5
103286576.0,optum,hindrance,aff,hindrance_aff,3.5
103274111.0,optum,fulfillment,phys,fulfillment_phys,2.0
103272270.0,optum,fulfillment,fam,fulfillment_fam,2.5
103270830.0,optum,hindrance,phys,hindrance_phys,3.0
103255830.0,optum,none,,,0.0
103251834.0,optum,fulfillment,phys,fulfillment_phys,3.0
