review_id,company_id,mode,goal,cluster_id,evidence_value
100729336.0,tcs,none,,,0.0
100729322.0,tcs,fulfillment,fam,fulfillment_fam,27.0
100705782.0,tcs,none,,,0.0
100695587.0,tcs,hindrance,selfprot,hindrance_selfprot,3.0
100686279.0,tcs,none,,,0.0
100595145.0,tcs,none,,,0.0
100590039.0,tcs,fulfillment,phys,fulfillment_phys,6.0
100587378.0,tcs,hindrance,fam,hindrance_fam,13.5
100534958.0,tcs,none,,,0.0
100534955.0,tcs,none,,,0.0
100475824.0,tcs,none,,,0.0
100450637.0,tcs,fulfillment,phys,fulfillment_phys,12.0
100440437.0,tcs,fulfillment,aff,fulfillment_aff,3.0
100431379.0,tcs,hindrance,phys,hindrance_phys,3.75
100425789.0,tcs,none,,,0.0
100410868.0,tcs,fulfillment,stat,fulfillment_stat,6.0
100398699.0,tcs,fulfillment,phys,fulfillment_phys,12.0
100385113.0,tcs,fulfillment,fam,fulfillment_fam,6.0
100381655.0,tcs,hindrance,phys,hindrance_phys,6.75
100296107.0,tcs,none,,,0.0
100287151.0,tcs,none,,,0.0
100283608.0,tcs,none,,,0.0
100283167.0,tcs,fulfillment,fam,fulfillment_fam,18.0
100215096.0,tcs,fulfillment,stat,fulfillment_stat,6.0
100193928.0,tcs,fulfillment,aff,fulfillment_aff,6.0
100076238.0,tcs,fulfillment,stat,fulfillment_stat,6.0
100045389.0,tcs,none,,,0.0
100027292.0,tcs,none,,,0.0
100026018.0,tcs,hindrance,fam,hindrance_fam,27.0
100025185.0,tcs,fulfillment,phys,fulfillment_phys,9.75
100020509.0,tcs,fulfillment,fam,fulfillment_fam,13.5
99970486.0,tcs,fulfillment,fam,fulfillment_fam,13.5
99964516.0,tcs,fulfillment,fam,fulfillment_fam,12.0
99954910.0,tcs,fulfillment,fam,fulfillment_fam,27.0
99893363.0,tcs,hindrance,phys,hindrance_phys,3.75
99874959.0,tcs,none,,,0.0
99868312.0,tcs,none,,,0.0
99867872.0,tcs,fulfillment,aff,fulfillment_aff,6.0
99859656.0,tcs,none,,,0.0
99857244.0,tcs,none,,,0.0
99820013.0,tcs,fulfillment,fam,fulfillment_fam,27.0
99798768.0,tcs,hindrance,phys,hindrance_phys,3.75
99778681.0,tcs,none,,,0.0
99696577.0,tcs,fulfillment,phys,fulfillment_phys,3.0
99685385.0,tcs,fulfillment,aff,fulfillment_aff,6.0
99675221.0,tcs,fulfillment,stat,fulfillment_stat,25.5
99664549.0,tcs,hindrance,selfprot,hindrance_selfprot,6.0
99653339.0,tcs,none,,,0.0
99644516.0,tcs,fulfillment,fam,fulfillment_fam,27.0
99631978.0,tcs,fulfillment,fam,fulfillment_fam,7.5
99626539.0,tcs,fulfillment,fam,fulfillment_fam,27.0
99607414.0,tcs,fulfillment,phys,fulfillment_phys,3.0
99605200.0,tcs,none,,,0.0
99585100.0,tcs,fulfillment,aff,fulfillment_aff,7.5
99554018.0,tcs,none,,,0.0
99538851.0,tcs,fulfillment,selfprot,fulfillment_selfprot,7.5
99487560.0,tcs,none,,,0.0
99427341.0,tcs,hindrance,phys,hindrance_phys,8.0
99417385.0,tcs,fulfillment,fam,fulfillment_fam,27.0
99407032.0,tcs,none,,,0.0
99394706.0,tcs,none,,,0.0
99379266.0,tcs,fulfillment,stat,fulfillment_stat,6.0
99370961.0,tcs,fulfillment,fam,fulfillment_fam,27.0
99349944.0,tcs,none,,,0.0
99340314.0,tcs,none,,,0.0
99274542.0,tcs,fulfillment,selfprot,fulfillment_selfprot,5.0
99253699.0,tcs,none,,,0.0
99230430.0,tcs,fulfillment,selfprot,fulfillment_selfprot,3.75
