review_id,company_id,mode,goal,cluster_id,evidence_value
103123094.0,apple,none,,,0.0
103108850.0,apple,fulfillment,fam,fulfillment_fam,22.5
103104744.0,apple,fulfillment,fam,fulfillment_fam,9.0
103103969.0,apple,fulfillment,phys,fulfillment_phys,2.0
103082437.0,apple,hindrance,fam,hindrance_fam,9.0
103077064.0,apple,fulfillment,fam,fulfillment_fam,9.0
103070761.0,apple,none,,,0.0
103070574.0,apple,fulfillment,phys,fulfillment_phys,6.5
103064628.0,apple,fulfillment,phys,fulfillment_phys,5.0
103061518.0,apple,fulfillment,phys,fulfillment_phys,2.0
103061307.0,apple,fulfillment,fam,fulfillment_fam,2.5
103048250.0,apple,none,,,0.0
103048243.0,apple,none,,,0.0
103042983.0,apple,fulfillment,phys,fulfillment_phys,2.5
103035284.0,apple,hindrance,phys,hindrance_phys,2.0
103034094.0,apple,fulfillment,phys,fulfillment_phys,2.0
103033994.0,apple,hindrance,phys,hindrance_phys,2.0
103032577.0,apple,none,,,0.0
103028930.0,apple,none,,,0.0
103027594.0,apple,fulfillment,stat,fulfillment_stat,2.5
103018267.0,apple,fulfillment,fam,fulfillment_fam,9.0
103016494.0,apple,hindrance,stat,hindrance_stat,4.0
103003577.0,apple,fulfillment,phys,fulfillment_phys,6.5
103002220.0,apple,fulfillment,aff,fulfillment_aff,2.5
102998554.0,apple,fulfillment,phys,fulfillment_phys,4.5
102997611.0,apple,fulfillment,fam,fulfillment_fam,9.0
102996172.0,apple,fulfillment,selfprot,fulfillment_selfprot,2.0
102995018.0,apple,fulfillment,phys,fulfillment_phys,5.5
102990866.0,apple,fulfillment,stat,fulfillment_stat,2.0
102990696.0,apple,fulfillment,stat,fulfillment_stat,4.0
102978433.0,apple,none,,,0.0
102969401.0,apple,fulfillment,phys,fulfillment_phys,5.0
102963730.0,apple,hindrance,fam,hindrance_fam,2.5
102957422.0,apple,fulfillment,phys,fulfillment_phys,2.5
102948547.0,apple,none,,,0.0
102944937.0,apple,hindrance,stat,hindrance_stat,4.5
102943602.0,apple,fulfillment,stat,fulfillment_stat,2.0
102942277.0,apple,none,,,0.0
102939962.0,apple,fulfillment,aff,fulfillment_aff,2.0
102939036.0,apple,fulfillment,fam,fulfillment_fam,9.0
102933852.0,apple,none,,,0.0
102931310.0,apple,fulfillment,fam,fulfillment_fam,13.5
102929501.0,apple,none,,,0.0
102928509.0,apple,fulfillment,fam,fulfillment_fam,9.0
102926520.0,apple,fulfillment,fam,fulfillment_fam,9.0
102926360.0,apple,none,,,0.0
102925160.0,apple,none,,,0.0
102901466.0,apple,none,,,0.0
102900871.0,apple,fulfillment,fam,fulfillment_fam,6.25
102900304.0,apple,none,,,0.0
102886112.0,apple,fulfillment,fam,fulfillment_fam,4.0
102873899.0,apple,none,,,0.0
102863001.0,apple,fulfillment,fam,fulfillment_fam,9.0
102860773.0,apple,none,,,0.0
