mode,cluster_id,label,domain,goal,review_count,signal,x,y,terms
fulfillment,fulfillment_stat,Growth & Recognition,Status & Esteem,stat,204,24,48,58,promotion|recognition|valued|appreciated|advancement
fulfillment,fulfillment_fam,Flexibility & Care,Family Care,fam,183,22,68,79,respect relationships|work life balance|work life|life balance|understanding spouse
fulfillment,fulfillment_aff,Culture & Belonging,Affiliation,aff,158,19,22,74,teamwork|work environment|team environment|collaboration|collaborative environment
fulfillment,fulfillment_phys,Pay & Benefits,Physiological,phys,155,18,82,45,good pay|fair compensation|salary increase|bonus|benefits
fulfillment,fulfillment_selfprot,Safety & Fairness,Self-Protection,selfprot,24,3,50,38,safe|secure|fairness|respectful|trust
hindrance,hindrance_phys,Burnout & Workload,Physiological,phys,165,19,24,28,low pay|low salary|underpaid|overworked|exhaustion
hindrance,hindrance_fam,Work-Life Pressure,Family Care,fam,163,19,82,52,no parental leave|unsupportive of parents|inflexible schedule|no childcare|guilt for family time
hindrance,hindrance_selfprot,Unsafe or Unfair Culture,Self-Protection,selfprot,42,5,50,38,toxic|unsafe|threat|fear|harassment
hindrance,hindrance_stat,Stagnation,Status & Esteem,stat,41,5,70,24,unrecognized|overlooked|ignored|underappreciated|favoritism
hindrance,hindrance_aff,Disconnected Culture,Affiliation,aff,35,4,62,34,isolation|disconnected|unfriendly|cliques|competition
