review_id,company_id,mode,goal,cluster_id,evidence_value
103105063.0,bloomberg,hindrance,stat,hindrance_stat,2.0
103104391.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
103081715.0,bloomberg,fulfillment,phys,fulfillment_phys,3.25
103059189.0,bloomberg,none,,,0.0
103057468.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
103038835.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
103033817.0,bloomberg,fulfillment,phys,fulfillment_phys,7.0
103018305.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
102995165.0,bloomberg,fulfillment,stat,fulfillment_stat,3.0
102956669.0,bloomberg,none,,,0.0
102901596.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
102831987.0,bloomberg,fulfillment,stat,fulfillment_stat,2.0
102807498.0,bloomberg,hindrance,stat,hindrance_stat,3.0
102784272.0,bloomberg,fulfillment,fam,fulfillment_fam,18.0
102781023.0,bloomberg,fulfillment,fam,fulfillment_fam,4.0
102773730.0,bloomberg,fulfillment,aff,fulfillment_aff,3.75
102751096.0,bloomberg,none,,,0.0
102723353.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
102679050.0,bloomberg,fulfillment,phys,fulfillment_phys,4.0
102678457.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
102404445.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
102401065.0,bloomberg,fulfillment,fam,fulfillment_fam,4.5
102397889.0,bloomberg,fulfillment,stat,fulfillment_stat,2.0
102290054.0,bloomberg,hindrance,phys,hindrance_phys,2.0
102289812.0,bloomberg,none,,,0.0
102278047.0,bloomberg,none,,,0.0
102276998.0,bloomberg,fulfillment,phys,fulfillment_phys,4.0
102259522.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
102194029.0,bloomberg,fulfillment,fam,fulfillment_fam,11.0
102176357.0,bloomberg,fulfillment,aff,fulfillment_aff,1.0
102170609.0,bloomberg,none,,,0.0
102142495.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
102142065.0,bloomberg,none,,,0.0
102138874.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
102130213.0,bloomberg,hindrance,phys,hindrance_phys,2.0
102105445.0,bloomberg,fulfillment,phys,fulfillment_phys,4.5
102100995.0,bloomberg,none,,,0.0
102063479.0,bloomberg,fulfillment,stat,fulfillment_stat,8.0
102053107.0,bloomberg,none,,,0.0
102038363.0,bloomberg,hindrance,stat,hindrance_stat,4.5
102025415.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
102005087.0,bloomberg,hindrance,stat,hindrance_stat,4.5
102003882.0,bloomberg,none,,,0.0
101985058.0,bloomberg,fulfillment,stat,fulfillment_stat,3.0
101954615.0,bloomberg,fulfillment,aff,fulfillment_aff,2.0
101937973.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
101925110.0,bloomberg,hindrance,selfprot,hindrance_selfprot,3.0
101923604.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
101913331.0,bloomberg,hindrance,stat,hindrance_stat,2.5
101909388.0,bloomberg,fulfillment,stat,fulfillment_stat,4.0
101800082.0,bloomberg,fulfillment,fam,fulfillment_fam,22.5
101756275.0,bloomberg,hindrance,selfprot,hindrance_selfprot,2.0
101755030.0,bloomberg,fulfillment,phys,fulfillment_phys,4.0
101736523.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
101706345.0,bloomberg,hindrance,stat,hindrance_stat,2.5
101684052.0,bloomberg,none,,,0.0
101668307.0,bloomberg,none,,,0.0
101650899.0,bloomberg,fulfillment,stat,fulfillment_stat,4.0
101552821.0,bloomberg,fulfillment,fam,fulfillment_fam,13.0
101552189.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
101536610.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
101521317.0,bloomberg,fulfillment,phys,fulfillment_phys,4.5
101453585.0,bloomberg,fulfillment,stat,fulfillment_stat,2.0
101441602.0,bloomberg,none,,,0.0
101363288.0,bloomberg,fulfillment,fam,fulfillment_fam,11.0
101360001.0,bloomberg,fulfillment,phys,fulfillment_phys,5.0
101336736.0,bloomberg,fulfillment,phys,fulfillment_phys,2.5
101315429.0,bloomberg,fulfillment,stat,fulfillment_stat,2.0
101304789.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
101294754.0,bloomberg,fulfillment,stat,fulfillment_stat,1.0
101286885.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
101285280.0,bloomberg,fulfillment,phys,fulfillment_phys,5.0
101273626.0,bloomberg,fulfillment,stat,fulfillment_stat,2.0
101267168.0,bloomberg,fulfillment,stat,fulfillment_stat,4.0
101251272.0,bloomberg,none,,,0.0
101247694.0,bloomberg,none,,,0.0
101245204.0,bloomberg,fulfillment,stat,fulfillment_stat,2.0
101226832.0,bloomberg,none,,,0.0
101173048.0,bloomberg,fulfillment,aff,fulfillment_aff,4.0
101155318.0,bloomberg,fulfillment,phys,fulfillment_phys,3.0
100953829.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
100886836.0,bloomberg,fulfillment,phys,fulfillment_phys,2.0
100878716.0,bloomberg,fulfillment,fam,fulfillment_fam,9.0
100864659.0,bloomberg,fulfillment,phys,fulfillment_phys,3.0
100817398.0,bloomberg,none,,,0.0
