review_id,company_id,mode,goal,cluster_id,evidence_value
103096398.0,delta,fulfillment,phys,fulfillment_phys,1.0
103083009.0,delta,fulfillment,aff,fulfillment_aff,2.5
102961636.0,delta,fulfillment,phys,fulfillment_phys,2.0
102959590.0,delta,fulfillment,phys,fulfillment_phys,4.5
102936369.0,delta,fulfillment,phys,fulfillment_phys,2.0
102908876.0,delta,fulfillment,fam,fulfillment_fam,2.5
102900006.0,delta,fulfillment,phys,fulfillment_phys,6.5
102895797.0,delta,fulfillment,phys,fulfillment_phys,2.0
102887384.0,delta,fulfillment,phys,fulfillment_phys,2.0
102882887.0,delta,fulfillment,phys,fulfillment_phys,1.0
102876985.0,delta,fulfillment,phys,fulfillment_phys,2.5
102868080.0,delta,fulfillment,stat,fulfillment_stat,2.0
102847670.0,delta,fulfillment,stat,fulfillment_stat,3.0
102845108.0,delta,none,,,0.0
102833481.0,delta,none,,,0.0
102830190.0,delta,fulfillment,phys,fulfillment_phys,2.0
102802363.0,delta,fulfillment,stat,fulfillment_stat,4.0
102779731.0,delta,hindrance,selfprot,hindrance_selfprot,2.0
102778981.0,delta,none,,,0.0
102731237.0,delta,fulfillment,stat,fulfillment_stat,2.0
102722350.0,delta,fulfillment,phys,fulfillment_phys,4.5
102709998.0,delta,fulfillment,fam,fulfillment_fam,2.5
102684804.0,delta,fulfillment,phys,fulfillment_phys,4.0
102652602.0,delta,fulfillment,stat,fulfillment_stat,3.0
102618208.0,delta,none,,,0.0
102517728.0,delta,fulfillment,phys,fulfillment_phys,2.0
102502765.0,delta,fulfillment,phys,fulfillment_phys,2.0
102489391.0,delta,none,,,0.0
102489079.0,delta,none,,,0.0
102471862.0,delta,none,,,0.0
102377793.0,delta,fulfillment,fam,fulfillment_fam,7.0
102372487.0,delta,fulfillment,phys,fulfillment_phys,7.0
102356648.0,delta,none,,,0.0
102353131.0,delta,fulfillment,fam,fulfillment_fam,2.0
102352242.0,delta,fulfillment,phys,fulfillment_phys,2.0
102327619.0,delta,hindrance,phys,hindrance_phys,2.0
102320229.0,delta,fulfillment,selfprot,fulfillment_selfprot,2.5
102299227.0,delta,fulfillment,phys,fulfillment_phys,2.0
102286732.0,delta,fulfillment,phys,fulfillment_phys,2.0
102280631.0,delta,fulfillment,phys,fulfillment_phys,2.0
102261550.0,delta,none,,,0.0
102235334.0,delta,fulfillment,fam,fulfillment_fam,4.0
102192036.0,delta,none,,,0.0
102189868.0,delta,none,,,0.0
102168851.0,delta,hindrance,phys,hindrance_phys,2.0
102164384.0,delta,none,,,0.0
102138253.0,delta,none,,,0.0
102125730.0,delta,hindrance,phys,hindrance_phys,2.5
102081359.0,delta,fulfillment,phys,fulfillment_phys,2.0
102072478.0,delta,none,,,0.0
102020837.0,delta,fulfillment,fam,fulfillment_fam,4.0
101990130.0,delta,fulfillment,phys,fulfillment_phys,2.0
101973734.0,delta,none,,,0.0
101969389.0,delta,fulfillment,aff,fulfillment_aff,2.5
101939359.0,delta,none,,,0.0
101894497.0,delta,fulfillment,fam,fulfillment_fam,9.0
101886637.0,delta,fulfillment,stat,fulfillment_stat,4.0
101868123.0,delta,fulfillment,phys,fulfillment_phys,2.0
101829885.0,delta,none,,,0.0
101819302.0,delta,none,,,0.0
101814035.0,delta,none,,,0.0
101772657.0,delta,fulfillment,phys,fulfillment_phys,2.0
101756899.0,delta,fulfillment,stat,fulfillment_stat,5.0
101732886.0,delta,hindrance,fam,hindrance_fam,9.0
101716848.0,delta,fulfillment,phys,fulfillment_phys,2.0
101618877.0,delta,fulfillment,selfprot,fulfillment_selfprot,2.0
101613175.0,delta,fulfillment,phys,fulfillment_phys,2.5
101600927.0,delta,fulfillment,phys,fulfillment_phys,2.0
101586964.0,delta,fulfillment,aff,fulfillment_aff,4.0
101586875.0,delta,none,,,0.0
101496736.0,delta,fulfillment,phys,fulfillment_phys,3.0
101496645.0,delta,fulfillment,fam,fulfillment_fam,2.0
101475707.0,delta,fulfillment,phys,fulfillment_phys,2.0
101472188.0,delta,fulfillment,phys,fulfillment_phys,3.0
101467751.0,delta,fulfillment,fam,fulfillment_fam,2.0
101432902.0,delta,none,,,0.0
101397128.0,delta,hindrance,selfprot,hindrance_selfprot,2.0
101332522.0,delta,fulfillment,fam,fulfillment_fam,1.25
101328248.0,delta,hindrance,phys,hindrance_phys,4.5
101315315.0,delta,fulfillment,aff,fulfillment_aff,2.5
101188412.0,delta,fulfillment,selfprot,fulfillment_selfprot,2.0
101186601.0,delta,none,,,0.0
101160959.0,delta,fulfillment,phys,fulfillment_phys,3.0
101138847.0,delta,fulfillment,phys,fulfillment_phys,4.0
101086600.0,delta,fulfillment,aff,fulfillment_aff,5.75
101052887.0,delta,fulfillment,fam,fulfillment_fam,9.0
101008830.0,delta,fulfillment,stat,fulfillment_stat,4.0
100993095.0,delta,fulfillment,phys,fulfillment_phys,4.0
100990805.0,delta,hindrance,phys,hindrance_phys,2.5
100941439.0,delta,fulfillment,phys,fulfillment_phys,2.0
100890792.0,delta,fulfillment,phys,fulfillment_phys,2.0
100887927.0,delta,hindrance,phys,hindrance_phys,2.5
100870525.0,delta,fulfillment,phys,fulfillment_phys,5.0
100849101.0,delta,fulfillment,phys,fulfillment_phys,2.0
100847065.0,delta,fulfillment,phys,fulfillment_phys,4.0
100787258.0,delta,fulfillment,phys,fulfillment_phys,3.0
100786785.0,delta,fulfillment,phys,fulfillment_phys,2.0
100771221.0,delta,none,,,0.0
100732188.0,delta,fulfillment,fam,fulfillment_fam,11.5
100726254.0,delta,none,,,0.0
100718670.0,delta,none,,,0.0
100707400.0,delta,fulfillment,phys,fulfillment_phys,2.0
100700218.0,delta,fulfillment,aff,fulfillment_aff,5.75
100681717.0,delta,none,,,0.0
100659379.0,delta,none,,,0.0
100643310.0,delta,fulfillment,aff,fulfillment_aff,4.0
100629673.0,delta,hindrance,aff,hindrance_aff,4.0
100594217.0,delta,none,,,0.0
100592894.0,delta,fulfillment,phys,fulfillment_phys,2.5
100575966.0,delta,none,,,0.0
100575217.0,delta,none,,,0.0
100559418.0,delta,hindrance,fam,hindrance_fam,4.0
100534131.0,delta,none,,,0.0
100520879.0,delta,fulfillment,aff,fulfillment_aff,2.0
100520608.0,delta,fulfillment,phys,fulfillment_phys,2.0
100424587.0,delta,fulfillment,phys,fulfillment_phys,2.0
100422114.0,delta,fulfillment,phys,fulfillment_phys,5.0
100414514.0,delta,none,,,0.0
100383931.0,delta,fulfillment,phys,fulfillment_phys,2.0
100367292.0,delta,fulfillment,aff,fulfillment_aff,2.0
100366476.0,delta,fulfillment,fam,fulfillment_fam,4.0
100307255.0,delta,fulfillment,fam,fulfillment_fam,2.0
100293178.0,delta,hindrance,phys,hindrance_phys,2.0
100281685.0,delta,hindrance,phys,hindrance_phys,2.5
100265219.0,delta,none,,,0.0
100199153.0,delta,hindrance,selfprot,hindrance_selfprot,2.0
100177259.0,delta,fulfillment,phys,fulfillment_phys,2.0
100168983.0,delta,fulfillment,phys,fulfillment_phys,2.0
100150637.0,delta,fulfillment,phys,fulfillment_phys,2.0
100145315.0,delta,fulfillment,phys,fulfillment_phys,2.0
100134174.0,delta,hindrance,phys,hindrance_phys,2.0
100124308.0,delta,hindrance,fam,hindrance_fam,2.5
100122716.0,delta,fulfillment,aff,fulfillment_aff,2.5
100076911.0,delta,fulfillment,phys,fulfillment_phys,2.5
100075012.0,delta,fulfillment,fam,fulfillment_fam,2.0
100049657.0,delta,fulfillment,phys,fulfillment_phys,4.0
100029641.0,delta,fulfillment,phys,fulfillment_phys,5.0
100019237.0,delta,none,,,0.0
99953411.0,delta,hindrance,aff,hindrance_aff,2.5
99922816.0,delta,fulfillment,phys,fulfillment_phys,2.0
99906137.0,delta,none,,,0.0
99895037.0,delta,fulfillment,phys,fulfillment_phys,4.0
99877636.0,delta,hindrance,phys,hindrance_phys,2.5
99877168.0,delta,none,,,0.0
99851028.0,delta,hindrance,selfprot,hindrance_selfprot,2.0
99812758.0,delta,fulfillment,phys,fulfillment_phys,2.0
99808299.0,delta,none,,,0.0
99753574.0,delta,fulfillment,phys,fulfillment_phys,2.5
99685545.0,delta,hindrance,fam,hindrance_fam,2.5
99683166.0,delta,hindrance,stat,hindrance_stat,2.0
99517256.0,delta,none,,,0.0
99489424.0,delta,fulfillment,fam,fulfillment_fam,9.0
99470037.0,delta,fulfillment,phys,fulfillment_phys,2.0
99435864.0,delta,hindrance,phys,hindrance_phys,5.0
99416968.0,delta,fulfillment,phys,fulfillment_phys,7.0
99351177.0,delta,fulfillment,fam,fulfillment_fam,2.0
99328896.0,delta,none,,,0.0
99327331.0,delta,fulfillment,fam,fulfillment_fam,2.5
99299387.0,delta,fulfillment,phys,fulfillment_phys,2.0
99294897.0,delta,fulfillment,phys,fulfillment_phys,2.0
99294759.0,delta,fulfillment,stat,fulfillment_stat,2.5
99270899.0,delta,none,,,0.0
99262979.0,delta,fulfillment,phys,fulfillment_phys,4.0
99255892.0,delta,fulfillment,phys,fulfillment_phys,4.0
99228510.0,delta,fulfillment,fam,fulfillment_fam,11.0
99119458.0,delta,none,,,0.0
99107166.0,delta,fulfillment,phys,fulfillment_phys,2.0
98980973.0,delta,hindrance,phys,hindrance_phys,2.5
98915617.0,delta,none,,,0.0
98910104.0,delta,fulfillment,fam,fulfillment_fam,2.0
98746560.0,delta,none,,,0.0
98716066.0,delta,fulfillment,phys,fulfillment_phys,5.0
98624705.0,delta,fulfillment,phys,fulfillment_phys,5.0
98617853.0,delta,fulfillment,phys,fulfillment_phys,2.0
98571778.0,delta,none,,,0.0
98551792.0,delta,fulfillment,fam,fulfillment_fam,2.0
98549429.0,delta,fulfillment,phys,fulfillment_phys,2.0
98533049.0,delta,hindrance,phys,hindrance_phys,4.0
98502954.0,delta,hindrance,fam,hindrance_fam,2.5
98486433.0,delta,hindrance,selfprot,hindrance_selfprot,2.0
98481586.0,delta,none,,,0.0
98480678.0,delta,fulfillment,phys,fulfillment_phys,2.0
98412232.0,delta,fulfillment,fam,fulfillment_fam,11.0
98410112.0,delta,fulfillment,phys,fulfillment_phys,1.0
98385983.0,delta,fulfillment,fam,fulfillment_fam,9.0
98248813.0,delta,fulfillment,phys,fulfillment_phys,2.0
98216264.0,delta,none,,,0.0
98192782.0,delta,hindrance,phys,hindrance_phys,4.0
98192176.0,delta,fulfillment,fam,fulfillment_fam,4.0
98121764.0,delta,none,,,0.0
98107419.0,delta,hindrance,phys,hindrance_phys,2.5
98096281.0,delta,none,,,0.0
98079298.0,delta,fulfillment,fam,fulfillment_fam,9.0
98067147.0,delta,fulfillment,fam,fulfillment_fam,9.0
98052141.0,delta,fulfillment,phys,fulfillment_phys,2.0
98011936.0,delta,none,,,0.0
97990952.0,delta,fulfillment,phys,fulfillment_phys,2.0
97987798.0,delta,none,,,0.0
97960721.0,delta,none,,,0.0
97959998.0,delta,fulfillment,aff,fulfillment_aff,6.0
97815954.0,delta,hindrance,phys,hindrance_phys,2.0
97804074.0,delta,fulfillment,phys,fulfillment_phys,2.0
97778237.0,delta,hindrance,phys,hindrance_phys,2.5
97764364.0,delta,fulfillment,phys,fulfillment_phys,5.0
97733357.0,delta,fulfillment,phys,fulfillment_phys,3.0
97721694.0,delta,none,,,0.0
97715805.0,delta,hindrance,fam,hindrance_fam,4.0
97712102.0,delta,fulfillment,phys,fulfillment_phys,1.0
97702064.0,delta,fulfillment,phys,fulfillment_phys,2.0
97687647.0,delta,fulfillment,phys,fulfillment_phys,1.0
97687425.0,delta,none,,,0.0
97632724.0,delta,fulfillment,phys,fulfillment_phys,3.0
97629296.0,delta,none,,,0.0
97626595.0,delta,none,,,0.0
97609828.0,delta,none,,,0.0
97555778.0,delta,fulfillment,fam,fulfillment_fam,9.0
97546642.0,delta,fulfillment,phys,fulfillment_phys,6.0
97544494.0,delta,fulfillment,fam,fulfillment_fam,17.5
97511341.0,delta,fulfillment,fam,fulfillment_fam,2.5
97501414.0,delta,none,,,0.0
97478565.0,delta,fulfillment,phys,fulfillment_phys,2.0
97459817.0,delta,hindrance,phys,hindrance_phys,2.0
97400606.0,delta,fulfillment,phys,fulfillment_phys,2.0
97381543.0,delta,fulfillment,fam,fulfillment_fam,2.0
97375022.0,delta,fulfillment,phys,fulfillment_phys,2.0
97263479.0,delta,fulfillment,fam,fulfillment_fam,2.5
97262001.0,delta,none,,,0.0
97235496.0,delta,fulfillment,phys,fulfillment_phys,2.0
97213426.0,delta,fulfillment,phys,fulfillment_phys,4.5
97195799.0,delta,fulfillment,phys,fulfillment_phys,1.0
97132340.0,delta,none,,,0.0
97084466.0,delta,fulfillment,phys,fulfillment_phys,2.0
97066476.0,delta,fulfillment,aff,fulfillment_aff,5.0
97055596.0,delta,fulfillment,phys,fulfillment_phys,5.5
97052566.0,delta,none,,,0.0
97038823.0,delta,fulfillment,phys,fulfillment_phys,2.0
96993479.0,delta,fulfillment,phys,fulfillment_phys,2.0
96984676.0,delta,fulfillment,phys,fulfillment_phys,7.0
96976163.0,delta,fulfillment,aff,fulfillment_aff,2.0
96968183.0,delta,none,,,0.0
96945727.0,delta,fulfillment,phys,fulfillment_phys,2.0
96941092.0,delta,fulfillment,phys,fulfillment_phys,5.0
96938708.0,delta,none,,,0.0
96926468.0,delta,none,,,0.0
