review_id,company_id,mode,goal,cluster_id,evidence_value
103105184.0,heb,none,,,0.0
103101554.0,heb,none,,,0.0
103097243.0,heb,none,,,0.0
103079405.0,heb,hindrance,phys,hindrance_phys,2.0
103077121.0,heb,fulfillment,aff,fulfillment_aff,2.0
103064858.0,heb,fulfillment,phys,fulfillment_phys,2.0
103064666.0,heb,fulfillment,phys,fulfillment_phys,2.0
103047925.0,heb,fulfillment,phys,fulfillment_phys,2.0
103025109.0,heb,fulfillment,aff,fulfillment_aff,2.5
103015564.0,heb,none,,,0.0
103002628.0,heb,none,,,0.0
102999972.0,heb,fulfillment,fam,fulfillment_fam,2.0
102988790.0,heb,fulfillment,fam,fulfillment_fam,9.0
102985825.0,heb,fulfillment,aff,fulfillment_aff,2.0
102977855.0,heb,none,,,0.0
102962138.0,heb,fulfillment,phys,fulfillment_phys,7.0
102956943.0,heb,none,,,0.0
102955283.0,heb,fulfillment,aff,fulfillment_aff,6.5
102948315.0,heb,hindrance,phys,hindrance_phys,5.0
102932341.0,heb,none,,,0.0
102915185.0,heb,none,,,0.0
102909417.0,heb,fulfillment,aff,fulfillment_aff,4.5
102906208.0,heb,fulfillment,phys,fulfillment_phys,2.0
102903557.0,heb,fulfillment,phys,fulfillment_phys,2.0
102902438.0,heb,hindrance,selfprot,hindrance_selfprot,5.0
102896078.0,heb,fulfillment,phys,fulfillment_phys,2.5
102876098.0,heb,fulfillment,fam,fulfillment_fam,1.25
102875156.0,heb,fulfillment,phys,fulfillment_phys,2.0
102871450.0,heb,fulfillment,aff,fulfillment_aff,7.0
102867866.0,heb,none,,,0.0
102859947.0,heb,none,,,0.0
102845175.0,heb,fulfillment,phys,fulfillment_phys,2.0
102842949.0,heb,fulfillment,aff,fulfillment_aff,2.0
102834927.0,heb,fulfillment,stat,fulfillment_stat,4.0
102834016.0,heb,hindrance,aff,hindrance_aff,2.0
102825400.0,heb,fulfillment,phys,fulfillment_phys,2.0
102811285.0,heb,none,,,0.0
102809080.0,heb,fulfillment,aff,fulfillment_aff,4.0
102808597.0,heb,fulfillment,phys,fulfillment_phys,2.0
102798985.0,heb,fulfillment,stat,fulfillment_stat,2.0
102797182.0,heb,none,,,0.0
102791499.0,heb,fulfillment,fam,fulfillment_fam,2.5
102789520.0,heb,hindrance,phys,hindrance_phys,2.0
102784183.0,heb,fulfillment,fam,fulfillment_fam,2.5
102782005.0,heb,fulfillment,fam,fulfillment_fam,2.0
102780510.0,heb,fulfillment,phys,fulfillment_phys,5.0
102757527.0,heb,fulfillment,stat,fulfillment_stat,2.0
102747919.0,heb,hindrance,phys,hindrance_phys,2.5
102742480.0,heb,fulfillment,phys,fulfillment_phys,2.5
102738628.0,heb,fulfillment,phys,fulfillment_phys,2.0
102717440.0,heb,fulfillment,phys,fulfillment_phys,4.0
102706479.0,heb,none,,,0.0
102703524.0,heb,fulfillment,phys,fulfillment_phys,2.0
102683105.0,heb,none,,,0.0
102682071.0,heb,fulfillment,phys,fulfillment_phys,2.5
102681113.0,heb,fulfillment,phys,fulfillment_phys,8.25
102676241.0,heb,none,,,0.0
102673826.0,heb,fulfillment,fam,fulfillment_fam,4.5
102668570.0,heb,hindrance,stat,hindrance_stat,2.0
102647742.0,heb,hindrance,stat,hindrance_stat,4.0
102640640.0,heb,fulfillment,fam,fulfillment_fam,2.5
102639627.0,heb,fulfillment,aff,fulfillment_aff,4.5
102633838.0,heb,fulfillment,stat,fulfillment_stat,2.0
102633207.0,heb,hindrance,stat,hindrance_stat,4.5
102624666.0,heb,fulfillment,fam,fulfillment_fam,2.5
102624123.0,heb,fulfillment,phys,fulfillment_phys,2.5
102622239.0,heb,fulfillment,phys,fulfillment_phys,2.5
102605752.0,heb,none,,,0.0
102602580.0,heb,fulfillment,phys,fulfillment_phys,2.5
102601337.0,heb,fulfillment,stat,fulfillment_stat,2.0
102597832.0,heb,none,,,0.0
102595200.0,heb,fulfillment,fam,fulfillment_fam,2.5
102580381.0,heb,none,,,0.0
102576511.0,heb,none,,,0.0
102575169.0,heb,fulfillment,fam,fulfillment_fam,4.0
102566836.0,heb,none,,,0.0
102565391.0,heb,hindrance,fam,hindrance_fam,2.5
102560592.0,heb,none,,,0.0
102555695.0,heb,none,,,0.0
102555608.0,heb,fulfillment,phys,fulfillment_phys,4.5
102553419.0,heb,fulfillment,phys,fulfillment_phys,4.5
102544925.0,heb,hindrance,selfprot,hindrance_selfprot,4.0
102542195.0,heb,none,,,0.0
102540197.0,heb,fulfillment,fam,fulfillment_fam,11.0
102537800.0,heb,none,,,0.0
102528797.0,heb,none,,,0.0
102513377.0,heb,none,,,0.0
102447336.0,heb,fulfillment,fam,fulfillment_fam,2.5
102436306.0,heb,none,,,0.0
102432471.0,heb,none,,,0.0
102429552.0,heb,fulfillment,aff,fulfillment_aff,3.0
102420149.0,heb,hindrance,fam,hindrance_fam,9.0
102418566.0,heb,none,,,0.0
102406143.0,heb,none,,,0.0
102402343.0,heb,hindrance,selfprot,hindrance_selfprot,2.0
102399565.0,heb,fulfillment,aff,fulfillment_aff,2.5
102397416.0,heb,fulfillment,stat,fulfillment_stat,3.0
102392380.0,heb,fulfillment,selfprot,fulfillment_selfprot,2.0
102380273.0,heb,none,,,0.0
102379789.0,heb,fulfillment,phys,fulfillment_phys,9.5
102350930.0,heb,none,,,0.0
102350227.0,heb,none,,,0.0
102331175.0,heb,none,,,0.0
102331156.0,heb,fulfillment,phys,fulfillment_phys,4.5
102326658.0,heb,hindrance,phys,hindrance_phys,2.5
102319790.0,heb,none,,,0.0
102319772.0,heb,hindrance,phys,hindrance_phys,2.5
102319450.0,heb,none,,,0.0
102309457.0,heb,hindrance,selfprot,hindrance_selfprot,2.0
102307649.0,heb,fulfillment,phys,fulfillment_phys,2.0
102307557.0,heb,fulfillment,phys,fulfillment_phys,2.0
102291036.0,heb,fulfillment,phys,fulfillment_phys,4.5
102290612.0,heb,hindrance,stat,hindrance_stat,2.0
102290003.0,heb,none,,,0.0
102288388.0,heb,fulfillment,phys,fulfillment_phys,2.0
102287805.0,heb,none,,,0.0
102284612.0,heb,none,,,0.0
102279967.0,heb,none,,,0.0
102279876.0,heb,none,,,0.0
