mode,cluster_id,label,domain,goal,review_count,signal,x,y,terms
fulfillment,fulfillment_phys,Pay & Benefits,Physiological,phys,233,25,82,45,good pay|fair compensation|salary increase|bonus|benefits
fulfillment,fulfillment_aff,Culture & Belonging,Affiliation,aff,166,18,22,74,teamwork|work environment|team environment|collaboration|collaborative environment
fulfillment,fulfillment_fam,Flexibility & Care,Family Care,fam,118,12,68,79,respect relationships|work life balance|work life|life balance|understanding spouse
fulfillment,fulfillment_stat,Growth & Recognition,Status & Esteem,stat,100,11,48,58,promotion|recognition|valued|appreciated|advancement
fulfillment,fulfillment_selfprot,Safety & Fairness,Self-Protection,selfprot,10,1,50,38,safe|secure|fairness|respectful|trust
hindrance,hindrance_phys,Burnout & Workload,Physiological,phys,112,12,24,28,low pay|low salary|underpaid|overworked|exhaustion
hindrance,hindrance_fam,Work-Life Pressure,Family Care,fam,68,7,82,52,no parental leave|unsupportive of parents|inflexible schedule|no childcare|guilt for family time
hindrance,hindrance_selfprot,Unsafe or Unfair Culture,Self-Protection,selfprot,47,5,50,38,toxic|unsafe|threat|fear|harassment
hindrance,hindrance_stat,Stagnation,Status & Esteem,stat,37,4,70,24,unrecognized|overlooked|ignored|underappreciated|favoritism
hindrance,hindrance_aff,Disconnected Culture,Affiliation,aff,29,3,62,34,isolation|disconnected|unfriendly|cliques|competition
