review_id,company_id,mode,goal,cluster_id,evidence_value
103123426.0,microsoft,hindrance,fam,hindrance_fam,2.5
103103848.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
103100940.0,microsoft,none,,,0.0
103095695.0,microsoft,fulfillment,aff,fulfillment_aff,2.0
103089896.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
103089555.0,microsoft,fulfillment,phys,fulfillment_phys,5.0
103082795.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
103076998.0,microsoft,none,,,0.0
103065230.0,microsoft,fulfillment,aff,fulfillment_aff,1.0
103050580.0,microsoft,hindrance,selfprot,hindrance_selfprot,2.0
103047922.0,microsoft,none,,,0.0
103047616.0,microsoft,fulfillment,stat,fulfillment_stat,8.5
103046220.0,microsoft,fulfillment,stat,fulfillment_stat,4.5
103043593.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
103043382.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
103043055.0,microsoft,none,,,0.0
103041240.0,microsoft,hindrance,fam,hindrance_fam,9.0
103040622.0,microsoft,fulfillment,stat,fulfillment_stat,2.0
103040604.0,microsoft,fulfillment,phys,fulfillment_phys,2.5
103025343.0,microsoft,fulfillment,stat,fulfillment_stat,7.0
103009126.0,microsoft,fulfillment,phys,fulfillment_phys,4.0
102998479.0,microsoft,fulfillment,aff,fulfillment_aff,2.0
102998191.0,microsoft,none,,,0.0
102997797.0,microsoft,hindrance,aff,hindrance_aff,2.5
102992944.0,microsoft,none,,,0.0
102991534.0,microsoft,fulfillment,aff,fulfillment_aff,4.0
102991359.0,microsoft,none,,,0.0
102991081.0,microsoft,fulfillment,phys,fulfillment_phys,3.0
102984535.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102974711.0,microsoft,none,,,0.0
102974130.0,microsoft,fulfillment,fam,fulfillment_fam,11.5
102971788.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102954287.0,microsoft,none,,,0.0
102952031.0,microsoft,none,,,0.0
102948760.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102947780.0,microsoft,none,,,0.0
102929968.0,microsoft,fulfillment,stat,fulfillment_stat,4.5
102929184.0,microsoft,fulfillment,fam,fulfillment_fam,4.5
102927439.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102908795.0,microsoft,none,,,0.0
102900281.0,microsoft,fulfillment,phys,fulfillment_phys,8.0
102898421.0,microsoft,fulfillment,phys,fulfillment_phys,4.0
102887125.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102886910.0,microsoft,hindrance,selfprot,hindrance_selfprot,3.0
102876773.0,microsoft,none,,,0.0
102875336.0,microsoft,none,,,0.0
102874872.0,microsoft,none,,,0.0
102873950.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102873190.0,microsoft,none,,,0.0
102855812.0,microsoft,fulfillment,selfprot,fulfillment_selfprot,2.0
102847143.0,microsoft,fulfillment,phys,fulfillment_phys,6.5
102845644.0,microsoft,none,,,0.0
102834226.0,microsoft,hindrance,selfprot,hindrance_selfprot,2.0
102800456.0,microsoft,none,,,0.0
102799074.0,microsoft,fulfillment,fam,fulfillment_fam,4.5
102797304.0,microsoft,none,,,0.0
102795867.0,microsoft,fulfillment,phys,fulfillment_phys,3.0
102794534.0,microsoft,fulfillment,fam,fulfillment_fam,25.0
102791151.0,microsoft,fulfillment,phys,fulfillment_phys,4.0
102780646.0,microsoft,fulfillment,fam,fulfillment_fam,2.0
102780482.0,microsoft,none,,,0.0
102773093.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102754439.0,microsoft,none,,,0.0
102750756.0,microsoft,none,,,0.0
102747062.0,microsoft,none,,,0.0
102744162.0,microsoft,hindrance,aff,hindrance_aff,2.5
102742465.0,microsoft,hindrance,phys,hindrance_phys,2.5
102741265.0,microsoft,none,,,0.0
102720042.0,microsoft,none,,,0.0
102718731.0,microsoft,fulfillment,fam,fulfillment_fam,22.5
102716777.0,microsoft,none,,,0.0
102715389.0,microsoft,none,,,0.0
102713045.0,microsoft,hindrance,stat,hindrance_stat,4.0
102690835.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102684750.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102684308.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102684151.0,microsoft,fulfillment,fam,fulfillment_fam,2.0
102668295.0,microsoft,fulfillment,selfprot,fulfillment_selfprot,2.0
102652964.0,microsoft,fulfillment,phys,fulfillment_phys,5.0
102652178.0,microsoft,fulfillment,phys,fulfillment_phys,1.0
102647573.0,microsoft,fulfillment,stat,fulfillment_stat,4.0
102637081.0,microsoft,hindrance,phys,hindrance_phys,2.0
102635507.0,microsoft,fulfillment,aff,fulfillment_aff,4.5
102630792.0,microsoft,none,,,0.0
102623732.0,microsoft,none,,,0.0
102609959.0,microsoft,none,,,0.0
102608350.0,microsoft,none,,,0.0
102604069.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102597438.0,microsoft,none,,,0.0
102597410.0,microsoft,none,,,0.0
102596867.0,microsoft,fulfillment,stat,fulfillment_stat,4.5
102596191.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102585123.0,microsoft,none,,,0.0
102567672.0,microsoft,fulfillment,stat,fulfillment_stat,9.0
102565824.0,microsoft,none,,,0.0
102564359.0,microsoft,fulfillment,stat,fulfillment_stat,2.5
102562968.0,microsoft,hindrance,aff,hindrance_aff,2.5
102561362.0,microsoft,none,,,0.0
102561113.0,microsoft,none,,,0.0
102556761.0,microsoft,fulfillment,fam,fulfillment_fam,22.5
102553671.0,microsoft,hindrance,phys,hindrance_phys,2.0
102553343.0,microsoft,none,,,0.0
102547283.0,microsoft,fulfillment,phys,fulfillment_phys,6.25
102546638.0,microsoft,hindrance,phys,hindrance_phys,8.75
102543440.0,microsoft,none,,,0.0
102542667.0,microsoft,none,,,0.0
102539277.0,microsoft,fulfillment,fam,fulfillment_fam,22.5
102538794.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102538364.0,microsoft,hindrance,phys,hindrance_phys,2.0
102531683.0,microsoft,fulfillment,phys,fulfillment_phys,8.75
102518799.0,microsoft,fulfillment,stat,fulfillment_stat,11.0
102518258.0,microsoft,hindrance,phys,hindrance_phys,2.0
102517721.0,microsoft,none,,,0.0
102516745.0,microsoft,hindrance,phys,hindrance_phys,2.5
102511644.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102509521.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102507655.0,microsoft,none,,,0.0
102495320.0,microsoft,fulfillment,fam,fulfillment_fam,18.0
102492632.0,microsoft,hindrance,phys,hindrance_phys,2.5
102490070.0,microsoft,fulfillment,aff,fulfillment_aff,2.0
102488591.0,microsoft,hindrance,fam,hindrance_fam,9.0
102486418.0,microsoft,fulfillment,fam,fulfillment_fam,22.5
102485450.0,microsoft,none,,,0.0
102483857.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102483855.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102483263.0,microsoft,none,,,0.0
102470416.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102468430.0,microsoft,none,,,0.0
102468228.0,microsoft,fulfillment,phys,fulfillment_phys,1.0
102467378.0,microsoft,fulfillment,stat,fulfillment_stat,1.0
102465447.0,microsoft,hindrance,selfprot,hindrance_selfprot,2.0
102459588.0,microsoft,fulfillment,fam,fulfillment_fam,22.5
102452726.0,microsoft,fulfillment,aff,fulfillment_aff,2.0
102452123.0,microsoft,fulfillment,fam,fulfillment_fam,15.5
102451561.0,microsoft,none,,,0.0
102438496.0,microsoft,fulfillment,fam,fulfillment_fam,4.0
102428638.0,microsoft,hindrance,fam,hindrance_fam,9.0
102428540.0,microsoft,hindrance,stat,hindrance_stat,2.0
102421236.0,microsoft,none,,,0.0
102420152.0,microsoft,hindrance,selfprot,hindrance_selfprot,3.0
102378947.0,microsoft,none,,,0.0
102375804.0,microsoft,fulfillment,aff,fulfillment_aff,2.0
102373131.0,microsoft,fulfillment,phys,fulfillment_phys,2.5
102371911.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102371702.0,microsoft,none,,,0.0
102359252.0,microsoft,hindrance,phys,hindrance_phys,2.0
102356975.0,microsoft,fulfillment,aff,fulfillment_aff,2.0
102355165.0,microsoft,none,,,0.0
102353803.0,microsoft,none,,,0.0
102349966.0,microsoft,none,,,0.0
102346417.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102331255.0,microsoft,none,,,0.0
102329112.0,microsoft,hindrance,selfprot,hindrance_selfprot,5.0
102329111.0,microsoft,fulfillment,fam,fulfillment_fam,11.0
102328347.0,microsoft,none,,,0.0
102327794.0,microsoft,fulfillment,phys,fulfillment_phys,4.0
102320579.0,microsoft,none,,,0.0
102318104.0,microsoft,fulfillment,phys,fulfillment_phys,2.0
102316271.0,microsoft,fulfillment,aff,fulfillment_aff,2.0
102295710.0,microsoft,fulfillment,fam,fulfillment_fam,9.0
102291762.0,microsoft,fulfillment,phys,fulfillment_phys,6.0
102291553.0,microsoft,fulfillment,phys,fulfillment_phys,2.5
