review_id,company_id,mode,goal,cluster_id,evidence_value
103106454.0,thomson_reuters,fulfillment,phys,fulfillment_phys,1.0
103087786.0,thomson_reuters,fulfillment,fam,fulfillment_fam,4.5
103077148.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
103030268.0,thomson_reuters,fulfillment,fam,fulfillment_fam,2.5
102863922.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
102717563.0,thomson_reuters,none,,,0.0
102694639.0,thomson_reuters,fulfillment,selfprot,fulfillment_selfprot,2.0
102648891.0,thomson_reuters,fulfillment,phys,fulfillment_phys,4.5
102647422.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
102566712.0,thomson_reuters,fulfillment,fam,fulfillment_fam,11.0
102536748.0,thomson_reuters,hindrance,aff,hindrance_aff,2.0
102503450.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
102444722.0,thomson_reuters,hindrance,phys,hindrance_phys,3.0
102369376.0,thomson_reuters,none,,,0.0
102347585.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
102266227.0,thomson_reuters,fulfillment,fam,fulfillment_fam,13.5
102259533.0,thomson_reuters,fulfillment,fam,fulfillment_fam,7.75
102221802.0,thomson_reuters,fulfillment,fam,fulfillment_fam,22.5
102095157.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
101952889.0,thomson_reuters,hindrance,phys,hindrance_phys,2.5
101910634.0,thomson_reuters,fulfillment,stat,fulfillment_stat,4.0
101847691.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
101741648.0,thomson_reuters,fulfillment,phys,fulfillment_phys,4.0
101713042.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
101519107.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
101513491.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
101379987.0,thomson_reuters,none,,,0.0
101360764.0,thomson_reuters,none,,,0.0
101358023.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
101325404.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
100701131.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
100654702.0,thomson_reuters,none,,,0.0
100568754.0,thomson_reuters,hindrance,aff,hindrance_aff,4.5
100543596.0,thomson_reuters,none,,,0.0
100515403.0,thomson_reuters,fulfillment,stat,fulfillment_stat,1.0
100451485.0,thomson_reuters,hindrance,phys,hindrance_phys,2.0
100449289.0,thomson_reuters,fulfillment,aff,fulfillment_aff,4.0
100421939.0,thomson_reuters,fulfillment,fam,fulfillment_fam,1.0
100305731.0,thomson_reuters,none,,,0.0
100245137.0,thomson_reuters,none,,,0.0
100154889.0,thomson_reuters,hindrance,phys,hindrance_phys,2.5
100076353.0,thomson_reuters,fulfillment,fam,fulfillment_fam,2.5
100069406.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.0
100028417.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
99887293.0,thomson_reuters,fulfillment,fam,fulfillment_fam,2.5
99482343.0,thomson_reuters,hindrance,stat,hindrance_stat,5.0
99438199.0,thomson_reuters,none,,,0.0
99391443.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
99217533.0,thomson_reuters,hindrance,stat,hindrance_stat,2.0
98971593.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.25
98795214.0,thomson_reuters,hindrance,stat,hindrance_stat,2.0
98678655.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.0
98634447.0,thomson_reuters,fulfillment,fam,fulfillment_fam,2.5
98616066.0,thomson_reuters,none,,,0.0
98610927.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
98529557.0,thomson_reuters,fulfillment,fam,fulfillment_fam,13.5
98389506.0,thomson_reuters,fulfillment,fam,fulfillment_fam,5.75
98373630.0,thomson_reuters,none,,,0.0
98327715.0,thomson_reuters,fulfillment,fam,fulfillment_fam,1.0
98253060.0,thomson_reuters,hindrance,phys,hindrance_phys,2.0
97921897.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.5
97882886.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.25
97878676.0,thomson_reuters,none,,,0.0
97819608.0,thomson_reuters,hindrance,phys,hindrance_phys,2.0
97798518.0,thomson_reuters,fulfillment,stat,fulfillment_stat,3.0
97786573.0,thomson_reuters,none,,,0.0
97748157.0,thomson_reuters,fulfillment,phys,fulfillment_phys,7.5
97747943.0,thomson_reuters,fulfillment,fam,fulfillment_fam,14.0
97540281.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
97526048.0,thomson_reuters,none,,,0.0
97169344.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
97148590.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
97132696.0,thomson_reuters,none,,,0.0
97118706.0,thomson_reuters,none,,,0.0
97082804.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
97049045.0,thomson_reuters,fulfillment,phys,fulfillment_phys,4.5
97045189.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
97014742.0,thomson_reuters,hindrance,phys,hindrance_phys,2.0
96942060.0,thomson_reuters,fulfillment,fam,fulfillment_fam,5.0
96906281.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
96865691.0,thomson_reuters,fulfillment,fam,fulfillment_fam,4.0
96833215.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.5
96829667.0,thomson_reuters,none,,,0.0
96827405.0,thomson_reuters,hindrance,selfprot,hindrance_selfprot,2.0
96786507.0,thomson_reuters,none,,,0.0
96495143.0,thomson_reuters,hindrance,phys,hindrance_phys,2.5
96454436.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
96453965.0,thomson_reuters,none,,,0.0
96394702.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
96387000.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.5
96344763.0,thomson_reuters,none,,,0.0
96341112.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
96333661.0,thomson_reuters,hindrance,stat,hindrance_stat,2.5
96331353.0,thomson_reuters,hindrance,aff,hindrance_aff,2.0
96305550.0,thomson_reuters,none,,,0.0
96272516.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
96217482.0,thomson_reuters,fulfillment,fam,fulfillment_fam,2.5
96174767.0,thomson_reuters,fulfillment,phys,fulfillment_phys,1.25
96133562.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
96081956.0,thomson_reuters,fulfillment,fam,fulfillment_fam,11.0
96052113.0,thomson_reuters,hindrance,fam,hindrance_fam,13.5
95904929.0,thomson_reuters,none,,,0.0
95843467.0,thomson_reuters,fulfillment,selfprot,fulfillment_selfprot,2.0
95770647.0,thomson_reuters,none,,,0.0
95700788.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
95596913.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
95537642.0,thomson_reuters,hindrance,selfprot,hindrance_selfprot,2.0
95479781.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.0
95414135.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
95316602.0,thomson_reuters,none,,,0.0
95284585.0,thomson_reuters,none,,,0.0
95237039.0,thomson_reuters,none,,,0.0
95219823.0,thomson_reuters,none,,,0.0
95105720.0,thomson_reuters,none,,,0.0
95080921.0,thomson_reuters,fulfillment,stat,fulfillment_stat,5.0
95071380.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
95044726.0,thomson_reuters,none,,,0.0
94992312.0,thomson_reuters,fulfillment,aff,fulfillment_aff,3.75
94926727.0,thomson_reuters,fulfillment,aff,fulfillment_aff,3.0
94865296.0,thomson_reuters,fulfillment,stat,fulfillment_stat,4.0
94668665.0,thomson_reuters,fulfillment,fam,fulfillment_fam,2.0
94611545.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
94594171.0,thomson_reuters,none,,,0.0
94511707.0,thomson_reuters,fulfillment,stat,fulfillment_stat,5.0
94497799.0,thomson_reuters,none,,,0.0
94203853.0,thomson_reuters,none,,,0.0
94103925.0,thomson_reuters,none,,,0.0
94070259.0,thomson_reuters,hindrance,phys,hindrance_phys,3.0
93969906.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
93931789.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
93885138.0,thomson_reuters,none,,,0.0
93793612.0,thomson_reuters,fulfillment,fam,fulfillment_fam,13.5
93785311.0,thomson_reuters,hindrance,aff,hindrance_aff,2.0
93759678.0,thomson_reuters,hindrance,phys,hindrance_phys,3.5
93737998.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
93462973.0,thomson_reuters,none,,,0.0
93455106.0,thomson_reuters,none,,,0.0
93409232.0,thomson_reuters,fulfillment,fam,fulfillment_fam,4.5
93362685.0,thomson_reuters,none,,,0.0
93213389.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.0
93164948.0,thomson_reuters,fulfillment,aff,fulfillment_aff,6.5
93071729.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
93059212.0,thomson_reuters,hindrance,phys,hindrance_phys,2.0
92996429.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
92995765.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
92983116.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
92944474.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
92857286.0,thomson_reuters,none,,,0.0
92729174.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
92699487.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
92682934.0,thomson_reuters,fulfillment,fam,fulfillment_fam,11.0
92663871.0,thomson_reuters,none,,,0.0
92595788.0,thomson_reuters,none,,,0.0
92482524.0,thomson_reuters,none,,,0.0
92445405.0,thomson_reuters,fulfillment,stat,fulfillment_stat,4.0
92388916.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
92176286.0,thomson_reuters,fulfillment,selfprot,fulfillment_selfprot,2.0
92158142.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.5
91915937.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
91870881.0,thomson_reuters,none,,,0.0
91709119.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.5
91704883.0,thomson_reuters,fulfillment,phys,fulfillment_phys,5.0
91607022.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
91593802.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
91585212.0,thomson_reuters,none,,,0.0
91536901.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.5
91470739.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
91396538.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.5
91282904.0,thomson_reuters,fulfillment,stat,fulfillment_stat,5.0
91263130.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
91017168.0,thomson_reuters,fulfillment,fam,fulfillment_fam,4.0
90845358.0,thomson_reuters,hindrance,aff,hindrance_aff,4.5
90844356.0,thomson_reuters,fulfillment,phys,fulfillment_phys,4.5
90804889.0,thomson_reuters,none,,,0.0
90787674.0,thomson_reuters,fulfillment,aff,fulfillment_aff,2.0
90723733.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
90597765.0,thomson_reuters,none,,,0.0
90595374.0,thomson_reuters,none,,,0.0
90512556.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
90511801.0,thomson_reuters,fulfillment,fam,fulfillment_fam,13.5
90503634.0,thomson_reuters,fulfillment,selfprot,fulfillment_selfprot,2.0
90493577.0,thomson_reuters,hindrance,aff,hindrance_aff,2.0
90359161.0,thomson_reuters,hindrance,stat,hindrance_stat,4.5
90325222.0,thomson_reuters,fulfillment,aff,fulfillment_aff,4.0
90157355.0,thomson_reuters,hindrance,selfprot,hindrance_selfprot,2.0
90099999.0,thomson_reuters,none,,,0.0
90098033.0,thomson_reuters,fulfillment,stat,fulfillment_stat,2.0
90063355.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
90050235.0,thomson_reuters,fulfillment,fam,fulfillment_fam,9.0
90030426.0,thomson_reuters,fulfillment,phys,fulfillment_phys,2.0
89983180.0,thomson_reuters,fulfillment,aff,fulfillment_aff,3.75
89927267.0,thomson_reuters,fulfillment,selfprot,fulfillment_selfprot,2.5
