review_id,company_id,mode,goal,cluster_id,evidence_value
102652970.0,tp,fulfillment,aff,fulfillment_aff,2.0
103118020.0,tp,fulfillment,aff,fulfillment_aff,2.0
103095517.0,tp,none,,,0.0
103090688.0,tp,hindrance,stat,hindrance_stat,2.0
103082126.0,tp,none,,,0.0
103064648.0,tp,fulfillment,fam,fulfillment_fam,4.0
103056050.0,tp,hindrance,fam,hindrance_fam,4.5
103051228.0,tp,hindrance,fam,hindrance_fam,2.5
103021318.0,tp,fulfillment,aff,fulfillment_aff,4.5
103011857.0,tp,none,,,0.0
103002128.0,tp,fulfillment,fam,fulfillment_fam,2.0
102998687.0,tp,hindrance,fam,hindrance_fam,4.0
102941518.0,tp,fulfillment,fam,fulfillment_fam,4.0
102940816.0,tp,none,,,0.0
102921744.0,tp,fulfillment,phys,fulfillment_phys,2.0
102911295.0,tp,none,,,0.0
102906914.0,tp,none,,,0.0
102906133.0,tp,fulfillment,aff,fulfillment_aff,3.0
102901469.0,tp,hindrance,phys,hindrance_phys,2.5
102896963.0,tp,none,,,0.0
102883074.0,tp,none,,,0.0
102843443.0,tp,none,,,0.0
102829263.0,tp,fulfillment,fam,fulfillment_fam,4.0
102805670.0,tp,none,,,0.0
102795372.0,tp,fulfillment,stat,fulfillment_stat,2.5
102794492.0,tp,fulfillment,stat,fulfillment_stat,4.0
102793614.0,tp,none,,,0.0
102759797.0,tp,none,,,0.0
102708727.0,tp,none,,,0.0
102705588.0,tp,fulfillment,aff,fulfillment_aff,2.0
102691608.0,tp,fulfillment,fam,fulfillment_fam,8.5
102683608.0,tp,fulfillment,aff,fulfillment_aff,2.0
102640288.0,tp,none,,,0.0
102604206.0,tp,fulfillment,stat,fulfillment_stat,2.0
102582152.0,tp,fulfillment,phys,fulfillment_phys,4.5
102579838.0,tp,fulfillment,stat,fulfillment_stat,2.0
102556280.0,tp,none,,,0.0
102554564.0,tp,fulfillment,phys,fulfillment_phys,1.25
102554260.0,tp,none,,,0.0
102554236.0,tp,none,,,0.0
102554041.0,tp,none,,,0.0
102541496.0,tp,hindrance,selfprot,hindrance_selfprot,3.0
102540082.0,tp,hindrance,fam,hindrance_fam,4.0
102539831.0,tp,hindrance,aff,hindrance_aff,6.5
102539829.0,tp,none,,,0.0
102539702.0,tp,fulfillment,stat,fulfillment_stat,1.0
102539612.0,tp,none,,,0.0
102528681.0,tp,none,,,0.0
102526624.0,tp,none,,,0.0
102512762.0,tp,fulfillment,fam,fulfillment_fam,6.5
102511558.0,tp,none,,,0.0
102511093.0,tp,fulfillment,phys,fulfillment_phys,2.0
102510982.0,tp,none,,,0.0
102510896.0,tp,none,,,0.0
102487312.0,tp,hindrance,fam,hindrance_fam,8.0
102487190.0,tp,fulfillment,stat,fulfillment_stat,2.0
102484739.0,tp,none,,,0.0
102483793.0,tp,fulfillment,aff,fulfillment_aff,16.0
102447200.0,tp,hindrance,aff,hindrance_aff,2.0
102426689.0,tp,fulfillment,fam,fulfillment_fam,4.5
102426096.0,tp,fulfillment,fam,fulfillment_fam,2.0
102407949.0,tp,none,,,0.0
102379819.0,tp,fulfillment,fam,fulfillment_fam,4.5
102371985.0,tp,none,,,0.0
102368778.0,tp,hindrance,aff,hindrance_aff,2.0
102346806.0,tp,fulfillment,aff,fulfillment_aff,2.0
102341390.0,tp,fulfillment,aff,fulfillment_aff,5.0
102303136.0,tp,fulfillment,fam,fulfillment_fam,9.0
102282933.0,tp,fulfillment,fam,fulfillment_fam,2.0
102282557.0,tp,fulfillment,fam,fulfillment_fam,2.5
102261192.0,tp,hindrance,aff,hindrance_aff,2.0
102254790.0,tp,hindrance,stat,hindrance_stat,4.5
102254421.0,tp,none,,,0.0
102235422.0,tp,fulfillment,aff,fulfillment_aff,5.75
102216038.0,tp,hindrance,aff,hindrance_aff,2.0
102148983.0,tp,fulfillment,fam,fulfillment_fam,9.0
102138043.0,tp,none,,,0.0
102137882.0,tp,fulfillment,phys,fulfillment_phys,2.0
102122666.0,tp,fulfillment,selfprot,fulfillment_selfprot,2.0
102119938.0,tp,none,,,0.0
102096726.0,tp,fulfillment,fam,fulfillment_fam,11.0
102026683.0,tp,none,,,0.0
102017713.0,tp,fulfillment,stat,fulfillment_stat,1.0
101987744.0,tp,hindrance,fam,hindrance_fam,3.75
101981932.0,tp,none,,,0.0
101956070.0,tp,fulfillment,phys,fulfillment_phys,2.0
101951177.0,tp,fulfillment,fam,fulfillment_fam,4.0
101950846.0,tp,fulfillment,aff,fulfillment_aff,6.5
101948342.0,tp,fulfillment,stat,fulfillment_stat,2.0
101948026.0,tp,fulfillment,fam,fulfillment_fam,7.5
101935815.0,tp,fulfillment,aff,fulfillment_aff,2.0
101893099.0,tp,fulfillment,fam,fulfillment_fam,8.5
101883166.0,tp,fulfillment,fam,fulfillment_fam,2.0
101872272.0,tp,fulfillment,fam,fulfillment_fam,4.0
101823227.0,tp,none,,,0.0
101807409.0,tp,fulfillment,fam,fulfillment_fam,4.0
101803308.0,tp,none,,,0.0
101802283.0,tp,fulfillment,stat,fulfillment_stat,4.0
101796023.0,tp,fulfillment,stat,fulfillment_stat,5.0
101787298.0,tp,fulfillment,aff,fulfillment_aff,5.0
101786194.0,tp,none,,,0.0
101781739.0,tp,fulfillment,stat,fulfillment_stat,3.0
101754680.0,tp,none,,,0.0
101728659.0,tp,none,,,0.0
101727752.0,tp,fulfillment,fam,fulfillment_fam,9.0
101726216.0,tp,none,,,0.0
101711695.0,tp,fulfillment,aff,fulfillment_aff,1.25
101709631.0,tp,fulfillment,aff,fulfillment_aff,2.0
101691160.0,tp,fulfillment,phys,fulfillment_phys,2.0
101683467.0,tp,none,,,0.0
101683050.0,tp,none,,,0.0
101676514.0,tp,fulfillment,phys,fulfillment_phys,2.5
101675725.0,tp,none,,,0.0
101674229.0,tp,fulfillment,phys,fulfillment_phys,3.0
101672506.0,tp,fulfillment,selfprot,fulfillment_selfprot,3.0
101654461.0,tp,none,,,0.0
101651073.0,tp,fulfillment,phys,fulfillment_phys,4.0
101650201.0,tp,fulfillment,aff,fulfillment_aff,3.75
101646857.0,tp,none,,,0.0
101601184.0,tp,none,,,0.0
101520155.0,tp,none,,,0.0
101471856.0,tp,none,,,0.0
101451698.0,tp,none,,,0.0
101438598.0,tp,none,,,0.0
101340792.0,tp,fulfillment,stat,fulfillment_stat,4.5
101337586.0,tp,none,,,0.0
101314474.0,tp,fulfillment,fam,fulfillment_fam,8.0
101307683.0,tp,none,,,0.0
101290039.0,tp,fulfillment,stat,fulfillment_stat,2.0
101279013.0,tp,fulfillment,aff,fulfillment_aff,2.5
101243273.0,tp,fulfillment,phys,fulfillment_phys,2.0
101240294.0,tp,none,,,0.0
101238304.0,tp,none,,,0.0
101237938.0,tp,none,,,0.0
101237769.0,tp,none,,,0.0
101237272.0,tp,none,,,0.0
101237232.0,tp,none,,,0.0
101234044.0,tp,none,,,0.0
101214302.0,tp,none,,,0.0
101211668.0,tp,fulfillment,fam,fulfillment_fam,4.0
101209488.0,tp,none,,,0.0
101208632.0,tp,fulfillment,fam,fulfillment_fam,4.0
101205647.0,tp,none,,,0.0
101195105.0,tp,hindrance,phys,hindrance_phys,2.5
101168817.0,tp,fulfillment,stat,fulfillment_stat,1.0
101151886.0,tp,none,,,0.0
101128890.0,tp,fulfillment,stat,fulfillment_stat,2.0
101068623.0,tp,fulfillment,fam,fulfillment_fam,8.0
101065369.0,tp,none,,,0.0
101055282.0,tp,fulfillment,fam,fulfillment_fam,6.5
101043411.0,tp,fulfillment,aff,fulfillment_aff,2.0
101027128.0,tp,fulfillment,fam,fulfillment_fam,10.0
101022440.0,tp,fulfillment,aff,fulfillment_aff,4.0
101011247.0,tp,hindrance,fam,hindrance_fam,4.0
100962568.0,tp,hindrance,stat,hindrance_stat,6.0
100935286.0,tp,hindrance,fam,hindrance_fam,13.0
100820998.0,tp,fulfillment,phys,fulfillment_phys,2.5
100813074.0,tp,fulfillment,aff,fulfillment_aff,10.5
100796688.0,tp,fulfillment,stat,fulfillment_stat,2.0
100788112.0,tp,none,,,0.0
100787768.0,tp,fulfillment,phys,fulfillment_phys,2.0
100778783.0,tp,fulfillment,fam,fulfillment_fam,2.0
100766590.0,tp,fulfillment,phys,fulfillment_phys,2.5
100736274.0,tp,none,,,0.0
100729312.0,tp,fulfillment,stat,fulfillment_stat,2.0
100728735.0,tp,none,,,0.0
100728689.0,tp,fulfillment,phys,fulfillment_phys,2.5
100728452.0,tp,fulfillment,aff,fulfillment_aff,4.0
100710011.0,tp,fulfillment,fam,fulfillment_fam,1.0
100709752.0,tp,none,,,0.0
100709276.0,tp,fulfillment,fam,fulfillment_fam,2.5
100682998.0,tp,none,,,0.0
100680732.0,tp,fulfillment,stat,fulfillment_stat,3.0
100676074.0,tp,none,,,0.0
100662752.0,tp,fulfillment,stat,fulfillment_stat,6.0
100662357.0,tp,fulfillment,fam,fulfillment_fam,2.0
100651923.0,tp,fulfillment,stat,fulfillment_stat,2.0
100651335.0,tp,none,,,0.0
100651318.0,tp,none,,,0.0
100651229.0,tp,none,,,0.0
100651205.0,tp,none,,,0.0
100650471.0,tp,none,,,0.0
100650241.0,tp,none,,,0.0
100650020.0,tp,fulfillment,phys,fulfillment_phys,2.0
100649696.0,tp,none,,,0.0
100649027.0,tp,none,,,0.0
100647110.0,tp,none,,,0.0
100647037.0,tp,none,,,0.0
100646662.0,tp,none,,,0.0
100645678.0,tp,none,,,0.0
100644788.0,tp,none,,,0.0
100644643.0,tp,none,,,0.0
100639141.0,tp,fulfillment,aff,fulfillment_aff,6.5
100622811.0,tp,none,,,0.0
100621711.0,tp,none,,,0.0
100621274.0,tp,none,,,0.0
100619937.0,tp,fulfillment,aff,fulfillment_aff,2.0
100619402.0,tp,fulfillment,phys,fulfillment_phys,1.0
100598445.0,tp,none,,,0.0
100592803.0,tp,none,,,0.0
100567810.0,tp,none,,,0.0
100560247.0,tp,fulfillment,fam,fulfillment_fam,9.0
100547587.0,tp,none,,,0.0
100533630.0,tp,none,,,0.0
100531114.0,tp,fulfillment,aff,fulfillment_aff,2.0
100528746.0,tp,none,,,0.0
100528557.0,tp,fulfillment,aff,fulfillment_aff,4.5
100512891.0,tp,fulfillment,selfprot,fulfillment_selfprot,3.0
100504148.0,tp,fulfillment,stat,fulfillment_stat,4.0
100493328.0,tp,fulfillment,fam,fulfillment_fam,2.5
100493023.0,tp,fulfillment,fam,fulfillment_fam,6.0
100489741.0,tp,fulfillment,aff,fulfillment_aff,2.0
100476610.0,tp,none,,,0.0
100449404.0,tp,fulfillment,phys,fulfillment_phys,2.0
100438925.0,tp,fulfillment,aff,fulfillment_aff,1.0
100438654.0,tp,fulfillment,fam,fulfillment_fam,4.0
100432501.0,tp,hindrance,fam,hindrance_fam,2.5
100417907.0,tp,fulfillment,fam,fulfillment_fam,2.0
100409948.0,tp,hindrance,stat,hindrance_stat,2.0
100380899.0,tp,none,,,0.0
100364655.0,tp,hindrance,phys,hindrance_phys,2.5
100355842.0,tp,fulfillment,fam,fulfillment_fam,4.0
100348982.0,tp,fulfillment,stat,fulfillment_stat,2.0
100337395.0,tp,hindrance,phys,hindrance_phys,2.5
100335303.0,tp,none,,,0.0
100333755.0,tp,none,,,0.0
100331835.0,tp,fulfillment,phys,fulfillment_phys,2.0
100330728.0,tp,fulfillment,fam,fulfillment_fam,2.5
100322958.0,tp,none,,,0.0
100322892.0,tp,hindrance,aff,hindrance_aff,2.0
100321598.0,tp,fulfillment,phys,fulfillment_phys,2.0
100320147.0,tp,none,,,0.0
100311551.0,tp,fulfillment,phys,fulfillment_phys,1.0
