review_id,company_id,mode,goal,cluster_id,evidence_value
103029801.0,unilever,none,,,0.0
103028281.0,unilever,fulfillment,phys,fulfillment_phys,2.0
102902321.0,unilever,none,,,0.0
102891431.0,unilever,hindrance,stat,hindrance_stat,3.0
102885769.0,unilever,fulfillment,phys,fulfillment_phys,3.0
102808732.0,unilever,none,,,0.0
102642991.0,unilever,hindrance,selfprot,hindrance_selfprot,2.0
102467121.0,unilever,fulfillment,phys,fulfillment_phys,2.0
102421572.0,unilever,fulfillment,fam,fulfillment_fam,13.5
102389523.0,unilever,fulfillment,stat,fulfillment_stat,9.0
102158314.0,unilever,hindrance,selfprot,hindrance_selfprot,2.0
102100512.0,unilever,fulfillment,fam,fulfillment_fam,9.0
102022566.0,unilever,fulfillment,fam,fulfillment_fam,9.0
102012052.0,unilever,hindrance,stat,hindrance_stat,2.0
102005514.0,unilever,fulfillment,stat,fulfillment_stat,5.75
102001041.0,unilever,hindrance,stat,hindrance_stat,2.0
101999092.0,unilever,fulfillment,stat,fulfillment_stat,2.0
101984417.0,unilever,none,,,0.0
101977874.0,unilever,none,,,0.0
101972812.0,unilever,hindrance,selfprot,hindrance_selfprot,2.0
101904676.0,unilever,fulfillment,phys,fulfillment_phys,2.0
101821477.0,unilever,hindrance,selfprot,hindrance_selfprot,2.0
101743788.0,unilever,fulfillment,fam,fulfillment_fam,9.0
101667486.0,unilever,fulfillment,fam,fulfillment_fam,9.0
101362769.0,unilever,fulfillment,stat,fulfillment_stat,4.5
101325469.0,unilever,fulfillment,fam,fulfillment_fam,16.0
101259803.0,unilever,none,,,0.0
101259284.0,unilever,fulfillment,phys,fulfillment_phys,2.0
101102314.0,unilever,fulfillment,fam,fulfillment_fam,9.0
100979425.0,unilever,none,,,0.0
99930662.0,unilever,none,,,0.0
99792499.0,unilever,fulfillment,phys,fulfillment_phys,2.0
99504235.0,unilever,fulfillment,fam,fulfillment_fam,9.0
99298162.0,unilever,none,,,0.0
99111968.0,unilever,none,,,0.0
99001281.0,unilever,none,,,0.0
98925487.0,unilever,fulfillment,phys,fulfillment_phys,6.25
98888437.0,unilever,hindrance,phys,hindrance_phys,2.0
98780907.0,unilever,fulfillment,fam,fulfillment_fam,22.5
98729908.0,unilever,fulfillment,fam,fulfillment_fam,9.0
98046548.0,unilever,none,,,0.0
97663140.0,unilever,fulfillment,fam,fulfillment_fam,11.0
97339164.0,unilever,none,,,0.0
97212001.0,unilever,none,,,0.0
97197228.0,unilever,none,,,0.0
97045573.0,unilever,none,,,0.0
96904741.0,unilever,fulfillment,fam,fulfillment_fam,9.0
96887824.0,unilever,fulfillment,fam,fulfillment_fam,9.0
96813187.0,unilever,fulfillment,phys,fulfillment_phys,2.5
96770397.0,unilever,none,,,0.0
96729371.0,unilever,none,,,0.0
96715129.0,unilever,hindrance,stat,hindrance_stat,2.0
96633048.0,unilever,none,,,0.0
96627742.0,unilever,fulfillment,fam,fulfillment_fam,18.0
96353809.0,unilever,fulfillment,phys,fulfillment_phys,6.0
96033954.0,unilever,fulfillment,phys,fulfillment_phys,2.0
96006215.0,unilever,hindrance,stat,hindrance_stat,7.5
95770573.0,unilever,fulfillment,fam,fulfillment_fam,9.0
95753054.0,unilever,fulfillment,stat,fulfillment_stat,2.0
95744991.0,unilever,none,,,0.0
95695433.0,unilever,hindrance,phys,hindrance_phys,2.5
95663890.0,unilever,fulfillment,fam,fulfillment_fam,2.0
95505102.0,unilever,fulfillment,phys,fulfillment_phys,2.0
95493393.0,unilever,hindrance,selfprot,hindrance_selfprot,2.0
95492910.0,unilever,fulfillment,stat,fulfillment_stat,2.0
95266027.0,unilever,fulfillment,stat,fulfillment_stat,2.0
95238507.0,unilever,none,,,0.0
95198215.0,unilever,fulfillment,selfprot,fulfillment_selfprot,1.25
95182362.0,unilever,hindrance,selfprot,hindrance_selfprot,2.0
95174459.0,unilever,fulfillment,fam,fulfillment_fam,9.0
95129126.0,unilever,none,,,0.0
95076870.0,unilever,none,,,0.0
94947505.0,unilever,none,,,0.0
94931780.0,unilever,fulfillment,stat,fulfillment_stat,6.0
94877836.0,unilever,hindrance,aff,hindrance_aff,4.5
93936361.0,unilever,hindrance,phys,hindrance_phys,2.0
93906992.0,unilever,fulfillment,aff,fulfillment_aff,2.0
93868438.0,unilever,fulfillment,phys,fulfillment_phys,2.0
93793261.0,unilever,fulfillment,fam,fulfillment_fam,9.0
93788609.0,unilever,hindrance,selfprot,hindrance_selfprot,5.0
93737482.0,unilever,none,,,0.0
93632727.0,unilever,fulfillment,fam,fulfillment_fam,9.0
93567935.0,unilever,fulfillment,fam,fulfillment_fam,9.0
93553986.0,unilever,hindrance,phys,hindrance_phys,8.75
93531266.0,unilever,fulfillment,phys,fulfillment_phys,2.5
93396767.0,unilever,hindrance,selfprot,hindrance_selfprot,6.25
93328365.0,unilever,fulfillment,phys,fulfillment_phys,2.0
93302885.0,unilever,fulfillment,stat,fulfillment_stat,2.0
93217051.0,unilever,none,,,0.0
93159264.0,unilever,none,,,0.0
93059036.0,unilever,hindrance,stat,hindrance_stat,6.75
93034423.0,unilever,fulfillment,phys,fulfillment_phys,2.5
93033958.0,unilever,none,,,0.0
92965434.0,unilever,none,,,0.0
92882943.0,unilever,fulfillment,fam,fulfillment_fam,9.0
92606758.0,unilever,fulfillment,aff,fulfillment_aff,3.0
92549473.0,unilever,fulfillment,phys,fulfillment_phys,2.0
92538722.0,unilever,hindrance,phys,hindrance_phys,4.5
92492124.0,unilever,fulfillment,phys,fulfillment_phys,4.0
92439844.0,unilever,hindrance,selfprot,hindrance_selfprot,2.0
92304934.0,unilever,fulfillment,stat,fulfillment_stat,2.0
92275572.0,unilever,fulfillment,aff,fulfillment_aff,2.0
92234678.0,unilever,fulfillment,fam,fulfillment_fam,9.0
92139031.0,unilever,none,,,0.0
92120789.0,unilever,none,,,0.0
92088848.0,unilever,fulfillment,phys,fulfillment_phys,2.5
91997348.0,unilever,fulfillment,phys,fulfillment_phys,2.0
91960255.0,unilever,fulfillment,stat,fulfillment_stat,2.0
91910723.0,unilever,hindrance,fam,hindrance_fam,9.0
91836100.0,unilever,fulfillment,stat,fulfillment_stat,4.0
91589190.0,unilever,fulfillment,fam,fulfillment_fam,18.0
91508357.0,unilever,none,,,0.0
91430126.0,unilever,fulfillment,phys,fulfillment_phys,4.5
91332414.0,unilever,hindrance,fam,hindrance_fam,4.0
91280453.0,unilever,none,,,0.0
91213453.0,unilever,hindrance,fam,hindrance_fam,9.0
90912784.0,unilever,fulfillment,fam,fulfillment_fam,9.0
90906981.0,unilever,none,,,0.0
90860160.0,unilever,fulfillment,stat,fulfillment_stat,4.0
90768933.0,unilever,fulfillment,fam,fulfillment_fam,9.0
