review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100743031,Great starting salary and benefits WLB,great starting salary and benefits wlb,bad promotion hierarchy and salary trajectory isn't the best,4.0,2025-10-18,Strategy Analyst,"Houston, TX",REGULAR,Great starting salary and benefits WLB great starting salary and benefits wlb bad promotion hierarchy and salary trajectory isn't the best,US,state_code:TX
100738113,You have access to training materials and improvement opportunities You will learn good coding practices,- you have access to training materials and improvement opportunities - you will learn good coding practices,- little opportunity for pay increases - open plan office with more than 100 employees in office,4.0,2025-10-18,Data Analyst,"Columbus, OH",REGULAR,You have access to training materials and improvement opportunities You will learn good coding practices - you have access to training materials and improvement opportunities - you will learn good coding practices - little opportunity for pay increases - open plan office with more than 100 employees in office,US,state_code:OH
100731216,Incentives to increase employee moral,incentives to increase employee moral,the pay the pto work life balance depends on project and role,4.0,2025-10-17,Senior Analyst,"Dallas, TX",REGULAR,Incentives to increase employee moral incentives to increase employee moral the pay the pto work life balance depends on project and role,US,state_code:TX
100726866,Great people That s it,- great people that's it,- cog in a huge machine - no raises or promotions - no more remote work,2.0,2025-10-17,Consultant,"Atlanta, GA",REGULAR,Great people That s it - great people that's it - cog in a huge machine - no raises or promotions - no more remote work,US,state_code:GA
100726823,Finding different project in different industries and being 100 remote,finding different project in different industries and being 100 remote,none that i can think of at the time,5.0,2025-10-17,Data Scientist,"Houston, TX",REGULAR,Finding different project in different industries and being 100 remote finding different project in different industries and being 100 remote none that i can think of at the time,US,state_code:TX
100713205,They ll pay for your certifications,they ll pay for your certifications,could have had better leadership you have to be able to find your own role it s like constantly looking for a new job when you have a job,3.0,2025-10-16,Associate,"Scottsdale, AZ",REGULAR,They ll pay for your certifications they ll pay for your certifications could have had better leadership you have to be able to find your own role it s like constantly looking for a new job when you have a job,US,state_code:AZ
100710136,Great people decent flexibility and benefits,great people decent flexibility and benefits,need more pto lack of promotions on federal side,4.0,2025-10-16,Senior Analyst,"Washington, DC",REGULAR,Great people decent flexibility and benefits great people decent flexibility and benefits need more pto lack of promotions on federal side,US,state_code:DC
100704262,I can see no benefit to working for Accenture,i can see no benefit to working for accenture,many--we felt like a number our work wasn't valued they laid us off and then were required to keep the studio open due to contractual obligations so they asked people to stay on with no incentive,1.0,2025-10-16,Senior Art Director,"Bentonville, AR",,I can see no benefit to working for Accenture i can see no benefit to working for accenture many--we felt like a number our work wasn't valued they laid us off and then were required to keep the studio open due to contractual obligations so they asked people to stay on with no incentive,US,state_code:AR
100686594,A great place to obtain a breadth of experience A lot of flexibility,a great place to obtain a breadth of experience a lot of flexibility,great place to start but there isn't much room for growth you need to leave and then boomerang maybe,3.0,2025-10-15,Solutions Architect,"New York, NY",REGULAR,A great place to obtain a breadth of experience A lot of flexibility a great place to obtain a breadth of experience a lot of flexibility great place to start but there isn't much room for growth you need to leave and then boomerang maybe,US,state_code:NY
100685845,Flexible Scheduling Straight forward work,flexible scheduling straight forward work,low pay low chance of promotion career advancement is focused on consulting management not ic engineering,3.0,2025-10-15,Embedded Software Engineer,"San Jose, CA",REGULAR,Flexible Scheduling Straight forward work flexible scheduling straight forward work low pay low chance of promotion career advancement is focused on consulting management not ic engineering,US,state_code:CA
100680248,people are typically smart and nice,people are typically smart and nice,the company is very beaurecratic,4.0,2025-10-15,Strategy Analyst,"New York, NY",REGULAR,people are typically smart and nice people are typically smart and nice the company is very beaurecratic,US,state_code:NY
100679233,Good pay okay benefits remote possibilities,good pay okay benefits remote possibilities,work life balance poor ceo leadership low morale,3.0,2025-10-15,Manager,"Chicago, IL",REGULAR,Good pay okay benefits remote possibilities good pay okay benefits remote possibilities work life balance poor ceo leadership low morale,US,state_code:IL
100678980,Great pay people and opportunities,great pay people and opportunities,deadlines can be frustrating and have very little notice git economy can be stressful,5.0,2025-10-15,Associate Manager,"Chicago, IL",REGULAR,Great pay people and opportunities great pay people and opportunities deadlines can be frustrating and have very little notice git economy can be stressful,US,state_code:IL
100678390,easy work but very corporate and need to do compulsory things,easy work but very corporate and need to do compulsory things,cannot really succeed past a certain point and need to pull up those not working around you,2.0,2025-10-15,Senior BA,"New York, NY",REGULAR,easy work but very corporate and need to do compulsory things easy work but very corporate and need to do compulsory things cannot really succeed past a certain point and need to pull up those not working around you,US,state_code:NY
100672479,Very inclusionary company with a number of very smart people Very big on training and always expanding,very inclusionary company with a number of very smart people very big on training and always expanding,can get lost in a sea of talent and can be difficult to get staffed when the right projects aren't available consultants are expected to find their own projects so every time you roll off a project you're doing a job search again and it's incredibly stressful,3.0,2025-10-15,Senior Manager,"Chicago, IL",REGULAR,Very inclusionary company with a number of very smart people Very big on training and always expanding very inclusionary company with a number of very smart people very big on training and always expanding can get lost in a sea of talent and can be difficult to get staffed when the right projects aren't available consultants are expected to find their own projects so every time you roll off a project you're doing a job search again and it's incredibly stressful,US,state_code:IL
100659282,Flexible WFH PTO is generous,flexible wfh pto is generous,no promotions pa is incredibly political,3.0,2025-10-14,Tech Advisory Consultant,"New York, NY",REGULAR,Flexible WFH PTO is generous flexible wfh pto is generous no promotions pa is incredibly political,US,state_code:NY
100654723,Great pay and advancement smart people to work with,great pay and advancement smart people to work with,lots of work clients can be demanding sometimes long hours,5.0,2025-10-14,Marketing Manager,"Chicago, IL",REGULAR,Great pay and advancement smart people to work with great pay and advancement smart people to work with lots of work clients can be demanding sometimes long hours,US,state_code:IL
100652334,good work life balance great people great offices pretty good PTO,- good work life balance - great people - great offices - pretty good pto,- below average pay - below average amenities benefits - few holidays,4.0,2025-10-14,Senior Analyst,"New York, NY",REGULAR,good work life balance great people great offices pretty good PTO - good work life balance - great people - great offices - pretty good pto - below average pay - below average amenities benefits - few holidays,US,state_code:NY
100643999,Remote role and for the most part unbothered Freedom to edit curriculums as needed,remote role and for the most part unbothered freedom to edit curriculums as needed,this is the cheapest company i have ever worked for here's what i mean -low salary -remote role but no stipend for home internet -they act surprised when i don't want to add work apps to my personal phone -wouldn't even provide me with a second monitor which is needed for my role only one company laptop -encourages monthly meetups at office but won't reimburse for parking 30 for the day -once in your role you can only apply for the next level above yours no exceptions -they are outsourcing a lot of roles to india you have to bill hours and submit time sheets every two weeks depending on your clients accounts you have to find hours to bill my boss is the worst leader i've ever had disorganized totally ditches scheduled meetings often just doesn't show up and when he does he's doing 2 or 3 other things while on the phone zero support the job itself is relatively easy instructors train there can be a lot of down time i spent time training several sales teams that fell apart shortly after complete waste of time,1.0,2025-10-14,Instructor,"New York, NY",REGULAR,Remote role and for the most part unbothered Freedom to edit curriculums as needed remote role and for the most part unbothered freedom to edit curriculums as needed this is the cheapest company i have ever worked for here's what i mean -low salary -remote role but no stipend for home internet -they act surprised when i don't want to add work apps to my personal phone -wouldn't even provide me with a second monitor which is needed for my role only one company laptop -encourages monthly meetups at office but won't reimburse for parking 30 for the day -once in your role you can only apply for the next level above yours no exceptions -they are outsourcing a lot of roles to india you have to bill hours and submit time sheets every two weeks depending on your clients accounts you have to find hours to bill my boss is the worst leader i've ever had disorganized totally ditches scheduled meetings often just doesn't show up and when he does he's doing 2 or 3 other things while on the phone zero support the job itself is relatively easy instructors train there can be a lot of down time i spent time training several sales teams that fell apart shortly after complete waste of time,US,state_code:NY
100629117,Great Experience Great People Great Clients,great experience great people great clients,hectic stressful work schedule little work life balance,4.0,2025-10-13,Senior Manager,"Raleigh, NC",REGULAR,Great Experience Great People Great Clients great experience great people great clients hectic stressful work schedule little work life balance,US,state_code:NC
100628998,good company for getting experience,good company for getting experience,not a lot of culture,4.0,2025-10-13,Consulting Analyst,"San Diego, CA",REGULAR,good company for getting experience good company for getting experience not a lot of culture,US,state_code:CA
100628873,They offer very good benefits,they offer very good benefits,because the company is 700 000 employees in size they don't care about their employees,2.0,2025-10-13,Account Executive,"Atlanta, GA",REGULAR,They offer very good benefits they offer very good benefits because the company is 700 000 employees in size they don't care about their employees,US,state_code:GA
100625468,Really big company so there s a lot to learn and a wide network of people you can meet Accenture is a great company to start your career and gain valuable hands on skills,really big company so there's a lot to learn and a wide network of people you can meet accenture is a great company to start your career and gain valuable hands on skills,their internal staffing model needs some revision as it's quite difficult to find another project after your time on a project has been up you will need to network with about a 100 people until you find something finding project roles is very much based on who you know,3.0,2025-10-13,Management Consulting Senior Analyst,"Charlotte, NC",REGULAR,Really big company so there s a lot to learn and a wide network of people you can meet Accenture is a great company to start your career and gain valuable hands on skills really big company so there's a lot to learn and a wide network of people you can meet accenture is a great company to start your career and gain valuable hands on skills their internal staffing model needs some revision as it's quite difficult to find another project after your time on a project has been up you will need to network with about a 100 people until you find something finding project roles is very much based on who you know,US,state_code:NC
100620445,Good place to get your foot in the door,good place to get your foot in the door,you are just a number pay not competitive,2.0,2025-10-13,Senior Business Analyst,"Seattle, WA",REGULAR,Good place to get your foot in the door good place to get your foot in the door you are just a number pay not competitive,US,state_code:WA
100617648,Industry Breadth Good young people,- industry breadth - good young people,- lack of depth in knowledge - lack of actual strategy projects - poor leadership - large company makes employees feel like a disposable number - lack of promotions and raises over past 3 years - low morale,2.0,2025-10-13,Business Strategy Manager,"New York, NY",REGULAR,Industry Breadth Good young people - industry breadth - good young people - lack of depth in knowledge - lack of actual strategy projects - poor leadership - large company makes employees feel like a disposable number - lack of promotions and raises over past 3 years - low morale,US,state_code:NY
100616628,at or above industry med,at or above industry med,leadership no longer embracing technology sales,3.0,2025-10-13,Technology Sales Director,"Washington, DC",REGULAR,at or above industry med at or above industry med leadership no longer embracing technology sales,US,state_code:DC
100615061,Learn lots of new technologies very quickly Ability to gain business skills Mentorship Certifications available if you are interested Potential to meet great people but varies greatly by your industry and account you work on,- learn lots of new technologies very quickly - ability to gain business skills - mentorship certifications available if you are interested - potential to meet great people but varies greatly by your industry and account you work on,- three years no promotion company-wide - extremely low pay for working 60 hours week if overtime is not approved - constant threat of not having a client company does not find clients for you and you are expected to essentially apply interview for accounts even though you already have a job if without a client for a certain amount of time you will be laid off with only one week of severance per year you worked - jack of all trades master of none if you want to go into business-side of things great if you're more of an engineer you will leave with a wide experience of random technologies but not really have expertise in any of them,3.0,2025-10-13,Software Engineer II,"Chicago, IL",REGULAR,Learn lots of new technologies very quickly Ability to gain business skills Mentorship Certifications available if you are interested Potential to meet great people but varies greatly by your industry and account you work on - learn lots of new technologies very quickly - ability to gain business skills - mentorship certifications available if you are interested - potential to meet great people but varies greatly by your industry and account you work on - three years no promotion company-wide - extremely low pay for working 60 hours week if overtime is not approved - constant threat of not having a client company does not find clients for you and you are expected to essentially apply interview for accounts even though you already have a job if without a client for a certain amount of time you will be laid off with only one week of severance per year you worked - jack of all trades master of none if you want to go into business-side of things great if you're more of an engineer you will leave with a wide experience of random technologies but not really have expertise in any of them,US,state_code:IL
100614005,Big company benefits Great training,big company benefits great training,it is possible to get lost especially between projects,4.0,2025-10-13,Senior Manager,"Boston, MA",REGULAR,Big company benefits Great training big company benefits great training it is possible to get lost especially between projects,US,state_code:MA
100601103,Really great place to start your career with lots of room to grow,really great place to start your career with lots of room to grow,dependent on who you get a your managers,5.0,2025-10-12,Analyst,"Washington, DC",REGULAR,Really great place to start your career with lots of room to grow really great place to start your career with lots of room to grow dependent on who you get a your managers,US,state_code:DC
100593584,Fast pace touch and go analytics wide exposure of interesting analytics across industries in the shortest time,fast pace touch and go analytics wide exposure of interesting analytics across industries in the shortest time,sometime have to work with offshore team and they are very challenging to work with,5.0,2025-10-11,Senior Data Scientist,"New York, NY",REGULAR,Fast pace touch and go analytics wide exposure of interesting analytics across industries in the shortest time fast pace touch and go analytics wide exposure of interesting analytics across industries in the shortest time sometime have to work with offshore team and they are very challenging to work with,US,state_code:NY
100579067,Overall is good place to work,overall is good place to work,no cons at the moment,5.0,2025-10-10,Consultant,"New York, NY",REGULAR,Overall is good place to work overall is good place to work no cons at the moment,US,state_code:NY
100578884,A lot of valuable training,a lot of valuable training,can be hard to get staffed,4.0,2025-10-10,Business architecture analyst,"Tampa, FL",REGULAR,A lot of valuable training a lot of valuable training can be hard to get staffed,US,state_code:FL
100578795,Great leadership you feel supported Great Pay,great leadership you feel supported great pay,changes in the organization structure often can be a heavy workload at times,4.0,2025-10-10,Executive Support Analyst,"San Francisco, CA",REGULAR,Great leadership you feel supported Great Pay great leadership you feel supported great pay changes in the organization structure often can be a heavy workload at times,US,state_code:CA
100578018,Remote work learning supportive management diverse workforce,remote work learning supportive management diverse workforce,low pay comparing to other big companies not a lot of opportunities for promotion,4.0,2025-10-10,Associate Procurement Manager,"Seattle, WA",REGULAR,Remote work learning supportive management diverse workforce remote work learning supportive management diverse workforce low pay comparing to other big companies not a lot of opportunities for promotion,US,state_code:WA
100556847,Great pay and benefits Exposure and endless opportunities if you are a go getter,great pay and benefits exposure and endless opportunities if you are a go-getter,can be hard to find camaraderie and not just feel like another number,4.0,2025-10-09,Enterprise Architect Consultant,"Denver, CO",REGULAR,Great pay and benefits Exposure and endless opportunities if you are a go getter great pay and benefits exposure and endless opportunities if you are a go-getter can be hard to find camaraderie and not just feel like another number,US,state_code:CO
