review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100589103,Great work Great clients Travel perks,great work great clients travel perks,work life balance is unpredictable,5.0,2025-10-11,Consultant,"Los Angeles, CA",REGULAR,Great work Great clients Travel perks great work great clients travel perks work life balance is unpredictable,US,state_code:CA
100580157,Mission driven culture that values impact as much as insight The smartest most collaborative people you ll work with at every level Leadership that listens adapts and actively invests in your growth Constant access to world class learning global opportunities and cutting edge client challenges,mission-driven culture that values impact as much as insight the smartest most collaborative people you ll work with at every level leadership that listens adapts and actively invests in your growth constant access to world-class learning global opportunities and cutting-edge client challenges,the pace is intense and the bar is high this is not a place for coasting client demands can blur boundaries if you don t proactively protect them as with any high-performance culture feedback is constant,5.0,2025-10-10,Managing Director,"Seattle, WA",REGULAR,Mission driven culture that values impact as much as insight The smartest most collaborative people you ll work with at every level Leadership that listens adapts and actively invests in your growth Constant access to world class learning global opportunities and cutting edge client challenges mission-driven culture that values impact as much as insight the smartest most collaborative people you ll work with at every level leadership that listens adapts and actively invests in your growth constant access to world-class learning global opportunities and cutting-edge client challenges the pace is intense and the bar is high this is not a place for coasting client demands can blur boundaries if you don t proactively protect them as with any high-performance culture feedback is constant,US,state_code:WA
100578694,BCG has been an amazing employer the people are kind amp curious the work is intellectually stimulating career progression is extremely fast amp the compensation is excellent BCG has given me the flexibility to chart my own course working across 4 continents giving me management responsibilities early on and allowing me to focus on AI transformations for the most iconic companies in the world,bcg has been an amazing employer the people are kind curious the work is intellectually stimulating career progression is extremely fast the compensation is excellent bcg has given me the flexibility to chart my own course working across 4 continents giving me management responsibilities early on and allowing me to focus on ai transformations for the most iconic companies in the world,it's not a 9-to-5 job especially during times of growth the job can be intense e g when i became a project leader and had to manage people for the first time,5.0,2025-10-10,Managing Director and Partner,"San Francisco, CA",REGULAR,BCG has been an amazing employer the people are kind amp curious the work is intellectually stimulating career progression is extremely fast amp the compensation is excellent BCG has given me the flexibility to chart my own course working across 4 continents giving me management responsibilities early on and allowing me to focus on AI transformations for the most iconic companies in the world bcg has been an amazing employer the people are kind curious the work is intellectually stimulating career progression is extremely fast the compensation is excellent bcg has given me the flexibility to chart my own course working across 4 continents giving me management responsibilities early on and allowing me to focus on ai transformations for the most iconic companies in the world it's not a 9-to-5 job especially during times of growth the job can be intense e g when i became a project leader and had to manage people for the first time,US,state_code:CA
100576221,Work with a great group of folks from diverse backgrounds Opportunity to solve challenging problems Amazing learning opportunites,- work with a great group of folks from diverse backgrounds - opportunity to solve challenging problems - amazing learning opportunites,nothing that i can think of,5.0,2025-10-10,Managing Director and Partner,"Los Angeles, CA",REGULAR,Work with a great group of folks from diverse backgrounds Opportunity to solve challenging problems Amazing learning opportunites - work with a great group of folks from diverse backgrounds - opportunity to solve challenging problems - amazing learning opportunites nothing that i can think of,US,state_code:CA
100559025,Unparalleled Growth Environment BCG isn t just a job it s an MBA PhD and leadership bootcamp rolled into one Every project stretches you Supportive Collegial Culture Despite the intensity the people are what make it worth it brilliant minds zero arrogance with the occasional exception Collaboration is real Top Tier Compensation Pay benefits and perks are among the best in the industry and they match the expectations Endless Opportunity Whether it s global mobility industry pivots or client exposure BCG opens more doors faster than nearly any other firm Fast Paced High Impact Work You re in the room where decisions happen with the chance to drive real strategic change at iconic organizations,unparalleled growth environment bcg isn t just a job it s an mba phd and leadership bootcamp rolled into one every project stretches you supportive collegial culture despite the intensity the people are what make it worth it brilliant minds zero arrogance with the occasional exception collaboration is real top-tier compensation pay benefits and perks are among the best in the industry and they match the expectations endless opportunity whether it s global mobility industry pivots or client exposure bcg opens more doors faster than nearly any other firm fast-paced high-impact work you're in the room where decisions happen with the chance to drive real strategic change at iconic organizations,performance pressure is real the bar is high and always rising if you're not growing you're falling behind ambiguity is the norm clients don't come with playbooks you need to thrive in the grey and find structure in chaos,5.0,2025-10-09,Senior Partner and Managing Director,"San Diego, CA, United States",REGULAR,Unparalleled Growth Environment BCG isn t just a job it s an MBA PhD and leadership bootcamp rolled into one Every project stretches you Supportive Collegial Culture Despite the intensity the people are what make it worth it brilliant minds zero arrogance with the occasional exception Collaboration is real Top Tier Compensation Pay benefits and perks are among the best in the industry and they match the expectations Endless Opportunity Whether it s global mobility industry pivots or client exposure BCG opens more doors faster than nearly any other firm Fast Paced High Impact Work You re in the room where decisions happen with the chance to drive real strategic change at iconic organizations unparalleled growth environment bcg isn t just a job it s an mba phd and leadership bootcamp rolled into one every project stretches you supportive collegial culture despite the intensity the people are what make it worth it brilliant minds zero arrogance with the occasional exception collaboration is real top-tier compensation pay benefits and perks are among the best in the industry and they match the expectations endless opportunity whether it s global mobility industry pivots or client exposure bcg opens more doors faster than nearly any other firm fast-paced high-impact work you're in the room where decisions happen with the chance to drive real strategic change at iconic organizations performance pressure is real the bar is high and always rising if you're not growing you're falling behind ambiguity is the norm clients don't come with playbooks you need to thrive in the grey and find structure in chaos,US,state_code:CA
100557117,tremendous growth opportunities really terrific and smart colleagues,tremendous growth opportunities really terrific and smart colleagues,steep learning curve is rewarding but can be challenging long hours particularly at start,5.0,2025-10-09,Managing Director and Partner,"Los Angeles, CA",REGULAR,tremendous growth opportunities really terrific and smart colleagues tremendous growth opportunities really terrific and smart colleagues steep learning curve is rewarding but can be challenging long hours particularly at start,US,state_code:CA
100555508,BCG is a place where ambition meets humanity The firm truly invests in developing its people not just as consultants but as thinkers and leaders who can drive meaningful change You re constantly surrounded by brilliant humble colleagues who push you to think sharper go deeper and deliver real impact The work spans industries and frontiers giving you a front row seat to the future from sustainability and digital transformation to public sector innovation Leadership walks the talk on inclusion and collaboration creating a culture that s both demanding and deeply supportive,bcg is a place where ambition meets humanity the firm truly invests in developing its people not just as consultants but as thinkers and leaders who can drive meaningful change you re constantly surrounded by brilliant humble colleagues who push you to think sharper go deeper and deliver real impact the work spans industries and frontiers giving you a front-row seat to the future from sustainability and digital transformation to public sector innovation leadership walks the talk on inclusion and collaboration creating a culture that s both demanding and deeply supportive,the pace and expectations are sky-high balancing client intensity with personal life requires real discipline and proactive boundary-setting bcg attracts high achievers which can make imposter syndrome real risks if you re not intentional about managing energy and priorities,5.0,2025-10-09,Managing Director and Partner,"Seattle, WA",REGULAR,BCG is a place where ambition meets humanity The firm truly invests in developing its people not just as consultants but as thinkers and leaders who can drive meaningful change You re constantly surrounded by brilliant humble colleagues who push you to think sharper go deeper and deliver real impact The work spans industries and frontiers giving you a front row seat to the future from sustainability and digital transformation to public sector innovation Leadership walks the talk on inclusion and collaboration creating a culture that s both demanding and deeply supportive bcg is a place where ambition meets humanity the firm truly invests in developing its people not just as consultants but as thinkers and leaders who can drive meaningful change you re constantly surrounded by brilliant humble colleagues who push you to think sharper go deeper and deliver real impact the work spans industries and frontiers giving you a front-row seat to the future from sustainability and digital transformation to public sector innovation leadership walks the talk on inclusion and collaboration creating a culture that s both demanding and deeply supportive the pace and expectations are sky-high balancing client intensity with personal life requires real discipline and proactive boundary-setting bcg attracts high achievers which can make imposter syndrome real risks if you re not intentional about managing energy and priorities,US,state_code:WA
100555298,This is a firm that still believes in building things that last Relationships capability and trust are treated as strategic assets That shows up in how we work with clients and in how we invest in our teams People development is not outsourced or delegated It is a core leadership responsibility and when done well it creates both commercial value and deep personal growth The LA office reflects this mindset in a clear and authentic way It is a high performing team with a strong sense of identity and cohesion There is a deep bench of talent but more importantly there is shared ownership and accountability People step in support each other and take pride in collective outcomes That creates a meaningful difference especially in a client facing environment where the pace is consistently high There is also real clarity in the firm s direction The work we are leading in AI transformation and strategy is not only relevant in today s market it is helping shape the future of how institutions operate Clients trust us to lead alongside them not just advise from the sidelines That creates high impact opportunities across the firm and across levels,this is a firm that still believes in building things that last relationships capability and trust are treated as strategic assets that shows up in how we work with clients and in how we invest in our teams people development is not outsourced or delegated it is a core leadership responsibility and when done well it creates both commercial value and deep personal growth the la office reflects this mindset in a clear and authentic way it is a high-performing team with a strong sense of identity and cohesion there is a deep bench of talent but more importantly there is shared ownership and accountability people step in support each other and take pride in collective outcomes that creates a meaningful difference especially in a client-facing environment where the pace is consistently high there is also real clarity in the firm s direction the work we are leading in ai transformation and strategy is not only relevant in today s market it is helping shape the future of how institutions operate clients trust us to lead alongside them not just advise from the sidelines that creates high-impact opportunities across the firm and across levels,the expectations are high that is a strength of the culture but it also creates real pressure as teams run leaner and client needs continue to grow we need to stay proactive about how we take care of our people this is not just about workload it is about the cumulative strain that can build when high expectations are paired with limited time to reset leaders have to stay close to what teams are experiencing create room to recharge and ensure that growth remains sustainable if we do not actively protect that we risk losing what makes this culture distinctive and durable we also need to keep reinforcing the behaviors that got us here collaboration humility and a focus on long-term outcomes have always defined our best work as the firm grows and takes on higher-profile challenges those values cannot be taken for granted they must be actively modeled and rewarded,5.0,2025-10-09,Managing Director,"Los Angeles, CA",REGULAR,This is a firm that still believes in building things that last Relationships capability and trust are treated as strategic assets That shows up in how we work with clients and in how we invest in our teams People development is not outsourced or delegated It is a core leadership responsibility and when done well it creates both commercial value and deep personal growth The LA office reflects this mindset in a clear and authentic way It is a high performing team with a strong sense of identity and cohesion There is a deep bench of talent but more importantly there is shared ownership and accountability People step in support each other and take pride in collective outcomes That creates a meaningful difference especially in a client facing environment where the pace is consistently high There is also real clarity in the firm s direction The work we are leading in AI transformation and strategy is not only relevant in today s market it is helping shape the future of how institutions operate Clients trust us to lead alongside them not just advise from the sidelines That creates high impact opportunities across the firm and across levels this is a firm that still believes in building things that last relationships capability and trust are treated as strategic assets that shows up in how we work with clients and in how we invest in our teams people development is not outsourced or delegated it is a core leadership responsibility and when done well it creates both commercial value and deep personal growth the la office reflects this mindset in a clear and authentic way it is a high-performing team with a strong sense of identity and cohesion there is a deep bench of talent but more importantly there is shared ownership and accountability people step in support each other and take pride in collective outcomes that creates a meaningful difference especially in a client-facing environment where the pace is consistently high there is also real clarity in the firm s direction the work we are leading in ai transformation and strategy is not only relevant in today s market it is helping shape the future of how institutions operate clients trust us to lead alongside them not just advise from the sidelines that creates high-impact opportunities across the firm and across levels the expectations are high that is a strength of the culture but it also creates real pressure as teams run leaner and client needs continue to grow we need to stay proactive about how we take care of our people this is not just about workload it is about the cumulative strain that can build when high expectations are paired with limited time to reset leaders have to stay close to what teams are experiencing create room to recharge and ensure that growth remains sustainable if we do not actively protect that we risk losing what makes this culture distinctive and durable we also need to keep reinforcing the behaviors that got us here collaboration humility and a focus on long-term outcomes have always defined our best work as the firm grows and takes on higher-profile challenges those values cannot be taken for granted they must be actively modeled and rewarded,US,state_code:CA
100554524,context I ve also worked at one of the other top 3 consulting firm so firsthand comparisons Firm leaders partners are financially incentivized to bring the absolute best of the firm to clients vs other places where partners may keep client work to their own teams networks pyramids therefore delivering subpar quality work to clients At Associate Consultant Project Leader levels BCG stays true to its commitment to help you to explore until you are ready to commit to sectors topics unlike other firms where you are forced onto specific paths faster or against your passions interests BGC was always the first to invest in new tech practices e g Digital Ventures 10 15 years back AI in the current round of tech innovation so we bring and build the latest tech alongside our clients BCG runs the business as an actual business ie is highly commercial so you learn early how and why to make great business decisions not just how to deliver great client service Benefits and support with arising non work needs has been unlike anywhere else amazingly supportive with my family and health needs when those came up e g BCG supported me with part time work temporary leaves family expansion,context i've also worked at one of the other top 3 consulting firm so firsthand comparisons - firm leaders partners are financially incentivized to bring the absolute best of the firm to clients vs other places where partners may keep client work to their own teams networks pyramids therefore delivering subpar quality work to clients - at associate consultant project leader levels bcg stays true to its commitment to help you to explore until you are ready to commit to sectors topics unlike other firms where you are 'forced' onto specific paths faster or against your passions interests - bgc was always the first to invest in new tech practices e g digital ventures 10-15 years back ai in the current round of tech innovation so we bring and build the latest tech alongside our clients - bcg runs the business as an actual business ie is highly commercial so you learn early how and why to make great business decisions not just how to deliver great client service - benefits and support with arising non-work needs has been unlike anywhere else amazingly supportive with my family and health needs when those came up e g bcg supported me with part-time work temporary leaves family expansion,hours are long and any hours you work you need to be 100 present this is true for most high intensity high growth learning careers ib consulting tech you just need to gauge if it's the right time in your life career to be doing this type of work,5.0,2025-10-09,Unknown role,"San Francisco, CA",REGULAR,context I ve also worked at one of the other top 3 consulting firm so firsthand comparisons Firm leaders partners are financially incentivized to bring the absolute best of the firm to clients vs other places where partners may keep client work to their own teams networks pyramids therefore delivering subpar quality work to clients At Associate Consultant Project Leader levels BCG stays true to its commitment to help you to explore until you are ready to commit to sectors topics unlike other firms where you are forced onto specific paths faster or against your passions interests BGC was always the first to invest in new tech practices e g Digital Ventures 10 15 years back AI in the current round of tech innovation so we bring and build the latest tech alongside our clients BCG runs the business as an actual business ie is highly commercial so you learn early how and why to make great business decisions not just how to deliver great client service Benefits and support with arising non work needs has been unlike anywhere else amazingly supportive with my family and health needs when those came up e g BCG supported me with part time work temporary leaves family expansion context i've also worked at one of the other top 3 consulting firm so firsthand comparisons - firm leaders partners are financially incentivized to bring the absolute best of the firm to clients vs other places where partners may keep client work to their own teams networks pyramids therefore delivering subpar quality work to clients - at associate consultant project leader levels bcg stays true to its commitment to help you to explore until you are ready to commit to sectors topics unlike other firms where you are 'forced' onto specific paths faster or against your passions interests - bgc was always the first to invest in new tech practices e g digital ventures 10-15 years back ai in the current round of tech innovation so we bring and build the latest tech alongside our clients - bcg runs the business as an actual business ie is highly commercial so you learn early how and why to make great business decisions not just how to deliver great client service - benefits and support with arising non-work needs has been unlike anywhere else amazingly supportive with my family and health needs when those came up e g bcg supported me with part-time work temporary leaves family expansion hours are long and any hours you work you need to be 100 present this is true for most high intensity high growth learning careers ib consulting tech you just need to gauge if it's the right time in your life career to be doing this type of work,US,state_code:CA
100554187,Leading in AI strategy and scaling a great place to learn and grow a career with exposure to senior leaders across industries Great teams and people,leading in ai strategy and scaling a great place to learn and grow a career with exposure to senior leaders across industries great teams and people,fast-paced environment can be tiring,5.0,2025-10-09,Unknown role,"Seattle, WA",REGULAR,Leading in AI strategy and scaling a great place to learn and grow a career with exposure to senior leaders across industries Great teams and people leading in ai strategy and scaling a great place to learn and grow a career with exposure to senior leaders across industries great teams and people fast-paced environment can be tiring,US,state_code:WA
