review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100741222,Leadership Benefits Work and Life Balance,leadership benefits work and life balance,not many cons encountered myself,4.0,2025-10-18,Application Support Analyst,"Pensacola, FL, United States",REGULAR,Leadership Benefits Work and Life Balance leadership benefits work and life balance not many cons encountered myself,US,state_code:FL
100740527,Even though it s a gov t contracting company they actually care about their employees at least on the contract I was working There was flexibility for hours worked if you had an appointment just make up the hours in the week After being ill my contract ended thanks to the current abomination of an administration but they did everything possible to find another contract for me and kept me for several months while I and they looked and I took trainings to expand my skills No other company does that,even though it's a gov't contracting company they actually care about their employees at least on the contract i was working there was flexibility for hours worked if you had an appointment just make up the hours in the week after being ill my contract ended thanks to the current abomination of an administration but they did everything possible to find another contract for me and kept me for several months while i and they looked and i took trainings to expand my skills no other company does that,the pay was nowhere near a living wage but they give raises when they notice a good employee and they want you to succeed the health insurance like everywhere else is exorbitant there is a 0 employee option but the deductible is equal to paying the higher premium which is 1 3 of a paycheck,5.0,2025-10-18,Records Specialist,"Philadelphia, PA",REGULAR,Even though it s a gov t contracting company they actually care about their employees at least on the contract I was working There was flexibility for hours worked if you had an appointment just make up the hours in the week After being ill my contract ended thanks to the current abomination of an administration but they did everything possible to find another contract for me and kept me for several months while I and they looked and I took trainings to expand my skills No other company does that even though it's a gov't contracting company they actually care about their employees at least on the contract i was working there was flexibility for hours worked if you had an appointment just make up the hours in the week after being ill my contract ended thanks to the current abomination of an administration but they did everything possible to find another contract for me and kept me for several months while i and they looked and i took trainings to expand my skills no other company does that the pay was nowhere near a living wage but they give raises when they notice a good employee and they want you to succeed the health insurance like everywhere else is exorbitant there is a 0 employee option but the deductible is equal to paying the higher premium which is 1 3 of a paycheck,US,state_code:PA
100723938,I have seen substantial percentage of employees are with Booz Allen for 20 years Later I found why when I myself experienced the company culture Good pay health insurace 401K PTO policy and especially bench period way better than other industry peers,i have seen substantial percentage of employees are with booz allen for 20 years later i found why when i myself experienced the company culture good pay health insurace 401k pto policy and especially bench period - way better than other industry peers,i understand the director and above level get annual bonus where the employees below director level get minimal annual salary raise,5.0,2025-10-17,Lead Associate,"McLean, VA",REGULAR,I have seen substantial percentage of employees are with Booz Allen for 20 years Later I found why when I myself experienced the company culture Good pay health insurace 401K PTO policy and especially bench period way better than other industry peers i have seen substantial percentage of employees are with booz allen for 20 years later i found why when i myself experienced the company culture good pay health insurace 401k pto policy and especially bench period - way better than other industry peers i understand the director and above level get annual bonus where the employees below director level get minimal annual salary raise,US,state_code:VA
100716114,Good people to work with,good people to work with,growth could be faster overall,4.0,2025-10-17,Analyst,"New York, NY",REGULAR,Good people to work with good people to work with growth could be faster overall,US,state_code:NY
100710903,Competitive pay and benefits comparable to other companies in the industry,competitive pay and benefits comparable to other companies in the industry,paid time off could be more generous,5.0,2025-10-16,Senior Consultant,"Arlington, VA",REGULAR,Competitive pay and benefits comparable to other companies in the industry competitive pay and benefits comparable to other companies in the industry paid time off could be more generous,US,state_code:VA
100696799,I had a good experience although after a while I felt like I was on an island with corporate,i had a good experience although after a while i felt like i was on an island with corporate,you need to really reach out and be your own advocate with some of the pms to get yourself recognized or promoted no one in corporate will know who you are unless you are a squeaky wheel or actually go to all of the events they do like to push their contractors into different contracts so be sure to really know what you want out of the work and experience,4.0,2025-10-16,Senior Graphic Designer,"McLean, VA",REGULAR,I had a good experience although after a while I felt like I was on an island with corporate i had a good experience although after a while i felt like i was on an island with corporate you need to really reach out and be your own advocate with some of the pms to get yourself recognized or promoted no one in corporate will know who you are unless you are a squeaky wheel or actually go to all of the events they do like to push their contractors into different contracts so be sure to really know what you want out of the work and experience,US,state_code:VA
100694523,Flexible working from home Salary is top of the market,flexible working from home salary is top of the market,managers aren't honest with employees 2 500 employees get layoff in 2025 for poor management and they knows managers showing favoritism for certain employees vs humiliating new ones working for booz is like getting into a country club with a very narrow social circle it's really hard been accepted,2.0,2025-10-16,Finance Assistant,"McLean, VA",REGULAR,Flexible working from home Salary is top of the market flexible working from home salary is top of the market managers aren't honest with employees 2 500 employees get layoff in 2025 for poor management and they knows managers showing favoritism for certain employees vs humiliating new ones working for booz is like getting into a country club with a very narrow social circle it's really hard been accepted,US,state_code:VA
100683808,Flexible hours and remote work if you don t have a clearance Team is very supportive Doesn t usually require long hours unless you are working on a proposal,flexible hours and remote work if you don't have a clearance team is very supportive doesn't usually require long hours unless you are working on a proposal,this year has been very unstable with lots of layoffs overall morale is down it's hard now to find a new project and without the flexibility to find new projects it can feel like your growth is limited,4.0,2025-10-15,Advanced Data Scientist Lead Associate,"Ashburn, VA",REGULAR,Flexible hours and remote work if you don t have a clearance Team is very supportive Doesn t usually require long hours unless you are working on a proposal flexible hours and remote work if you don't have a clearance team is very supportive doesn't usually require long hours unless you are working on a proposal this year has been very unstable with lots of layoffs overall morale is down it's hard now to find a new project and without the flexibility to find new projects it can feel like your growth is limited,US,state_code:VA
100677617,Excellent benefits and compensation compared to industry averages Smart motivated colleagues who genuinely care about the work Good opportunities for training and professional certifications Flexible work arrangements in some departments Strong brand name and project portfolio that looks great on a résumé,excellent benefits and compensation compared to industry averages smart motivated colleagues who genuinely care about the work good opportunities for training and professional certifications flexible work arrangements in some departments strong brand name and project portfolio that looks great on a résumé,leadership accountability is inconsistent some teams thrive while others are toxic hr and internal complaint processes can feel performative rather than protective advancement often depends on favoritism or relationships rather than merit communication breakdowns between corporate and delivery teams burnout is common in customer-facing roles due to workload and lack of support,3.0,2025-10-15,Manager,"Norfolk, VA",REGULAR,Excellent benefits and compensation compared to industry averages Smart motivated colleagues who genuinely care about the work Good opportunities for training and professional certifications Flexible work arrangements in some departments Strong brand name and project portfolio that looks great on a résumé excellent benefits and compensation compared to industry averages smart motivated colleagues who genuinely care about the work good opportunities for training and professional certifications flexible work arrangements in some departments strong brand name and project portfolio that looks great on a résumé leadership accountability is inconsistent some teams thrive while others are toxic hr and internal complaint processes can feel performative rather than protective advancement often depends on favoritism or relationships rather than merit communication breakdowns between corporate and delivery teams burnout is common in customer-facing roles due to workload and lack of support,US,state_code:VA
100660216,Great managers and supportive team,great managers and supportive team,got affected by mass lay off,4.0,2025-10-14,Management Consultant,"Bethesda, MD",REGULAR,Great managers and supportive team great managers and supportive team got affected by mass lay off,US,state_code:MD
100659201,They let will give you plenty of opportunities to take the fall for upper management,they let will give you plenty of opportunities to take the fall for upper management,extremely unethical you are a number they discriminate against those with mental illness they discriminate against latins they are a failed elitist company,1.0,2025-10-14,Business Analyst,"Charlotte, NC",REGULAR,They let will give you plenty of opportunities to take the fall for upper management they let will give you plenty of opportunities to take the fall for upper management extremely unethical you are a number they discriminate against those with mental illness they discriminate against latins they are a failed elitist company,US,state_code:NC
100654412,Benefits pay education benefits health benefits,benefits pay education benefits health benefits,no job security if you are not on a contract you are let go,4.0,2025-10-14,Devops Engineer,"McLean, VA",REGULAR,Benefits pay education benefits health benefits benefits pay education benefits health benefits no job security if you are not on a contract you are let go,US,state_code:VA
