review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100742245,Good paternity leave and subsidies,good paternity leave and subsidies,not have affordable health insurance,5.0,2025-10-18,Manager,"Washington, DC",REGULAR,Good paternity leave and subsidies good paternity leave and subsidies not have affordable health insurance,US,state_code:DC
100740656,Lots of lateral opportunities in the firm,lots of lateral opportunities in the firm,i enjoy working here and don t have complaints,5.0,2025-10-18,Kowledge Manager,"Washington, DC",REGULAR,Lots of lateral opportunities in the firm lots of lateral opportunities in the firm i enjoy working here and don t have complaints,US,state_code:DC
100737883,Awesome benefits and good salary,awesome benefits and good salary,none that i can think of,5.0,2025-10-18,Analyst,"Chicago, IL",REGULAR,Awesome benefits and good salary awesome benefits and good salary none that i can think of,US,state_code:IL
100734334,Great work life balance lots of time off for holidays and easy to request PTO Very flexible on hybrid schedule and required in office days If you want slightly better than OK pay with great flexibility this position is perfect Great culture and great people to work with EFA Sr Managers and office leads are very easy to talk too Deloitte is a fantastic name to have on resume regardless of position,great work life balance lots of time off for holidays and easy to request pto very flexible on hybrid schedule and required in office days if you want slightly better than ok pay with great flexibility this position is perfect great culture and great people to work with efa sr managers and office leads are very easy to talk too deloitte is a fantastic name to have on resume regardless of position,pay and annual raises bonuses are not great since this position isn t a truly client forward facing position workload can vary between extremely heavy to none at all efa directors operating group don t fully listen to opinions or suggestions of those at lower level and pat themselves on the back for how good everything is hard to get promoted beyond sr consultant manager and sr manager level is based more on company need than actual employee skills very niche side of fp a so the work can be monotonous and not challenging after you get the understanding of it reporting tools like beacon and sap and swift can be a real pain to use client facing partners and md s can sometimes show little respect for our analysis and the value efa brings to the company as with any big company raises and promotions are standardized across the board so can be a struggle to see your actual impact on larger scale,3.0,2025-10-18,Consultant EFA,"Los Angeles, CA",REGULAR,Great work life balance lots of time off for holidays and easy to request PTO Very flexible on hybrid schedule and required in office days If you want slightly better than OK pay with great flexibility this position is perfect Great culture and great people to work with EFA Sr Managers and office leads are very easy to talk too Deloitte is a fantastic name to have on resume regardless of position great work life balance lots of time off for holidays and easy to request pto very flexible on hybrid schedule and required in office days if you want slightly better than ok pay with great flexibility this position is perfect great culture and great people to work with efa sr managers and office leads are very easy to talk too deloitte is a fantastic name to have on resume regardless of position pay and annual raises bonuses are not great since this position isn t a truly client forward facing position workload can vary between extremely heavy to none at all efa directors operating group don t fully listen to opinions or suggestions of those at lower level and pat themselves on the back for how good everything is hard to get promoted beyond sr consultant manager and sr manager level is based more on company need than actual employee skills very niche side of fp a so the work can be monotonous and not challenging after you get the understanding of it reporting tools like beacon and sap and swift can be a real pain to use client facing partners and md s can sometimes show little respect for our analysis and the value efa brings to the company as with any big company raises and promotions are standardized across the board so can be a struggle to see your actual impact on larger scale,US,state_code:CA
100732097,Great benefits including health dental wellness subsidies wfh office subsidy,great benefits including health dental wellness subsidies wfh office subsidy,no room for growth despite extensive networking,3.0,2025-10-17,Consultant,"Washington, DC",REGULAR,Great benefits including health dental wellness subsidies wfh office subsidy great benefits including health dental wellness subsidies wfh office subsidy no room for growth despite extensive networking,US,state_code:DC
100721773,training client exposure benefits etc,training client exposure benefits etc,easy support exploring career paths but difficult to making the move to change practices,4.0,2025-10-17,Cyber and Strategic Risk Analyst,"New York, NY",,training client exposure benefits etc training client exposure benefits etc easy support exploring career paths but difficult to making the move to change practices,US,state_code:NY
100719427,Good leadership committed to advancing your career encourage growth,good leadership committed to advancing your career encourage growth,hierarchy can get confusing and slow lines between departments can limit cross-functional growth,5.0,2025-10-17,Senior Consultant,"Miami, FL",REGULAR,Good leadership committed to advancing your career encourage growth good leadership committed to advancing your career encourage growth hierarchy can get confusing and slow lines between departments can limit cross-functional growth,US,state_code:FL
100709287,Opportunity to work across many different industries and serve all types of clients,opportunity to work across many different industries and serve all types of clients,often it seems to have an up or out culture,5.0,2025-10-16,Manager,"Washington, DC",REGULAR,Opportunity to work across many different industries and serve all types of clients opportunity to work across many different industries and serve all types of clients often it seems to have an up or out culture,US,state_code:DC
100705473,Great coworkers and teams to work with,great coworkers and teams to work with,lots of hours work-life balance,5.0,2025-10-16,Senior Consultant,"Chicago, IL",REGULAR,Great coworkers and teams to work with great coworkers and teams to work with lots of hours work-life balance,US,state_code:IL
100705021,Rewards strongly on merit go getters are usually promoted quickly Great culture although it depends on the individual project and 90 of people are Deloitte nice Room for growth Good exit opportunities Some co workers are very smart lots of learning,rewards strongly on merit go-getters are usually promoted quickly great culture although it depends on the individual project and 90 of people are deloitte-nice room for growth good exit opportunities some co-workers are very smart lots of learning,some projects can be toxic and have poor managers a shocking amount of poor talent despite it's strong reputation likely due to over hiring in 2020,4.0,2025-10-16,GPS Consultant,"Washington, DC",REGULAR,Rewards strongly on merit go getters are usually promoted quickly Great culture although it depends on the individual project and 90 of people are Deloitte nice Room for growth Good exit opportunities Some co workers are very smart lots of learning rewards strongly on merit go-getters are usually promoted quickly great culture although it depends on the individual project and 90 of people are deloitte-nice room for growth good exit opportunities some co-workers are very smart lots of learning some projects can be toxic and have poor managers a shocking amount of poor talent despite it's strong reputation likely due to over hiring in 2020,US,state_code:DC
100702812,Advancement and professional experience can lead to future career opportunities faster than starting in private,advancement and professional experience can lead to future career opportunities faster than starting in private,organizational changes are creating a lot of uncertainty for future career fit,4.0,2025-10-16,Advisory Senior Manager,"New York, NY",REGULAR,Advancement and professional experience can lead to future career opportunities faster than starting in private advancement and professional experience can lead to future career opportunities faster than starting in private organizational changes are creating a lot of uncertainty for future career fit,US,state_code:NY
100685087,Deloitte offers strong pay and benefits,deloitte offers strong pay and benefits,deloitte's clients include fossil fuel supporters of private prisons and weapons manufacturers,1.0,2025-10-15,Producer,"New York, NY",REGULAR,Deloitte offers strong pay and benefits deloitte offers strong pay and benefits deloitte's clients include fossil fuel supporters of private prisons and weapons manufacturers,US,state_code:NY
100684195,Projects can be very fun people are really great,projects can be very fun people are really great,large corporate politics can impact low level employees,4.0,2025-10-15,Senior Consultant,"San Francisco, CA",REGULAR,Projects can be very fun people are really great projects can be very fun people are really great large corporate politics can impact low level employees,US,state_code:CA
100683513,Great learning resources career advancement opportunities and good culture in the GPS practice,great learning resources career advancement opportunities and good culture in the gps practice,expect little or no bonus on the first few years as an analyst consultant,4.0,2025-10-15,Consultant,"Arlington, VA",REGULAR,Great learning resources career advancement opportunities and good culture in the GPS practice great learning resources career advancement opportunities and good culture in the gps practice expect little or no bonus on the first few years as an analyst consultant,US,state_code:VA
100673702,Culture is awesome and leadership listens to employees,- culture is awesome and leadership listens to employees,- large corporation with outdated promotion and bonus structure,5.0,2025-10-15,Manager,"Denver, CO",REGULAR,Culture is awesome and leadership listens to employees - culture is awesome and leadership listens to employees - large corporation with outdated promotion and bonus structure,US,state_code:CO
100672609,Pay Experience large teams corporate,pay experience large teams corporate,time travel long hours tough,3.0,2025-10-15,Experienced Tax Associate,"New York, NY",REGULAR,Pay Experience large teams corporate pay experience large teams corporate time travel long hours tough,US,state_code:NY
100671688,Allows hybrid work model long term projects,allows hybrid work model long term projects,no work life balance in a few projects,4.0,2025-10-15,Solution Architect,"Mechanicsburg, PA",REGULAR,Allows hybrid work model long term projects allows hybrid work model long term projects no work life balance in a few projects,US,state_code:PA
100669694,Fun young atmosphere Recent resume builder,fun young atmosphere recent resume builder,limited skill growth heavy on busy work,2.0,2025-10-15,Consultant,"Chicago, IL",REGULAR,Fun young atmosphere Recent resume builder fun young atmosphere recent resume builder limited skill growth heavy on busy work,US,state_code:IL
100661562,clients in varied industries good exposure opportunities to take the lead,clients in varied industries good exposure opportunities to take the lead,sometimes the expectations are not clear,4.0,2025-10-15,Audit Senior,"San Jose, CA",REGULAR,clients in varied industries good exposure opportunities to take the lead clients in varied industries good exposure opportunities to take the lead sometimes the expectations are not clear,US,state_code:CA
100659843,Independence to get work done,independence to get work done,work life balance can become unbalanced easily,4.0,2025-10-14,Solutions Architect,"Nashville, TN",REGULAR,Independence to get work done independence to get work done work life balance can become unbalanced easily,US,state_code:TN
100659409,Employer provides good benefit packages,employer provides good benefit packages,the pay scale is skewed,3.0,2025-10-14,Engagement Financial Advisor (EFA) Consultant,"Detroit, MI",REGULAR,Employer provides good benefit packages employer provides good benefit packages the pay scale is skewed,US,state_code:MI
100657460,Big 4 do i need to say anymore,big 4 do i need to say anymore,sudden layoffs work pressure travel required,3.0,2025-10-14,Senior Consultant,"Seattle, WA",REGULAR,Big 4 do i need to say anymore big 4 do i need to say anymore sudden layoffs work pressure travel required,US,state_code:WA
100652820,Star culture and people truly care about you,star culture and people truly care about you,long hours mostly during busy season,5.0,2025-10-14,Audit and Assurance Assistant,"Boston, MA",REGULAR,Star culture and people truly care about you star culture and people truly care about you long hours mostly during busy season,US,state_code:MA
100651045,Good teammates interesting work good work life balance,good teammates interesting work good work life balance,low pay utilization is annoying,5.0,2025-10-14,Analyst,"Arlington, VA",REGULAR,Good teammates interesting work good work life balance good teammates interesting work good work life balance low pay utilization is annoying,US,state_code:VA
100635909,unlimited time off and pay for cpa exam fees,unlimited time off and pay for cpa exam fees,long hours and if unlucky not nice team,4.0,2025-10-14,Audit Associate,"New York, NY",REGULAR,unlimited time off and pay for cpa exam fees unlimited time off and pay for cpa exam fees long hours and if unlucky not nice team,US,state_code:NY
100633712,Great benefits of being a part of deloitte,great benefits of being a part of deloitte,no time for work life balance,3.0,2025-10-14,Senior Consultant,"Orlando, FL",REGULAR,Great benefits of being a part of deloitte great benefits of being a part of deloitte no time for work life balance,US,state_code:FL
100632850,Experience and flexibility within the org,experience and flexibility within the org,compensation can be lacking compared to peers,4.0,2025-10-13,Senior Consultant,"Chicago, IL",REGULAR,Experience and flexibility within the org experience and flexibility within the org compensation can be lacking compared to peers,US,state_code:IL
100629298,Decent vacation days if your utilization goals are being met,decent vacation days if your utilization goals are being met,if no work is selling in your area of expertise then you have to be willing to do work you might not be good at which will affect your performance review,3.0,2025-10-13,Senior Consultant,"McLean, VA",REGULAR,Decent vacation days if your utilization goals are being met decent vacation days if your utilization goals are being met if no work is selling in your area of expertise then you have to be willing to do work you might not be good at which will affect your performance review,US,state_code:VA
100626874,Solid pay great culture wonderful people,solid pay great culture wonderful people,interesting work is not always the easiest to find,5.0,2025-10-13,Business Analyst,"Washington, DC",REGULAR,Solid pay great culture wonderful people solid pay great culture wonderful people interesting work is not always the easiest to find,US,state_code:DC
100625760,Variety of projects and tools one gets to work on,variety of projects and tools one gets to work on,client deliverables is above all juggle between client and deloitte expectations,3.0,2025-10-13,Consultant,"New York, NY",REGULAR,Variety of projects and tools one gets to work on variety of projects and tools one gets to work on client deliverables is above all juggle between client and deloitte expectations,US,state_code:NY
