review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100741114,Super collaborative and great learning evironment,super collaborative and great learning evironment,nothing to note that was worth noting,5.0,2025-10-18,Staff,"Los Angeles, CA",REGULAR,Super collaborative and great learning evironment super collaborative and great learning evironment nothing to note that was worth noting,US,state_code:CA
100723794,Unmatched learning curve Prestige amp career mobility,unmatched learning curve prestige career mobility,work-life balance repetitive workload limited flexibility in scheduling,4.0,2025-10-17,Auditor,"Los Angeles, CA",REGULAR,Unmatched learning curve Prestige amp career mobility unmatched learning curve prestige career mobility work-life balance repetitive workload limited flexibility in scheduling,US,state_code:CA
100723051,Opportunity to network lots of mentors willing to help who make the time for meaningful relationships Flexible Great work experience you get to work with the best of the best and really hone your technical skills Opportunity to give back to the community to your teams,- opportunity to network lots of mentors willing to help who make the time for meaningful relationships - flexible - great work experience you get to work with the best of the best and really hone your technical skills - opportunity to give back to the community to your teams,- a lot of focus on kpis hard numbers like utilization sales book of business - some ageism as with most consulting firms looking for young blood,5.0,2025-10-17,Senior Manager,"New York, NY",REGULAR,Opportunity to network lots of mentors willing to help who make the time for meaningful relationships Flexible Great work experience you get to work with the best of the best and really hone your technical skills Opportunity to give back to the community to your teams - opportunity to network lots of mentors willing to help who make the time for meaningful relationships - flexible - great work experience you get to work with the best of the best and really hone your technical skills - opportunity to give back to the community to your teams - a lot of focus on kpis hard numbers like utilization sales book of business - some ageism as with most consulting firms looking for young blood,US,state_code:NY
100720637,Pretty good benefits fairly flexible great teams and people lots of training and learning opportunities,pretty good benefits fairly flexible great teams and people lots of training and learning opportunities,long hours a lot of pressure multiple busy seasons and lack of flexibility during busy season,3.0,2025-10-17,Assurance Manager,"New York, NY",REGULAR,Pretty good benefits fairly flexible great teams and people lots of training and learning opportunities pretty good benefits fairly flexible great teams and people lots of training and learning opportunities long hours a lot of pressure multiple busy seasons and lack of flexibility during busy season,US,state_code:NY
100712864,You ll gain diverse experience working with many clients across industries which accelerates your professional growth The work challenges you constantly it s truly a drinking from a firehose environment that matures you quickly and sharpens your skills If you re looking to learn a lot in a short period of time and push yourself this is the place to do it,you ll gain diverse experience working with many clients across industries which accelerates your professional growth the work challenges you constantly it s truly a drinking from a firehose environment that matures you quickly and sharpens your skills if you re looking to learn a lot in a short period of time and push yourself this is the place to do it,work-life balance is virtually non-existent the hours are long and the environment can be mentally and emotionally draining leadership can feel inconsistent some leaders seem underqualified or disconnected from project realities yet operate with excessive confidence there s a noticeable lack of team camaraderie and competition often replaces collaboration ego and pride can dominate interactions and there s little investment in team building or creating a healthy culture it s a tough environment that keeps you on edge rather than fostering trust or support,3.0,2025-10-16,Technology Strategy Manager,"Atlanta, GA",REGULAR,You ll gain diverse experience working with many clients across industries which accelerates your professional growth The work challenges you constantly it s truly a drinking from a firehose environment that matures you quickly and sharpens your skills If you re looking to learn a lot in a short period of time and push yourself this is the place to do it you ll gain diverse experience working with many clients across industries which accelerates your professional growth the work challenges you constantly it s truly a drinking from a firehose environment that matures you quickly and sharpens your skills if you re looking to learn a lot in a short period of time and push yourself this is the place to do it work-life balance is virtually non-existent the hours are long and the environment can be mentally and emotionally draining leadership can feel inconsistent some leaders seem underqualified or disconnected from project realities yet operate with excessive confidence there s a noticeable lack of team camaraderie and competition often replaces collaboration ego and pride can dominate interactions and there s little investment in team building or creating a healthy culture it s a tough environment that keeps you on edge rather than fostering trust or support,US,state_code:GA
100709891,Amazing benefits Competitive pay Long maternity leave,amazing benefits competitive pay long maternity leave,brutal hours and expectations no work life balance,3.0,2025-10-16,Staff Accountant,"Greenville, SC",REGULAR,Amazing benefits Competitive pay Long maternity leave amazing benefits competitive pay long maternity leave brutal hours and expectations no work life balance,US,state_code:SC
100707081,good work and life balance,good work and life balance,boring job and small scope,4.0,2025-10-16,Unknown role,"Indianapolis, IN",REGULAR,good work and life balance good work and life balance boring job and small scope,US,state_code:IN
100706139,entrepreneurial you re your own boss good benefits,- entrepreneurial - you're your own boss - good benefits,- its up to you to ask questions and figure out norms and how to advance - the firm is very siloed and there's no central place to find answers to questions,3.0,2025-10-16,FSO Business Consultant,"Chicago, IL",REGULAR,entrepreneurial you re your own boss good benefits - entrepreneurial - you're your own boss - good benefits - its up to you to ask questions and figure out norms and how to advance - the firm is very siloed and there's no central place to find answers to questions,US,state_code:IL
100686837,Great people and benefits Big community,great people and benefits big community,brutal hours and grueling work felt unappreciated at times,4.0,2025-10-15,FSO Tax Senior,"Chicago, IL",REGULAR,Great people and benefits Big community great people and benefits big community brutal hours and grueling work felt unappreciated at times,US,state_code:IL
100682694,The people at EY are great,the people at ey are great,busy season is very demanding for the pay,4.0,2025-10-15,Senior Associate,"Tampa, FL",REGULAR,The people at EY are great the people at ey are great busy season is very demanding for the pay,US,state_code:FL
100677388,Great culture stable project pipeline,great culture stable project pipeline,strict and limited investment options,4.0,2025-10-15,IT SAP Manager,"Atlanta, GA",REGULAR,Great culture stable project pipeline great culture stable project pipeline strict and limited investment options,US,state_code:GA
