"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103760806","Good pay and benefits, but tough work/life balance","Good pay and benefits, but tough work/life balance","Good pay, great benefits, lot of opportunity within company if you do well","Work/life balance cut throat if you want to be high flyer a lot of bad refinery locations","4.0","2026-04-28T21:33:23.127","Former employee - Corrosion Engineer","Beaumont, TX","REGULAR","next_f"
"103679935","Great training opportunities, but expect long hours","Great training opportunities, but expect long hours","Company invest lots of time into trainings and employee events","Plan for 60 hour work weeks","3.0","2026-04-22T19:47:12.433","Current employee - Facilties Engineer","Midland, TX","REGULAR","next_f"
"103669973","Toxic environment despite decent pay","Toxic environment despite decent pay","Pays the bills, benefits not very competitive","New Mexico group is toxic","2.0","2026-04-22T07:35:02.643","Current employee - Production Superintendent","Midland, TX","REGULAR","next_f"
"103638551","Great benefits but competitive atmosphere with great vacation days","Great benefits but competitive atmosphere with great vacation days","Flex time and really great benefits","Very competitive corporate atmosphere and little vacation days.","5.0","2026-04-20T09:22:09.500","Former employee - Project Manager","Houston, TX","REGULAR","next_f"
"103636320","Solid pay and strong culture, but long hours","Solid pay and strong culture, but long hours","Solid pay Strong culture Good benefits","Hours Flucuations in market tend to fuel culture at work","4.0","2026-04-20T06:45:24.193","Former employee - Analyst","Houston, TX","REGULAR","next_f"
"103548647","Positive environment with no downsides","Positive environment with no downsides","Good environment, good pay, opportunity","overall all good but still sometimes feels like","2.0","2026-04-13T15:07:32.877","Former employee - Simulation Engineer","Houston, TX","REGULAR","next_f"
"103547215","Good benefits but a competitive atmosphere","Good benefits but a competitive atmosphere","Good benefits. Lots of international opportunities.","Extremely competitive environment and shrinking footprint in the US.","3.0","2026-04-13T13:11:42.630","Current employee - Risk and Controls Manager","Spring, TX","REGULAR","next_f"
"103513727","Friendly environment with good management, but no bonuses","Friendly environment with good management, but no bonuses","Good company, friendly environment good management","Not really any cons other than no bonuses","5.0","2026-04-10T08:54:24.020","Current employee - Pipeline Controller","Houston, TX","REGULAR","next_f"
"103471322","Good pay but expect long hours","Good pay but expect long hours","Good pay and mid benefits honestly","Hours are very long at times","4.0","2026-04-07T17:45:29.763","Current employee - Engineer","Beaumont, TX","REGULAR","next_f"
"103371368","Competitive","Competitive","Good pay, good opportunities if you network right","Can get pigeonholed; highly dependent on your supervisor","4.0","2026-03-30T16:25:09.033","Former employee - Drilling Engineer","Houston, TX","REGULAR","next_f"
"103343111","TOXIC","TOXIC","Toxic supervisors, favoritism and nepotism","Supervisors are narcissists, toxic gang like behaviors stay away. Dont get tricked by the name of the company","1.0","2026-03-27T22:16:19.310","Former employee - Contact Engineer","Baytown, TX","REGULAR","next_f"
"103252124","Lots of learning, but lots of work","Lots of learning, but lots of work","Countless opportunities for learning and exposure","Poor work life balance and lots of processes in place","3.0","2026-03-20T17:08:06.587","Current employee - Reservoir Engineer","Houston, TX","REGULAR","next_f"
"103231534","Competitive, interesting, well compensated","Competitive, interesting, well compensated","Job rotations keep things interesting. Global, world class company. Job security through the commodity cycles.","Overly competitive performance for limited upside. Compression on US salaries / potential with offshoring of jobs.","4.0","2026-03-19T05:32:43.077","Current employee - Senior Finance Advisor","Houston, TX","REGULAR","next_f"
"103219799","Bad Show","Bad Show","Salary was well above industry peers for entry-level instrument role.","Very inexperienced work force with lack of knowledge in their career fields. Expected to work long hours doing administrative MOC work with little or no engineering input ever required. Just attend meetings and file paper work. Will be replaced with AI in a few years.","1.0","2026-03-18T09:15:24","Former employee - Instrument Engineer","Baytown, TX","REGULAR","next_f"
"103195219","Commercial Analyst","Commercial Analyst","Smartest people you will ever work with","Constantly busy, never ending work","4.0","2026-03-16T18:30:04.813","Current employee - Commercial Analyst","Spring, TX","REGULAR","next_f"
"103120400","Special","Special","Some smart people make it worth it","Lots of idiots and people that coastâ¦.","1.0","2026-03-10T17:10:56.003","Former employee - Analyst","Houston, TX","REGULAR","next_f"
"103112602","Great salary and benefits, but life sucking environment","Great salary and benefits, but life sucking environment","Very good engineering company with brilliant coworkers, Amazing salary and benefits, pension and generous 401K. I retired at 58 yo with an amazing pension package that put me in the top 3% of US retirees.","Job satisfaction in an abstract concept. Job employment security is nonexistent and the employee performance system is highly subjective. I had a very succesful career for 34 years, but recognize that it is a toxic environment and the company is not just for anyone. It requires a high tolerance for abuse, daily grind and long hours.","3.0","2026-03-10T07:47:55.170","Former employee - Engineering Manager","Baton Rouge, LA","REGULAR","next_f"
"103031825","ExxonMobil","ExxonMobil","Pension plan still offered by company.","Culture (crabs in a bucket)","3.0","2026-03-03T16:12:41.173","Current employee - Process Technician","Beaumont, TX","REGULAR","next_f"
"102909451","Great company","Great company","Good benefits and salary, lots of projects and training. Grear for long term careers","If you donât rank high doors wonât open to new and exciting opportunities","4.0","2026-02-21T18:50:27.020","Former employee - Inventory Accounting Analyst","Joliet, IL","REGULAR","next_f"
"102900944","A Dying Juggernaut","A Dying Juggernaut","Average salary. Ownership. Some good people. Learning curve.","Terrible culture. I basically dislike almost everyone I worked with except a few. Others said the same.","2.0","2026-02-20T14:35:19.423","Former employee - Process Engineer","Baytown, TX","REGULAR","next_f"
"102856363","Think first","Think first","Excellent pay; global opportunities, well funded R&amp;D,","Forced ranking performance assessment with a 5-8% PIP requirement","3.0","2026-02-17T09:57:46.840","Former employee - Chief Scientist","Houston, TX","REGULAR","next_f"
"102821714","Will Overwork You","Will Overwork You","'- Interesting work - Good pay/benefits","'- Toxic work environment - Constantly overloaded with work","2.0","2026-02-13T09:55:28.143","Former employee - Engineer","Baytown, TX","REGULAR","next_f"
"102708542","review","review","the culture was pretty good","work was not the best","3.0","2026-02-05T23:26:45.347","Former employee - Intern","Houston, TX","REGULAR","next_f"
"102657395","ExxonMobil Review","ExxonMobil Review","Good people, challenging work, high pay relative to industry","Lack of clear direction on future of both the company and the various organizations. Seems to be an intentional shift away from American talent for individual contributor positions, and replacing with lower cost technology centers. Doesn't seem to have the same long term career focus or interest at the individual level.","3.0","2026-02-03T19:20:55.547","Current employee - Advanced Manufacturing Engineer","Houston, TX","REGULAR","next_f"
"102654518","Thoughts","Thoughts","Smart people where there is a lot to learn","Difficult promotion cycle that eats up everyone's time","4.0","2026-02-03T15:58:35.013","Former employee - Data Scientist","Spring, TX","REGULAR","next_f"
"102541010","Great place to work","Great place to work","Location, people, campus, rewarded for hard work, work from home once a week, good benefits, your work makes an impact, amazing career opportunities, opportunity to work abroad.","It can be a bit over competitive at times.","5.0","2026-01-28T19:22:41.220","Current employee - Financial Controller","Houston, TX","REGULAR","next_f"
"102520078","Xom process","Xom process","Pay decent Benefits decent Schedule","Moral Culture Opportunities to move up into other roles mainly for salaried folks. Ranking system for raises for salaried folks.","3.0","2026-01-27T23:40:53.270","Current employee - Process Operator","Baytown, TX","REGULAR","next_f"
"102463597","Extra corporate","Extra corporate","Paid paternity leave, beautiful campus, global presence","performance assessment process, corporate culture","3.0","2026-01-25T04:22:48.547","Current employee - Reservoir Engineer","Houston, TX","REGULAR","next_f"
