"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103080274",".",".","Salary, comfort, people, free time","Nothing, nothing, nothing, nothing, nothing","5.0","2026-03-07T08:35:32.367","Current employee - Software Engineer","New York, NY","REGULAR","next_f"
"103080141","Great perks","Great perks","Great workplace, good employee benefits","High workload and high expectations","5.0","2026-03-07T08:11:40.323","Former employee - Technical Support Engineer","Singapore","REGULAR","next_f"
"103079726","Great","Great","nice food and choices of food you can get","sometime boring work, feels like i'm behind in the industry","5.0","2026-03-07T07:00:37.930","Former employee - Software Engineer","Mountain View, CA","REGULAR","next_f"
"103077882","BEST COMPANY","BEST COMPANY","nice food, nice people, nice weather","very far from my home, i miss my home","5.0","2026-03-07T01:00:02.330","Current employee - Product Designer","Bengaluru","REGULAR","next_f"
"103077803","Talented people, fast paced, a bit chaotic","Talented people, fast paced, a bit chaotic","It still has some of the startup innovative culture that itâs known for - the freedom to try things and move fast","It is becoming more corporate and increasingly weighed down by multiple stakeholder signoffs","4.0","2026-03-07T00:44:47.077","Former employee - Senior Marketing Manager","London, England","REGULAR","next_f"
"103076975","Good","Good","Good culture approve the ceo","Good work life balance Good PTO policy","5.0","2026-03-06T21:44:55.900","Current employee - Engineer","Boston, MA","PART_TIME","next_f"
"103076682","Great team","Great team","Hard working smart people mostly","Too big for me easy to get lost","3.0","2026-03-06T20:56:56.870","Former employee","Unknown location","REGULAR","next_f"
"103075987","Great people - good times","Great people - good times","Work life balance - understanding","lots and lots of drama sometimes","4.0","2026-03-06T18:46:31.060","Former employee - Advancement","Plano, TX","REGULAR","next_f"
"103075623","Good gig","Good gig","Great pay for family life","Workload is heavy and intense","4.0","2026-03-06T17:46:36.370","Former employee - Quantitative Analyst","Japan, PA","REGULAR","next_f"
"103070009","Good Work life balance.","Good Work life balance.","1) Great perks like food, cab , massage 2) You get to work on latest technode. 3) Flow is not stable , so there is lot of learning.","1) Top heavy management. Individual contributors are less. 2) Slow growth.","4.0","2026-03-06T08:07:10.277","Current employee - Physical Design Engineer","Bengaluru","REGULAR","next_f"
"103069767","Best company with best hike","Best company with best hike","Growth, salary, network, people, flexible","Nothing much. A good team to work","5.0","2026-03-06T07:48:32.130","Current employee - PM apprentice","Bangalore Rural","REGULAR","next_f"
"103067807","Really awesome work culture!","Really awesome work culture!","I think the pros are already known the flexibility to work from anywhere the food and the benefits.","Job security will be the con I guess for men atleast.","4.0","2026-03-06T04:56:59.083","Current employee - Software Engineer","Gurgaon, Haryana","REGULAR","next_f"
"103065716","Good WLB but getting political","Good WLB but getting political","Good wlb and benefits and other","Getting political. I dont think its merit based anymore","4.0","2026-03-06T00:46:44.690","Current employee - Sales Associate","Seoul","REGULAR","next_f"
"103065282","Great company to work for","Great company to work for","perks, visibility, benefits, salary, culture","pressure, difficult to grow, AI bubble, little transferable skills,","5.0","2026-03-05T23:37:24.077","Former employee - Industry Manager","Vilnius","REGULAR","next_f"
"103064943","I dont have to tell u about this","I dont have to tell u about this","Awesome work culture, free gym, free food, u can post on instagram about this and get followers.","Leave only if you want to start a business","4.0","2026-03-05T22:51:50.317","Former employee - Senior Software Engineer","Bengaluru","REGULAR","next_f"
"103059797","Great Place to work","Great Place to work","It thrives on people with innovative ideas and a mindset","If you don't keep up, you will be left behind","4.0","2026-03-05T13:04:04.360","Current employee","Unknown location","","next_f"
"103059771","Co-workers are nice","Co-workers are nice","They always say hi and seem friendly","Sometimes you just get ignored or stared at","4.0","2026-03-05T13:02:22.527","Current employee - Janitor","London, England","PART_TIME","next_f"
"103058335","Great company","Great company","- Great career growth - Great people to work with","Really nothing that I can think of","5.0","2026-03-05T11:10:53.213","Former employee","Unknown location","PART_TIME","next_f"
"103057144","work experience","work experience","It offers good work life balance","Might experience slow growth speed","4.0","2026-03-05T09:43:06.773","Current employee","Unknown location","REGULAR","next_f"
"103056657","good company","good company","It was great working. Awesome work and people","Work is relatively slow due to the layered hierarchy","4.0","2026-03-05T09:07:24.110","Former employee - Software Development Engineer (SDE)","HyderÄbÄd","REGULAR","next_f"
"103050998","Good","Good","Good job, good company, good salary","Does not have any cons","3.0","2026-03-05T00:23:34.173","Current employee - Software Engineer","Ho Chi Minh City","REGULAR","next_f"
"103050576","Software","Software","Nothing as of now all good","Great work culture and team","5.0","2026-03-04T23:30:05.110","Current employee - Software Engineer","Mumbai","REGULAR","next_f"
"103049925","Left because of the genocide","Left because of the genocide","Great enthusiastic people to work with.","We knew about their work on project like nimbus. Wanted to leave the company for sometime anyway due to morals.","1.0","2026-03-04T22:11:29.563","Former employee - Software Engineer","San Francisco, CA","REGULAR","next_f"
"103049030","review tech mahindra","review tech mahindra","good learning opportunity for freshers to start","bad compensation as compared to the work you do.","5.0","2026-03-04T20:09:26.780","Current employee","Pune","REGULAR","next_f"
"103043228","Great perks","Great perks","Great perks, lots of coverage, nice and helpful teamates","Can feel slow, not much help from management, getting stuff done can seem like an uphill battle","4.0","2026-03-04T10:58:42.933","Current employee - Software Engineer","New York, NY","REGULAR","next_f"
"103042933","Good","Good","Good company never dissappoint job","So much workload and stress","4.0","2026-03-04T10:40:33.150","Current employee - Software Developer","Manila, Manila","REGULAR","next_f"
"103041223","Good","Good","Good work life balance, nice.","Political a lot, not suitable for everyone.","5.0","2026-03-04T08:46:24.693","Current employee","Unknown location","REGULAR","next_f"
"103034679","Great work-life balance, but can be slow-moving","Great work-life balance, but can be slow-moving","Great work-life balance Smart, kind co-workers Amazing benefits","Difficult career growth at higher levels, can be political at times Projects move slowly Lack of real momentum/drive to finish things Leadership churn","4.0","2026-03-03T21:40:54.240","Current employee - Senior Software Engineer","Sunnyvale, CA","REGULAR","next_f"
"103031559","Great place to start out, lots of room to grow","Great place to start out, lots of room to grow","Lots of talented and smart people, great benefits, lots of room to grow and learn from others. Kinda easy to coast but there's also lots of pushing to grow and see results. Great place to advance, learn a lot, and be around smart people. Also really nice buildings and great food.","Leadership is increasingly perceived as not listening to typical rank-and-file employees. Quiet layoffs throughout the past few years (a team here, some managers there, a re-org causing a few people to be laid off, etc.) has put a damper on morale. I was also laid off which is disappointing since my team and position in Google Cloud was focused on operations, efficiency, and cost-savings. Not completely sure of the decisions to continue laying people off when there is so much work to do which stretches remaining employees even more.","4.0","2026-03-03T15:45:23.873","Former employee - Software Engineer III","Sunnyvale, CA","REGULAR","next_f"
"103028241","Fantastic","Fantastic","career growth, flexibility, autonomy, trainings.","it takes a long time to get promoted and work your way up.","5.0","2026-03-03T11:27:17.980","Current employee - Administrative Business Partner","San Bruno, CA","REGULAR","next_f"
"103027636","Great company!","Great company!","Really great company to work for. Great reputation, great management great leadership, and awesome offices and workspace.","Inventing times and the competition is very vigorous","5.0","2026-03-03T10:47:13.437","Former employee - Marketing Specialist","San Francisco, CA","REGULAR","next_f"
"103025208","Very Good","Very Good","Salary, Work Culture,Bonus, Transportation, Increments.","No cons are their to mention","5.0","2026-03-03T08:11:05.237","Current employee - Software Engineer","HyderÄbÄd","REGULAR","next_f"
"103019020","Good Learning Place","Good Learning Place","Good Learning Place for starters","May be a distance to reach","3.0","2026-03-02T21:46:34.957","Current employee - Associate","Kuala Lumpur","REGULAR","next_f"
"103018859","Great company overall","Great company overall","1. Excellent team members and product 2. Well established development process and toolings 3. Great work life balance","1. Less flexible over time 2. Some areas, especially AI related, can be crowded","5.0","2026-03-02T21:22:00.400","Current employee","Unknown location","REGULAR","next_f"
"103018197","best","best","best for all junior roles","not so good and worst exp","5.0","2026-03-02T19:53:29.823","Current employee - Software Development Engineer (SDE)","Dubai","REGULAR","next_f"
"103017952","big opportunity, big workload","big opportunity, big workload","there is competitive pay &amp; benefits","heavy workload and high expectations","5.0","2026-03-02T19:25:18.400","Former employee","Unknown location","REGULAR","next_f"
"103014245","Software","Software","- High pay and fun place to work","- Lots of deadlines that cause stress","5.0","2026-03-02T13:02:25.153","Former employee - Software Engineer","Toronto, ON","REGULAR","next_f"
"103013895","Marketing Analytics job at Google","Marketing Analytics job at Google","Give you enough freedom to work.","Intensive work culture to meet business outcomes. Not really a con but your said responsibility.","5.0","2026-03-02T12:38:03.433","Current employee - Business Data Scientist","Kirkland, WA","REGULAR","next_f"
"103013887","Benefits","Benefits","Good $01k plan and Insurance","Big tech usual companies issues (approvals overhead etc)","4.0","2026-03-02T12:37:14.470","Current employee - Senior Swe","New York, NY","REGULAR","next_f"
"103013844","Good WLB","Good WLB","WLB benefits in the offine","Very slow pace of things","5.0","2026-03-02T12:35:04.320","Current employee","Unknown location","REGULAR","next_f"
