"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103131813","All work, no play. The nature of remote engineering.","All work, no play. The nature of remote engineering.","Pay and benefits are good, very generous parental leave. (Too bad I wasn't around long enough to take advantage of it) Remote positions available.","It was hard to connect with coworkers due to the remote setting of the job. I learned nothing about what my coworkers are like besides their work antics. Thus there wasn't anyone that would get to joke around with as every Slack message was business. The main reason being that there was so much to do that often times it's a 9-10 hour day due to the need to collaborate between different time zones e.g. 7PM CST = 5PM PST. They won't hesitate to let you go for the benefit of the bottom line during times when the chips are down as a corporation would. The silver lining is that since there was no personal connections made at the company, I felt little when it came time to leave. At least there's severance available when that happens.","4.0","2026-03-11T10:18:36.380","Former employee - Cloud Developer","Spring, TX","REGULAR","next_f"
"103104089","If you don't have any other option","If you don't have any other option","Good work life balance, if you end up in a good team and good teammates you will not struggle much OR join here if you want a retirement company","Not much growth, manager have favourites, even if you perform good its not up to your performance for you to get raise/bonus/promotions.","3.0","2026-03-09T17:15:18.660","Current employee - Systems Software Engineer","Boston, MA","REGULAR","next_f"
"102975066","Great company with great benefits.","Great company with great benefits.","Amazing benefits : 401k matching up to 4%, medical, dentist and eye health insurance, unlimited Pto, employee wellness days during summer, hybrid work place - 2 days a week at the office. Recognition points $$. Christmas party, just to name a few.","Itâs corporate America, so WFRs are always happening somewhere and a lot of red tape and bureaucracy internally for any process.","5.0","2026-02-26T14:02:05.990","Current employee - Technical Consultant IV","Alpharetta, GA","REGULAR","next_f"
"102974989","Decent","Decent","friendly but slightly bureaucratic, overall decent environment","benefits are lacking in many aspect","3.0","2026-02-26T13:56:30.207","Former employee - Software Engineer","Sunnyvale, CA","REGULAR","next_f"
"102933373","Good WLB","Good WLB","good WLB and good working environment","low pay. poor management. frequent reorg","3.0","2026-02-24T00:01:13.370","Current employee - Software Engineer II","Spring, TX","REGULAR","next_f"
"102898498","Work Life","Work Life","Great work-life balance and benefits","No cons, need to invest more in AI.","5.0","2026-02-20T10:33:11.783","Current employee - Engineeering Manager","Sunnyvale, CA","REGULAR","next_f"
"102876152","Solid place","Solid place","Great culture and high value projects","Internal moves can be delayed","5.0","2026-02-18T19:48:44.507","Current employee - Operations Associate","Houston, TX","REGULAR","next_f"
"102846465","Good team and company culture","Good team and company culture","Good team and manager Nice coworkers Good work life balance","Less pay compared to other companies","4.0","2026-02-16T14:42:00.247","Current employee - Program Manager","Houston, TX","REGULAR","next_f"
"102796793","Good place to work","Good place to work","Good company respecting Employees with good benefits","As most IT companies feeling pain in the moment","4.0","2026-02-11T15:25:18.807","Current employee - HR Systems Analyst","Plano, TX","REGULAR","next_f"
"102769082","Great company","Great company","Good company great product, lots of things to do.","A very big colony and the political","5.0","2026-02-10T04:33:44.723","Former employee - Sales","Sidney, KY","REGULAR","next_f"
"102753951","HPE","HPE","very talented co-workers to work with","executive leadership only cares about driving stock value and will cut employees just to make wall street happy. results in employees doing 2 or 3 jobs.","2.0","2026-02-09T08:49:50.130","Former employee - Financial Analyst","Pontiac, MI","REGULAR","next_f"
"102735063","System Firmware engineer","System Firmware engineer","Work life balance is great","Hard to move up within the company","4.0","2026-02-07T22:43:25.370","Current employee - System Firmware Engineer","Fort Collins, CO","REGULAR","next_f"
"102730134","Here goes a ride","Here goes a ride","Great pay Work from home","no direction no leadership high stress","5.0","2026-02-07T09:41:10.117","Current employee - Inside Sales Account Manager","Raleigh, NC","REGULAR","next_f"
"102699162","Interesting work, pay is a little under industry but doable since work is interesting","Interesting work, pay is a little under industry but doable since work is interesting","I like that much of the work we do here is interesting","Pay is below average for industry","4.0","2026-02-05T11:40:32.200","Current employee - Senior Consultant","Austin, TX","REGULAR","next_f"
"102696526","Solid Company, moves slow","Solid Company, moves slow","Decent salary, competitive benefits, flexible schedule and remote environment","Moves slow. Management is made up of employees who have been there for decades leaving little room for innovation or trying new processes","4.0","2026-02-05T09:42:39.187","Current employee - Customer Success Manager","Roseville, CA","REGULAR","next_f"
"102674740","Good WLB","Good WLB","work life balance culture team mates","old tech slow processes employee benefits insurance","3.0","2026-02-04T11:51:36.820","Former employee - Senior Software Engineer","Palo Alto, CA","REGULAR","next_f"
"102666724","Great company","Great company","Great benefits: unlimited PTO, good health insurance, amazing parental leave","It all depends on what team you are in","5.0","2026-02-04T06:10:51.573","Former employee - Sr Software Engineer","Seattle, WA","REGULAR","next_f"
"102618792","New Attorney Program","New Attorney Program","Early career opportunity for new attorneys.","May not be offered every year. Usually starts out as an associate during law school then turns into an offer post grad if applicable.","4.0","2026-02-02T07:32:54.317","Former employee - Corporate Counsel","Spring, TX","REGULAR","next_f"
"102612167","Sales Org Needs Stability","Sales Org Needs Stability","Cross-functional folks are great, although a lot of them left recently. Great products via acquisitions including Juniper","Annual restructuring of the Sales org Average benefits Average pay","3.0","2026-02-02T00:23:16.560","Former employee - Sales Representative","Irvine, CA","REGULAR","next_f"
"102419702","Good company","Good company","Great benefits and culture at HPE","low pay compared to other companies","5.0","2026-01-22T09:13:15.897","Current employee - Computer Specialist","Houston, TX","REGULAR","next_f"
"102401091","Mediocre","Mediocre","Big company, experience to use different tools","Company felt disorganized. Several different data sources and often unclear how to access them. Potential for Shadow IT. Lots of employees in other countries/India.","4.0","2026-01-21T13:30:42.307","Former employee - Business Intelligence Developer","Houston, TX","REGULAR","next_f"
"102381486","Make sure ALL know how valuable you are","Make sure ALL know how valuable you are","Great learning opportunities, new challenges, feel rewarded","In the end share holder earnings win out over their customer experience. They will lay off a worker that does onsite work for a customer without even thinking about how that work will be continued once position is sent off shore.","4.0","2026-01-20T20:05:04.337","Current employee - Senior Technical Consultant","Houston, TX","REGULAR","next_f"
"102370383","Mixed Bag","Mixed Bag","High OTE and brand recognition","Not market leader and many reps low attainment, a handful crushing it.","3.0","2026-01-20T10:08:03.570","Former employee - Enterprise Account Executive","Houston, TX","REGULAR","next_f"
"102353313","SDR","SDR","great benefits, great culture, great team","Very siloed, hard to network","5.0","2026-01-19T17:15:20.097","Former employee - Sales Development Representative (SDR)","Dallas, TX","REGULAR","next_f"
"102305190","Great Work/Life Balance","Great Work/Life Balance","Great work/life balance. Management is respectful","Didn't see a lot of opportunities for growth","4.0","2026-01-16T12:58:00.903","Current employee - Senior Support Engineer","Raleigh, NC","REGULAR","next_f"
"102296864","Great teamates","Great teamates","good vibes good tech overall","long hours but steady income","4.0","2026-01-16T05:58:31.170","Former employee - Junior Devops Engineer","Israel, TX","PART_TIME","next_f"
"102182324","Poor management &amp; direction","Poor management &amp; direction","Decent benefits compared to smaller companies","Ineffective management â many managers lacked technical depth and relied heavily on metrics rather than real engineering insight â¢ Process over product â excessive meetings, reporting, and bureaucracy slowed development and innovation â¢ Unclear ownership â responsibilities between teams were often ambiguous, leading to finger-pointing when issues arose","2.0","2026-01-10T19:58:10.030","Former employee - Sr. QA Automation Engineer","San Jose, CA","REGULAR","next_f"
"102171796","great","great","Benefits and time off is fine here","Salary is not commensurate with the work","4.0","2026-01-09T20:38:14.657","Current employee - Consultant","Boston, MA","REGULAR","next_f"
"102133068","It was ok","It was ok","Just your average IT engineering position within the database team","Not any to bring up","3.0","2026-01-08T01:40:29.920","Former employee - IT Engineer","Houston, TX","REGULAR","next_f"
"102122854","Surprisingly competitive and improving","Surprisingly competitive and improving","Good tech stack with lot of learning curve","Switching teams is not straightforward","4.0","2026-01-07T13:39:59.707","Current employee - Senior Software Engineer","San Jose, CA","REGULAR","next_f"
"101997211","Review on Networking Division","Review on Networking Division","Best division to work, leadership is great","Nothing to mention, every thing looks great","4.0","2025-12-29T05:14:33.537","Current employee - Sr. Director","Sunnyvale, CA","REGULAR","next_f"
"101949608","Legacy Juniper - Was good before being laid off in December","Legacy Juniper - Was good before being laid off in December","Juniper had better than average benefits and pay and seemed to be employee focused.","HPEâs benefits are meaningfully worse than Juniperâs, and the integration strategy for the combined product lines remains opaque. There is widespread uncertainty around how overlapping portfoliosâparticularly in switching, Wi-Fi, and WAN/SD-WANâwill be resolved. Despite the long wait for merger approval, there seems to have been limited advance planning for either the products or the organization. Customers who are frustrated by the absence of clear roadmaps shouldnât take it personally; internal HPE teams are largely in the dark too.","3.0","2025-12-23T09:01:01.833","Former employee - Sales Engineer","Washington, DC","REGULAR","next_f"
"101948704","Great company","Great company","Excellent benefits, and great pay overall","None whatsoever. Awesome place to work.","5.0","2025-12-23T07:58:50.013","Former employee - Inside Sales Representative","Portland, OR","REGULAR","next_f"
"101890890","Big Company with Great People","Big Company with Great People","Great benefits and training. World-class reputation and support.","Because it's big, it can be very challenging to navigate the bureaucracy. Not impossible, but ensuring that your team gets the support it needs is not easy.","4.0","2025-12-18T12:49:07.160","Former employee - VP of Sales","San Francisco, CA","REGULAR","next_f"
"101803443","Is a good place to work at","Is a good place to work at","1. Technically gifted people 2. Decent pay and benefits","1. Lack of upward potential","3.0","2025-12-13T13:14:06.447","Current employee - Backup Administrator","Plano, TX","REGULAR","next_f"
"101738761","Workload","Workload","Too much workload crazy deadlines","People are great to work with","4.0","2025-12-09T15:09:11.147","Current employee - Business Analyst","Houston, TX","REGULAR","next_f"
"101680802","Annual changes but overall acceptable","Annual changes but overall acceptable","Generally all leadership appears open to dialog, even if limited the higher in the organization they are.","Organizations and leadership change regularly, so if you're not comfortable with the goal posts moving this probably isn't the place for you.","3.0","2025-12-06T05:51:17.007","Current employee - Senior Manager","Rushville, NY","REGULAR","next_f"
"101660825","Good Place to Work","Good Place to Work","Relatively low career pressure Good work-life-balance","Hard to promote Lower salary","5.0","2025-12-04T23:59:11.227","Former employee - Software Development Engineer (SDE)","Santa Clara, CA","REGULAR","next_f"
"101659710","Hardware Engineer","Hardware Engineer","The culture is very good","No cons worth mentioning here","4.0","2025-12-04T22:17:56.387","Current employee - Hardware Engineer","San Jose, CA","REGULAR","next_f"
"101581795","Almost amazing - inside sales at HPE","Almost amazing - inside sales at HPE","Relatively chill compared to other tech sales sweatshops, some room for growth internally (inside to outside sales, commercial to enterprise), nice-ish people to work with.","No remote or hybrid work option, frequent layoffs, very selective promotions not based on skill, but seniority, pay not as competitive for the value that we bring.","4.0","2025-12-01T11:46:40.220","Current employee - Digital Sales Representative","Spring, TX","REGULAR","next_f"
"101513324","Honest review","Honest review","Great place to work if you would like a laid back work environment","Not a mover and shaker in industry","3.0","2025-11-26T13:00:30.770","Current employee - VP Product Management","San Francisco, CA","REGULAR","next_f"
"101407831","HPE Just does care about employees","HPE Just does care about employees","Money is ok and technology is fun","Management is very weak and views employees as disposable.","1.0","2025-11-20T15:48:56.260","Current employee - Enterprise Architect","Chicago, IL","REGULAR","next_f"
"101403356","Great Place to work at, shaky leadership, stock chasing","Great Place to work at, shaky leadership, stock chasing","Excellent pay and benefits, good teamwork, smart people","Directionless management, constant management shakeups, layoffs","4.0","2025-11-20T11:34:18.647","Former employee - Cloud UI Software Developer","Durham, NC","REGULAR","next_f"
"101402862","Good work balance, opaque management","Good work balance, opaque management","Work from home most of the time.","Opaque company structure and career path","4.0","2025-11-20T11:06:48.443","Current employee - Enterprise Architect","Spring, TX","REGULAR","next_f"
"101267854","Great experience","Great experience","Was able to work remote if I wanted to, lots of intern events.","Nothing, had a great experience during my internship.","5.0","2025-11-13T14:02:38.720","Former employee - Software Engineer Intern","San Jose, CA","REGULAR","next_f"
"101259597","Good Pay","Good Pay","pay, compensation,work life balance ,generous pto ,commission","Kpi's, management. It's hard to get promoted if you don't know anyone","4.0","2025-11-13T08:01:16.860","Current employee - Account Manager","Plano, TX","REGULAR","next_f"
"101123996","From heaven to hell","From heaven to hell","A big company with long history","Compare to juniper: - benefit getting worse, include medical, bonus, and EESP /stock RSU - bureaucratic cultural environment - 7 layer between CEO to employee.","3.0","2025-11-06T13:25:54.687","Current employee - SW Engineer","Westford, MA","REGULAR","next_f"
"101006524","Great company","Great company","Employee stock program, great health benefits, inclusive culture","Lots of travel, hard to escalate issues","4.0","2025-10-31T12:09:51.377","Current employee - Account Manger","Houston, TX","REGULAR","next_f"
"100993885","Good culture","Good culture","Good company if your team and manager are good","Shouldnât have laid off that many people","5.0","2025-10-30T22:11:57.693","Current employee - Software Engineer","Chicago, IL","REGULAR","next_f"
"100980113","Many Obstacles, Poor Leadership, Disposable Employees","Many Obstacles, Poor Leadership, Disposable Employees","Some of my coworkers at this company are impressive both technically and interpersonally. This is the highlight.","Many simple tasks are difficult due to large corporate overhead and a lot of tech debt. That takes a toll on productivity and the pride of working at HPE. The pattern I've seen is uncontrollable growth, followed by lay offs to protect shareholders. To me this spells poor leadership. There is a noticeable lack of accountability at the VP level and above. The consequences of poor strategic decisions (or lack of) consistently only hurts the individual contributors and middle managers.","1.0","2025-10-30T08:09:17.930","Current employee - Senior Engineering Manager","Fort Collins, CO","REGULAR","next_f"
"100969647","Nice","Nice","Can get pretty hectic when it gets busy. After the reorg, you are way busier","worklife balance kinda takes a hit because you have night calls","4.0","2025-10-29T21:14:30.187","Current employee - Systems Engineer","Spring, TX","REGULAR","next_f"
"100958864","Typical disfunctional corporate company and environment","Typical disfunctional corporate company and environment","You get paid a salary.","You are paid less than ""industry average"" with the full expectation of providing them ""world-class"", champagne effort, 24x7.","1.0","2025-10-29T10:23:33.660","Former employee - Content Writer","Colorado Springs, CO","REGULAR","next_f"
