review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100741206,Learn from intelligent people and opportunities,learn from intelligent people and opportunities,the hours busy season the management,3.0,2025-10-18,Senior Associate,"Chicago, IL",REGULAR,Learn from intelligent people and opportunities learn from intelligent people and opportunities the hours busy season the management,US,state_code:IL
100733545,Over time busy pay is ok,over time busy pay is ok,pay is ok learned a lot,3.0,2025-10-18,Supervisor,"Los Angeles, CA",REGULAR,Over time busy pay is ok over time busy pay is ok pay is ok learned a lot,US,state_code:CA
100730712,A lot of diverse clients,a lot of diverse clients,toxic family environment feel with little leadership,1.0,2025-10-17,Senior Associate,"Jacksonville, FL",REGULAR,A lot of diverse clients a lot of diverse clients toxic family environment feel with little leadership,US,state_code:FL
100728116,Working with likeminded young people Opportunities to learn,working with likeminded young people opportunities to learn,long hours in busy season,3.0,2025-10-17,"Manager, Audit Services","Chicago, IL",REGULAR,Working with likeminded young people Opportunities to learn working with likeminded young people opportunities to learn long hours in busy season,US,state_code:IL
100724546,Great place to build foundational skills,great place to build foundational skills,if you get a bad mentor pml it really sucks,3.0,2025-10-17,"Associate, Technology Assurance Audit","Philadelphia, PA",REGULAR,Great place to build foundational skills great place to build foundational skills if you get a bad mentor pml it really sucks,US,state_code:PA
100724436,More opportunities to learn new IT audit,more opportunities to learn new it audit,heavy work no work life balance,1.0,2025-10-17,Audit Associate,"Atlanta, GA",REGULAR,More opportunities to learn new IT audit more opportunities to learn new it audit heavy work no work life balance,US,state_code:GA
100719466,good people good work good learning,good people good work good learning,worked to death long hours,3.0,2025-10-17,Audit Associate II,"Philadelphia, PA",REGULAR,good people good work good learning good people good work good learning worked to death long hours,US,state_code:PA
100710101,1 Great people culture 2 Good health insurance 3 Career growth 4 Opens doors to well paying stable and less hour jobs in the industry,1 great people culture 2 good health insurance 3 career growth 4 opens doors to well paying stable and less hour jobs in the industry,1 pay your own parking 2 low salary compared to ib,5.0,2025-10-16,Audit Associate,"Houston, TX",REGULAR,1 Great people culture 2 Good health insurance 3 Career growth 4 Opens doors to well paying stable and less hour jobs in the industry 1 great people culture 2 good health insurance 3 career growth 4 opens doors to well paying stable and less hour jobs in the industry 1 pay your own parking 2 low salary compared to ib,US,state_code:TX
100679227,Easy going people for the most part,easy-going people for the most part,long hours during tax season,3.0,2025-10-15,Tax Associate,"Dallas, TX",REGULAR,Easy going people for the most part easy-going people for the most part long hours during tax season,US,state_code:TX
100676944,Great environment and many resources,great environment and many resources,work life balance is not good,5.0,2025-10-15,Senior Audit Associate,"Atlanta, GA",REGULAR,Great environment and many resources great environment and many resources work life balance is not good,US,state_code:GA
100645793,Positive experience from 2021 2024 Mix of strategy functional and tech consulting Work with some good people and felt pay was fair prior to 2025,positive experience from 2021-2024 mix of strategy functional and tech consulting work with some good people and felt pay was fair prior to 2025,operating model changes broadening p ls and allowing talent managers who aren't close to the people to make hire and pay decisions have hurt the firm substantially,4.0,2025-10-14,Advisory Manager,"Houston, TX",REGULAR,Positive experience from 2021 2024 Mix of strategy functional and tech consulting Work with some good people and felt pay was fair prior to 2025 positive experience from 2021-2024 mix of strategy functional and tech consulting work with some good people and felt pay was fair prior to 2025 operating model changes broadening p ls and allowing talent managers who aren't close to the people to make hire and pay decisions have hurt the firm substantially,US,state_code:TX
100644576,good community and environment to grow and learn,good community and environment to grow and learn,office politics and long hours,3.0,2025-10-14,Tax Associate,"Phoenix, AZ",REGULAR,good community and environment to grow and learn good community and environment to grow and learn office politics and long hours,US,state_code:AZ
100638097,During my career I have been given the opportunity to develop new strategies and approaches to further the business and enhance my career,during my career i have been given the opportunity to develop new strategies and approaches to further the business and enhance my career,big company - requires persistence to wade through layers of decision making,5.0,2025-10-14,Executive Director,"New York, NY",REGULAR,During my career I have been given the opportunity to develop new strategies and approaches to further the business and enhance my career during my career i have been given the opportunity to develop new strategies and approaches to further the business and enhance my career big company - requires persistence to wade through layers of decision making,US,state_code:NY
100632012,Training culture experience and exposure,training culture experience and exposure,long hours non-negotiable salary timesheets are terrible,4.0,2025-10-13,Tax Senior Associate,"Santa Clara, CA",REGULAR,Training culture experience and exposure training culture experience and exposure long hours non-negotiable salary timesheets are terrible,US,state_code:CA
100629871,Ample work competitive nature training,ample work competitive nature training,year end reviews upper management view of lower level positions work distribution,3.0,2025-10-13,Senior Associate,"Boston, MA",REGULAR,Ample work competitive nature training ample work competitive nature training year end reviews upper management view of lower level positions work distribution,US,state_code:MA
100604176,KPMG offers young professionals out of a college a great experience to learn and build a professional foundation,kpmg offers young professionals out of a college a great experience to learn and build a professional foundation,work can be mundane large corporate structure,4.0,2025-10-12,Senior Audit Associate,"Charlotte, NC",REGULAR,KPMG offers young professionals out of a college a great experience to learn and build a professional foundation kpmg offers young professionals out of a college a great experience to learn and build a professional foundation work can be mundane large corporate structure,US,state_code:NC
100592377,Good people and hybrid environment,good people and hybrid environment,lack of resources overworking high performers,3.0,2025-10-11,Audit Senior Associate,"San Francisco, CA",REGULAR,Good people and hybrid environment good people and hybrid environment lack of resources overworking high performers,US,state_code:CA
100580526,Opportunity to work on various client projects,opportunity to work on various client projects,travelling up to 4 days a week,5.0,2025-10-10,Manager,"Philadelphia, PA",REGULAR,Opportunity to work on various client projects opportunity to work on various client projects travelling up to 4 days a week,US,state_code:PA
100575341,great benefits PTO flexibility can WFH,great benefits pto flexibility can wfh,very team dependent if your team is not very well structured then you might not have the best time can also get moved around a bunch,4.0,2025-10-10,Senior Associate,"Tysons Corner, VA",REGULAR,great benefits PTO flexibility can WFH great benefits pto flexibility can wfh very team dependent if your team is not very well structured then you might not have the best time can also get moved around a bunch,US,state_code:VA
100570710,Good training and opportunities to grow,good training and opportunities to grow,large company and you can get lost in the mix sometimes,5.0,2025-10-10,Senior Associate,"Washington, DC",REGULAR,Good training and opportunities to grow good training and opportunities to grow large company and you can get lost in the mix sometimes,US,state_code:DC
100569783,Good Benefits Nice People Remote work,good benefits nice people remote work,expected to work extremely long hours,1.0,2025-10-10,Advisory Associate,"Houston, TX",REGULAR,Good Benefits Nice People Remote work good benefits nice people remote work expected to work extremely long hours,US,state_code:TX
100568839,Great place to work with great leaders,great place to work with great leaders,burnout during certain times of the year,5.0,2025-10-10,Audit,"Houston, TX",REGULAR,Great place to work with great leaders great place to work with great leaders burnout during certain times of the year,US,state_code:TX
100563895,friendly hard worker got things to learn,friendly hard worker got things to learn,low salary pressure and stress,2.0,2025-10-10,Internal Auditor,"Luzena, AZ",REGULAR,friendly hard worker got things to learn friendly hard worker got things to learn low salary pressure and stress,US,state_code:AZ
100555232,see a lot of different industries and clients high performers,-see a lot of different industries and clients -high performers,-long hours especially during busy season,4.0,2025-10-09,Senior Audit Associate,"Seattle, WA",REGULAR,see a lot of different industries and clients high performers -see a lot of different industries and clients -high performers -long hours especially during busy season,US,state_code:WA
100553840,You learn a lot about your field through hands on experience,you learn a lot about your field through hands on experience,work alot of overtime and busy season can be brutal,3.0,2025-10-09,Technology Assurance Associate,"New York, NY",REGULAR,You learn a lot about your field through hands on experience you learn a lot about your field through hands on experience work alot of overtime and busy season can be brutal,US,state_code:NY
100553280,They offer great benefits and the people are nice,they offer great benefits and the people are nice,needs work and life balance,5.0,2025-10-09,Tax Associate,"New York, NY",REGULAR,They offer great benefits and the people are nice they offer great benefits and the people are nice needs work and life balance,US,state_code:NY
100536726,Great benefits including unlimited PRO for salaried employees,great benefits including unlimited pro for salaried employees,no longer value business support professionals non-cpa they are laying off tenured experienced u s employees and outsourcing to third party vendors offshore,2.0,2025-10-08,Manager HR People Support,"Dallas, TX",REGULAR,Great benefits including unlimited PRO for salaried employees great benefits including unlimited pro for salaried employees no longer value business support professionals non-cpa they are laying off tenured experienced u s employees and outsourcing to third party vendors offshore,US,state_code:TX
100519201,Big 4 name Lots of training Meet lots of people Can be exposed to many industries,big 4 name lots of training meet lots of people can be exposed to many industries,treated like a number workaholic culture repetitive boring role that doesn't require much thinking busy season never ends - 50 work weeks for whole year with 70 at times worst of the big 4 - and pay reflects that,1.0,2025-10-08,Assurance Associate,"Fort Lauderdale, FL",REGULAR,Big 4 name Lots of training Meet lots of people Can be exposed to many industries big 4 name lots of training meet lots of people can be exposed to many industries treated like a number workaholic culture repetitive boring role that doesn't require much thinking busy season never ends - 50 work weeks for whole year with 70 at times worst of the big 4 - and pay reflects that,US,state_code:FL
100508793,Lots of exposure to networking high salary,lots of exposure to networking high salary,minimum career growth possibilities a bad project will make you hate your life,3.0,2025-10-07,Associate,"Austin, TX",REGULAR,Lots of exposure to networking high salary lots of exposure to networking high salary minimum career growth possibilities a bad project will make you hate your life,US,state_code:TX
100508478,Good environment and good culture,good environment and good culture,no personal time work balance too bad,3.0,2025-10-07,Senior Associate,"New York, NY",REGULAR,Good environment and good culture good environment and good culture no personal time work balance too bad,US,state_code:NY
100506444,Great learning experience and projects,great learning experience and projects,pay is very undervalued for the most part,5.0,2025-10-07,Senior Associate,"Sacramento, CA",REGULAR,Great learning experience and projects great learning experience and projects pay is very undervalued for the most part,US,state_code:CA
100501935,The people at KPMG truly are some of the best I ve worked with and are great on a personal and professional level The firm s pay is competitive and in line with the other Big 4 Firms if not differentiated but the Firm has a fiscal year after the other Big 4 allowing them to react to unexpected Salary changes before raises and promotions are announced This ensures KPMG is rarely if ever behind the other firms in terms of compensation Massive global firm with opportunities in many different geographical locations and business sectors,the people at kpmg truly are some of the best i've worked with and are great on a personal and professional level the firm's pay is competitive and in line with the other big 4 firms if not differentiated but the firm has a fiscal year after the other big 4 allowing them to react to unexpected salary changes before raises and promotions are announced this ensures kpmg is rarely if ever behind the other firms in terms of compensation massive global firm with opportunities in many different geographical locations and business sectors,as with most other public accounting firms hours are often very demanding hours outpace pay until reaching management level and there are often many opportunities that offer better pay for less hours within the industry though this again tends to turn around when reaching the management group,4.0,2025-10-07,Tax Manager,"Denver, CO",REGULAR,The people at KPMG truly are some of the best I ve worked with and are great on a personal and professional level The firm s pay is competitive and in line with the other Big 4 Firms if not differentiated but the Firm has a fiscal year after the other Big 4 allowing them to react to unexpected Salary changes before raises and promotions are announced This ensures KPMG is rarely if ever behind the other firms in terms of compensation Massive global firm with opportunities in many different geographical locations and business sectors the people at kpmg truly are some of the best i've worked with and are great on a personal and professional level the firm's pay is competitive and in line with the other big 4 firms if not differentiated but the firm has a fiscal year after the other big 4 allowing them to react to unexpected salary changes before raises and promotions are announced this ensures kpmg is rarely if ever behind the other firms in terms of compensation massive global firm with opportunities in many different geographical locations and business sectors as with most other public accounting firms hours are often very demanding hours outpace pay until reaching management level and there are often many opportunities that offer better pay for less hours within the industry though this again tends to turn around when reaching the management group,US,state_code:CO
100477650,Collaborative environment with mostly great people,collaborative environment with mostly great people,leadership tends to be disorganized and varies greatly across groups,4.0,2025-10-06,Advisory Associate,"Los Angeles, CA",REGULAR,Collaborative environment with mostly great people collaborative environment with mostly great people leadership tends to be disorganized and varies greatly across groups,US,state_code:CA
100472991,Work life balance is great,work life balance is great,slow paced work environment most of the time,5.0,2025-10-06,Federal Advisory Associate,"Tysons Corner, VA",REGULAR,Work life balance is great work life balance is great slow paced work environment most of the time,US,state_code:VA
100471517,Compensations teamwork environment hybrid work schedules and trainings,compensations teamwork environment hybrid work schedules and trainings,work life balance workload can be very toxic,4.0,2025-10-06,Audit Associate,"San Francisco, CA",REGULAR,Compensations teamwork environment hybrid work schedules and trainings compensations teamwork environment hybrid work schedules and trainings work life balance workload can be very toxic,US,state_code:CA
100470977,great people and remote is a plus,great people and remote is a plus,low bonuses being on the bench too long will affect utilization and reviews,3.0,2025-10-06,Consultant,"Dallas, TX",REGULAR,great people and remote is a plus great people and remote is a plus low bonuses being on the bench too long will affect utilization and reviews,US,state_code:TX
100457449,The benefits are pretty good,the benefits are pretty good,busy season is well busy,4.0,2025-10-05,Audit Associate I,"Salt Lake City, UT",REGULAR,The benefits are pretty good the benefits are pretty good busy season is well busy,US,state_code:UT
100457426,Great people and mentorship Incredible work life balance,great people and mentorship incredible work life balance,no upward mobility and no transparency from leadership about why,1.0,2025-10-05,Associate,"New York, NY",REGULAR,Great people and mentorship Incredible work life balance great people and mentorship incredible work life balance no upward mobility and no transparency from leadership about why,US,state_code:NY
100456881,Excellent learning opportunity and brand recognition,excellent learning opportunity and brand recognition,long hours and pressure to utilize offshore,5.0,2025-10-05,Manager,"Los Angeles, CA",REGULAR,Excellent learning opportunity and brand recognition excellent learning opportunity and brand recognition long hours and pressure to utilize offshore,US,state_code:CA
100455579,They were so kind and understanding,they were so kind and understanding,too many people hard to connect,5.0,2025-10-05,Intern,"New York, NY",REGULAR,They were so kind and understanding they were so kind and understanding too many people hard to connect,US,state_code:NY
100443781,Good 401k program unlimited PTO,good 401k program unlimited pto,pay isn't super competitive for young professionals,4.0,2025-10-04,Sr ServiceNow Developer/Implementation,"Nashville, TN",REGULAR,Good 401k program unlimited PTO good 401k program unlimited pto pay isn't super competitive for young professionals,US,state_code:TN
100442343,fine people at the company,fine people at the company,boring job overall in general,2.0,2025-10-04,Valuation Associate,"Denver, CO",REGULAR,fine people at the company fine people at the company boring job overall in general,US,state_code:CO
100442217,Good pay and benefits that come with job,good pay and benefits that come with job,high workload and unstable with many layoffs,4.0,2025-10-04,Associate,"Tysons Corner, VA",REGULAR,Good pay and benefits that come with job good pay and benefits that come with job high workload and unstable with many layoffs,US,state_code:VA
100433937,great pay with sign on bonus,great pay with sign on bonus,may need to work overtime,5.0,2025-10-03,Technology Assurance Associate,"Atlanta, GA",REGULAR,great pay with sign on bonus great pay with sign on bonus may need to work overtime,US,state_code:GA
100411919,It s a rewarding career path that offers engaging projects and the opportunity to collaborate with intelligent dedicated professionals,it's a rewarding career path that offers engaging projects and the opportunity to collaborate with intelligent dedicated professionals,frequent travel is a regular part of the role which can be exhausting at times,5.0,2025-10-02,Senior Associate - Advisory,"New York, NY",REGULAR,It s a rewarding career path that offers engaging projects and the opportunity to collaborate with intelligent dedicated professionals it's a rewarding career path that offers engaging projects and the opportunity to collaborate with intelligent dedicated professionals frequent travel is a regular part of the role which can be exhausting at times,US,state_code:NY
100405781,Lots of opportunity to learn and grow professionally,lots of opportunity to learn and grow professionally,heavy workload pressure from management little to no work life balance,3.0,2025-10-02,Tax Associate,"New York, NY",REGULAR,Lots of opportunity to learn and grow professionally lots of opportunity to learn and grow professionally heavy workload pressure from management little to no work life balance,US,state_code:NY
100397597,great learning environment connections will be made with future leaders in many industries,great learning environment connections will be made with future leaders in many industries,low pay and can be long hours,5.0,2025-10-02,Senior Associate,"Philadelphia, PA",REGULAR,great learning environment connections will be made with future leaders in many industries great learning environment connections will be made with future leaders in many industries low pay and can be long hours,US,state_code:PA
100386576,Good recruiting process and good community,good recruiting process and good community,long hours and hard teams sometimes,4.0,2025-10-01,Audit Associate,"San Jose, CA",REGULAR,Good recruiting process and good community good recruiting process and good community long hours and hard teams sometimes,US,state_code:CA
100385201,The FDD team is very friendly and has a great culture,the fdd team is very friendly and has a great culture,you should expect long hours with last minute deadlines,5.0,2025-10-01,Senior Associate,"Seattle, WA",REGULAR,The FDD team is very friendly and has a great culture the fdd team is very friendly and has a great culture you should expect long hours with last minute deadlines,US,state_code:WA
