review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100729336,You get good projects assigned to,you get good projects assigned to,you have to keep it up with emails and training outside your assigned project the platform used for hr learning etc has a lot of bugs no culture diversity,3.0,2025-10-17,Software Engineer,"Charlotte, NC",REGULAR,You get good projects assigned to you get good projects assigned to you have to keep it up with emails and training outside your assigned project the platform used for hr learning etc has a lot of bugs no culture diversity,US,state_code:NC
100729322,Ease of Work Work Life Balance,ease of work work - life balance,too much service to client,5.0,2025-10-17,Developer,"Philadelphia, PA",REGULAR,Ease of Work Work Life Balance ease of work work - life balance too much service to client,US,state_code:PA
100705782,Good company and long term porjects,good company and long term porjects,salary hikes are low to the experience,4.0,2025-10-16,System Engineer,"New York, NY",REGULAR,Good company and long term porjects good company and long term porjects salary hikes are low to the experience,US,state_code:NY
100695587,good for entry level jobs,good for entry level jobs,lot of politics and less pay than average,3.0,2025-10-16,Software Developer,"Irving, TX",REGULAR,good for entry level jobs good for entry level jobs lot of politics and less pay than average,US,state_code:TX
100686279,Nothing is good in TCS except unlimited Udemy courses,nothing is good in tcs except unlimited udemy courses,nothing is good in tcs they don t care about their employees they don t let employee pay for h1b premium processing either they don t pay for them it s like bottleneck so much monopoly they treat employee like a slave,2.0,2025-10-15,Associate Consultant,"Dallas, TX",REGULAR,Nothing is good in TCS except unlimited Udemy courses nothing is good in tcs except unlimited udemy courses nothing is good in tcs they don t care about their employees they don t let employee pay for h1b premium processing either they don t pay for them it s like bottleneck so much monopoly they treat employee like a slave,US,state_code:TX
100595145,Nice company you have to learn more while you are working,nice company you have to learn more while you are working,good company salary less but managable,5.0,2025-10-12,Software Engineer,"Indianapolis, IN",REGULAR,Nice company you have to learn more while you are working nice company you have to learn more while you are working good company salary less but managable,US,state_code:IN
100590039,Good benefits for fulltime employee,good benefits for fulltime employee,management needs to work on priorities,3.0,2025-10-11,Sftware Developer,"Chicago, IL",REGULAR,Good benefits for fulltime employee good benefits for fulltime employee management needs to work on priorities,US,state_code:IL
100587378,Consistent work flexible work hours,consistent work flexible work hours,don t really play by american laws will not give you time for doctor appointments no work-life balance will harass you if you don t bow to their every command very judgmental,5.0,2025-10-11,Information Process Enabler,"Milford, OH",REGULAR,Consistent work flexible work hours consistent work flexible work hours don t really play by american laws will not give you time for doctor appointments no work-life balance will harass you if you don t bow to their every command very judgmental,US,state_code:OH
100534958,You can work remote if needed,you can work remote if needed,will not stand up for you,2.0,2025-10-08,Project Manager,"Fort Lauderdale, FL",REGULAR,You can work remote if needed you can work remote if needed will not stand up for you,US,state_code:FL
100534955,Great place to work and live,great place to work and live,nothing that comes to mind,3.0,2025-10-08,Project Engineer,"Indianapolis, IN",,Great place to work and live great place to work and live nothing that comes to mind,US,state_code:IN
100475824,If you get joined in a good team then you can learn and grow a lot,if you get joined in a good team then you can learn and grow a lot,they disappoint you when h1b amendment after every client change they waste our time and the visa process wouldn't be smooth,5.0,2025-10-06,Software Engineer,"West Chester, PA",REGULAR,If you get joined in a good team then you can learn and grow a lot if you get joined in a good team then you can learn and grow a lot they disappoint you when h1b amendment after every client change they waste our time and the visa process wouldn't be smooth,US,state_code:PA
100450637,Stability good allocation many benefits,stability good allocation many benefits,depends on your particular project it can be a little bit stressed,5.0,2025-10-05,Sr. Software Engineer,"Montevideo, MD",REGULAR,Stability good allocation many benefits stability good allocation many benefits depends on your particular project it can be a little bit stressed,US,state_code:MD
100440437,Good learning tools Encourage learning,good learning tools encourage learning,trouble with visa support compensation not up to the mark unnecessary chaos,3.0,2025-10-04,Data Engineer,"Newark, NJ",REGULAR,Good learning tools Encourage learning good learning tools encourage learning trouble with visa support compensation not up to the mark unnecessary chaos,US,state_code:NJ
100431379,Remote working Variety of opportunities,remote working variety of opportunities,no room for promotion very chaotic and disorderly low pay,2.0,2025-10-03,Quality Engineer,"Milford, OH",REGULAR,Remote working Variety of opportunities remote working variety of opportunities no room for promotion very chaotic and disorderly low pay,US,state_code:OH
100425789,Not much to say if you are not a South Indian,not much to say if you are not a south indian,they discrimentate with us employees bad servence package if you get it,2.0,2025-10-03,Graduate IT Role,"Austin, TX",REGULAR,Not much to say if you are not a South Indian not much to say if you are not a south indian they discrimentate with us employees bad servence package if you get it,US,state_code:TX
100410868,Values Growth Challenging work Long term focus Reinvents itself,values growth challenging work long term focus reinvents itself,manager dependent slow to shift policies,4.0,2025-10-02,Senior General Manager,"New York, NY",REGULAR,Values Growth Challenging work Long term focus Reinvents itself values growth challenging work long term focus reinvents itself manager dependent slow to shift policies,US,state_code:NY
100398699,Good healthcare and W2 benefits for employee,good healthcare and w2 benefits for employee,no career growth in project level,4.0,2025-10-02,Consultant,"Los Angeles, CA",REGULAR,Good healthcare and W2 benefits for employee good healthcare and w2 benefits for employee no career growth in project level,US,state_code:CA
100385113,Flexibility at work Again depends on what client site you are placed at,flexibility at work again depends on what client site you are placed at,many staff are on h1b and underpaid compared to their actual skills your association with the company is limited rather you are placed at a client site where most of the interaction happens between you adn the client,2.0,2025-10-01,Database Administrator,"Sunnyvale, CA",REGULAR,Flexibility at work Again depends on what client site you are placed at flexibility at work again depends on what client site you are placed at many staff are on h1b and underpaid compared to their actual skills your association with the company is limited rather you are placed at a client site where most of the interaction happens between you adn the client,US,state_code:CA
100381655,has a good team and nice environment,has a good team and nice environment,very low pay no stability,2.0,2025-10-01,Data Analyst,"Atlanta, GA",REGULAR,has a good team and nice environment has a good team and nice environment very low pay no stability,US,state_code:GA
100296107,more work and engaging Easy and flexible,more work and engaging easy and flexible,no cons all good and happy place,4.0,2025-09-27,Data Analyst,"Indianapolis, IN",REGULAR,more work and engaging Easy and flexible more work and engaging easy and flexible no cons all good and happy place,US,state_code:IN
