"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103107211","good","good","work life balance is good","depends on the campus build","4.0","2026-03-09T23:28:45.220","Current employee - Software Engineer","Gurgaon, Haryana","REGULAR","next_f"
"103091708","Good","Good","Good, colleague and top management quite friendly","Too much work putting in employee","4.0","2026-03-08T23:39:43.513","Current employee - Associate","American Fork, UT","PART_TIME","next_f"
"103091537","CFR","CFR","Work Life Balance Exponential learning","Bangalore centre need to have more growth opportunities","4.0","2026-03-08T23:13:30.860","Current employee - Sr Manager, Finance","Bengaluru","REGULAR","next_f"
"103084060","Culture","Culture","decent pay, hybrid working environment","Too much team outing that needs to pay by self, management will blame you if you don't want to join team outing, saying that you are bringing bad practice to the team","3.0","2026-03-07T22:22:43.120","Former employee","Unknown location","REGULAR","next_f"
"103079483","Positive","Positive","I like working here - great people and work","Big company and pains that come with it","5.0","2026-03-07T06:17:06.963","Current employee - Senior Manager","New York, NY","REGULAR","next_f"
"103078751","AMEX BGC","AMEX BGC","a lot of benefits for you and your family like unlimited hMO","queuing and tiring plus micromanaging from higher ups","3.0","2026-03-07T04:04:41.783","Current employee - Customer Service Representative (CSR)","Taguig","REGULAR","next_f"
"103062733","great people, but fast-paced environment","great people, but fast-paced environment","Very collaborative environment Good training and learning opportunities early in career Interesting exposure to payments, credit, and financial products Benefits and compensation are usually pretty competitive","Work can be pretty fast-paced depending on team Large company means processes can be bureaucratic Some roles can be very specialized Work-life balance varies by department","4.0","2026-03-05T17:54:02.560","Former employee - Financial Analyst","New York, NY","REGULAR","next_f"
"103051819","Best company to work at","Best company to work at","Best company good working environment","None as of now all good","5.0","2026-03-05T01:59:02.773","Former employee - Customer Service Associate","Gurgaon, Haryana","REGULAR","next_f"
"103050071","General","General","Management is very engaged &amp; help you move in which ever direction you would like within the company","No cons at this time","5.0","2026-03-04T22:29:53.917","Former employee - Customer Service Representative","Sunrise, FL","REGULAR","next_f"
"103048023","Average","Average","Work life balance is good","Career progression is slow if you are in india","4.0","2026-03-04T18:21:27.367","Current employee - Software Engineer 3","Pune","REGULAR","next_f"
"103034388","Strong brand and benefits, but slowed down by heavy bureaucracy","Strong brand and benefits, but slowed down by heavy bureaucracy","Strong brand reputation, good compensation and benefits, exposure to large-scale financial data and well-established ML governance practices, generally reasonable work-life balance, and opportunities to collaborate with talented colleagues across different teams.","Heavy bureaucracy slows down decision making, multiple approval layers make experimentation difficult, innovation is limited by strict governance processes, organizational silos reduce visibility into real business impact, and career growth can depend heavily on team and manager rather than a clear company-wide path.","2.0","2026-03-03T21:01:05.097","Former employee - Analyst","Gurgaon, Haryana","REGULAR","next_f"
"103034166","Itâs fine","Itâs fine","Work culture sometimes can be good","Salary is not competitive with other banks","4.0","2026-03-03T20:30:41.097","Former employee - Sponsorship Coordinator","Midtown New York","REGULAR","next_f"
"103030791","Over hyped organisation","Over hyped organisation","Transparency in the organisation and relax kind of work culture. Mostly a retirement company","Leader makes you feel that he or she had blessed you while giving you an opportunity to work in AMEX and you havenât earned it by clearing the interview rounds. Some leaders force TCS Wipro kind of work culture and create a similar environment.","3.0","2026-03-03T14:40:11.943","Current employee - Software Engineer","Gurgaon, Haryana","REGULAR","next_f"
"103025779","Great Company bad Management","Great Company bad Management","It's a great company to work with, awesome benefits.","The Management is not great, Org changes are brutal and difficult to process.","4.0","2026-03-03T08:46:13.830","Current employee - Senior Analyst","Phoenix, AZ","REGULAR","next_f"
"103022514","NA","NA","Excellent Food and amazing culture","Less Growth over the years","5.0","2026-03-03T04:58:26.620","Former employee - Senior Analyst - AML KYC Operations","Gurgaon, Haryana","REGULAR","next_f"
"103019025","Overvalued","Overvalued","brand devalued at a higher rate","poor management style with imbalance structure","2.0","2026-03-02T21:47:11.547","Current employee - Assistant Manager","New Delhi","REGULAR","next_f"
"103011015","Best Culture","Best Culture","#Great Culture #Good Leadership #Cab /food/gym facilities","#so far the best #Compensation can be better as compared to competitive companies","5.0","2026-03-02T09:13:15.657","Current employee - Lead Analyst","Gurgaon, Haryana","REGULAR","next_f"
"103006754","Great Company","Great Company","Great place to learn and great opportunities to peruse different interests","None to speak of awesome company global exposure","5.0","2026-03-02T03:08:02.393","Former employee - Senior Analyst","London, England","REGULAR","next_f"
"103005175","Very rigid to change","Very rigid to change","Good work environment and very slow adaptation of market standards","Average employee age is getting higher and existing people are very very rigid to change. Not very good if you are looking for skill growth.","4.0","2026-03-01T23:25:28.760","Current employee - Associate","Gurgaon, Haryana","REGULAR","next_f"
"103001349","Good benefits","Good benefits","Good benefits and credits for free stays, free breakfast and credits for lunch.","No progression and salary not great","3.0","2026-03-01T11:55:42.940","Former employee - Relationship Manager","London, England","REGULAR","next_f"
"103000695","Good","Good","Good and reliable pay services","not much to be honest","5.0","2026-03-01T10:08:32.160","Former employee","Unknown location","REGULAR","next_f"
"102994419","Experience","Experience","Great benefits Provide 15 daily for food when working in office Hybrid","Metrics Fire easily for mistakes even during training","3.0","2026-02-28T08:29:45.810","Former employee - Customer Service Representative","Sunrise, FL","REGULAR","next_f"
"102978922","AMEX Travel","AMEX Travel","Good pay for hours put in","Work hours not flexible. Shift bid.","3.0","2026-02-26T21:15:32.927","Former employee - Travel Counselor","New York, NY","REGULAR","next_f"
"102973876","Fair pay, fair treatment","Fair pay, fair treatment","Great benefits Decent pay Good hours","Lots of meetings Lots of talking - slow execution Silo'd / political","5.0","2026-02-26T12:29:26.500","Current employee - Director, Software Engineering","Phoenix, AZ","REGULAR","next_f"
