"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103123094","Nice","Nice","Nice Good Fun Ok Cool","Not great Pay could be better","4.0","2026-03-10T22:07:00.677","Current employee - Softwsre Developer","Sunnyvale, CA","REGULAR","next_f"
"103108850","Good work life balance","Good work life balance","Fun activities and work life balance","no cons for apple, it is good","5.0","2026-03-10T02:47:13.733","Current employee - UX Designer","California, PA","REGULAR","next_f"
"103104744","Good job, but extremely stressful","Good job, but extremely stressful","Apple does really focus on a work life balance and allows you to take a lot of time to yourself if needed (and approved).","Complete and total burnout is expected. Data Center logistics can be good, but expect a LOT to be put on your plate. I cannot count the amount of projects that we (or just me) would be handed and told next to nothing about how to accomplish it. It was an extremely, ""sink or swim"" place that, I think, THEY thought made you stronger, but in reality it just makes you question why you're going at 150% at all times for the salary you are making.","3.0","2026-03-09T18:29:41.287","Former employee - Senior Logistics Technician","Mesa, AZ","REGULAR","next_f"
"103103969","Great Company, Wrong Manager","Great Company, Wrong Manager","-great benefits -good location -hybrid work schedule -great pay, not too difficult -tons of career paths","-if you get the wrong manager &amp; they donât see you as bubbly and extra friendly, theyâll make your life miserable and invent issues that donât exist -not a ton of diversity in the workforce -for a company worth billions, raises were still under 5% annually, no bonuses for the team I was on, and the perks (discounts, 3rd party &amp; in-house, were fewer and fewer) and the stock gifting was totally dependent on your manager","4.0","2026-03-09T17:00:29.943","Former employee - Process Analyst","Austin, TX","REGULAR","next_f"
"103082437","Good company to work for","Good company to work for","Pay is good, work-life balance is great","Does not offer remote. They do not compromise on location.","4.0","2026-03-07T15:34:03.627","Current employee - Senior DV Engineer","Santa Clara, CA","REGULAR","next_f"
"103077064","Slow and Steady","Slow and Steady","Benefits Bonus Stocks Work Life Balance","Limited to none career advancement Management only listens to their favorites","3.0","2026-03-06T22:09:22.307","Current employee - Information Security Analyst","Cupertino, CA","REGULAR","next_f"
"103070761","Specialist","Specialist","High starting pay for retail","Metric Focused and Non Flexible scheduling","4.0","2026-03-06T09:03:15.803","Current employee - Specialist","Des Peres, MO","PART_TIME","next_f"
"103070574","Could be 1 star or 5, no in between","Could be 1 star or 5, no in between","Brand reputation, stability, works like a start-up despite being on of the biggest tech company","Terrible employee benefits and company morale when it comes to employee well-being. This is a company that you will like buying its stock but not working for it. Bad tech for SWEs, inexperienced managers, almost non-exist web for teams under hardware, culture can get toxic and you may be thrown under the bus if you don't have good mentors or managers.","1.0","2026-03-06T08:48:36.653","Current employee - Senior Software Engineer","Palo Alto, CA","REGULAR","next_f"
"103064628","Excellent benefits, tedious job","Excellent benefits, tedious job","Excellent benefits and perks, positive team spirit, hybrid","Tedious and robotic job doing task after task with not much analytical thought","5.0","2026-03-05T22:04:54.950","Former employee - AIML Annotation Analyst","San Diego, CA","REGULAR","next_f"
"103061518","Associate","Associate","Good benefits Decent pay Co workers","Annoying management Constantly busy Little lunch time","3.0","2026-03-05T15:38:37.167","Former employee","Atlanta, GA","PART_TIME","next_f"
"103061307","apple","apple","flexible schedule good discounts good culture","traffic etc etc etc etc","5.0","2026-03-05T15:19:01.297","Former employee - Product zone expert","Texas City, IL","REGULAR","next_f"
"103048250","Cool job","Cool job","had fun paid real good","lots of tourists and non english speakers download Duolingo or use iphone translate","5.0","2026-03-04T18:43:44.270","Former employee - Specialist","Orlando, FL","","next_f"
"103048243","good","good","i was told it is very good to work there","apple has a lot of competetion there","5.0","2026-03-04T18:42:54.063","Current employee - Software Engineer","New York, NY","REGULAR","next_f"
"103042983","Decent","Decent","Good pay, not hard to do, fun to teach","Can feel micromanaged at times. Your experience depends on managemnt in my opinion.","4.0","2026-03-04T10:43:57.757","Former employee - Creative Pro","Torrance, CA","PART_TIME","next_f"
"103035284","Meh","Meh","co workers were great but not the leadership","benefits and support were not that great","1.0","2026-03-03T23:01:28.843","Former employee - Sales Associate","Burbank, CA","REGULAR","next_f"
"103034094","The Best place to work in tech","The Best place to work in tech","amazing benefits, salary, culture. Truly smart people all around.","It can get a bit boring, emphasis on heirarchies, and the like.","5.0","2026-03-03T20:20:20.673","Current employee - Product Manager","Palo Alto, CA","REGULAR","next_f"
"103033994","Not a bad place to work","Not a bad place to work","nice benefits, work was straightforward","strict about return to office","5.0","2026-03-03T20:07:16.387","Former employee - Data Scientist","Cupertino, CA","REGULAR","next_f"
"103032577","Stable Company","Stable Company","The company is pretty stable, no layoffs","Low base salary and it's difficult to do internal transfers","4.0","2026-03-03T17:32:39.087","Current employee - Data Scientist","Austin, TX","REGULAR","next_f"
"103028930","Glassdoor is making me do this","Glassdoor is making me do this","Great environment to work for. All staff had great energy with customers and each other","Didn't like that in order to get offered a permanent position you basically have to compete with others. They also hire a large amount of people (50-100) for seasonal position. To only offer 3-5 positions for everyone to apply to towards the end.","3.0","2026-03-03T12:17:07.247","Former employee - Sales Specialist","Columbus, OH","","next_f"
