"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103105924","Great people, but hard to grow if not in the right practice","Great people, but hard to grow if not in the right practice","Great people, everyone genuinely wants to support you and your work.","When and how fast you get promoted depends a lot on what senior leadership support is like in your practice. If you have people committed to your career growth and help you find opportunities, you'll probably flourish. But if you don't have that support, you'll likely hit a barrier to promotion.","4.0","2026-03-09T20:43:22.730","Former employee - Senior Knowledge Specialist","Boston, MA","REGULAR","next_f"
"103087830","My experience","My experience","Pay is okay Hybrid work","Too much pretense and racism. Alot of background gossiping and no opportunity to address them. My contract was not renewed because i commented on polish weather and asked about abroad work outside of poland","2.0","2026-03-08T12:40:28.163","Current employee - Manager's Assistant","Warsaw, Masovia","REGULAR","next_f"
"103081821","Great place to work","Great place to work","Smart people, interesting projects, collegial and fun atmosphere","Can sometimes be long hours, cases are unpredictable","5.0","2026-03-07T13:13:13.810","Current employee - Manager","San Francisco, CA","REGULAR","next_f"
"103073560","Awesome place","Awesome place","Great place to work at","Can be a bit grindy at times but super manageable","5.0","2026-03-06T13:06:01.583","Current employee - Associate Consultant","Boston, MA","REGULAR","next_f"
"103067881","Great company","Great company","Great perks and benefits, helpful colleagues","Long hours and very intense","5.0","2026-03-06T05:04:43.837","Current employee - Associate Consultant","London, England","REGULAR","next_f"
"103060337","Great place to work","Great place to work","Incredible place to work filled with intelligent people, supportive mentors, and complex problems to help solve","Nothing to say - love it there","5.0","2026-03-05T13:50:50.863","Former employee - Senior Associate Consultant","Chicago, IL","REGULAR","next_f"
"103059601","Great","Great","Good culture and learning opportunities","Long hours in PEG ringfence","4.0","2026-03-05T12:48:39.690","Former employee - Associate Consultant","Unknown location","REGULAR","next_f"
"103059435","Great place to start your career","Great place to start your career","Learning a lot, lots of great people, amazing benefits","Work-life balance can be difficult","5.0","2026-03-05T12:35:47.960","Current employee","Unknown location","REGULAR","next_f"
"103053572","Dynamic and supportive","Dynamic and supportive","Great and dynamic projects, you can feel you have client impact even on Practice side","Professional growth is supported but slow","5.0","2026-03-05T05:08:42.963","Current employee - Knowledge Lead","Warsaw, Masovia","REGULAR","next_f"
"103052874","Great culture with strong growth opportunities","Great culture with strong growth opportunities","Supportive and collaborative team environment Excellent learning, mentorship, and career development opportunities","Long hours during busy client engagements","5.0","2026-03-05T03:56:01.460","Current employee - Associate Consultant","Paris","REGULAR","next_f"
"103041436","Good","Good","Good environment and supportive community","Managers do micro management sometimes","4.0","2026-03-04T08:58:36.657","Former employee - Knowledge Specialist","Gurgaon, Haryana","REGULAR","next_f"
"103037264","High intensity work and low work life balance","High intensity work and low work life balance","You will learn a lot and be surrounded by wonderful and intelligent people.","Work ends usually after 10 PM. There is no real opportunity to take long holidays cause projects are always calling you to join. It is difficult to maintain a life outside work since you will be so tired you won't have energy to do anything else.","4.0","2026-03-04T03:12:59.997","Former employee - Data Scientist","Paris","REGULAR","next_f"
"103014206","Great place to work","Great place to work","Great people and interesting projects","Long hours, but varies by project","5.0","2026-03-02T12:58:40.683","Former employee","Unknown location","REGULAR","next_f"
"102993715","Steep learning curve with exceptional growth opportunities","Steep learning curve with exceptional growth opportunities","Exposure to high-impact, strategic projects across industries -Extremely smart, driven, and collaborative colleagues -Strong feedback culture with rapid skill development -Clear performance expectations and meritocratic growth -Supportive leadership and global exposure","-Long hours during peak case periods -High performance expectations can be intense","4.0","2026-02-28T06:37:34.533","Current employee - Associate","Gurgaon, Haryana","REGULAR","next_f"
"102986035","Tiring but good culture","Tiring but good culture","The people are amazing and make the work much more bearable","Some of the casework feels awful","5.0","2026-02-27T10:04:47.317","Current employee - Associate Consultant","Boston, MA","REGULAR","next_f"
"102976271","Great place to work","Great place to work","Nice people Good work Feel value","Sometimes hours are bad, that is not good","5.0","2026-02-26T16:00:44.963","Current employee - Associate Consultant","New Delhi","REGULAR","next_f"
"102975460","Great learning experience and exposure","Great learning experience and exposure","- Extremely smart, driven colleagues. You level up quickly just by being around them. - Strong training and structured problem-solving muscle that transfers well to almost any role. - High exposure to senior clients early in your career. - Brand still opens doors across tech, startups, and investing. - Fast feedback loops that accelerate growth if youâre proactive.","- Pace and hours can be intense and uneven depending on the case team. - Work can sometimes feel removed from actual implementation and long-term impact.","5.0","2026-02-26T14:37:49.477","Former employee - Associate Consultant","Atlanta, GA","REGULAR","next_f"
"102964762","Good WLB","Good WLB","Great team and ppl, deep learning curve","Not enough time for you to think","5.0","2026-02-25T23:30:32.377","Current employee - Business Analyst","Los Angeles, CA","REGULAR","next_f"
