"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103103573","Review for Barclays","Review for Barclays","1. Good WLB 2. 2 days RTO","1. Career growth 2. Tech stack","4.0","2026-03-09T16:16:28.310","Current employee - Software Engineer","Whippany, NJ","REGULAR","next_f"
"103023239","Great opportunity","Great opportunity","Great pay Shuttle bus Flexibility Work and life balance","Big company Restricted role due to complaince","4.0","2026-03-03T05:59:10.233","Former employee - IT Infrastructure Engineer","Whippany, NJ","REGULAR","next_f"
"103017840","Good place post grad","Good place post grad","Good training program &amp; helpful mentorship/support system","Long hours as expected, bonuses not as strong","4.0","2026-03-02T19:09:32.747","Former employee - Research Analyst","New York, NY","REGULAR","next_f"
"102956780","Investment Research","Investment Research","Great culture and top investment bank","Outsourcing to low level research and analytics to India","2.0","2026-02-25T10:24:47.153","Former employee - Research Specialist","Los Angeles, CA","REGULAR","next_f"
"102915633","great","great","great culture and people. good experience","outdated technology and systems are slow","5.0","2026-02-22T16:41:46.790","Current employee - IB Analyst","New York, NY","REGULAR","next_f"
"102862477","Finance role","Finance role","Large Corporation with structured teams","have to have people vouch for you/ on your team.","4.0","2026-02-17T20:51:20.823","Former employee - AVP-Finance","New York, NY","REGULAR","next_f"
"102778903","Great place","Great place","benefits, learning, culture, flexibility, work life balance","Not an ideal place for commute","4.0","2026-02-10T14:24:44.157","Current employee - Infrastructure Engineer","New York, NY","REGULAR","next_f"
"102741342","Great place to work","Great place to work","Hybrid Work and flexible hours","hiring process takes a while","5.0","2026-02-08T14:03:33.717","Former employee - IT Project Manager","Whippany, NJ","REGULAR","next_f"
"102669038","Great progression in the last few years, has a lot of potential if the team culture would be improved.","Great progression in the last few years, has a lot of potential if the team culture would be improved.","Decent wlb, if in the right teams. Internal hiring and job boards are encouraged and it promotes career growth. Rapid transformation with cutting edge tech stack. Venkat's 3 year plan is amazing and the right direction for the company.","very slow, bureaucratic. Hard to challenge status quo. Tech teams always had to scramble and beg for budget and they are always under subscribed. Little to none, elevation or progression observed for in role.","3.0","2026-02-04T07:49:15.010","Former employee - Data Engineer","Whippany, NJ","REGULAR","next_f"
"102607585","Overall OK but dependent on teams","Overall OK but dependent on teams","Benefit OK, hybrid working, comparable salary","Too much working over time","3.0","2026-02-01T16:32:08.087","Current employee - AVP","Wilmington, DE","REGULAR","next_f"
