"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103120602","Consulting","Consulting","Work flexibility remote work travel","Lack of structure Not being valued Unorganized","4.0","2026-03-10T17:34:35.233","Former employee - Senior Consultant","Atlanta, GA","REGULAR","next_f"
"103088580","Great Company dont buy stock options!","Great Company dont buy stock options!","Great people, decent benefits, honestly tried hard to find reassignment for me within company before layoff.","Left Company 6 months ago and still have not been paid out for stock options I exercised.","3.0","2026-03-08T14:40:52.783","Former employee - Asset Manager","Bellevue, WA","REGULAR","next_f"
"103029117","Overly focused on securing new government contracts","Overly focused on securing new government contracts","Variety of types of positions","Management appears disengaged from the day-to-day performance of contracts after securing them.","3.0","2026-03-03T12:30:28.520","Current employee - Quality Assurance Manager","Washington, DC","REGULAR","next_f"
"103028119","Payscale of Designer","Payscale of Designer","Getting projects and working for different clients","work culture is really bad, and its mostly same with all service based companies","3.0","2026-03-03T11:18:47.080","Current employee - Senior UX Designer/Design lead","Newark, NJ","REGULAR","next_f"
"103005515","Avoid","Avoid","Good 401k, no common problems.","Very high expectations apart from client satisfaction. No salary revisions, Promotions for","3.0","2026-03-02T00:21:50.590","Former employee - Manager","Indianapolis, IN","REGULAR","next_f"
"102907326","Good if you're starting but expect career advancement headwinds","Good if you're starting but expect career advancement headwinds","401K Match Company paid learning resources + 1 cert reinbursement per year","Unclear advancement path Compliance requirements(mandatory training hours) can be a toll if you have heavy client work load No work/life balance","3.0","2026-02-21T11:07:03.650","Current employee - Associate Consultant","Atlanta, GA","REGULAR","next_f"
"102795568","Going the wrong direction","Going the wrong direction","Allows employees to work remotely.","Capgemini continues to offshore positions overseas.","2.0","2026-02-11T13:26:26.563","Former employee - Manager","Dayton, OH","REGULAR","next_f"
"102754188","Okay","Okay","Make sure to put in extra hours Try to go above and beyond Sell yourself and follow the rules","May randomly get laid off Usually they lie about why youâre getting laid off Kind of have to sell yourself and network to get on projects","3.0","2026-02-09T09:00:15.973","Former employee - Tax Consultant 1","Nashville, TN","REGULAR","next_f"
"102716269","Review","Review","Collaborative employees and work environment","Not much opportunity for growth","4.0","2026-02-06T08:38:57.240","Current employee - Financial Crime Compliance Analyst","San Antonio, TX","REGULAR","next_f"
"102680781","It's just alright","It's just alright","Good people to talk to","Not very helpful to new people","2.0","2026-02-04T17:23:08.467","Current employee - Software Engineer","New York, NY","REGULAR","next_f"
"102678092","1","1","It is a career booster","Terrible hours over worked all the time","1.0","2026-02-04T14:35:17.827","Current employee - Technical Consultant","Chicago, IL","REGULAR","next_f"
"102674498","Updating for GlassDoor","Updating for GlassDoor","Capgemini is like a family. The people here are amazing.","There are ""no cons"" to note here specifically.","4.0","2026-02-04T11:40:38.783","Current employee - Senior Consultant","Idaho City, ID","REGULAR","next_f"
"102628512","Excellent place to start your career!","Excellent place to start your career!","Lots of opportunities and great work culture!","I donât have any right now","5.0","2026-02-02T15:18:09.590","Current employee - Software Engineer","Nashville, TN","REGULAR","next_f"
"102566375","Feedback","Feedback","Better working culture and easy reach to lerdership","Middle range leaders doesnât seems mature enough","4.0","2026-01-29T20:45:52.750","Current employee - Senior Manager","Elizabeth, NJ","REGULAR","next_f"
"102484194","Good company","Good company","Good opportunities and project and people","Less benefits and salary hikes","4.0","2026-01-26T11:27:56.250","Current employee - Manager","Ontario, CA","REGULAR","next_f"
"102462206","Ok for start","Ok for start","Nice environment, friendly team, easy to learn","Low wage in the last years, hopefuly will be boosted soon","4.0","2026-01-25T00:07:04.843","Current employee - Engineer","United, WV","PART_TIME","next_f"
"102457089","Good place to start","Good place to start","Learn a lot, create coworkers and collaboration","Change of leadership and budget changes led to many layoffs","3.0","2026-01-24T10:43:18.007","Former employee - Sr. Internal Communications Specialist","New York, NY","REGULAR","next_f"
"102393773","Salary","Salary","Flexible hours and work-life balance","Unclear compensation path or goals for promotion","3.0","2026-01-21T08:11:02.683","Current employee - Senior Consultant","Chicago, IL","REGULAR","next_f"
"102346904","Working at CG","Working at CG","Good experience and work culture is good.","Immigration Issues. They do not start the GC processing as promised.","3.0","2026-01-19T10:46:29.760","Current employee - Senior Consultant","Dallas, TX","REGULAR","next_f"
"102346870","Not good for good employees.","Not good for good employees.","Managers would absolutely never come to ask for anything, nothing whatsoever.","The projects and management are below expectations. Employees have not received salary hikes for years and there are no career plans or growth opportunities. There is no on-bench policy, the staffing team is ineffective and there is almost no connection between senior management and employees. Very risky for professional growth and stability.","3.0","2026-01-19T10:44:41.160","Current employee - Solutions Architect","New York, NY","REGULAR","next_f"
"102308925","No mobility","No mobility","Good benefits but not much besides that","No mobility or promotion plan.","1.0","2026-01-16T18:01:22.977","Current employee - Consultant","Chicago, IL","REGULAR","next_f"
"102238699","Not great","Not great","Some good peopleâ¦and the work is ok.","Highly political, misogynistic, racist, and stressful. If youâre not Indian and male, forget about advancement opportunities. And if youâre in sales, youâll be in competition with your leadership for sales credit and will probably never get paid commission.","2.0","2026-01-13T17:01:40.280","Current employee - Senior Director","Atlanta, GA","REGULAR","next_f"
"102231578","Good for entry level work","Good for entry level work","Salary not TOO bad for entry","Different project, some short some long, constantly need to look for projects or risk going to bench which will eventually lead to getting laid off . Constantly need to think of relocation if project location is somewhere else","2.0","2026-01-13T10:33:34.627","Current employee - Consultant","New York, NY","REGULAR","next_f"
"102154964","Good for freshers","Good for freshers","Great things to learn, at the early stage of carrier","Bench Time is alot for freshers","5.0","2026-01-09T00:46:29.377","Former employee - Data Analyst","Indian Trail, NC","REGULAR","next_f"
"102092017","Salary average","Salary average","The manager I have is good.","Promotion is hard to get.","4.0","2026-01-06T06:48:56.677","Current employee - Project Manager","Philadelphia, PA","REGULAR","next_f"
"102079396","Plenty of opportunities","Plenty of opportunities","Fast-paced environment. You will work on a complex project in a different industry.","Can be very bureaucratic. Management is out of touch. Some red projects where hrs can be very long","3.0","2026-01-05T13:55:39.313","Former employee - Senior Manager","Chicago, IL","REGULAR","next_f"
"102006909","Ok","Ok","Good experience with management, very friendly and supportive. Salary is similar to the industry average. Work life balance is very good. They offer remote work.","Work can be very trivial. You have to be VP level to make real money.","4.0","2025-12-29T21:21:08.100","Former employee - Consultant","Houston, TX","REGULAR","next_f"
"101895551","Great methodology and opportunities","Great methodology and opportunities","-solid training and methedology -international company &amp; connections","-not very competitive with pay","4.0","2025-12-18T20:07:42.920","Former employee - Consultant","Dallas, TX","","next_f"
"101834071","Donât expect competitive pay or raises","Donât expect competitive pay or raises","Good to get foot in door","Bad management Too big for IC to matter","3.0","2025-12-15T17:16:01.013","Current employee - Quality Assurance Analyst","Atlanta, GA","REGULAR","next_f"
"101822594","Good role to have within the company","Good role to have within the company","Autonomy to perform your tasks as long as you are proactive and are a good communicator. The Executives rely on their Assistants to take the lead on requests and daily tasks, and the expectation is for the Assistant to be ahead of what the Exec needs.","Fast paced setting and expectation is for the Assistant to take the lead. If the Assistant waits to be told what to do, they will not be a good candidate for this role.","4.0","2025-12-15T05:58:54.333","Current employee - Executive Assistant","New York, NY","REGULAR","next_f"
"101672268","Capgemini review","Capgemini review","Projects are good, get to work on new technologies","Communication with leadership is very difficult","2.0","2025-12-05T12:38:32.303","Current employee - Senior Consultant","New Orleans, LA","REGULAR","next_f"
"101611347","Great place to start your career","Great place to start your career","Good place to build skills, cool offices, good people","low pay, can be stressful if not on a project","4.0","2025-12-02T19:05:07.927","Former employee - Software Engineer","New York, NY","REGULAR","next_f"
"101561220","Overworked and underpaid","Overworked and underpaid","Its a job and its there - it used to have more stability but it has lost a lot of reputation","Undervalued loyalty to high turnover rate","3.0","2025-11-30T06:59:18.390","Current employee - Consultant","Maryland City, MD","REGULAR","next_f"
"101483534","Salesforce Business Analyst","Salesforce Business Analyst","i guess they have good benefits","widely depends on project you are on","1.0","2025-11-25T06:20:35.720","Current employee - Salesforce Business Analyst","Tysons Corner, VA","REGULAR","next_f"
"101410581","Exxcellent Entry Level","Exxcellent Entry Level","If work comes down the pipeline, you can fill-out multiple skill-sets for your resume quickly.","Pay doesn't keep up with competitors, get out as soon as possible","3.0","2025-11-20T19:36:14.387","Former employee - Information Security Consultant","Columbia, SC","REGULAR","next_f"
