"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"97336922","Interesting roles with global career experience","Interesting roles with global career experience","Large number of employee programs and tools","Pay increases are very conservative","4.0","2025-05-14T08:21:50.307","Former employee - Business Operations Manager","Research Triangle Park, NC","REGULAR","next_f"
"103102380","G6 SWE Review","G6 SWE Review","Relevant tech stack if on right time Work from home on many times Good WLB Stocks been rising recently Has been doing pretty good job adapting to AI","Pay can't compare to other top tech Many layers of management sometimes makes it difficult to stay aligned","4.0","2026-03-09T14:26:16.643","Current employee - Software Engineer","San Jose, CA","REGULAR","next_f"
"103077450","Network Engineer with advanced experience in routing and switching","Network Engineer with advanced experience in routing and switching","A Better Work life balance","So many laid-offs every years","2.0","2026-03-06T23:25:34.350","Former employee - Network Consulting Engineer","Richardson, TX","REGULAR","next_f"
"103063862","Great company","Great company","Was able to obtain full-time employment after 15-month apprenticeship, with bonus opportunities. Company has great culture, really values cross-functional collaboration. Offers great learning opportunities through company-paid memberships and offers connected recognition","No cons for me at this time","4.0","2026-03-05T20:22:01.713","Former employee - Software Engineer","Irvine, CA","REGULAR","next_f"
"103059572","Partner Operations","Partner Operations","Working autonomously and remote from home.","Working with teams all over the world. Different time zone's can be a challenge for mandatory meetings and interactions.","4.0","2026-03-05T12:46:42.293","Former employee - Partner Operations Analyst","Research Triangle Park, NC","REGULAR","next_f"
"102990441","salary","salary","It is an okay company but political","Too many LR's and constant stress","3.0","2026-02-27T18:45:52.527","Current employee - Technical Lead","San Jose, CA","REGULAR","next_f"
"102988124","Customer Success Manager (CSM)","Customer Success Manager (CSM)","Not a lot of pros.","Disorganized with little structure to the role","2.0","2026-02-27T13:09:30.920","Current employee - Customer Success Manager (CSM)","Irvine, CA","REGULAR","next_f"
"102976325","Career Staller","Career Staller","Most of your coworkers are pretty nice.","If you don't end up on the right team with the right manager who is the director's favorite your career is going to stall. Taking up projects that provide no benefit to the work is the best way to move up. Nobody cares how well you do the job and you won't be recognized for any work you do. Its all about knowing people and getting put on projects like making a newsletter nobody reads.","3.0","2026-02-26T16:06:37.900","Current employee - Client Operations Analyst","Raleigh, NC","REGULAR","next_f"
"102961397","Great company but lot of layoffs","Great company but lot of layoffs","Great benefits and culture with opportunities to grow","Many yearly layoffs can be political","5.0","2026-02-25T16:51:33.533","Former employee - Sr. Product Manager","Research Triangle Park, NC","REGULAR","next_f"
"102959989","Great place","Great place","Cisco is a rather stable company with no glaring negatives","Occasional politics due to misalignment","4.0","2026-02-25T14:26:20.060","Current employee - Sales Operations Manager","San Jose, CA","REGULAR","next_f"
"102947311","Good","Good","I like the culture of company","I donât see any downsides","5.0","2026-02-24T20:31:52.390","Former employee - UX Desinger","San Diego, CA","REGULAR","next_f"
"102944646","Good work environment","Good work environment","Good work life balance and team members.","Not a lot of interesting work.","4.0","2026-02-24T15:22:54.603","Former employee - Software Engineer","San Jose, CA","REGULAR","next_f"
"102931638","Layoffs","Layoffs","The Culture at Cisco is unmatched","Always in fear of layoffs","3.0","2026-02-23T20:17:16.120","Former employee - Sales Manager","Research Triangle Park, NC","REGULAR","next_f"
"102902367","Grwat","Grwat","Great job with pay money","Great job but hard for me","5.0","2026-02-20T18:22:24.547","Former employee - Network Engineer","Houston, TX","REGULAR","next_f"
"102898416","Excellent company to work for","Excellent company to work for","Great company culture, fantastic people, a lot of teamwork from everywhere in the company","Layoffs without much notice or even any announcement.","5.0","2026-02-20T10:24:35.840","Former employee - Technical Account Manager (TAM)","Rancho Cordova, CA","REGULAR","next_f"
"102869190","ðð¼","ðð¼","Great culture and great people","None come to mind here","5.0","2026-02-18T08:44:04","Current employee - Sales","Boston, MA","REGULAR","next_f"
