review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100710322,You get the opportunity to work with different kind of projects,you get the opportunity to work with different kind of projects,salary will be low compared to other companies,3.0,2025-10-16,QA Lead,"Minneapolis, MN",REGULAR,You get the opportunity to work with different kind of projects you get the opportunity to work with different kind of projects salary will be low compared to other companies,US,state_code:MN
100710093,Decent insurance and benefit options,decent insurance and benefit options,offshore as much as possible and rinse and repeat implementation,2.0,2025-10-16,Associate Director,"Atlanta, GA",REGULAR,Decent insurance and benefit options decent insurance and benefit options offshore as much as possible and rinse and repeat implementation,US,state_code:GA
100709377,You get to work with some great people,you get to work with some great people,executive leadership sucks there s no transparency benefits suck promotions are rare merit increases are pennies if you even get them,1.0,2025-10-16,Senior Consultant,"Tampa, FL",REGULAR,You get to work with some great people you get to work with some great people executive leadership sucks there s no transparency benefits suck promotions are rare merit increases are pennies if you even get them,US,state_code:FL
100703728,Access to new tech and all the training you can handle,access to new tech and all the training you can handle,the allocation process is very muddy - they tend to offshore most of their roles,3.0,2025-10-16,Project Manager,"Plano, TX",REGULAR,Access to new tech and all the training you can handle access to new tech and all the training you can handle the allocation process is very muddy - they tend to offshore most of their roles,US,state_code:TX
100683760,good company training structure is available pays ok,good company training structure is available pays ok,could be a bit better higher management access,4.0,2025-10-15,Sr Associate,"Dallas, TX",REGULAR,good company training structure is available pays ok good company training structure is available pays ok could be a bit better higher management access,US,state_code:TX
100682566,Good work hours compared to other service based companies,good work hours compared to other service based companies,less salary for a similar role in other firms,4.0,2025-10-15,Project Manager,"Foster City, CA",REGULAR,Good work hours compared to other service based companies good work hours compared to other service based companies less salary for a similar role in other firms,US,state_code:CA
100676270,Good career growth to learn new skills,good career growth to learn new skills,not really nothing striking to mention,4.0,2025-10-15,Engineer,"Atlanta, GA",REGULAR,Good career growth to learn new skills good career growth to learn new skills not really nothing striking to mention,US,state_code:GA
100670645,Paid holidays and remote work,paid holidays and remote work,expectations unreasonable and no one likes to share information some rude interactions noticed,2.0,2025-10-15,Accounts Receivable,"Hatboro, PA",REGULAR,Paid holidays and remote work paid holidays and remote work expectations unreasonable and no one likes to share information some rude interactions noticed,US,state_code:PA
100587860,Customer and multiple stakeholder exposure,customer and multiple stakeholder exposure,senior management mostly off-shore based,4.0,2025-10-11,Associate Director,"Chicago, IL",REGULAR,Customer and multiple stakeholder exposure customer and multiple stakeholder exposure senior management mostly off-shore based,US,state_code:IL
100581308,Great clients to work with,great clients to work with,lots of bearacracy but if you can put up with that it s a good place for experienced hires,5.0,2025-10-10,Project Manager,"Indianapolis, IN",REGULAR,Great clients to work with great clients to work with lots of bearacracy but if you can put up with that it s a good place for experienced hires,US,state_code:IN
