"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"100336107","Crew Carwash is a great company to work at!","Crew Carwash is a great company to work at!","$73","Like every job, there are a few cons from working here. However, the cons of Crew Carwash doesnât make working here a bad job at all. - One personal con of mine is that when youâre new, there is so much to learn. Therefore, it is a bit overwhelming. Crew Carwash in general puts a bit of pressure on everyone as well, so sometimes you can find yourself being a little stressed. - Another con that I have is the weather. When you apply to work at Crew Carwash, of course you know that you have to work outside. However, it does take some time to get use to it, ESPECIALLY the summer/winter so just be prepared. The good thing is that over time it does get better.","5.0","2025-09-29T17:27:01.593","Current employee - Team Leader","Indianapolis, IN","PART_TIME","next_f"
"102936048","Great workplace focused on excellence","Great workplace focused on excellence","- incredibly values based. At Crew we LIVE the values. hiring, coaching, promotions, termination, pay raises are all based on how well employees embody the values - fast growing company. We are expanding a lot and there are promotions and growth opportunities readily available if youâre whiling to out in the work and strive for excellence - feedback culture. Crewâs team member promise is to reach you full potential. All team members, managers, and leadership are coached and given feedback consistently - fun. Itâs not every work place that you get to work with such great people and see the goals being achieved","- being in the service industry there can be some challenging schedules, early mornings, and late nights. - as we rapidly grow there are some growing pains with maintaining top quality management teams at all our locations to provide great customer and team experiences. - as a manager this is not a low stress job, but the rewards are worth it","5.0","2026-02-24T04:50:24.617","Current employee - General Manager","Indianapolis, IN","REGULAR","next_f"
"102861416","Crew Car Wash - Clean Up Crew","Crew Car Wash - Clean Up Crew","*Flexible Schedule *Works well with schooling *Work is pretty straightforward","*Late nights *Few people work as clean up","5.0","2026-02-17T18:10:45.420","Current employee - Clean Up Crew","Lafayette, IN","PART_TIME","next_f"
"102797250","Pros and Cons","Pros and Cons","Interacting with customers Team engagement Learning opportunities","-Speed of service over safety -Policy inconsistency -Upper leadership criticizes in public -Not a lot of the right support from upper leadership -Decisions that are made are based off how upper leadership feels vs how the team feels -Upper leadership favoritism -High Expectations with low pay -Doesnât live up to the six values we are built on anymore","3.0","2026-02-11T16:16:28.897","Current employee - Shift Manager","Merrillville, IN","REGULAR","next_f"
"102702878","Good place to work","Good place to work","Pay Different each day Fun team","Weather Not great hours Old tech","4.0","2026-02-05T15:13:15.773","Current employee - Operations Manager","Indianapolis, IN","REGULAR","next_f"
"102425852","Good","Good","Great coworkers good pay reasonable","Not too much to say","5.0","2026-01-22T13:55:31.537","Former employee - Night Cleaning Crew","Schererville, IN","REGULAR","next_f"
"102221679","Good starter job","Good starter job","Team members were nice and it was a fun place to work.","Pay was low and no opportunity for raises","3.0","2026-01-13T02:43:01.063","Former employee - Team Member","Indianapolis, IN","PART_TIME","next_f"
"102189197","Great Working Environment","Great Working Environment","Crew carwash is a business that invests in the future of their employees. They have partnerships with Ivy Tech and even have tuition assistance programs. They also offer on site training in various mechanical things.","The rapid growth of the company can lead to some moving around to various locations.","5.0","2026-01-11T11:32:21.923","Current employee - Assistant Manager","Noblesville, IN","REGULAR","next_f"
"102159398","Solid Atmosphere, Tough Conditions","Solid Atmosphere, Tough Conditions","Management was excellent - they worked with you to try and set and reach goals. Professional environment in a blue collar job setting. Pay was good for high-school/college aged individuals","harsh conditions, cold, heat, standing on your feat all day Inconsistent hours, could be cut early depending on weather","4.0","2026-01-09T06:06:54.313","Former employee - Team Leader","Greenwood, IN","REGULAR","next_f"
"102147030","Crew Cares About Their People","Crew Cares About Their People","From the location level associates to the entire support. Every single person knows what is expected from them, always asking for advice and what else can be done. There is a reason why they can and do truely hire the best.","No bad cons. It is a very weather dependent business. So some days can be busy and other be a little slower. But on those slow days their is always something to do","5.0","2026-01-08T13:40:09.797","Current employee - General Manager","Munster, IN","REGULAR","next_f"
"102028146","Great culture, Good benefits, Demanding work environment.","Great culture, Good benefits, Demanding work environment.","Better than average benefits. Weekend off rotation model (rare to find in any customer facing role). Great PTO (no sick days) Great overall culture, and the training is top notch. Upper management is very visible, and in my first 30 days of employment I had personal conversations with both the CEO Bill Dahm, and the COO Billy Schaming. Great guys that I hold in high esteem.","$71","5.0","2025-12-31T22:32:39.253","Current employee - Fast Track Operations Manager","West Lafayette, IN","REGULAR","next_f"
"101924560","Good place","Good place","Flexible schedule People Pay Incentive Competitive environment","Working in extreme weather conditions","4.0","2025-12-21T14:07:31.420","Current employee - Sales Associate","Indianapolis, IN","PART_TIME","next_f"
"101918006","Climb the Ladder","Climb the Ladder","Clear lath to become a General Manager. Fast track program is great for new candidates. Learn from scratch. Lead a team. Lots of growth.","You will face many challenges getting to GM. Buckle up. Itâs not given to you. Itâs cold out. No perfect solution. Be ready to be cold and sacrifice for your team every day. If you like structure, we have it here. The level after GM is unattainable for many people including myself. No clear path to Area Director. If I ever leave crew. That would be why.","5.0","2025-12-20T17:37:49.907","Current employee - General Manager","Indianapolis, IN","REGULAR","next_f"
"101909456","Crew Management","Crew Management","I think one of the best things about Crew is the management who has a great mix of fun and professionalism that makes working together a lot easier and effective. Every manager at Crew is not only highly trained but they are also very personable and you often forget you are speaking to a manager! I also really like that every manger you speak to at Crew, can tell you about their whole crew career and how they started out just like everyone else and eventually climbed the ladder. This is great because it limits the disconnect management and employees sometimes have because associates always know that their manager went through the exact same work that they are doing and it also encourages associates to climb the corporate ladder!","The only con I can think about is that our service is quite weather dependent and so some days are incredibly busy and others are incredibly dead which can sometimes impact the amount of hours you work.","5.0","2025-12-19T17:10:50.610","Current employee - Shift Manager","Avon, IN","REGULAR","next_f"
"101902842","Best Job","Best Job","-Crew lives out their values of Safety, Integrity, Fun, Teamwork, accountability, and WIT to the fullest - You're consistently pushed to grow to your full potential -It is a fun environment, and the relationships you can build working here are amazing -They care about you more than just as an employee, but as a person too -It is a stable, reliable job","-This job is weather driven, some may not like that","5.0","2025-12-19T07:34:47.790","Current employee - Shift Manager","Fishers, IN","PART_TIME","next_f"
"101890081","Getting Too Big To Hold Values","Getting Too Big To Hold Values","Only stayed for the pay (when hours were available, see below)","$71","1.0","2025-12-18T11:55:24.437","Current employee - Assistant Manager","Minnesota Lake, MN","REGULAR","next_f"
"101846523","A Great Work Environment","A Great Work Environment","1) flexible work schedule 2) tuition reimbursement 3) fun atmosphere","1) weather driven business - inconsistent hours","5.0","2025-12-16T08:53:06.700","Current employee - Part Time Shift Manager","Bloomington, IN","PART_TIME","next_f"
"101797188","Assistant Manager at Crew","Assistant Manager at Crew","Fun and light team oriented environment","Cold search in winter and vice versa","5.0","2025-12-12T22:16:37.977","Current employee - Assistant Manager","Fishers, IN","REGULAR","next_f"
"101710294","Amazing Place to Work!","Amazing Place to Work!","Super friendly people and they have amazing perks to the job!","Sometimes it can be tough on the body, but still super great!","5.0","2025-12-08T10:27:11.887","Current employee - Shift Manager","Kokomo, IN","PART_TIME","next_f"
