"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103096769","Good company, No job security","Good company, No job security","work life balance work from home holidays","no job security no personal touch depends on manager","4.0","2026-03-09T08:03:20.780","Current employee - Software Engineer","Pune","REGULAR","next_f"
"103081766","Great company","Great company","Invests heavily in training, internal courses, and certifications. Work with modern frameworks. The company offers strong opportunities for professional growth and skill development.","Salary increases and bonuses may be slow","5.0","2026-03-07T13:02:23.633","Former employee - Front End Developer","Tbilisi","REGULAR","next_f"
"103079846","Best Service based company in India","Best Service based company in India","Insurance Leave Policy Career Opportunity","Nothing I observed till now","5.0","2026-03-07T07:19:08.393","Current employee - Senior Software Engineer","Bengaluru","REGULAR","next_f"
"103065932","great employer","great employer","- lots of opportunities to improve skills - huge knowledge base, certification programs, learning opportunities - environment that supports you, you have resource manager who helps you to achieve each milestone and overcome challenges - employer who values your personal life - good place for family people to work","not much, but limited benefits options","5.0","2026-03-06T01:13:29.687","Current employee - Business Analyst","Kyiv, Kyiv","REGULAR","next_f"
"103065087","Data Engineer","Data Engineer","good for young people to learn and get going","no cons as of now","4.0","2026-03-05T23:11:04.740","Current employee - Senior Software Engineer","Pune","REGULAR","next_f"
"103058705","EPAM Employee","EPAM Employee","work-life balance, variety of projects, great peers","lacking strategic direction, unclear expectations","3.0","2026-03-05T11:40:14.277","Current employee - Senior Manager, Marketing","Philadelphia, PA","REGULAR","next_f"
"103057027","valuable experience","valuable experience","good benefits company culture high-profile projects","limited career progression low chance for salary adjustments over time","4.0","2026-03-05T09:33:17.893","Current employee - Senior Systems Engineer","Prague","REGULAR","next_f"
"103053426","Good place to work, lots of learning opportunities","Good place to work, lots of learning opportunities","- Good Support for finding projects - Huge collection of self paced/mentor-lead learning opportunities - Transparent promotion process","Yearly hikes are minimum and average.","4.0","2026-03-05T04:55:00.507","Current employee - Software Engineer","Bengaluru","REGULAR","next_f"
"103052578","One of the comfort place to work","One of the comfort place to work","* AI-first environment * Educational opportunities * Big community of developers * Company benefits","* Difficult to relocate in current world situation; * Many talented developers currently on bench; * Currently you need some minimal experience to be hired; * Salary reviews are slow;","5.0","2026-03-05T03:25:44.810","Current employee - Senior Software Engineer","Tbilisi","REGULAR","next_f"
"103021576","Don't recommend to apply for their positions right now","Don't recommend to apply for their positions right now","No pros at this point.","The company is slowly deteriorating. No pay raises in four years, management is getting worse, benefits are being cut, and internal communication is terrible. Everyone, especially managers, is burned out, and nobody is doing anything about it.","2.0","2026-03-03T03:19:48.530","Current employee - UX-UI Designer","Lviv","REGULAR","next_f"
"103018995","Great Opportunity","Great Opportunity","Good environment Proffesional Grow Work Balance","Salary and Benefits (But it depends on how you deal your salary at the beginning)","4.0","2026-03-02T21:42:43.730","Current employee - Senior Software Testing Engineer","BogotÃ¡, Bogota","REGULAR","next_f"
"103018932","Personal Experience","Personal Experience","Good Work Environment Good Communities are there to learn","Unable to change your domain","4.0","2026-03-02T21:34:27.910","Current employee - Junior Test Automation Engineer","HyderÄbÄd","REGULAR","next_f"
"103008170","-","-","sometime interesting project some managers/practice","stability salary benefits some managers/practice","4.0","2026-03-02T05:42:02.900","Current employee - Project Manager","Warsaw, Masovia","REGULAR","next_f"
"103008056","Minimum wage for loayl employees","Minimum wage for loayl employees","Great knowledge base Variety of project and technologies Educational programs","Ukrainian English Spanish Ukrainian Russian English Always underpays loyal employees who work for the company 2+ years, all salary raise budget will be used for new hirings. Still have MANY russian and belorussian employees.","3.0","2026-03-02T05:31:49.060","Former employee - Lead Quality Assurance Engineer","Kyiv, Kyiv","REGULAR","next_f"
"103005207","NEVER accept Epam offers unless it's a last resort.","NEVER accept Epam offers unless it's a last resort.","There is only one really: - Fully home office","$70","1.0","2026-03-01T23:30:28.773","Current employee - Senior Data Scientist","Istanbul","REGULAR","next_f"
"103005181","NA","NA","Good company, good learning opportunity","You have to clear cilents rounds effectively","5.0","2026-03-01T23:26:54.430","Current employee - Software Engineer","Bengaluru","REGULAR","next_f"
"103004449","Decent for starter","Decent for starter","If the project is good - you will be fine money wise and from job safety perspective","If the project is bad - you better start applying","4.0","2026-03-01T21:22:03.887","Former employee - Software Engineer","Chicago, IL","REGULAR","next_f"
"103001691","Review","Review","Good place to work overall","projects timeline is considerably short","4.0","2026-03-01T12:55:37.903","Current employee - Software Engineer","Bengaluru","REGULAR","next_f"
"102997352","50/50","50/50","Stability, big company environment (sometimes +)","Big company environment (sometimes -). Growth processes - assessment is dull and meaningless, and slows things down. Real promotions are achieved only through connections (favorites, friends, partners).","3.0","2026-02-28T19:26:10.777","Current employee - Designer","Kyiv, Kyiv","REGULAR","next_f"
"102988685","Nice place to work","Nice place to work","Vary good opportunity to work in different projects","A low level of compensation","4.0","2026-02-27T14:12:59.303","Current employee - Senior Business Analyst","WrocÅaw","REGULAR","next_f"
"102988333","Middle rate company","Middle rate company","Good work life balance, sometimes interesting projects","A lot of burrocracy with grow, promotion is a hard way","3.0","2026-02-27T13:33:42.433","Current employee - Senior Software Engineer","Warsaw, Masovia","REGULAR","next_f"
"102984127","Project allocation","Project allocation","They will give you enough time to get a good project","Internal interview needs to gave everytime which is hectic.","3.0","2026-02-27T07:25:14.840","Current employee - Devops Engineer","Gurgaon, Haryana","REGULAR","next_f"
"102982456","Good","Good","good culture and nice people","nothing so far,everything is good","5.0","2026-02-27T04:46:31.347","Current employee - Senior DevOps Engineer","HyderÄbÄd","REGULAR","next_f"
"102979276","Entrepreneurial large company","Entrepreneurial large company","What can I say ... I enjoy it here. Some of the brightest people I've ever worked with, and hungry, humble, smart is so true. The opportunity you have here is largely what you make it. It's way less red tape than larger consulting firms, and they are open to new ideas. It's not for everyone, but if you want to work on the bleeding edge and like wearing multiple hats, this is the place for you.","It's not perfect. There can be improvements to benefits and compensation to be more competitive. Also sometimes the targets run contrary to each other, but that can be attributed to the dynamic market right now.","5.0","2026-02-26T22:01:17.050","Current employee - Managing Principal","Dallas, TX","REGULAR","next_f"
"102979061","Good","Good","If you get good project, all good.","Get into a project is difficult as there are multiple rounds.","2.0","2026-02-26T21:35:20.460","Current employee - Senior Software Engineer","Bengaluru","REGULAR","next_f"
"102977945","Decent company","Decent company","I have been working for 3 year and it's been a good experience. Good policies","Hike is not good You promotion you need to again give interview and pass the assessment process","3.0","2026-02-26T19:14:38.143","Current employee - Senior Software Developer","Pune","REGULAR","next_f"
"102976844","Good team","Good team","Architecture team is very strong and fun to work with Great support from international competency centers Opportunity to be involved in variety business and technical domains","Still a bit small presence comparing to other EPAM locations out there","4.0","2026-02-26T17:05:03.433","Current employee - Solutions Architect","Sydney","REGULAR","next_f"
"102964879","Great place to learn and grow","Great place to learn and grow","Fast growth and a lot of talented people","Large cooperation that can sometimes be slow moving","4.0","2026-02-25T23:45:17.917","Current employee - Software Engineer","New York, NY","REGULAR","next_f"
"102960068","I liked it","I liked it","- salary - atmosphere - the fact that they are teaching juniors","Me personally did not fing a minus of this company","4.0","2026-02-25T14:34:38.020","Current employee - Revenue Analyst","Astana","REGULAR","next_f"
"102951535","EPAM Systems Spain Review","EPAM Systems Spain Review","- A lot of training/development possibilities - Career opportunities (you can switch to different roles) - Good work/life balance (but it depends on a project) - Professional colleagues - Nice office in MÃ¡laga - Different projects","- It's very hard to get a salary raise over time","4.0","2026-02-25T04:05:21.137","Current employee - Lead Quality Engineer","MÃ¡laga","REGULAR","next_f"
"102935412","A Good Fit for Those Seeking Stability Over Rapid Growth","A Good Fit for Those Seeking Stability Over Rapid Growth","Comfortable office environment with stable, on-time salary payments","Reduction in project volume and continued workforce optimization efforts","4.0","2026-02-24T03:51:23.840","Former employee","Unknown location","REGULAR","next_f"
"102934900","Generally a Good company","Generally a Good company","Knowledge base (Learning portals with various courses, programs) Benefits Communities Culture","Complicated salary raise system and process.","4.0","2026-02-24T02:55:30.847","Current employee - Business Analyst","Warsaw, Masovia","REGULAR","next_f"
"102934369","Perfect","Perfect","Learning and growth possibility in the Company","Might be salary a little bit lower","5.0","2026-02-24T02:04:47.863","Current employee","Unknown location","REGULAR","next_f"
"102925220","Nice place to work","Nice place to work","The company is very helpful with documents support","Salary range is slightly below average","4.0","2026-02-23T10:12:41.750","Current employee - Front End Developer","Newtown, PA","REGULAR","next_f"
"102923637","Good place to work but Salary lower than market","Good place to work but Salary lower than market","Amazing culture, and people to work with. Company open to new ideas","Salary lower than market. Benefits are not adjusted by inflation for at least 7 years","4.0","2026-02-23T08:26:24.990","Current employee - Delivery Manager","KrakÃ³w","REGULAR","next_f"
"102921866","nice","nice","nice, easy, good collective, interesting","late replies, no salary increase, no clear answer","4.0","2026-02-23T06:15:48.370","Current employee - Senior Software Engineer","Tbilisi","REGULAR","next_f"
"102919705","Good learning base, average compensation","Good learning base, average compensation","Solid learning foundation and access to internal training resources Opportunity to work on diverse projects across different domains Generally supportive and professional work environment Stable employment conditions Good exposure to international clients","Project allocation is not always flexible (limitations by title, location, or internal rules) Being in a specific location does not guarantee access to stronger or more interesting projects Career and salary growth can be slow Compensation is around mid-market or slightly below, with limited indexation Salary increase process can be challenging","4.0","2026-02-23T02:50:25.960","Current employee - Lead Engineer","Prague","REGULAR","next_f"
"102919546","Good","Good","Good company, great pay culture","Nothing bad to say as such","4.0","2026-02-23T02:32:27.670","Current employee - Software Development Engineer (SDE)","Noida","","next_f"
"102910364","Good","Good","very good company and work life balance","nothing to find here as","5.0","2026-02-21T22:57:27.983","Current employee - Senior Software Engineer","Bengaluru","REGULAR","next_f"
"102910044","Great work life balance","Great work life balance","Great to learn AI Good work life balance","As its service based company you will have fear of contract termination","4.0","2026-02-21T21:28:09.077","Current employee - Chief Systems Engineer","Toronto, ON","REGULAR","next_f"
"102906945","Good company","Good company","* Stability and worklife balance * Challenging projects * People * Learning opportunities","* Promotions are not easy","4.0","2026-02-21T10:04:23.663","Current employee - Software Engineer","Colombia, AtlÃ¡ntico","REGULAR","next_f"
"102885436","EPAM Poland review","EPAM Poland review","1) Many large-scale projects 2) Transparent and timely payment 3) Bench availability","1) No salary reviews over the past two years 2) Bureaucracy","4.0","2026-02-19T11:07:18.713","Current employee - Senior Angular/Front-end Developer","Warsaw, Masovia","REGULAR","next_f"
