"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"102796155","WFC","WFC","Amazing company, best benefits around, competitive total income package, excellent training and ongoing support, training, mentoring, partnerships; phenomenal reputation. Truly an organization that you can work with for you entire career - just like I did, now happily retired in my 50s only to firmly focus on personal, health, hobby and family goals.","None, this is one of the best organizations that you had ever consider working for. And, there is so many different ways that you can work with and align yourself internally once you are onboard and thriving.","5.0","2026-02-11T14:21:13.297","Former employee - Workplace Financial Consultant","Denver, CO","REGULAR","next_f"
"103114300","Good Place to work","Good Place to work","Supportive colleagues, strong brand reputation, and good work-life balance. The pace can be manageable compared to many high-pressure financial firms.","As a large organization, decision-making can be slow. Growth opportunities may feel limited in certain areas, and organizational processes can involve multiple layers of approval.","3.0","2026-03-10T09:28:19.200","Former employee - Director","Westlake, TX","REGULAR","next_f"
"103110523","Flexible","Flexible","Hybrid schedule Plenty of PTO","Started heavily monitoring hours âin officeâ Management system convoluded leading to some micro-managing","5.0","2026-03-10T05:19:46.493","Current employee - Snior Software Engineer","Durham, NC","REGULAR","next_f"
"103104756","Good coworkers, bad return to work policies","Good coworkers, bad return to work policies","Great opportunities for advancement Talented, driven coworkers Extremely professional","Return to office policy had no flexibility and ultimately led to my departure from the company","3.0","2026-03-09T18:30:37.460","Former employee - Senior Associate","Merrimack, NH","REGULAR","next_f"
"103096447","Good experience but bad pay","Good experience but bad pay","Get your licenses and they help with that","Pay is not worth the amount of work in the role","3.0","2026-03-09T07:43:07.290","Former employee - Customer Relationship Advocate","Smithfield, RI","REGULAR","next_f"
"103088654","CRA","CRA","Great onboarding process through getting SIE, 7, 63 licensing. Training on in-house systems and protocols. Modern office with a new cafeteria, constantly remodeled floors, efficient desk setup, and paid public transportation.","The subsidised gym program is weak; I can get a better deal on my own. I can not think of any, every other week, work from the office. Unless you want to work 100% from home, every other week is a good mix.","5.0","2026-03-08T14:56:34.347","Current employee - Customer Service Representative","Salt Lake City, UT","REGULAR","next_f"
"103073567","Great so far","Great so far","Benefits, location, food, in/out of office policy","Nothing to complain about here","5.0","2026-03-06T13:06:42.907","Current employee - Analyst","Boston, MA","REGULAR","next_f"
"103063361","It's great but..","It's great but..","Senior Management is in tune with the team Plenty of work and OT (don't go over 50 hrs!) Great inclusion with the team during in-office Dynamic Working","Team managers are under-qualified Metrics focused even in slow periods Too much OT can get you fired! Benefits are TERRIBLE!! A.I. can do this job - and soon it will! Must bring over outside accounts to be managed by Fidelity or risk termination","2.0","2026-03-05T19:14:16.277","Current employee - Customer Account Resolution Senior Associate","Dallas-Fort Worth","REGULAR","next_f"
"103060825","Micromanagement","Micromanagement","Benefits are good, little upward mobility, pay is just average","WOKE, riddled with PC nonsense. It was surviveable pre-covid but since then the leadership has lost their minds.","1.0","2026-03-05T14:33:44.857","Former employee - High Net Worth Service Associate","Jacksonville, FL","REGULAR","next_f"
"103055359","Good","Good","Good environment with great benefits","Pay is slightly lower than industry","5.0","2026-03-05T07:33:47.107","Current employee - Cloud Engineer","Merrimack, NH","REGULAR","next_f"
"103049492","Good Job","Good Job","The benefits are top tier","Like any job metrics matter","5.0","2026-03-04T21:10:39.970","Current employee - CRA I","Durham, NC","REGULAR","next_f"
"103047684","Great place to work","Great place to work","Good culture, py, benefits and more","None that I can think of","5.0","2026-03-04T17:43:58.303","Current employee - Senior HR Manager","Boston, MA","REGULAR","next_f"
"103041110","Great Opportunities","Great Opportunities","Lots of support and mentoring, company really makes an effort to help their employees improve. 100% paid tuition for certain undergraduate programs. 7% 401(k) match. Many more benefits, too many to list.","Can't think of any right now.","5.0","2026-03-04T08:39:28.840","Former employee - Electronic Response Specialist","Covington, KY","REGULAR","next_f"
"103030597","FIdelity","FIdelity","Good life Good pay Good Netweork","Boring Not the best exit opps","5.0","2026-03-03T14:24:10.230","Current employee - Investment Associate","Westlake, TX","REGULAR","next_f"
"103029853","Salary","Salary","Benefits and generous leave for families","A lot of oversight for new employees","3.0","2026-03-03T13:22:18.320","Former employee - Financial Services Representative","Los Angeles, CA","REGULAR","next_f"
"103028830","It is a Grind","It is a Grind","The work environment and benefits are great.","The job is essentially a call center and it can be mentally taxing.","4.0","2026-03-03T12:09:32.350","Current employee - Customer Relationship Advocate","Salt Lake City, UT","REGULAR","next_f"
"103028472","Benefits","Benefits","Wonderful benefits. Very generous retirement and profit sharing.","No unfavorable experience during my tenure.","5.0","2026-03-03T11:43:49.143","Current employee - Customer Service Representative","Atlanta, GA","REGULAR","next_f"
