"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103105184","Great Management","Great Management","Managers are great with making accommodations for family/emergency events.","Customers can make the work illogical at times.","5.0","2026-03-09T19:16:26.177","Current employee - Deli Associate","San Antonio, TX","PART_TIME","next_f"
"103101554","Working at H-E-B","Working at H-E-B","Good place to work at.","There is nothing bad about the company.","5.0","2026-03-09T13:21:26.447","Former employee - Cashier","San Antonio, TX","PART_TIME","next_f"
"103097243","good job I was a curb","good job I was a curb","good very helpful I like","very hot outside a lot of work","4.0","2026-03-09T08:34:12.807","Former employee - Curbie","Texas City, IL","PART_TIME","next_f"
"103079405","Good Job for Students with Flexible Scheduling","Good Job for Students with Flexible Scheduling","Flexible scheduling that works well for high school or college students Decent pay for a cashier position Opportunity to pick up extra shifts if you want more hours Generally a good option if you need part-time work while in school","Part-time employees typically do not receive benefits If your availability is limited, you may not get as many scheduled shifts as youâd like Hours can vary week to week depending on scheduling needs","4.0","2026-03-07T06:08:25.290","Former employee - Cashier","Unknown location","PART_TIME","next_f"
"103077121","Alright company","Alright company","Good employees and easy to make friends","Bad managers n lack of respect for time","4.0","2026-03-06T22:18:59.037","Former employee - Deli Lead","Sugar Land, TX","PART_TIME","next_f"
"103064858","Love the people i work with","Love the people i work with","Customer interaction Coworker interactions Training","All hired part time Have to work 1500 hours to get benefits","5.0","2026-03-05T22:38:14.613","Current employee - Cross Functional Representative","Hudson Oaks, TX","PART_TIME","next_f"
"103064666","Good Company","Good Company","HEB is a great company to work for. Great benefits.","I don't have any cons.","5.0","2026-03-05T22:09:33.490","Current employee - Manager","Houston, TX","REGULAR","next_f"
"103047925","Heb","Heb","Having to get out of work early. And being able to do what you want afterwards at work","Getting up at night or early mornings. And having to sleep early","5.0","2026-03-04T18:10:59.867","Former employee - Shelf Edge Specialist","San Antonio, TX","PART_TIME","next_f"
"103025109","Great store","Great store","Great flexible schedule and work environment","No cons environment is great","4.0","2026-03-03T08:04:16.977","Former employee - In Store Shopper - Curbside","Pflugerville, TX","PART_TIME","next_f"
"103015564","HEB","HEB","sometime get tips and 10% discount on heb product","have to deal with the weather","4.0","2026-03-02T14:51:20.607","Current employee - Curbie","Houston, TX","PART_TIME","next_f"
"103002628","Cashier","Cashier","Pay increase is exopected. College Scholarship from them","Schedule made for you so you do not have control over that.","5.0","2026-03-01T15:39:20.353","Former employee - Cashier","Waco, TX","PART_TIME","next_f"
"102999972","Great company","Great company","Work like balance, flexibility and great managers","Pay could be a bit better but for an hourly role, it worked","5.0","2026-03-01T07:52:45.553","Former employee - Personal Shopper","San Antonio, TX","PART_TIME","next_f"
"102988790","cashier","cashier","work life balance and flexible sched","no cons at the moment","4.0","2026-02-27T14:25:25.067","Former employee - Cashier","Houston, TX","PART_TIME","next_f"
"102985825","Flexible","Flexible","Flexible working hours. Kind peers","Nothing that was not expected","5.0","2026-02-27T09:46:15.273","Current employee - Customer Service Associate","Cleburne, TX","PART_TIME","next_f"
"102977855","Yikes","Yikes","You get to see the kinds of groceries people buy I guess? Not really a pro but I had to put something down lol","Literally everything. Terrible compensation and endless work. Hungry grocery shoppers give you attitude all day long. Would not recommend this job at all","1.0","2026-02-26T19:04:09.147","Former employee - Grocery Bagger","Georgetown, TX","REGULAR","next_f"
"102962138","Great company to work for","Great company to work for","Good pay Time off Benefits","Management makes or breaks your experience","5.0","2026-02-25T18:05:54.050","Current employee - Cashier","Spring, TX","PART_TIME","next_f"
"102956943","Great Company To Work For","Great Company To Work For","Flexibile Positive Atmosphere Helpful Management","Demanding Workload Scheduling &amp; Hours","4.0","2026-02-25T10:35:41.543","Current employee - Custimer Service Associate","Conroe, TX","PART_TIME","next_f"
"102955283","Great co-workers","Great co-workers","Great management team, supportive co-workers, welcoming work environment","lower pay compared to Costco and Sam's","5.0","2026-02-25T08:42:05.023","Former employee - In Store Demo/Sales","Unknown location","PART_TIME","next_f"
"102948315","Lots of Work for Pennies","Lots of Work for Pennies","- Straight forward position - Almost the same schedule everyday","- Long hours - poor management - Very low pay","3.0","2026-02-24T22:42:20.243","Current employee - Route Driver","Houston, TX","REGULAR","next_f"
"102932341","hi","hi","very chill workplace intense during november.","high retention rate but has been more stable as of recently","4.0","2026-02-23T21:49:47.320","Current employee - Bakery Perishable Buyer","Webster, TX","PART_TIME","next_f"
"102915185","6/10","6/10","The coworkers I had there were all incredible, I couldn't have asked for better people to work with.","I felt like management was a little out of touch with the actually daily duties of each department and large scale days were ill-prepared for in my specific department.","3.0","2026-02-22T15:26:28.623","Former employee - Customer Connections Representative","Frisco, TX","PART_TIME","next_f"
"102909417","Good Overall Experince","Good Overall Experince","Good hours, decent raises, and many social events","Management lacks, sometimes work overload, and could be stressful","4.0","2026-02-21T18:39:42.150","Former employee - Produce Stocker","Mansfield, TX","PART_TIME","next_f"
"102906208","Okayish","Okayish","Benefits Hours Partner stock Location","Hours Location Workplace drama Blah","4.0","2026-02-21T08:07:39.400","Current employee - Personal Shopper","Boerne, TX","REGULAR","next_f"
"102903557","Pro/Con","Pro/Con","Benefits good and include everything.","Horrible dms who make many miserable.","2.0","2026-02-20T22:31:10.343","Current employee - Technician","San Antonio, TX","REGULAR","next_f"
"102902438","Very Toxic Leaders","Very Toxic Leaders","Medical benefits, 10% off of some groceries. New people to talk to","They will work you to death. L2 is the worst. Management doesnât care about you or your needs. They will talk behind your back, micromanage you until you get burnt out. Favoritism is so bad, Theyâre constantly trying to find ways to write you up or make you feel like a failure. A lot of the produce gets ruined in the returns room and put back to sell. They will make you work a week straight without days off during the holidays, will not approve any holiday PTO no matter how far in advance it is. If it interferes with the managers there, they will make an excuse for not approving it. A lot employees have not returned or picked up shifts here because of herâ¦ oh and if you quit, they will ban you or place you in a âno rehire listââ¦","1.0","2026-02-20T18:34:08.627","Former employee - Cashier Lead","Leander, TX","REGULAR","next_f"
"102896078","Good job","Good job","good pay flexible schedule good culture","poor scheduling at times understaffing at times","5.0","2026-02-20T07:07:20.263","Current employee - Personal Shopper","Austin, TX","PART_TIME","next_f"
"102876098","Great for college students","Great for college students","Flexible, schedule, competitive pay, great coworkers","Not guaranteed to get scheduled","4.0","2026-02-18T19:38:39.300","Former employee","Kingwood, TX","PART_TIME","next_f"
"102875156","Good company to grow in","Good company to grow in","Good benefits and competitive pay. Good first job for young people. Management has always been good","Hours are very inconsistent and the work gets mundane quick.","3.0","2026-02-18T17:42:29.667","Current employee - Personal Shopper","Houston, TX","PART_TIME","next_f"
"102871450","Good first job with supportive team","Good first job with supportive team","Friendly coworkers and supportive management. Flexible scheduling for students. Easy systems to learn. Clean and organized workplace. Opportunities to move up.","Can get very busy and stressful during peak hours. Standing long periods can be tiring. Weekend shifts are often required.","4.0","2026-02-18T11:26:03.113","Current employee - Cashier","Houston, TX","PART_TIME","next_f"
"102867866","Texas Loves Us!","Texas Loves Us!","Itâs a place that is focused on people. A rare find these days.","old systems, old process and little departure from the status quo. People donât change H-E-B. H-E-B changes you","3.0","2026-02-18T07:09:47.293","Current employee - Principal Product Manager","Austin, TX","REGULAR","next_f"
"102859947","Hello","Hello","making da money is so good","fee for the free and brave","4.0","2026-02-17T15:03:41.433","Current employee - Courtesy Clerk/Bagger","Plano, TX","REGULAR","next_f"
"102845175","Decent place to work","Decent place to work","Good benefits, decent pay, nice people","Limited growth, a lot of internal politics","4.0","2026-02-16T12:15:38.180","Current employee - Gate Coordinator","Temple, TX","REGULAR","next_f"
"102842949","Great Job","Great Job","- Great place to work with happy enviornment - Friendly people - Fair schedule","- Can be hard to get shifts","5.0","2026-02-16T08:46:09.943","Former employee - CSA - Customer Service Associate","Deer Park, TX","PART_TIME","next_f"
"102834927","Great company","Great company","High compensation and understanding leadership for the role","Heavy workload and salary growth is low.","4.0","2026-02-15T11:53:43.360","Current employee - Pharmacist","Austin, TX","REGULAR","next_f"
"102834016","Decent pay with flexible scheduling","Decent pay with flexible scheduling","Not a hard job to do","Social circles can make it annoying to work here","4.0","2026-02-15T08:58:23.220","Former employee - Overnight Stocker","San Antonio, TX","PART_TIME","next_f"
"102825400","Bakery Assistant Manager Salaried","Bakery Assistant Manager Salaried","Great health insurance and discount on groceries","Salaried workers have to work 50 hour weeks with no OT. 5 10hr shifts","4.0","2026-02-13T18:06:26.783","Former employee - Assistant Manager","Austin, TX","REGULAR","next_f"
"102811285","Decent job.","Decent job.","Good availability, good customers. Not too bad as far as shift length.","Low-ish pay, metrics can get annoying.","4.0","2026-02-12T14:56:23.030","Current employee - Cashier","Boerne, TX","PART_TIME","next_f"
"102809080","Great culture","Great culture","Customer-focused Community-driven Collaborative Performance-oriented Partner-centered (H-E-B calls employees âPartners,â emphasizing ownership and teamwork","Fast-paced Demanding High-pressure Physically demanding Schedule-variable","5.0","2026-02-12T11:47:46.910","Current employee - Cashier","College Station, TX","PART_TIME","next_f"
"102808597","Manager","Manager","Great Benefits and PTO along with great coworkers","Far commute distance Slight micromanaging","5.0","2026-02-12T11:12:36.303","Current employee - Intern","San Antonio, TX","REGULAR","next_f"
"102798985","Best","Best","Everything from bonuses to feeling appreciated","Hours getting reduced as part time","5.0","2026-02-11T19:43:18.187","Current employee - Cross Functional","Cedar Park, TX","PART_TIME","next_f"
"102797182","Good Company","Good Company","pay well compared to other grocery stores","hard to get into job","5.0","2026-02-11T16:09:45.760","Current employee - Stocker","Pasadena, TX","PART_TIME","next_f"
"102791499","Curbside","Curbside","Flexible schedule, good raises every 6 months, get a couple goodies here and there from the company","Management for curbside department mainly","3.0","2026-02-11T08:45:59.940","Former employee - Curbside","Austin, TX","PART_TIME","next_f"
"102789520","Good place to work","Good place to work","Decent pay and gives hours when needed.","Stressful at times due to large amount of student workers and changing availability.","3.0","2026-02-11T06:51:06.340","Current employee - Frozen/Dairy Stocker","Hutto, TX","PART_TIME","next_f"
"102784183","Flexible","Flexible","Works with students, flexible schedule","Okay pay, not full time so you don't get benefits","4.0","2026-02-10T23:20:57.663","Former employee - Curbside","Austin, TX","PART_TIME","next_f"
"102782005","Checking out","Checking out","A lot of pros from schedules and school","Working some holidays but not all","5.0","2026-02-10T19:15:57.977","Current employee - Cashier","Victoria, TX","PART_TIME","next_f"
"102780510","Great benefits","Great benefits","Very good benefits and friendly management","Salary can be stagnant. Not many raises.","5.0","2026-02-10T16:47:57.090","Current employee - Cashier","Missouri City, TX","REGULAR","next_f"
"102757527","Great Company","Great Company","Very easy going and constant raises","Not much space for promotion.","4.0","2026-02-09T11:46:11.493","Current employee - Business Center Representative","Pearland, TX","PART_TIME","next_f"
"102747919","Ok if your younger","Ok if your younger","Flexible scheduling partner appreciation events","Low pay , work burn out , management","3.0","2026-02-09T02:54:35.853","Current employee - Deli Clerk","Houston, TX","PART_TIME","next_f"
"102742480","Great company, very little complaints","Great company, very little complaints","Good pay, room for growth","Dealing with the general public","5.0","2026-02-08T16:58:04.040","Former employee - Cashier","San Antonio, TX","REGULAR","next_f"
"102738628","Good company","Good company","Company cares about their employees, good benefits for full time, decent pay to compete","Same drama as any other place, both among regular employees and managers","5.0","2026-02-08T08:37:02.673","Current employee - Department Lead","League City, TX","REGULAR","next_f"
"102717440","Pharmacy Care Rep","Pharmacy Care Rep","Hours are great Gets your foot in the door with a healthcare related field 1 hour lunch","Very demanding and small department Must be able to multitask during rush Must be proficient in both systems used in the Pharmacy ( Revo and POS system ) Be able to problem solve when it comes to insurance claims and discount cards","4.0","2026-02-06T09:44:45.440","Current employee - Pharmacy Assistant","New Braunfels, TX","PART_TIME","next_f"
"102706479","Good Company overall","Good Company overall","They offer incentives for their partners, they do occasionally give out gifts and money on certain occasions.","If someone close to you passes away, they only give you 2 days to mourn.","5.0","2026-02-05T20:00:29.137","Current employee - Beer and Wine Specialist","Houston, TX","PART_TIME","next_f"
"102703524","Shelf Edge","Shelf Edge","Decent pay for retail and has pretty good benefits if you're full time.","Overnight and very early shifts. Upper management","4.0","2026-02-05T16:00:30.223","Current employee - Shelf Edge Specialist","Austin, TX","PART_TIME","next_f"
"102683105","Great for College Students","Great for College Students","Always willing to be flexible with schedules","Management changed a lot within a short period","4.0","2026-02-04T20:05:28.853","Former employee - Curbside Shopper","Unknown location","PART_TIME","next_f"
"102682071","Solid","Solid","Good pay and take care of their employees","Have to work outside for cards","5.0","2026-02-04T18:52:25.850","Current employee - Cashier","Marble Falls, TX","PART_TIME","next_f"
"102681113","Good pay","Good pay","Good pay/ benefits and hours","Micromanagement and unrealistic case counts","4.0","2026-02-04T17:44:35.750","Current employee - Overnight Stocker","Humble, TX","REGULAR","next_f"
"102676241","Heb shopper","Heb shopper","It was good as a part time job.","The hours were not consistent.","5.0","2026-02-04T13:01:30.570","Former employee - Estore Shopper","Austin, TX","PART_TIME","next_f"
"102673826","Great for going to school","Great for going to school","Good employee discount and bonuses, flexible schedule","Fast and stressful, especially during holidays","4.0","2026-02-04T11:12:59.947","Former employee - Estore Shopper","San Marcos, TX","PART_TIME","next_f"
"102668570","Good gig for young people","Good gig for young people","Easy schedule. Easy work. Not complicated.","No room for actual growth into corporate pipeline, hire outside of company for the good jobs. Customers can be a bit of a pain.","4.0","2026-02-04T07:30:08.867","Former employee - Cashier","Austin, TX","PART_TIME","next_f"
"102647742","Solid Internship","Solid Internship","Good leadership and mentorship Good pay Great co-workers and interns","Daily work tasks were unclear Not much direction","3.0","2026-02-03T10:25:56.047","Former employee - Intern","San Antonio, TX","REGULAR","next_f"
"102640640","Personal Shopper","Personal Shopper","Flexible schedule with part time","Management micro managing at times","4.0","2026-02-03T05:35:13.830","Former employee - Personal Shopper","Katy, TX","PART_TIME","next_f"
"102639627","Great after school job","Great after school job","Air conditioned Friendly fun atmosphere","Kinda repetitive The time drags on","4.0","2026-02-03T04:41:02.010","Current employee - Night Stocker","Victoria, TX","PART_TIME","next_f"
"102633838","Good Company","Good Company","Lots of opportunities for growth","None its a good company","4.0","2026-02-02T21:56:49.187","Current employee - Perishable Associate","Houston, TX","PART_TIME","next_f"
"102633207","Great company","Great company","Support for career growth and development","I did not experience any cons","5.0","2026-02-02T21:02:01.777","Former employee - Shelf Edge Specialist","Houston, TX","REGULAR","next_f"
"102624666","Okay","Okay","Flexible schedule Good base pay Great benefits","Hard labor Same building Lack of training","4.0","2026-02-02T11:56:39.907","Current employee - Overnight Associate","Austin, TX","REGULAR","next_f"
"102624123","Personal Shopper","Personal Shopper","-fast paced -good pay -easy work for college students","-overdemanding -scheduling -management could have favorites","5.0","2026-02-02T11:34:29.413","Former employee - Personal Shopper","Unknown location","REGULAR","next_f"
"102622239","Fun to work","Fun to work","Good pay Good environment Good schedule","Not many. Itâs a good company","5.0","2026-02-02T10:07:32.527","Current employee - Florist","Frisco, TX","REGULAR","next_f"
"102605752","Okay","Okay","Decent paying. Lots to do.","I dont have any at this time.","5.0","2026-02-01T13:17:38.853","Current employee - Food Service Worker","Forney, TX","PART_TIME","next_f"
"102602580","HI","HI","Good Pay for a retail job","Management can be iffy sometimes","5.0","2026-02-01T07:59:52.323","Current employee - Bookkeeper","Leander, TX","PART_TIME","next_f"
"102601337","Good","Good","Bonuses, advancement and positivity are everything","Varying often vary and customers can be frustrating","5.0","2026-02-01T05:50:09.670","Current employee - Part Time Cashier","Round Rock, TX","PART_TIME","next_f"
"102597832","I loved","I loved","I loved this job being active and time efficient and pay is great","not really many cons in this field","5.0","2026-01-31T20:22:30.977","Former employee - Personal Shopper","Bastrop, TX","PART_TIME","next_f"
"102595200","Shopper","Shopper","Chill job with flexible schedule","Pressure from management to constantly be busy","4.0","2026-01-31T13:41:14.560","Former employee - Personal Shopper","Katy, TX","PART_TIME","next_f"
"102580381","Perishables","Perishables","Fun good coworkers fast paced","Hours fluctuate, not set schedule, hours can be anytime","4.0","2026-01-30T11:29:54.987","Current employee - Perishables Representative","Houston, TX","PART_TIME","next_f"
"102576511","comfortable","comfortable","simple job, shopper phone easy to navigate","customers will ask questions while you work which will increase your shopping time","4.0","2026-01-30T08:11:28.760","Former employee - Curbside Shopper","Kingwood, TX","PART_TIME","next_f"
"102575169","Review","Review","Works good with schedule Flexibility","Work on holidays and weekends","5.0","2026-01-30T07:08:12.533","Current employee - Personal Shopper","Waco, TX","PART_TIME","next_f"
"102566836","Was a great time","Was a great time","Schedule, people, breaks, pay, school","Rushed, tight space, claustrophobic, rude customers","5.0","2026-01-29T21:23:08.190","Former employee - E-shopper","Victoria, TX","PART_TIME","next_f"
"102565391","High School/Early College Job","High School/Early College Job","Flexible schedule, easy job, lots of training","Doesnt pay well, management, inconsistent hours","4.0","2026-01-29T19:29:51.287","Former employee - Cashier","Houston, TX","PART_TIME","next_f"
"102560592","Great culture","Great culture","Great people to work with. Company seems to really care about the partners.","None that I can think of.","5.0","2026-01-29T13:53:29.267","Current employee - Recruiter","San Antonio, TX","REGULAR","next_f"
"102555695","Great!","Great!","Great team Very flexible Great management","N/a! I really canât name any cons!","5.0","2026-01-29T10:05:58.513","Current employee - Checker/Cashier","Keller, TX","PART_TIME","next_f"
"102555608","Amazing work","Amazing work","Great benefits Good pay Good coworkers and openness for promotions internally","Busy hours and often understaffed Tiring work","5.0","2026-01-29T10:02:11.583","Former employee - In Store Shopper - Curbside","Austin, TX","REGULAR","next_f"
"102553419","Great Company","Great Company","I really enjoyed working for them. Great benefits!","Time off was hard to accumulate.","5.0","2026-01-29T08:29:15.517","Former employee - Wine Associate","Dallas, TX","REGULAR","next_f"
"102544925","Hard to move up","Hard to move up","Depending on store location friendly atmosphere","Hard to advance Manager favorites/racism / sexism","3.0","2026-01-29T00:31:45.460","Former employee - Cashier","Cedar Park, TX","PART_TIME","next_f"
"102542195","Great beginner job","Great beginner job","Great company, always giving bonuses around Christmas or any holiday","Have to have good permformance and efficiency","4.0","2026-01-28T20:52:22.637","Former employee - Cashier","Austin, TX","PART_TIME","next_f"
"102540197","Great company","Great company","Culture Opportunities Flexibility Job security Networking","Outdated processes Seniority advantages Low pay Onboarding Work life balance","4.0","2026-01-28T18:25:36.380","Current employee - Coordinator","San Antonio, TX","REGULAR","next_f"
"102537800","Amazing Work Culture, Managers, &amp; Hourly Pay","Amazing Work Culture, Managers, &amp; Hourly Pay","HEB really values their employees, and it shows in the pay. Managers were amazing and easy to get along with. Every shift always felt like it would go by fast due to an amazing work culture.","Really relied on speed and productivity to dictate raises.","5.0","2026-01-28T15:37:16.393","Former employee - In Store Shopper - Curbside","Unknown location","PART_TIME","next_f"
"102528797","Great culture overall but hard to get rid of bad eggs","Great culture overall but hard to get rid of bad eggs","Stable. Even in an economic downturn, people still need to eat. HEB does have a generally great culture. Flexible - allowing you to handle life outside of work during work hours when you need to, and no one will bat an eye (because kids get sick, appointments need to be made during work hours, etc. - it's just part of life).","HEB takes a long time to get rid of jerks. They'll move them around to other teams, making them someone else's problem, instead of just putting in the work to document the issues and terminate them. Pay is less than what you would get at a tech company, but the business is stable.","5.0","2026-01-28T08:30:22.953","Former employee - Product Manager 1","Austin, TX","REGULAR","next_f"
