"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103082560","Great","Great","This place has Great diversity","I can not think of any cons","5.0","2026-03-07T16:02:43.377","Current employee - Registered Nurse","Houston, TX","REGULAR","next_f"
"103080210","Great place to work","Great place to work","Great place to work. Nice coworkers","Not really anything bad to say","4.0","2026-03-07T08:25:16.313","Current employee - Registered Nurse","Houston, TX","REGULAR","next_f"
"103062954","Great Organization/terrible Management","Great Organization/terrible Management","benefits hospital system pay bonus patient care","bad management No training bad work environment","4.0","2026-03-05T18:19:26.957","Former employee - Sr. Program Manager","Houston, TX","REGULAR","next_f"
"103055244","PCA","PCA","Good benefits, good unit culture","Hard to ask for pros,","4.0","2026-03-05T07:26:18.587","Current employee - Patient Care Assistant (PCA)","Houston, TX","REGULAR","next_f"
"103035500","pay","pay","good pay about the best in the industry","a very busy workplace to work in","5.0","2026-03-03T23:35:04.987","Current employee - Release of Information Specialist","Houston, TX","REGULAR","next_f"
"103015585","NA","NA","Flexible work life balance and good benefits","Poor leadership thatâs uninformed, inexperienced and hires based on personal relationships not experience and qualifications","2.0","2026-03-02T14:53:40.303","Former employee - Contract Administrator","Unknown location","REGULAR","next_f"
"103014827","Alright","Alright","-commradrie -good benefits -good pay -OT","-sometimes lack luster teamwork -heavy work load -working with people in a extreme manner","4.0","2026-03-02T13:47:28.147","Former employee - Patient Care Technician","Sugar Land, TX","REGULAR","next_f"
"102990768","not my favorite","not my favorite","icare values are good and I like the phrase he/she wasnât shadowing their icare values","cliquey fake welcoming and easily throw you under the bus","1.0","2026-02-27T19:44:29.383","Former employee - Staff Nurse","Houston, TX","REGULAR","next_f"
"102984424","Great place to work","Great place to work","Career growth Cultural diversity Non toxic","Highly competitive work place. Have to be prepared","5.0","2026-02-27T07:48:45.090","Current employee - Nurse Practitioner","Houston, TX","REGULAR","next_f"
"102973450","Great company","Great company","Christian based and employee friendly","Typical work environment, but anywhere you work youâre going to find challenges.","5.0","2026-02-26T11:55:14.240","Former employee - Customer Service Specialist","Houston, MN","REGULAR","next_f"
"102960990","Ok to work","Ok to work","High pay than hospital around","Micromanagement, shorted staff, burn out","4.0","2026-02-25T16:07:43.917","Current employee - regristed nurse","Sugar Land, TX","REGULAR","next_f"
"102917890","okay","okay","i liked it when I worked there as a pca, but I had to leave to further my education.","I did not have a bad experience. But pay needs to increase for pca","4.0","2026-02-22T22:58:20.303","Former employee - PCT/CNA","Texas City, TX","REGULAR","next_f"
"102793814","Former RN at Houston Methodist","Former RN at Houston Methodist","Competitive benefits, decent salary, and occasional bonuses","Sfort staffing, discouraged over-time shifts and incidental overtime","3.0","2026-02-11T11:09:52.340","Former employee - Staff RN II","Houston, TX","REGULAR","next_f"
"102640923","Houston Methodist","Houston Methodist","Good benefits, average nurse to patient ratio,","Pay for parking, unless working over night and have to leave parking before 8 am","5.0","2026-02-03T05:49:04.317","Current employee - Registered Nurse, BSN","Sugar Land, TX","REGULAR","next_f"
"102599576","Excellent place to work","Excellent place to work","The resources Employee support Salary Benefits Room for growth Educational courses within to attain certifications ICARE values","Patient acuity is sometimes not weighed evenly for the nurses","5.0","2026-02-01T01:23:01.130","Current employee - RNII","Katy, TX","REGULAR","next_f"
"102589813","Hospital system","Hospital system","Not that good at all","Donât treat nurses fairly either","3.0","2026-01-31T03:21:35.727","Current employee - Registered Nurse, BSN","Houston, TX","REGULAR","next_f"
"102528526","Nurse Practitioner","Nurse Practitioner","Love my direct supervisor so much!","I have nothing at the moment.","5.0","2026-01-28T08:20:22.093","Current employee - Nurse Practitioner","Unknown location","REGULAR","next_f"
"102521974","Meh","Meh","Schedule is flexible. Pays well.","If you are not Hispanic, do not go into EVS. There is a lot of racism and politics. HR, supervisors and directors are aware but nothing is being done.","3.0","2026-01-28T02:23:37.173","Current employee - Housekeeper","Cypress, TX","REGULAR","next_f"
"102521384","Strong brand name, weak employee support and accountability -Horrible Place to work","Strong brand name, weak employee support and accountability -Horrible Place to work","Patients and clinical mission are meaningful Many frontline coworkers are hardworking and supportive High patient volume means you learn quickly Some units have strong peer-to-peer teamwork","$72","1.0","2026-01-28T01:37:39.240","Current employee - Nurse Practitioner","Houston, TX","REGULAR","next_f"
"102461658","Donât waste time here","Donât waste time here","Pto is good and flexible","Working hours is crazy high like the labor. Management is crazy too","2.0","2026-01-24T22:11:13.230","Former employee - Postdoctoral Scholar","Houston, TX","REGULAR","next_f"
"102460989","Great Company","Great Company","Good pay rate and some little bonus","Your experience is going to depend on your co-workers and management","3.0","2026-01-24T20:11:50.547","Current employee - Registered Nurse","Houston, TX","REGULAR","next_f"
"102418070","Good luck ever using your pto","Good luck ever using your pto","Handwashing bonus Patient satisfaction bonus Nice coworkers Good cafeteria food","They let managers decide their own PTO rules so if they donât want you using PTO so they donât have to staff behind you, you wonât ever get to take off, and it doesnât matter what the company policy says. Enjoy being burned out!","1.0","2026-01-22T08:03:55.970","Current employee - Registered Nurse","Sugar Land, TX","REGULAR","next_f"
"102403621","Great people and place to start","Great people and place to start","Love working here overall and amazing place to start a career. The people I work are incredible and are what keep me going.","Work life balance can be difficult. Be strategic with your PTO.","5.0","2026-01-21T16:06:21.787","Current employee - Registered Dietitian","Unknown location","REGULAR","next_f"
"102380254","Customer service","Customer service","Absolutely amazing place to work. 100%","Absolutely nothing but greatness. Thank you again","5.0","2026-01-20T18:33:06.997","Current employee - Imaging","The Woodlands, TX","REGULAR","next_f"
"102309552","Neuro ICU","Neuro ICU","good teamwork, lots of different types of patients to get experience","Pto, not enough staff, not enough techs to help on the floor, work life balance","3.0","2026-01-16T19:19:35.893","Current employee - Registered Nurse, BSN","Unknown location","REGULAR","next_f"
"102213011","Great place to work","Great place to work","Nice staff and great incentives","Base pay could be more","5.0","2026-01-12T15:26:51.597","Current employee - Registered Nurse","Houston, TX","PART_TIME","next_f"
"102182089","Great hospital to work for","Great hospital to work for","Gives bonuses throughout the year Great coworkers Safe staffing","Need more holidays Need better benefits package","4.0","2026-01-10T19:21:48.260","Current employee - Registered Nurse, BSN","Houston, TX","REGULAR","next_f"
"102172241","Great company","Great company","Great culture staff values input great team","Downtown parking costs 15-20$ a day","5.0","2026-01-09T21:39:12.237","Current employee - Registered Nurse","Houston, TX","REGULAR","next_f"
"102150882","Great place to work","Great place to work","A lot of PTO, bonuses, perks","You have to pay for parking to park in the garage and it can cost you $25 a day","5.0","2026-01-08T18:28:21.760","Current employee - Registered Nurse, BSN","Houston, TX","REGULAR","next_f"
"102086401","Good","Good","Good Team, good management, okay pay","No huge bonuses even if you meet certain numbers that improves patient outcomes","5.0","2026-01-06T00:08:10.670","Current employee - Registered Nurse","Houston, TX","REGULAR","next_f"
"102073550","Nurse","Nurse","Benefits, co-workers, culture, management, bonus","Hard to use pto, employee parking","5.0","2026-01-05T08:34:59.160","Current employee - Registered Nurse","Unknown location","REGULAR","next_f"
"102049044","Good pay","Good pay","Good pay good support friendly","Insurance was not good. Unable to use it outside of the city","4.0","2026-01-03T04:55:09.493","Former employee - Nurse Practitioner","Unknown location","REGULAR","next_f"
"102005812","Great place to work","Great place to work","The Bonuses, benefits and perks","Management turnover could be better","5.0","2025-12-29T18:56:00.123","Current employee - Senior Medical Assistant","The Woodlands, TX","REGULAR","next_f"
"101985087","Houston Methodist","Houston Methodist","Great place to work, as a whole they do. Lot for their employees that other hospital systems in Houston donât do. Random and scheduled bonuses throughout the year, good pay raises if you do your job well.","I can only speak one for unit so not Methodist as a whole but my expectations were much higher coming into this job than reality. They have the same problems as any other hospital and Iâve been extremely disappointed in how toxic the culture is on the unit I work. Even speaking to HR does no good, it seems colleagues have impunity to bully or treat others poorly and Methodist is very vocal about not tolerating these situations but that has not been the case in my experience and as far as that goes this has been one of the worst units Iâve worked on in my career. Hopefully this culture is isolated to this unit.","5.0","2025-12-27T19:54:06.437","Current employee - Registered Nurse","Houston, TX","REGULAR","next_f"
"101963211","Great culture","Great culture","ICARE values of integrity, compassion, accountability, respect, and excellence","45 min drive with medical center traffic.","4.0","2025-12-24T15:15:00.977","Current employee - Clinical Trials Manager","Houston, TX","REGULAR","next_f"
"101902988","Lead","Lead","Pay, flexibility, hours, and the knowledge","Micromanaging, wanting a change in hours","5.0","2025-12-19T07:45:12.167","Former employee - Lead Patient Access Representative","Houston, TX","REGULAR","next_f"
"101867955","Project Specialist","Project Specialist","Worked closely with physicians and administrators","Did not get to expand scope","3.0","2025-12-17T09:29:52.383","Current employee - Project Specialist","Unknown location","REGULAR","next_f"
