"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"102374051","Innovation-Driven Culture with Exceptional Support and Benefits","Innovation-Driven Culture with Exceptional Support and Benefits","- Supportive Environment: The management team and colleagues are highly professional, smart, and consistently supportive. - Modern Tech &amp; AI Integration: The company invests heavily in AI, providing developers with cutting-edge AI code assistants and tools to streamline workflows. - Excellent Onboarding: New developers benefit from a comprehensive, week-long onboarding class that effectively sets them up for success. Outstanding Benefits: Intuit offers top-tier insurance and a broad range of employee benefits. - NYC Office Amenities: The New York office features a modern design with incredible views (especially from the 8th floor), reservable workspaces, and a fully stocked kitchen with snacks and coffee. - Community Building: Weekly company-wide lunches on Thursdays are a great perk for team bonding.","- Pace of Learning: Because the tech stack is so modern and AI-driven, the initial learning curve can be steep for those not used to fast-paced innovation. - Office Popularity: Since the NYC office is so nice, popular meeting rooms and desks can fill up quickly, requiring advance reservations.","5.0","2026-01-20T12:42:22.320","Current employee - Staff Software Engineer","New York, NY","REGULAR","next_f"
"103117505","decent company overall","decent company overall","Good moat around products Experience is team dependent","Bureaucracy and slow at times","5.0","2026-03-10T13:01:12.467","Current employee - Staff Data Scientist","San Francisco, CA","REGULAR","next_f"
"103104007","Good company","Good company","Depends on the team you get, but really supportive environment","Don't work for the payroll team. The whole org is manic","4.0","2026-03-09T17:05:05.430","Current employee - Senior Software Engineer","Mountain View, CA","REGULAR","next_f"
"103100625","Remote","Remote","This position offered remote options with good flexibility.","Limited pay and seasonal workers do not get health benefits.","5.0","2026-03-09T12:12:05.243","Current employee - Seasonal Tax Expert","Greenville, SC","","next_f"
"103072125","Amazing company culture and a great environment to learn and grow as an engineer","Amazing company culture and a great environment to learn and grow as an engineer","- Amazing team culture - Great opportunity to learn from and work with the smartest engineers - Great Benefits - Amazing work/life balance","- Can't think of any at the moment","5.0","2026-03-06T10:55:56.300","Current employee - Software Engineer","New York, NY","REGULAR","next_f"
"103035032","Great company","Great company","Great benefits, salary, collaborative teams","Multiple projects at one time, requirement to work in office","4.0","2026-03-03T22:27:19.360","Former employee - Instructional Designer","Mountain View, CA","REGULAR","next_f"
"103033860","Compliance","Compliance","Benefits are great, time off was great. Workload was manageable.","There are very diplomatic decisions that do not have the same sense of employee care that they did before Intuit bought Mailchimp","4.0","2026-03-03T19:50:22.597","Former employee - Risk Analyst","Atlanta, GA","REGULAR","next_f"
"103029764","Great Place to work","Great Place to work","Great work life balance, great community, good place to learn about how big companies function","Slower progress because of company size, lot of time is used getting permissions for tools and testing.","5.0","2026-03-03T13:15:20.163","Current employee - Software Engineer I","Mountain View, CA","REGULAR","next_f"
"102999123","Good Benefits","Good Benefits","Benefits are top tier in the industry","An incredible amount of turnover","3.0","2026-03-01T04:58:20.177","Former employee - Program Manager","San Diego, CA","REGULAR","next_f"
"102976827","Great place to work if you have the right team and manager.","Great place to work if you have the right team and manager.","perks, benefits, PTO, Recharge days.","Politics, bad lower management, low visibility","5.0","2026-02-26T17:03:38.193","Current employee - Senior Software Engineer","Los Angeles, CA","REGULAR","next_f"
"102944894","SMB Bookkeeping","SMB Bookkeeping","Remote, Flexible schedules, year end bonus","Job description changes at the drop of a dime","4.0","2026-02-24T15:49:46.800","Former employee - Bookkeeper","Cleveland, OH","REGULAR","next_f"
"102930724","Great company","Great company","Strong benefits and pay and the work helps small businesses and consumers","It can be a bit silo and senior leader decisions can be slow","5.0","2026-02-23T18:28:41.553","Current employee - Director","Midtown New York","REGULAR","next_f"
"102912987","Good job","Good job","Returning allows for promotion, but lots of hours","Training is unclear and stressful","4.0","2026-02-22T09:10:19.883","Current employee - Tax Specialist","Los Angeles, CA","PART_TIME","next_f"
"102886400","Great Benefits, Hectic Change","Great Benefits, Hectic Change","World Class benefits package. Pay is middle of the road. Fast paced with frequent pivots if that's your thing.","If you don't like a very fast paced job with frequent pivots, this is not for you.","5.0","2026-02-19T12:24:12.760","Current employee - Manager","Atlanta, GA","REGULAR","next_f"
"102874897","N/A","N/A","Salary is on par with standards","WLB is not as good","3.0","2026-02-18T17:03:00.513","Former employee - Software Engineer","Mountain View, CA","REGULAR","next_f"
"102845247","Great Company Overall","Great Company Overall","Strong benefits package and generally professional culture. Most colleagues are collaborative and respectful, and day to day interactions across teams tend to be positive. The company has talented people and a solid foundation that supports innovation and growth.","Work life balance can become more challenging as responsibilities increase. Expectations and workload may expand faster than available time or resources, which can lead to sustained pressure during busy periods. Although time off is encouraged in principle, workload coverage structures may not always support true disconnection, and employees may return to a significant backlog. Professional development tends to rely heavily on individual initiative. While there is strong investment in product and business growth, some employees may feel there are fewer structured pathways for career development or skill building support. Goal setting can occasionally feel ambitious relative to available bandwidth, creating challenges in prioritization and execution.","4.0","2026-02-16T12:22:20.407","Current employee - Customer Experience","Tucson, AZ","REGULAR","next_f"
"102834142","Risk Analyst Pay","Risk Analyst Pay","Fully remote work from home","Work is repetitive and gets boring","4.0","2026-02-15T09:22:47.143","Former employee - Risk Analyst","New Braunfels, TX","REGULAR","next_f"
"102781933","Great Company","Great Company","Flexible Schedule End of Season Bonus Fun Working Environment Win gift cards","There are a lot of âcue wordsâ that must be said during the opening of a call with a customer, during the call and the ending of the call, if the âcue wordsâ are left out regardless of the reason, your metric score will take a hit.","4.0","2026-02-10T19:09:26.390","Former employee - Seasonal Tax Preparer","Calera, OK","","next_f"
