"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103102406","Great company for engineers","Great company for engineers","Great people to work with.","Many projects to work on at the same time. Can be really busy","5.0","2026-03-09T14:29:25.003","Current employee - Senior Structural Engineer","Philadelphia, PA","REGULAR","next_f"
"103058053","Well structured company","Well structured company","large succesfull company, great structure.","get lost in the size of the company at times.","4.0","2026-03-05T10:51:01.430","Former employee - Facility Manager","Fort Huachuca, AZ","REGULAR","next_f"
"103057646","Good company to work for","Good company to work for","Flexibility of work schedule, Good work environment, Great people to work with, PTOs","Staffing structure organization Slow growth","5.0","2026-03-05T10:18:37.667","Current employee - Project Engineer","Conshohocken, PA","REGULAR","next_f"
"102987686","Full Time Geologist Salary","Full Time Geologist Salary","Flexibility and variety in work and projects, able to create your own schedule","Must be able to handle and organize your own workflow and advocate for yourself. Not really a Con but the job is what you make it","5.0","2026-02-27T12:28:50.783","Current employee - Geologist","Irvine, CA","REGULAR","next_f"
"102912333","Decent pay and benefits","Decent pay and benefits","Overall good pay for entry level and benefits. Supportive employees. Raise every year.","Working environment was very bland.","3.0","2026-02-22T07:14:50.510","Former employee - Mechanical Engineer","Conshohocken, PA","REGULAR","next_f"
"102907651","Project Engineer","Project Engineer","Okay Work life balance depending on Project.","Unclear growth and expected to continue to take on more responsibility with no increase in compensation.","4.0","2026-02-21T12:14:18.543","Former employee - Project Engineer","Arizona City, AZ","REGULAR","next_f"
"102780504","Great Place to Work!","Great Place to Work!","Great place to work. Nice people and good pay.","Don't have anything negative to say.","5.0","2026-02-10T16:47:42.727","Former employee - Project managwr","Atlanta, GA","REGULAR","next_f"
"102761324","Solid company","Solid company","Plenty of opportunity to work on large, impactful projects.","Big company feel that typically feels like decisions are made short-term for investors rather than long-term for value.","4.0","2026-02-09T16:02:46.010","Current employee - Geotechnical Engineer","Tampa, FL","REGULAR","next_f"
"102673570","Good company","Good company","Very good work environment and opportunities.","There are no cons at this time.","5.0","2026-02-04T11:00:50.177","Current employee - Project Manager","New York, NY","REGULAR","next_f"
"102630666","Feedback","Feedback","relax working culture .. .. ....","bit behind in the latest tech.. they are trying to catch up but","4.0","2026-02-02T17:43:50.247","Current employee - Senior Software Developer","Seattle, WA","REGULAR","next_f"
"102586929","Good and Bad as Big Company","Good and Bad as Big Company","Lots of resources Great leadership Good coworkers","Slow career progression as many big companies do","4.0","2026-01-30T20:36:33.830","Former employee - Traffic Engineer","Atlanta, GA","REGULAR","next_f"
"102517343","N/A","N/A","Pay is good for the work performed","Good at engineering bad at constructing","3.0","2026-01-27T19:42:10.533","Former employee - Prohect Manager","Washington, DC","REGULAR","next_f"
"102509158","Construction Project Engineer","Construction Project Engineer","No Relocation Required. Good Work Culture","Nightly Works, Slow Growth in Pay Scale &amp; Position","3.0","2026-01-27T11:14:00.440","Current employee - Construction Engineer","Atlanta, GA","REGULAR","next_f"
"102427729","Great company with great benefits","Great company with great benefits","Cared about employees well being. Great management.","Hours could be longer than usual.","5.0","2026-01-22T15:54:17.333","Former employee - HR Generalist","Englewood, CO","REGULAR","next_f"
"102412212","Good for Balance, Tough for Growth","Good for Balance, Tough for Growth","Exceptional work-life balance and adaptable work arrangements. The firm truly empowers employees to own their schedules, fostering a trusting and productive environment.","While there are positive aspects to the work, the total rewards package lags behind competitors. Iâve observed a trend of static career trajectories where responsibilities increase, but titles and compensation do not keep pace with market valuations.","5.0","2026-01-22T02:59:05.380","Current employee - Project Controls Manager","New York, NY","REGULAR","next_f"
"102352799","Jacobs","Jacobs","Lots of different projects, decent pay, great people.","Projects can become repetitive. Hybrid work plan has been hard to predict the last couple years.","4.0","2026-01-19T16:36:35.793","Current employee - Structural Engineer","Denver, CO","REGULAR","next_f"
"102171101","Meh","Meh","Flexible work policy for hybrid","Billable time and billable hours","2.0","2026-01-09T19:06:37.330","Former employee - Technical Editor","Atlanta, GA","REGULAR","next_f"
"102148742","Good company","Good company","Opportunity to learn a lot","Project based assignments can lead to CCL","3.0","2026-01-08T15:30:24.600","Current employee - Vice President","Los Angeles, CA","REGULAR","next_f"
"102135562","Decent Company","Decent Company","flexible work hours (generally), good unlimited PTO that I take advantage of, coworkers are nice","limited growth opportunities, limited growth (I think a purposeful vague promotion structure), and civil engineering work can be boring, lots of colleagues are stuck in old ways of thinking","3.0","2026-01-08T04:24:09","Current employee - Data Analyst","Austin, TX","REGULAR","next_f"
"102044053","Great benefits and people","Great benefits and people","Many dedicated professionals with worldclass engineering experience and you get to work on some of the largest and most important projects","elimination of overhead roles makes my job harder","5.0","2026-01-02T14:06:28.307","Current employee - Project Manager","Atlanta, GA","REGULAR","next_f"
"102027169","Good co workers, below average pay","Good co workers, below average pay","Safety, work culture, Ability to work on a multitude of different systems","Need an unreal amount of experience for promotion, high turn over rate. low pay","3.0","2025-12-31T16:42:56.723","Current employee - Engineering Technician III","Kennedy Space Center, FL","REGULAR","next_f"
"101983919","Small fish in a big pond","Small fish in a big pond","Flexibility, large network of resources and talent","Leadership with limited skillsets leading teams on massive projects","3.0","2025-12-27T15:12:15.750","Former employee - Designer","Saint Louis, MO","REGULAR","next_f"
"101897717","Great if self driven","Great if self driven","The world is your oyster","You must be driven and proactive","3.0","2025-12-19T00:19:02.057","Former employee - Architect","Dallas, TX","REGULAR","next_f"
"101807934","Good Company","Good Company","Supportive Management, good benefits, work/life balance","Compensation at other prime contractors is higher","4.0","2025-12-14T03:56:27.117","Current employee - Release Train Engineer","Colorado Springs, CO","REGULAR","next_f"
"101670850","Current Enviro Engineer","Current Enviro Engineer","Flexible work (WFH/Office), travel opportunities","Consulting is always hot and cold, sometimes you have a lot of work and sometimes youâre light. Unfortunately Jacobs has a way of making you feel guilty if youâre light.","4.0","2025-12-05T11:10:35.667","Current employee - Associate Engineer","Houston, TX","REGULAR","next_f"
"101654596","Great culture, great projects","Great culture, great projects","Wide range of projects, great management team, solid benefits","Raises are minimal, bonuses are rare","5.0","2025-12-04T15:17:37.547","Current employee - Environmental Engineer","Bellevue, WA","REGULAR","next_f"
"101652440","Depends on group lead","Depends on group lead","My team lead is an amazing person and really makes sure to do the most he can for his employees. However, I think your satisfaction really depends on who your group lead is. A poor lead will make for poor morale and work quality. Overall Jacobs has a good work life balance in my opinion.","Compensation is on the lower end compared to the same position at other companies.","4.0","2025-12-04T12:59:47.527","Current employee - Fire Protection Engineer","Irvine, CA","REGULAR","next_f"
"101584245","Good mentorship and full time transition opportunities.","Good mentorship and full time transition opportunities.","Flexible hours Competitive pay Hybrid work environment","No benefits for interns No PTO","5.0","2025-12-01T13:58:59.280","Former employee - Mechanical Engineering Intern/Coop","Portland, OR","REGULAR","next_f"
"101488673","Good In Small Doses","Good In Small Doses","Huge amount of Resources Good Pay Flexible Working Conditions","Crazy Deadlines Lot of workload for Project managers","4.0","2025-11-25T10:13:12.770","Current employee - Commissioning Manager","Manheim, PA","REGULAR","next_f"
"101316341","Solid First Job","Solid First Job","People and team are great","Tons of trainings online and work can be super slow and super fast based on the week","4.0","2025-11-16T21:02:37.610","Current employee - Engineer","Arlington, VA","REGULAR","next_f"
"101222503","Contractor Style Design Gig","Contractor Style Design Gig","work from home, flexibility, make your own schedule","no guidance, always looking to be billable, stressful work deadlines","3.0","2025-11-11T21:34:08.980","Former employee - Graphic Design Technician","Denver, CO","REGULAR","next_f"
"101181485","Solid company","Solid company","Great work/life balance. Highly intelligent co-workers. Low stress.","Hard to climb the ladder.","4.0","2025-11-10T06:44:47.300","Current employee - Senior Graphic Designer","Sacramento, CA","REGULAR","next_f"
"101181379","Typical big corporate","Typical big corporate","Near-infinite company resources, top of the line everything, from office amenities to software","The right hand often does not know what the left hand is doing- I was headhunted, given a signing bonus, then six months later RIF'd and given severance. Bizarre little career interlude I now have to explain at every interview","1.0","2025-11-10T06:40:45.720","Former employee - Project Engineer","Seattle, WA","REGULAR","next_f"
"101159869","Jacobs","Jacobs","location flexibility Management Mentorship Projects","Lack of bonuses Infrequent salary increases","5.0","2025-11-08T16:23:46.693","Current employee - Mechanical Engineer","Philadelphia, PA","REGULAR","next_f"
"101159634","Great Firm","Great Firm","Opportunities for growth and impact","sometimes very slow as an organization","5.0","2025-11-08T15:41:13.493","Former employee - Senior Consultant","New York, NY","REGULAR","next_f"
"100998762","Great place to work","Great place to work","Interesting projects, good benefits, very talented and interesting employees","High workload variability, no bonuses but offset by stock purchase program. Very hard to climb the corporate ladder.","4.0","2025-10-31T05:04:36.740","Current employee - Senior Project Engineer","Arlington, VA","REGULAR","next_f"
"100870232","A good company, but times have changed","A good company, but times have changed","Ethical, diverse. I worked with a lot of great people. Stock does well.","People are NOT the greatest asset.","4.0","2025-10-24T21:20:23.667","Former employee - Administrative Assistant","Irvine, CA","REGULAR","next_f"
"100819791","Good people","Good people","Unlimited PTO, good people, overtime pay (straight time)","Managers can be distant if you're at a client site.","4.0","2025-10-22T17:05:04.430","Current employee - Project Engineer","Conshohocken, PA","REGULAR","next_f"
"100710305","Low pay","Low pay","Work life balance is good","Low pay and not good working environment for women","3.0","2025-10-16T18:59:17.793","Former employee - Battery Engineer","Dearborn, MI","REGULAR","next_f"
"100701802","Beautifully decorated","Beautifully decorated","High pays versatile and good work conditions","Long hours no breaks for real for real","4.0","2025-10-16T11:04:15.710","Current employee - Ä°ntern","Union City, CA","","next_f"
"100673082","Engineer","Engineer","Unlimited PTO and work schedule flexibility","Low total pay and compensation","3.0","2025-10-15T09:38:01.773","Current employee - Engineer","Minneapolis, MN","REGULAR","next_f"
"100623345","Happy here","Happy here","Remote work, flexibility, department leadership","Hybrid remote schedule, frequent changes","5.0","2025-10-13T12:27:48.640","Current employee - Senior Proposal Manager","Jacksonville, FL","REGULAR","next_f"
"100586473","Good place to work for as a contractor","Good place to work for as a contractor","I worked for them as an independent contractor for a bit over 1 year, The pay was quite good. It was a fully remote job that ended abruptly because the client wanted a PM that actually knew about the tech we were using, but for some reason Jacobs wouldn't provide that, so when it came up for renewal they lost out to a smaller, specialized company. This was unfortunate because I really enjoyed this job and got along very well with the client. It was also fully remote which was great. Overall, at least as an independent contractor, working at Jacobs was great","The only downsides I could say about my time here is that they need to listen to the client more and try better to give them what they need. Also, they often paid out our earnings quite late.","4.0","2025-10-11T05:55:12.630","Former employee - Sr Software Engineer Consultant","New York, NY","REGULAR","next_f"
"100468221","Tough But Fair","Tough But Fair","Big comlex projects, great resources, lots of oppotrunity to learn","Long hours, but that's the industry","4.0","2025-10-06T08:07:12.120","Former employee - Designer","Dallas, TX","REGULAR","next_f"
"100454848","Jacobs Review","Jacobs Review","wide variety and range of projects, opportunities to expand portfolio, supportive of climbing the corporate ladder","pressure to work on as many projects as possible, difficult to maintain work-life balance","3.0","2025-10-05T16:09:05.563","Current employee - Environmental Planner","Baltimore, MD","REGULAR","next_f"
"100099273","Healthy Work Life Balance","Healthy Work Life Balance","My experience with Jacobs has been positive in terms of a welcoming company culture (specifically at the local level) and a supportive work-life balance. The people that I work with are kind and inviting to new members despite an obvious age gap between entry/intermediate staff and senior staff. Jacobs has an unlimited PTO policy that in my experience has been generous. I have not had any time off requests denied and have been able to take a healthy amount of paid vacation per year since the unlimited PTO policy was put in place.","The company, like many corporations, is very secretive about the pay scales. The annual merit increases are small, regardless of an individual's performance rating. And the actual salary range for your position is not disclosed.","4.0","2025-09-18T09:34:29.950","Current employee - Process Mechanical Engineer II","Portland, OR","REGULAR","next_f"
