"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103119739","Nice place to work","Nice place to work","Company car, insurance, merit increase","Working under a little stress","5.0","2026-03-10T16:03:52.267","Current employee - Associate Clinical Account Specialist","Honolulu, HI","REGULAR","next_f"
"103116219","Contractor - Engineering","Contractor - Engineering","Treated like an FTE but were also labeled as a contractor.","No upward mobility unless converted over to FTE","5.0","2026-03-10T11:30:49.493","Former employee - Materials Engineer","West Chester, PA","REGULAR","next_f"
"103090022","Great team &amp; culture","Great team &amp; culture","- Competitive compensation - Great company culture","- Can be difficult to advance","4.0","2026-03-08T19:07:18.583","Current employee - Senior Financial Analyst","Titusville, NJ","REGULAR","next_f"
"103080121","Great company. Low pay.","Great company. Low pay.","Great company. Extremely organized and takes care of employees.","Tenure matters more than performance. Not a tech company at the end of the day. It's a pharma company that uses tech. Doesn't innovate in tech, innovates in pharma products.","4.0","2026-03-07T08:08:10.907","Former employee - Senior Data Scientist","Titusville, NJ","REGULAR","next_f"
"103059648","JJT Advanced Therapy Innovation Co-Op","JJT Advanced Therapy Innovation Co-Op","Good work/life balance and supportive people","Low pay for the job and some teams barely give any support","3.0","2026-03-05T12:52:28.620","Former employee - JJT Advanced Therapy Innovation Co-Op","Titusville, NJ","REGULAR","next_f"
"103051131","Manager","Manager","Great company benefits for managers","The life balance is not great","5.0","2026-03-05T00:42:38.760","Current employee - Sales Manager","Dallas, TX","REGULAR","next_f"
"103048216","Decent Pay","Decent Pay","I liked my coworkers and company culture","They never really told me about it all","5.0","2026-03-04T18:39:42.397","Former employee - Sales Executive","Blunt, SD","REGULAR","next_f"
"103033679","Great Culture","Great Culture","Thumbs up! Development opportunities and mentorship","N/a great leadership and management","5.0","2026-03-03T19:26:27.937","Former employee - Account Manager","San Diego, CA","REGULAR","next_f"
"103029399","Contract management Analyst review","Contract management Analyst review","Very professional colleges Diverse work enviorment","Needs more structure for entry level hires","5.0","2026-03-03T12:48:32.307","Current employee - Contract Management Analyst","Raritan, NJ","REGULAR","next_f"
"103028181","Strong company","Strong company","My operating company feels like a start up with the protection of a firm that's enormous. I have full autonomy in my role and have for 9 years. Fast paced innovative operating company. Serving patients and physician end-users is a major plus.","Research and development at our operating company has experienced a stumble, but we are getting back on track.","5.0","2026-03-03T11:22:30.570","Current employee - Executive Territory Manager","Sacramento, CA","REGULAR","next_f"
"103007935","Great Vision and career development","Great Vision and career development","Overall, a good Pharma Company to learn by doing, with a great vision for an innovative mindset. A good and diverse multicultural environment.","Culture and leadership have been a little bit disconnected in the last few years I have worked there. However, I believe it was temporary, not a permanent way of working for JNJ.","4.0","2026-03-02T05:21:02.097","Former employee - Regional Quality Manager","Panama City, FL","REGULAR","next_f"
"102993287","Lower pay","Lower pay","Great benefits, pension, lower healthcare premiums","It takes five years to vest in the pension","3.0","2026-02-28T05:09:47.163","Former employee - Field Reimbursement Manager","Chicago, IL","REGULAR","next_f"
"102991690","Mission-driven company with supportive leadership","Mission-driven company with supportive leadership","Employee-Focused Culture and Competitive Compensation","Workload Can Increase During Restructuring Periods","4.0","2026-02-27T22:51:01.500","Former employee - Senior Lead Statistical Programmer","Spring House, PA","REGULAR","next_f"
"102985023","Loved it","Loved it","everyone was super nice and welcoming","sometimes the work scope was unclear","5.0","2026-02-27T08:36:42.647","Current employee - Estagi&aacute;rio de Engenharia","Newark, NJ","PART_TIME","next_f"
"102976782","Lack of growth","Lack of growth","They teach stuff to grow. Encourage growth in skills and in different areas","Thereâs no growth in terms of promotions, youâre stuck in one position for years even though they tell you youâre ready to move up","3.0","2026-02-26T16:53:52.127","Current employee - Associate Scientist II","Malvern, PA","REGULAR","next_f"
"102930659","Good place overall, challenging place for the Vision teams","Good place overall, challenging place for the Vision teams","Lots of good people and some great leaders. The robotics division has a lot of talented people and leadership cares about treating people right.","The great leaders sometimes lose out to average leaders who know the JnJ ropes better. And the Vision teams had a lot of turmoil, moved from one division to another, partially disbanded, and then moved back again,","4.0","2026-02-23T18:20:43.280","Former employee - Senior Optical Engineer","Santa Clara, CA","REGULAR","next_f"
"102901440","Great","Great","Great working with them all the timr","Great boss great work great stuff","5.0","2026-02-20T15:41:38.937","Former employee - Sales","New York, NY","REGULAR","next_f"
"102889764","Great company","Great company","Strong pipeline of products. Professional and collaborative company culture. Great pay and benefits. Great work life balance.","Company policies and processes are complex. The pace is slow much of the time given the size and complexity of the company.","4.0","2026-02-19T18:33:38.470","Current employee - Senior Manager, Procurement","Raritan, NJ","REGULAR","next_f"
"102888019","good company to work for","good company to work for","a lot of good opertunity","qork life ballcance coulld imporve","2.0","2026-02-19T14:58:36.090","Current employee - Warehouse Worker","Minnetrista, MN","PART_TIME","next_f"
"102872860","It is a good experience.","It is a good experience.","Very good work life balance.","Nothing bad particular, i like it very much.","4.0","2026-02-18T13:24:10.737","Former employee - Data Scientist","Boston, MA","REGULAR","next_f"
"102836733","Good place to work","Good place to work","People and benefits are great","Sometimes the matrix structure makes it slow to get to needed change","4.0","2026-02-15T19:04:07.500","Current employee - Key Account Manager","Oklahoma City, OK","REGULAR","next_f"
"102824644","Great place to work w/ awesome benefits","Great place to work w/ awesome benefits","The company has awesome benefits.","Must have a bachelors degree before being promoted to another role","5.0","2026-02-13T15:36:31.050","Current employee - Operations Supervisor","Raleigh, NC","REGULAR","next_f"
"102810361","Johnson &amp; Johnson is a wonderful company to work for","Johnson &amp; Johnson is a wonderful company to work for","Johnson &amp; Johnson is a wonderful company to work for. Lots of freedom, great management, fantastic benefits, and a great work environment. This is a company that really *lives* its CREDO. By far, the best company I've ever worked for.","I don't really see any cons, except that it's such a huge organization that it's difficult to advance, and to be really ""seen"". However, all the pros greatly outweighs this one con.","5.0","2026-02-12T13:30:31.207","Current employee - Quality Manager","Raritan, NJ","REGULAR","next_f"
"102809663","Strong career growth","Strong career growth","Enhances future job opportunities from the name","Long hours and on call variability","5.0","2026-02-12T12:33:26.020","Former employee - Associate Clinical Account Specialist","Tulsa, OK","REGULAR","next_f"
"102809218","Co-Op","Co-Op","Supportive environment and interesting work.","There were no cons I could think of.","5.0","2026-02-12T11:57:45.430","Former employee - Co-Op","New Brunswick, NJ","REGULAR","next_f"
"102794227","good comp","good comp","good hours which i enjoyed","not too much stress, love it","5.0","2026-02-11T11:40:48.570","Current employee - Sales Associate","Boston, MA","PART_TIME","next_f"
