"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103106057","Great Company","Great Company","Good enviorment with friendly staff","fast paced and always new faces","5.0","2026-03-09T20:58:48.653","Former employee - Director of First Impressions","Lexington-Fayette, KY","PART_TIME","next_f"
"103080526","Team work","Team work","Broker and team ecthics and Professionalism","Transactions take long time to close","5.0","2026-03-07T09:19:28.980","Current employee - Real Estate Sales Associate","Orlando, FL","REGULAR","next_f"
"103069329","It was fine","It was fine","Commission on appointments that closed","Inconsistent commissions. High stress. Low efforts from agents","4.0","2026-03-06T07:15:05.830","Current employee - ISR- Inside Sales Representative","Knoxville, TN","REGULAR","next_f"
"103064357","Disorganized","Disorganized","Growth potential, additional earning opportunities","Lack of structure, shifting blame, unclear expectations","2.0","2026-03-05T21:27:30.360","Former employee - Agent Services Coordinator","Unknown location","REGULAR","next_f"
"103060421","Great company","Great company","Great for agents. Very professional","Not apply for this one","5.0","2026-03-05T13:59:12.130","Current employee - Real Estate Agent","Gainesville, VA","","next_f"
"102972922","Fantastic company","Fantastic company","super great environment and great coworkers","sometimes you need odd hours for real estate but you are compensated fairly","5.0","2026-02-26T11:15:46.280","Former employee - Front Desk Receptionist","San Jose, CA","PART_TIME","next_f"
"102966048","Good to start","Good to start","Great trainings and the environment in most offices is great.","Lack of leads and real guidance to success, place to hang license until it gets going.","3.0","2026-02-26T02:03:25.357","Current employee - Real Estate Agent","Pembroke Pines, FL","","next_f"
"102960707","A Role of Many Hats","A Role of Many Hats","Lots of autonomy and flexibility","It's difficult to be autonomous when you don't know the goals","4.0","2026-02-25T15:36:42.900","Current employee - Assistant Team Leader","Houston, TX","REGULAR","next_f"
"102912779","Enthusiastic and Fun !","Enthusiastic and Fun !","Young and Enthusiastic agents in the company. Good training and activities for fun! Good connections because so many agents.","I can't really think of anything negative.","5.0","2026-02-22T08:35:30.780","Current employee","Unknown location","","next_f"
"102880038","Its oka","Its oka","Community Friends Care Easy hours","Communication I am not sure what else to put there","3.0","2026-02-19T04:25:35.863","Former employee - Real Estate Agent","Omaha, NE","","next_f"
"102859273","Great Company","Great Company","A great company with the right mindset for growth","Straight commission. It's not for everyone.","5.0","2026-02-17T13:51:16.247","Current employee - Real Estate Agent","Unknown location","","next_f"
"102813186","Work for yourself","Work for yourself","They have a lot of classes and education","You need to be self motivated","5.0","2026-02-12T18:57:31.123","Current employee - Real Estate Agent","Newport Beach, CA","","next_f"
"102809170","Great firm","Great firm","Amazing training, great support and fantastic vibe! Highly recommend!","No cons that I can think of!","5.0","2026-02-12T11:53:59.933","Former employee - Real Estate Agent","Burlington, VT","","next_f"
