"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103105081","Great Company!","Great Company!","Room for growth, well known company thatâs well respected.","Lack of training and highly stressful","4.0","2026-03-09T19:04:29.063","Current employee - Contracts Manager","Orlando, FL","REGULAR","next_f"
"103104758","Good company","Good company","Benefits Work-life balance Meaningful work","Large bureaucracy Pay slightly less than major competitors","5.0","2026-03-09T18:30:41.023","Current employee - Sr. Aeronautical Engineer","Marietta, GA","REGULAR","next_f"
"103090959","Boring Job","Boring Job","paid every week paid for student loans","very boring job where your every movement is tracked","2.0","2026-03-08T21:33:09.400","Former employee - Production Planner","Orlando, FL","REGULAR","next_f"
"103072299","Good People and Steady Pace","Good People and Steady Pace","Lots of resources -subject matter experts, tools","Slow pace towards change and progress due to big company roadblocks and government contract aspect","5.0","2026-03-06T11:10:27.447","Current employee - Senior Electronics Engineer","San Francisco, CA","REGULAR","next_f"
"103021361","Unethical and Dishonest","Unethical and Dishonest","- weekly pay - 401k matching - access to good mentors","- HR fabricates stories to align to a narrative instead of facts. - immature leadership and toxic, hostile leadership. - subject matter experts act like adult toddlers. - inconsistent and unethical decision making. - lots of hiding behind company policy, and newer managers love to hide behind HR. - highly inefficient operations. - highly inappropriate HR communication, and extremely disruptive and disrespectful HR. - people getting promotions they did not earn nor deserve.","1.0","2026-03-03T02:50:11.410","Former employee","Unknown location","REGULAR","next_f"
"103010979","Great Company","Great Company","Has allot of opportunities for upward mobility","Very conservative with old school manufacture mentality which can be off putting","4.0","2026-03-02T09:11:04.897","Current employee - Program Manager","New York, NY","REGULAR","next_f"
"103009594","Random Layoffs","Random Layoffs","Good pay. Plenty of work. Opportunities to move up if willing to apply for other positions.","Arbitrary layoffs used as a means to eliminate employees who refuse to be exploited. No promoting within.","2.0","2026-03-02T07:34:35.363","Former employee - Senior Contracts Manager","Unknown location","REGULAR","next_f"
"102990801","Not bad","Not bad","Good benefits and room for moves within LM.","Can be stressful, but that comes with any job.","4.0","2026-02-27T19:47:38.230","Current employee - Subcontract Administrator","Huntsville, AL","REGULAR","next_f"
"102987732","Great place","Great place","The people are amazing and the training was thorough.","Lots of desk time without breaks.","5.0","2026-02-27T12:33:39.740","Former employee - Program Planner","Fort Worth, TX","REGULAR","next_f"
"102976529",".",".","offers great industry experience &amp; connections","promotions within the same team can be hard to come by depending on availability","5.0","2026-02-26T16:28:42.540","Current employee - Manufacturing Engineer II","Fort Worth, TX","REGULAR","next_f"
"102975605","Heavily Dependent on the Program","Heavily Dependent on the Program","-cool company product and decent job security","-middle management... i think everyone knows how this concept works but Lockheed really excels at having a lot of useless managers","3.0","2026-02-26T14:51:21.623","Current employee - Project Engineer II","Denver, CO","REGULAR","next_f"
"102958850","Great Job!!!!","Great Job!!!!","Pay, benefits, opportunities for growth.","Non that i can think of.","5.0","2026-02-25T12:52:33.117","Current employee - Mechanical Engineer","Englewood, CO","REGULAR","next_f"
"102958010","Great place to work","Great place to work","Employee Benefits and career development","Leadership, processes, location, favoritism, and career growth","5.0","2026-02-25T11:51:23.177","Former employee - Administrative Assistant Senior","Orlando, FL","REGULAR","next_f"
"102955644","Great Job","Great Job","Great pay. Great location. Able to travel.","The possibility of getting the fired due to instability of work.","5.0","2026-02-25T09:07:52.680","Current employee - Aircraft Mechanic","Eglin AFB, FL","REGULAR","next_f"
"102951471","Engineering","Engineering","Relaxed environment with great people.","Tons of red tape that make implementing changes challenging.","4.0","2026-02-25T04:00:26.480","Current employee - Electrical Engineer","Jacksonville, FL","REGULAR","next_f"
"102945307","Working at Lockheed","Working at Lockheed","Good pay and good benefits.","Unqualified management and hostile work environment.","1.0","2026-02-24T16:37:46.223","Former employee - Flight Test Technician","Palmdale, CA","REGULAR","next_f"
