"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103138877","Okay place to work","Okay place to work","They used to have great discounts for employees but that changed.","Didnât get a ton of hours and how good management is depends on location","3.0","2026-03-11T20:38:57.313","Former employee - Educater","Troy, MI","PART_TIME","next_f"
"103108240","Lovely culture and team","Lovely culture and team","Oriented towards professional growth and development","It may not be the âsuper seriousâ corporate environment youâre looking for.","5.0","2026-03-10T01:34:50.873","Former employee - Software Developer","New York, NY","REGULAR","next_f"
"103087385","Good place, but the managers aren't great","Good place, but the managers aren't great","Workers are fun and good workers. The pay is good, and the discount. Very close team, but it can be good or bad.","Favoritism, Bad leadership, Drama, and no set schedule except for the 2 main managers. You will spend basically all your nights working because management does not want to step up and work nights and weekends.","3.0","2026-03-08T11:28:56.417","Former employee - Guest Experience Leader (GEL)","Akron, OH","REGULAR","next_f"
"103077604","Good experience","Good experience","Learned a lot and management was nice","Quite a bit of behind the scenes workplace drama","4.0","2026-03-06T23:58:26.503","Former employee - Educator","Lancaster, PA","PART_TIME","next_f"
"103059230","Great place to work at","Great place to work at","Everyone is super friendly and the pay is generous.","Hours can be somewhat weird","5.0","2026-03-05T12:18:08.177","Former employee - Educator","Sandy Springs, Fulton, GA","REGULAR","next_f"
"103054293","Great Benefits + Company Culture","Great Benefits + Company Culture","(Very) competitive pay, especially for part time","Strict and unrealistic availability requirements","4.0","2026-03-05T06:17:08.790","Current employee - Educator","Athens, GA","PART_TIME","next_f"
"103033508","Paycheck","Paycheck","Money, discount, easy, retail therapy","Schedule, hours, no flexibility no longer a people first company","2.0","2026-03-03T19:10:35.463","Former employee - Store Mansger","Albuquerque, NM","REGULAR","next_f"
"103017628","Great Place to Work","Great Place to Work","Flexible hours and great benefits","Limited career path for growth.","5.0","2026-03-02T18:44:11.967","Current employee - eductaor","El Segundo, CA","","next_f"
"102971699","Great job","Great job","The minimum wage here is above average at $21 an hour, plus additional benefits like paid time off and a stipend for sweaty pursuits.","High traffic location meaning there's the store services a large volume of customers who can be difficult at times, which for most retail jobs is the hardest part of the job.","4.0","2026-02-26T09:50:41.773","Current employee - Educator","Commerce, CA","REGULAR","next_f"
"102962589","Good company for part time","Good company for part time","Good benefits and employee discount","Management can be disorganized which is frustrating","4.0","2026-02-25T18:57:45.370","Former employee - Educator","Boston, MA","PART_TIME","next_f"
