"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103134179","Culture Shift with Limited Career Growth and Frequent Reorganizations","Culture Shift with Limited Career Growth and Frequent Reorganizations","Many talented and intelligent employees who are collaborative and willing to help each other succeed. The benefits package is very competitive, and depending on the team, work-life balance can be quite good. The company also provides strong learning opportunities, especially for those interested in growing their skills. There are mentorship programs and development resources available for employees who take initiative in their growth. Employees also have the opportunity to work on complex, high-impact projects that can significantly build experience. Additionally, the companyâs brand recognition can be valuable for long-term career development.","$74","3.0","2026-03-11T13:01:04.843","Current employee - Analyst","Saint Louis, MO","REGULAR","next_f"
"103116906","GREAT Company to work for","GREAT Company to work for","Mastercard is an innovative fast-paced company, but the culture is very inviting. It's a great company, with great people, and awesome benefits!","None - I have zero cons about working here","5.0","2026-03-10T12:16:21.253","Current employee - Director","O'Fallon, MO","REGULAR","next_f"
"102972974","Bad management","Bad management","Compensation structure is good compared to other payment giants","Management and lack of new innovation","1.0","2026-02-26T11:18:39.753","Former employee - Vice President - Technology","New York, NY","REGULAR","next_f"
"102929352","Overall great people, work life balance, etc.","Overall great people, work life balance, etc.","- overall the people you work with are smart and friendly - depending on the team, learn a lot (some are significantly more fast-paced than others); really what you make of it - ERGs and corporate events are fun - competitive pay","- salary calibration compared to peers not well managed or justified - culture has gone downhill the past ~2 years or so with new senior leadership, many people in the middle (Managers/Directors) are feeling stuck without clear vision or space for upward mobility","4.0","2026-02-23T15:53:13.500","Current employee - Product Manager","New York, NY","REGULAR","next_f"
"102909728","Great place to work","Great place to work","Great work life balance, professional and kind colleagues","Normal corporate red tape to get goals accomplished","5.0","2026-02-21T19:58:23.313","Current employee - Product Manager","Dallas, TX","REGULAR","next_f"
"102835771","Very mixed bag","Very mixed bag","Ability to learn a great deal, both about their systems, and the tools and processes they use to serve the customers. A wide variety of benefits, for full-time permanent employees.","Grueling work, at least in the high-visibility team I was in, Not great for sensitive people, who like and may need solid training. (not ad-hoc, fragmented training that's sprung on you sometimes) The expectation that ""as a BizOps Engineer,"" you are expected to handle things yourself much or most of the time. This included the expectation you were to handle 100% of the communication, research, fixing, and ITSM tickets during an Incident. From my research, including use of AI, the work made the ADHD tendencies for someone who has it, worse, not better. This affected me and my family. Your mileage may vary, of course.","3.0","2026-02-15T15:01:15.157","Current employee - Senior BizOps Engineer","O Fallon, MO","REGULAR","next_f"
"102810197","Good work life balance","Good work life balance","Good work life balance and benefits","Poor and toxic management in Hungary","3.0","2026-02-12T13:16:36.443","Current employee - Consultant","Hungary, CT","REGULAR","next_f"
"102758086","Very solid","Very solid","Great experience, very friendly people","None, super good system overall","5.0","2026-02-09T12:17:28.520","Former employee - Engenheiro Mec&acirc;nico","China Grove, NC","","next_f"
"102749465","Great Company, Great Culture","Great Company, Great Culture","Leadership, Culture, benefits, work life balance.","Challenges across business units in process delay efforts to move initiatives forward.","5.0","2026-02-09T04:46:20.693","Current employee - Director","New York, NY","REGULAR","next_f"
"102686936","Liked it","Liked it","Great people, culture. My manager was very nice.","Drive was 1 hour for me","5.0","2026-02-05T01:10:47.930","Current employee - Software Engineer","Arlington, VA","REGULAR","next_f"
"102672422","Used to be good","Used to be good","Great benefits and time off","More recently, the company has begun implementing PIPs in a way that appears designed to push employees out rather than execute larger-scale layoffs. This approach seems intended maybe to minimize public scrutiny and avoid headlines associated with mass layoffs. As well as avoid additional severance packages. Heard about multiple colleagues being put on pips recently after years of hard work. As with many large organizations, individual experience is highly dependent on oneâs team. While the company promotes values under The Mastercard Wayâsuch as âhelp each other be great,â âsay what you mean,â and âgrow togetherââthe lived culture often does not reflect these principles. Collaboration is limited, credit for work is misattributed, and contributions are overlooked. Cross functional collaboration is also a nightmare with every team acting like they are at war between each other when it comes to having to work together on something.","3.0","2026-02-04T10:13:13.933","Current employee","New York, NY","REGULAR","next_f"
"102507105","Effective, but slow","Effective, but slow","It gets the job done, but is very slow.","Very Slow process. Leaves a lot of room for business changes to impact your position.","3.0","2026-01-27T09:47:10.130","Current employee - Product Analyst","Salt Lake City, UT","REGULAR","next_f"
"102479552","Great company, but needs to rethink RTO","Great company, but needs to rethink RTO","Great 401k up to 10&amp; match on 6% contribution Amazing coworkers, everyone is easy to talk to and willing to jump in to help anyone if they need it","3 days RTO can be a bit much. Not much is going on in the office to justify 3 days; 9/10 times, you're working solo on project stories, and even when you do interact with someone, it's on a Teams call. 2 days in the office is the sweet spot!","4.0","2026-01-26T07:49:38.580","Current employee - Senior Software Engineer","O'Fallon, MO","REGULAR","next_f"
"102459177","It was fine","It was fine","Pretty easy and quick money","Felt weird asking randoms to apply for credit cards as their shopping","3.0","2026-01-24T15:07:37.040","Former employee - Sales Associate","Richmond, VA","PART_TIME","next_f"
"102458948","Company Culture","Company Culture","Great culture for learning and growth. Nice mix of broad financial services products and advanced technologies opportunities.","Large and complex organization for building connections and navigating career growth paths.","5.0","2026-01-24T14:37:21.983","Current employee - Director, Software Engineering","Arlington, VA","REGULAR","next_f"
"102227676","Great place to start a career","Great place to start a career","Mastercard has a resilient business model, an innovative mindset, and a strong worldwide brand. The interesting projects, international culture, and good work-life balance contributed to my positive experience on the consulting side.","Less competitive/demanding and therefore lower compensation compared to traditional consulting.","5.0","2026-01-13T07:47:45.710","Current employee - Associate Consultant","New York, NY","REGULAR","next_f"
"102210580","great company","great company","competitive pay for the area","no stock was given to employees.","5.0","2026-01-12T13:04:42.587","Former employee - Software Engineer 2","Saint Louis, MO","REGULAR","next_f"
"102202496","Mastercard Test &amp; Learn","Mastercard Test &amp; Learn","You learn how to leverage SQL","Consulting role means you are not actually making the decisions just informing them","3.0","2026-01-12T06:56:28.457","Current employee - Associate Consultant","Rogers, AR","REGULAR","next_f"
"102192318","Where Engineers go to retire","Where Engineers go to retire","You could easily work here for the rest of your life. Some teams are fast paced. Most are slow paced. You will receive tickets at a regular pace.","I, personally, wasn't challenged. My skills stagnated. The work-life was 'too balanced"".","5.0","2026-01-11T17:19:43.317","Current employee - Software Engineer","Arlington, VA","REGULAR","next_f"
