"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103123426","Security sucks","Security sucks","- No much pressure on delivering features, given that most of the time you are working on bridges. - Very high visibility, as you are always on bridges.","You are barely doing any development in reality, you spend most of your time as an SRE rather than a dev.","2.0","2026-03-10T22:48:24.100","Former employee - Software Engineer","Seattle, WA","REGULAR","next_f"
"103103848","Great company, even better culture","Great company, even better culture","Working with grown ups, no drama, no fuss. Great benefits","Lower base pay than competitors. Constant lay offs.","5.0","2026-03-09T16:47:04.470","Current employee - Software Engineer II","Fargo, ND","REGULAR","next_f"
"103100940","good and open","good and open","good and open for research people","too far from my home","5.0","2026-03-09T12:34:27.290","Former employee - Research Intern","San Francisco, CA","REGULAR","next_f"
"103095695","Great place to work but very crowded","Great place to work but very crowded","Lots of opportunities, plenty of lines to sell across, lots of support","Political, impact to get promoted must be ""high visibility""","4.0","2026-03-09T06:45:12.433","Former employee - Director of Sales","Redmond, WA","REGULAR","next_f"
"103089896","Solid","Solid","Positive experience for the most part. Decent pay and benefits","Unstable, low moral, just waiting for the next layoff announcement.","3.0","2026-03-08T18:46:12.363","Former employee - Business Strategy Manager","Seattle, WA","REGULAR","next_f"
"103089555","Good WLB and benefits","Good WLB and benefits","Good WLB and benefits and opportunities to learn","leaders ignoring office politics can be annoying","4.0","2026-03-08T17:51:06.353","Current employee - Senior Software Engineer","Redmond, WA","REGULAR","next_f"
"103082795","sde at Microsoft","sde at Microsoft","Stability Innovation Growth Impact Knowledge","No cons As such .","5.0","2026-03-07T16:59:26.860","Current employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"103076998","Software Engineering Typical Experience","Software Engineering Typical Experience","Good WLB. Great healthcase, nice coworkers","nothing really, everything is nice at microsoft","5.0","2026-03-06T21:50:17.790","Current employee - Software Developer","Redmond, WA","REGULAR","next_f"
"103065230","Solid Company","Solid Company","Office had a lot of talented folks when I left in 2023 and a great culture.","I've heard that the culture has gone down hill since with the push to AI but I'm no longer there. Their support or Engineering Managers is poor. Lots of decisions pushed down.","4.0","2026-03-05T23:30:35.600","Former employee - Principal Engineering Manager","Redmond, WA","REGULAR","next_f"
"103050580","Good","Good","It is necessary to have a good manager","Internal politics, less stock refreshers","5.0","2026-03-04T23:30:38.140","Current employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"103047922","Great","Great","Leading global tech company. Relatively relaxed compared to faang and adjacent companies","Over emphasis on copilot reliance","5.0","2026-03-04T18:10:48.360","Current employee - Data Scientist","Redmond, WA","REGULAR","next_f"
"103047616","Rewarding and Absolutely Tough","Rewarding and Absolutely Tough","1. Strong pay and benefits 2. Great name recognition on your resume 3. Access to cutting-edge technology 4. Lots of learning and certification opportunities 5. Large internal network and career mobility","1. Bureaucracy can slow decision-making 2. Internal politics vary by team and leadership 3. Frequent organizational changes 4. Workload can be heavy in customer-facing roles 5. Career growth can depend heavily on your manager","4.0","2026-03-04T17:35:13.173","Former employee - CSAM - Sr. Customer Success Account Manager","Irving, TX","REGULAR","next_f"
"103046220","Perfect","Perfect","Flexable Supportive AI Career growth","Intensive Hard promos many context switch legacy","4.0","2026-03-04T15:00:15.837","Current employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"103043593","Good place to work","Good place to work","Good salary, work life balance, culture too.","Salary could be better, Data centers are at max capacity.","5.0","2026-03-04T11:23:33.697","Current employee - Solutions Engineer","New York, NY","REGULAR","next_f"
"103043382","I love my job","I love my job","Good worker, Good Vibes, Good Boss","Work life balance is ok","5.0","2026-03-04T11:10:12.390","Current employee - Engineer","Seattle, WA","REGULAR","next_f"
"103043055","Amazing recruiting","Amazing recruiting","Clear guidelines on interviews &amp; process Competitive pay &amp; great relocation services","3 weeks to hear back from superday","5.0","2026-03-04T10:48:27.960","Current employee - Software Engineer Intern","Redmond, WA","REGULAR","next_f"
"103041240","Good swe stable","Good swe stable","stable good work life balance","Not the best in terms of compensation","2.0","2026-03-04T08:47:31.210","Current employee - SWE 2","New York, NY","REGULAR","next_f"
"103040622","Great company","Great company","Innovative, transparent pay practice, leader","growth would have likely required relocation","5.0","2026-03-04T08:06:40.330","Former employee - VP FP&A","Burlington, MA","REGULAR","next_f"
"103040604","Not Bad","Not Bad","Good pay and great experience","None, I like it a lot.","4.0","2026-03-04T08:05:17.410","Current employee - Manager","Seattle, WA","REGULAR","next_f"
"103025343","Strong Growth Environment with High Expectations","Strong Growth Environment with High Expectations","Collaborative team culture with strong technical expertise. Clear exposure to large strategic accounts and cross-functional engagement. Leadership is accessible and performance driven. Opportunities to develop both commercial and strategic skills in a competitive market. Good visibility into long-term customer programs.","High performance expectations with limited internal resources at times. Cross-regional coordination can slow decision making. Forecast accuracy and demand volatility create pressure on account teams. Internal processes occasionally lack alignment across departments.","2.0","2026-03-03T08:19:06.210","Current employee - Account Manager","Calabasas, CA","REGULAR","next_f"
"103009126","Microsoft","Microsoft","pay was good, bonus every quarter, good benefits","Role was a quick turnaround solution for after pandemic","4.0","2026-03-02T07:00:17.070","Former employee - Direct Sales","Charlotte, NC","REGULAR","next_f"
"102998479","Thankful for the experience","Thankful for the experience","Mainly a friendly atmosphere, with an inclusive culture.","I found it not to be quite technically challenging as other engineering jobs the I held.","4.0","2026-03-01T01:52:04.290","Former employee - Senior Mechanical Engineer","Mountain View, CA","REGULAR","next_f"
"102998191","Good WLB","Good WLB","Overall good WLB.. strong tech foundations and folks with good tech background","Doesn't move as fast as other tech companies","4.0","2026-03-01T00:08:42.807","Current employee - Software Engineer II","Redmond, WA","REGULAR","next_f"
"102997797","Run!","Run!","Health insurance and 401K match","Cut throat leadership. Micromanager, toxic environment, Satya","1.0","2026-02-28T21:57:53.787","Former employee - Direcror","Chicago, IL","REGULAR","next_f"
"102992944","Account Executive","Account Executive","Bonuses and compensation outside of salary Ability to enhance skills at work - use of AI","Bad management Lots of changes every year without guidance High pressure to sell AI solutions without demand","3.0","2026-02-28T03:58:47.217","Current employee - Senior Account Executive","New York, NY","REGULAR","next_f"
"102991534","okay","okay","friendly colleagues, good pay, good food","stress, too much work, overtime","5.0","2026-02-27T22:16:21.093","Former employee - Assistant Project Manager","California City, CA","REGULAR","next_f"
"102991359","Great","Great","Workplace was great and everyone was nice.","Carpets got dirty sometimes but that's granted.","5.0","2026-02-27T21:39:38.147","Current employee - Janitor/Cleaner","Redmond, WA","PART_TIME","next_f"
"102991081","Good benefits and wlb","Good benefits and wlb","You work with nice and smart people","pay can be better .","5.0","2026-02-27T20:41:20.817","Current employee - Senior Software Engineer","Redmond, WA","REGULAR","next_f"
"102984535","Okay","Okay","Work life balance and chill","Low pay, bad manger and people","3.0","2026-02-27T07:58:01.090","Current employee - Product Manager 2","Redmond, WA","REGULAR","next_f"
"102974711","Good enough","Good enough","Salary, nice people but just mid","Underleveled like crazy and didnt recover","4.0","2026-02-26T13:33:34.600","Former employee - Technical Product Manager","Seattle, WA","REGULAR","next_f"
"102974130","Not too bad","Not too bad","Work life balance, unlimited time off","Consistent changes from leadership team","4.0","2026-02-26T12:47:11.817","Current employee - Product Manager","Atlanta, GA","REGULAR","next_f"
"102971788","Sr. TPM","Sr. TPM","Emphasis on using AI in your daily job. Good benefits.","Pressure to prove yourself, your role which leads to a cut throat environment.","4.0","2026-02-26T09:54:31.213","Former employee - Senior Technical Program Manager","Redmond, WA","REGULAR","next_f"
"102954287","Great place to learn and grow as an engineer.","Great place to learn and grow as an engineer.","Surrounded by brilliant people daily","Tough managers can make it hard to move up the ladder","5.0","2026-02-25T07:35:03.077","Former employee - Software Engineer","Atlanta, GA","REGULAR","next_f"
"102952031","Junior software engineer","Junior software engineer","Great and very efficient project","Great but needs more improvement","4.0","2026-02-25T04:44:04.883","Current employee - Junior Software Engineer","New York, NY","REGULAR","next_f"
"102948760","Good WLB","Good WLB","Work life balance &amp; company culture are good","Pay is relatively low compared to others","5.0","2026-02-24T23:37:23.900","Current employee - Senior Applied Scientist","Redmond, WA","REGULAR","next_f"
"102947780","Decent Place to work","Decent Place to work","Lots to learn on a day to day","Can get called out of working hours to assist.","5.0","2026-02-24T21:28:25.030","Former employee - Customer Support","Chicago, IL","REGULAR","next_f"
"102929968","Cool place","Cool place","Benefitsâs are good, Career growth, lots of space for the studio, computers were nice. Nice people","Definitely laid off way too many people Sometimes hard to get help when you need it.","4.0","2026-02-23T17:03:36.160","Former employee - Vehicle Artist","Redmond, WA","REGULAR","next_f"
"102929184","Good Company","Good Company","Learning culture, work-life balance is good.","Low salary compared to other Big Tech companies. Culture is declining and now revenue sets the tone. People is not important anymore.","4.0","2026-02-23T15:35:43.760","Current employee - Senior azure specialist","Miami, FL","REGULAR","next_f"
"102927439","Microsoft DS Review","Microsoft DS Review","401 matching benefits if a good team then a work life balance","Too many changes too soon","4.0","2026-02-23T12:59:52.813","Former employee - Senior Data Scientist","Redmond, WA","REGULAR","next_f"
"102908795","Big scope of work (the field is as wide as it can be at least for my team)","Big scope of work (the field is as wide as it can be at least for my team)","Big scope; great tools; intelligible work","Nothing for the general company; teams are very different for they do different things for different customers for different amount of profits.","4.0","2026-02-21T15:58:19.883","Current employee - Software Engineer II","Redmond, WA","REGULAR","next_f"
"102900281","Was a good company to work for, not anymore","Was a good company to work for, not anymore","benefits, WFH flexibility, and job stability","WFH flexibility is gone, benefits continue to get worse, job stability going down with frequent layoffs","3.0","2026-02-20T13:25:24.550","Former employee - Software Engineer","Seattle, WA","REGULAR","next_f"
"102898421","depends on team","depends on team","good starting bonus and benefits","depending on team wlb could be really good or just fine","4.0","2026-02-20T10:25:14.487","Current employee - Software Engineer","Seattle, WA","REGULAR","next_f"
"102887125","TC","TC","good wlb, minimal office requirements, good benefits","minimal pay, hired remote but forced to RTO, slow promo velocity","4.0","2026-02-19T13:27:50.323","Current employee - Software Engineer","Seattle, WA","REGULAR","next_f"
"102886910","Chaos","Chaos","Benefits are amazing. Everyone is really smart","Constant change and no long term org planning. Everything changes every year","4.0","2026-02-19T13:09:02.753","Current employee","Netherlands, MO","REGULAR","next_f"
"102876773","Buys companies just to eliminate the staff and outsource US jobs to India","Buys companies just to eliminate the staff and outsource US jobs to India","Company resources for employees (while I had them, the company gave me an email address, had me complete trainings, and explore their virtual desktop and company network just to turn around and lay off myself alongside most of my coworkers so they could outsource my job to India)","CEO Satya Nadella is from India. After Microsoft purchased Nuance Communications (company I was working for), Satya immediately established plans to outsource our virtual AI DAX scribe jobs to INDIA. He is obviously out to cushion his own country and doesn't care about onboarding employees from the companies Microsoft keeps buying","1.0","2026-02-18T21:11:18.487","Former employee - Quality Documentation Specialist","Hutchinson, KS","REGULAR","next_f"
"102875336","Review","Review","Used to be good wlb now it sucks","Sometimes you have no proper direction","2.0","2026-02-18T18:03:21.047","Current employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"102874872","It was ok","It was ok","Good company culture. A lot possibilities if you find right team and direction.","Too many layoffs recently. Benefit packages are less competitive than other tech companies.","4.0","2026-02-18T16:59:06.690","Former employee - Customer Success Trainer","Chevy Chase, MD","REGULAR","next_f"
"102873950","Team Dependant","Team Dependant","- Great benefits - Lots of smart people","- Internal tools are really bad - AI push is only focused on execution speed as opposed to improved quality - Bad work life balance on my team","3.0","2026-02-18T15:12:19.377","Current employee - Software Engineer","Atlanta, GA","REGULAR","next_f"
"102873190","Great Place To Work","Great Place To Work","Very good engineering team, decent WLB, decent pay.","Can be a bit slow.","5.0","2026-02-18T13:56:32.563","Current employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"102855812","Big company, little direction","Big company, little direction","Kind, respectful culture. Organized people","So much busy work, they could cut half their costs by automating everything unfortunately","3.0","2026-02-17T09:15:58.073","Former employee - Program Manager","New York, NY","REGULAR","next_f"
"102847143","Still at great place to work at","Still at great place to work at","Benefits are great, 401k match, unlimited PTO, health insurance, still has remote opportunities on some teams.","It got more intense and competitive during 2024/2025 after all they layoffs, but the salaries and bonuses for existing employees stayed the same. If you don't mind working from the office, I'd still check for other FAANG alternatives with higher compensation. It used to be an open secret that they paid less, but it was more chill, not the case anymore.","4.0","2026-02-16T16:15:07.990","Former employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"102845644","would work here again but the ceo is having issues","would work here again but the ceo is having issues","busy body management without a clue","those files are not looking good","2.0","2026-02-16T13:03:45.813","Former employee - Senior Data Analyst","Chicago, IL","REGULAR","next_f"
"102834226","Great company","Great company","Always learning and working on cutting edge technology, working alongside the smartest people.","Politics visible in some orgs.","5.0","2026-02-15T09:39:57.210","Current employee - Cloud Solutions Architect","Dallas, TX","REGULAR","next_f"
"102800456","It was cool","It was cool","Chill place to work with people","Micro managing manager not great","3.0","2026-02-11T22:50:28.223","Current employee - Sales Associate","Seattle, WA","REGULAR","next_f"
"102799074","Good company","Good company","Good work life balance, good benefits and learning environment","Politics. Lot of people coasting. Senior staff are incompetent but play politics. They have outdated skills but never really have growth mindset to learn","4.0","2026-02-11T19:52:41.517","Current employee - Sr. Business Manager","Redmond, WA","REGULAR","next_f"
"102797304","Not worth it just for the perks!","Not worth it just for the perks!","Xbox game pass, Perks+, Microsoft store (only the free/discounted stuff)","Wrong bets by the CEO causing the company and employees dearly!","3.0","2026-02-11T16:22:39.573","Current employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"102795867","Good benefits","Good benefits","Very good health plan for whole family and 401k match","Promotion is very slow, and not much increase in salary","5.0","2026-02-11T13:52:47.160","Former employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"102794534","Extremely varied experience depending on team, but good Work-Life Balance overall","Extremely varied experience depending on team, but good Work-Life Balance overall","Better Work-Life balance than other Big Tech companies; Hybrid Work for major hubs, Remote Work for some; Cool coworkers depending on Org; Investment in Employee Growth; Possibility for Internal movement, laterally and vertically; Some Employees tend to stay for a very long time (that says something); Diverse &amp; Inclusive environment (at least in my Org)","Work and Experience are HUGELY dependent on the Org/ Product and Manager; Primary focus on AI and not much else over the past few years; Return to Office for certain areas despite past reassurances to not touch Remote work; Worse Total Compensation than other Big Tech companies; non-main campuses are a bit lackluster compared to other companies'; Lack of Communication between Products, Teams, and Orgs","5.0","2026-02-11T12:04:54.823","Current employee - Product Designer","New York, NY","REGULAR","next_f"
"102791151","Salary","Salary","Good perks, benefits and insurance","The culture has gone for a toss lately","4.0","2026-02-11T08:28:05.963","Former employee - Senior Product Manager","Redmond, WA","REGULAR","next_f"
"102780646","Solid company","Solid company","If you find a good manager, a lot of flexibility and exciting challenges","Company seems to be moving towards more of an Amazon culture","4.0","2026-02-10T16:59:44.907","Current employee - Software Engineer","Seattle, WA","REGULAR","next_f"
"102780482","good","good","hours not too long and flexible","pay and training could be better","4.0","2026-02-10T16:45:31.340","Former employee - Administrative Assistant","New York, NY","REGULAR","next_f"
"102773093","Good Benefits","Good Benefits","Great benefits, awesome perks, and a solid work-life balance. No micromanagement, and the QDM team is fantastic.","Frequent layoffs and the elimination of my current position with prior warning.","4.0","2026-02-10T08:32:07.857","Former employee - QD Administrator","Redmond, WA","REGULAR","next_f"
"102754439","Good mgmt decent pay","Good mgmt decent pay","Management is engaging and works with you","Pay is ok not great","4.0","2026-02-09T09:11:35.290","Current employee - Customer Service Agent","New York, NY","REGULAR","next_f"
"102750756","culture","culture","good culture excellent team members","slow grown slow working updates","5.0","2026-02-09T06:07:08.980","Former employee - Software Development Engineer (SDE)","Seattle, WA","PART_TIME","next_f"
"102747062","Passionate enthusiastic Developer","Passionate enthusiastic Developer","Frontend Development Cloud Development Database Management Backend Development Mobile Development","Cyber security UX Design Data Science Data engineering Data analysis","5.0","2026-02-09T01:45:03.973","Current employee - Software Engineer","Atlanta, GA","REGULAR","next_f"
"102744162","Good","Good","Good work enviorment friendly staff","Overall no concerns nice work environment","5.0","2026-02-08T20:58:04.183","Former employee","Chicago, IL","PART_TIME","next_f"
"102742465","Great company","Great company","Good benefits, learnt alot. Alot of training.","Low opportynity for advancement, long hours.very physical and mentally demanding job","4.0","2026-02-08T16:54:21.080","Former employee - Data Center Technician","Santa Clara, CA","REGULAR","next_f"
"102741265","great place to work","great place to work","free drinks at the office","not enough pay for me","4.0","2026-02-08T13:54:03.930","Current employee - Finance Manager","Seattle, WA","REGULAR","next_f"
"102720042","Awesome","Awesome","Smart coworkers and great office.","I have no cons to share.","5.0","2026-02-06T12:29:43.197","Current employee - Product Manager","New York, NY","REGULAR","next_f"
"102718731","Good work life balance","Good work life balance","Benefits Tools Work life balance","Return to office 4 days per week","4.0","2026-02-06T11:00:30.313","Current employee - Business Administrator","Redmond, WA","REGULAR","next_f"
"102716777","Salary Estimate SDE Microsoft","Salary Estimate SDE Microsoft","Favorable for entry level software role.","Generic software development experience with .NET and C#. These are core to development experience at Microsoft.","4.0","2026-02-06T09:07:57.063","Current employee - Software Developer","Redmond, WA","REGULAR","next_f"
"102715389","whatever","whatever","pay is good for competitors","location is not great- would like more reomte","4.0","2026-02-06T07:49:50.150","Current employee - Consultant","Seattle, WA","REGULAR","next_f"
"102713045","not the old microsoft","not the old microsoft","Microsoftâs performance review process gives a clear, structured way to talk about impact. It typically encourages you to tie your work to measurable outcomes (delivery, quality, customer value, collaboration), which makes accomplishments easier to explain and helps managers compare contributions consistently across a team. When done well, it also creates a regular rhythm for feedback and growthâso youâre not surprised at year-endâand can help you align on priorities, scope, and career development steps.","The downside is that the experience can feel inconsistent depending on the org, manager, and calibration dynamics. Even with guidelines, expectations may be interpreted differently across teams, and outcomes can sometimes feel influenced by visibility, narrative-writing skill, or shifting priorities rather than purely day-to-day contribution. The process can also add significant overhead (self-assessments, evidence gathering, review writing), and if feedback isnât frequent during the year, the review may feel more like a paperwork exercise than a genuinely helpful development tool.","3.0","2026-02-06T05:37:12.200","Current employee - Senior Software Engineer","Redmond, WA","REGULAR","next_f"
"102690835","PM review","PM review","salary, hybrid, good benefits, etc","lack of work life balance and onboarding","1.0","2026-02-05T05:23:26.037","Former employee - Product Manager","Redmond, WA","REGULAR","next_f"
"102684750","Full time operations manager","Full time operations manager","Benefits 401K match Perks reward (1500)","Work Life Balance Spouse Benefits increase","5.0","2026-02-04T22:17:45.703","Current employee - Operations Manager","Dallas, TX","REGULAR","next_f"
"102684308","Good","Good","Good work life balance and interesting projects","Salary a little less compared to industry standard","4.0","2026-02-04T21:37:07.030","Current employee - Software Engineer","Seattle, WA","REGULAR","next_f"
"102684151",".",".","Good, curious, learnable, adaptive, azure","azure, isolated, fabric, pto, nn","4.0","2026-02-04T21:25:24.040","Current employee - Data Engineer","Redmond, WA","REGULAR","next_f"
"102668295","as you'd expect tech to be","as you'd expect tech to be","can't really think of any","gaslighting, lying, doesn't know what it wants to be when it grows up, void of reality, deception between co-workers","1.0","2026-02-04T07:19:05.687","Former employee - Sr. Product Manager","Redmond, WA","REGULAR","next_f"
"102652964","Great Benefits","Great Benefits","Great benefits and perks every year","Layoffs and reorgs happened a lot","5.0","2026-02-03T14:23:38.137","Current employee - Analyst","New York, NY","REGULAR","next_f"
"102652178","Great place to work at but can be boring","Great place to work at but can be boring","Benefits are great, very chill environment","A lot of senior people with outdated knowledge are in charge of programs they should not be handling, or they should be actively updating their knowledge, which is not the case.","4.0","2026-02-03T13:41:27.013","Current employee - Engineer","San Francisco, CA","REGULAR","next_f"
"102647573","Intern to Fulltime","Intern to Fulltime","- pay, name recognition, good outside reputation","- didnât get the team or boss I was told I would be placed on, wasnât able to speak to a recruiter, screwed up my start date so that my team thought I was starting a week before I joined","2.0","2026-02-03T10:18:30.790","Former employee - SWE New Grad","Redmond, WA","REGULAR","next_f"
"102637081","Not quite as progressive as you'd think, but still good","Not quite as progressive as you'd think, but still good","Great benefits, relaxed work culture","Older teams can feel like an old boys club","4.0","2026-02-03T02:00:33.507","Former employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"102635507","Great learning environment with strong engineering culture","Great learning environment with strong engineering culture","Strong engineering culture, excellent learning opportunities, competitive compensation, flexible work environment, supportive teammates.","Slow decision making at times, heavy processes, occasional work life imbalance during peak project phases.","5.0","2026-02-03T00:06:40.970","Former employee - Software Engineer (Swe II)","Seattle, WA","REGULAR","next_f"
"102630792","Itâs actually nice","Itâs actually nice","I have good experience with company. Feeling satisfied","All within and above expectations","5.0","2026-02-02T17:53:13.350","Current employee - Head of Marketing","Minneapolis, MN","REGULAR","next_f"
"102623732","Comfy","Comfy","Smart people, great WLB, interesting problems","Bureaucracy, far from actual impact, slow, outdated processes / internal tools","4.0","2026-02-02T11:16:36.390","Former employee - Product Manager","San Francisco, CA","REGULAR","next_f"
"102609959","AI","AI","Ability to work with very smart people","AI rush is adding more stress","4.0","2026-02-01T20:45:26.243","Current employee - Software Engineer","Seattle, WA","REGULAR","next_f"
"102608350","Great place to work","Great place to work","This is a great place to work","But the pay is not that high.","5.0","2026-02-01T18:03:01.910","Current employee - reseracher","New York, NY","REGULAR","next_f"
"102604069","Nice environment","Nice environment","Interesting work, work life balance, big company benefits","too big sometimes slow. frequent reorg","4.0","2026-02-01T10:26:58.690","Current employee - Senior Applied Scientist","Redmond, WA","REGULAR","next_f"
"102597438","Best wlb, but no learning","Best wlb, but no learning","Best wlb ever, literally won't need to work","You learn nothing, peanut pay","3.0","2026-01-31T19:24:56.980","Former employee - Software Engineer","Redmond, WA","REGULAR","next_f"
"102597410","Working Standards","Working Standards","Massive impact, world-class engineering culture, and access to cutting-edge AI/products at global scale.","Big-company paceâmore process, less agility, and slower decision-making sometimes.","4.0","2026-01-31T19:19:30.980","Current employee - Data Scientist","Redmond, WA","REGULAR","next_f"
"102596867","WLB is great","WLB is great","WLB is great, have decent insurance and benefits year round","slow career growth, politics and non-technical leaderships even for tech department","4.0","2026-01-31T17:54:28.033","Former employee - Engineer","Seattle, WA","REGULAR","next_f"
"102596191","TPM at Microsoft","TPM at Microsoft","Benefits is the only pros in this company","Too many things to list starting from favoritsm","3.0","2026-01-31T16:06:01.417","Current employee - Principal Technical Program Manager","Redmond, WA","REGULAR","next_f"
"102585123","Cushy","Cushy","Comfortable place to work with strong internal systems.","Felt like most people were coasting, wasn't highly motivated.","4.0","2026-01-30T17:18:46.787","Former employee - Program Manager","Redmond, WA","REGULAR","next_f"
