"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103098362","Typical retail job","Typical retail job","Fun people to work with","long shifts - but good breaks","4.0","2026-03-09T09:41:04.807","Former employee - Sales Associate","Leesburg, VA","","next_f"
"103097481","Fine for a entry level position","Fine for a entry level position","Made sure I worked 40 hours a week. Decent deals on clothes.","Not enough to survive if that is your only job, especially in Florida. The job was very monotonous, you didn't really get to rotate between types of jobs, typically only working one the whole time (cashier, floor help, shoes, back room stocking).","4.0","2026-03-09T08:47:43.293","Former employee - Retail Store Associate","Orlando, FL","REGULAR","next_f"
"103062465","people are burnt out","people are burnt out","talented, kind, humble people. good benefits","difficult to get promotions, understaffed, often have to juggle multiple roles","3.0","2026-03-05T17:21:18.650","Former employee - Product Designer","New York, NY","REGULAR","next_f"
"103045113","Great place to work","Great place to work","Great culture, flexibility, pay and benefits. Opportunities to grow and lead. Although a large company, departments feel like a smaller business atmosphere.","Cross-department priorities often don't align and felt challenging to make meaningful progress on large projects. Near constant budgets constraints, which is challenging for international business with travel and resource needs.","5.0","2026-03-04T13:23:37.220","Former employee - Sourcing Director","Beaverton, OR","REGULAR","next_f"
"103033645","Data Engineer","Data Engineer","Good company with friendlt environment","Nothing much good company best for working","5.0","2026-03-03T19:23:49.240","Former employee - Data Engineer","Beaverton, OR","REGULAR","next_f"
"103029838","Solid part time job","Solid part time job","good people good benifits lots of opportunity","no real cons. Schedule sucked sometimes","5.0","2026-03-03T13:21:04.847","Current employee - Retail Sales Associate","Oregon City, OR","PART_TIME","next_f"
"103014773","Nike","Nike","Benefits Yearly Giveaways Yearly Bonuses","Hard to move ahead unless you're cool with someone internally.","3.0","2026-03-02T13:43:36.197","Current employee - Material Handler","Memphis, TN","REGULAR","next_f"
"102989865","Stay Hungry","Stay Hungry","Prestige, Creativity, Competition, Shoes, Smart People","all I'll say is, Just do it....","5.0","2026-02-27T17:07:40.130","Former employee - Marketing Manager","Los Angeles, CA","REGULAR","next_f"
"102953708","Good environment, bad pay","Good environment, bad pay","Good management Scheduling and organization was well done","Low pay Long hours standing up Retail","3.0","2026-02-25T06:58:39.877","Former employee - Team Member","Williamsburg, VA","PART_TIME","next_f"
"102947537","Great atmosphere","Great atmosphere","Discount on clothing and shoes","Low base pay is not attractive","5.0","2026-02-24T20:56:15.123","Former employee - Team Leader Sames Team Moka Fresh","Beaverton, OR","REGULAR","next_f"
"102946341","Nike","Nike","Easy job, Fun coworkers, and good work life balance","Very Busy at certain times of the year","4.0","2026-02-24T18:36:20.117","Former employee - Sales Associate","Woodstock, GA","PART_TIME","next_f"
"102919875","Great Culture, Difficult to Grow","Great Culture, Difficult to Grow","Depending on your team, you can have a lot of fun. Some amazing people work at this company. The benefits on campus are also hard to beat, with free gyms, events, and visits from athletes. I can't speak for the whole company, but I had a good work-life balance in my team.","It's quite difficult to get promoted within your team or organization, even if you're doing work above your band level. I've learned that it is also not as easy as it used to be to move around the company for a better position or more experience. Overall, it can become easy to feel stuck.","4.0","2026-02-23T03:09:00.247","Former employee - Senior Analyst","Beaverton, OR","REGULAR","next_f"
"102906865","Fine","Fine","Reasonable hours - generally respectul to employees","Warehouse stocking feels like a sweatshop","3.0","2026-02-21T09:52:06.370","Former employee - Athlete","Bend, OR","","next_f"
"102905113","Hated it!","Hated it!","Discount at Employee store and Free Shwag.","The management was horrendous! So focused on keeping their jobs, they could give two snaps if you can fight your way through the ridiculous matrix. Also, found out after hiring that some interns were making more than many people in my department (marketing). The icing on the cake was when my boss sexually harrassed me on a business trip. When I reported him to HR, they said they didn't have time to take my report because they were in all-day meetings. Ooooof. Bye!","1.0","2026-02-21T04:49:08.790","Current employee - Marketing Coordinator","Beaverton, OR","REGULAR","next_f"
"102902101","driver","driver","Drive so you get free time","Management is terrible. always micromanage","2.0","2026-02-20T17:30:26.567","Former employee - Driver","Orlando, FL","REGULAR","next_f"
"102877855","Great first job!","Great first job!","- team oriented/great coworkers - good discounts - fun environment","- mandatory wknd avaiability - late closing shifts - black friday lol","4.0","2026-02-18T23:46:39.847","Current employee - Athlete","Vacaville, CA","PART_TIME","next_f"
"102861796","Great","Great","- everyone is great -easy to work with - training was easy","- scheduling is kind of annoying sometimes","5.0","2026-02-17T19:03:43.753","Current employee - Sales Associate","Wrentham, MA","PART_TIME","next_f"
"102861537","yes","yes","good pay good vibe good people","nothing to complain so far","5.0","2026-02-17T18:29:20.597","Current employee - Demand Planning Manager","Oregon City, OR","REGULAR","next_f"
"102843672","Greatness to Mediocrity","Greatness to Mediocrity","Great benefits and PTO policy. Flexible work environment. Pay is generally good. Great peers and colleagues. Workout opportunities at campus. Buildings and facilities infrastructure at WHQ is beautiful.","Until 2021, NIKE was a generally a great place to work. It has been going downhill since. Extremely political culture and lack of any good processes in the organization. Decisions by leadership are often based on favoritism, not merit. Company's direction keeps changing every quarter. Nike has experienced significant loss of talent and employee morale over the years. Besides select leaders, most of the leadership lacks GRIT to get through to the difficult times.","2.0","2026-02-16T09:48:10.480","Former employee - Director","Portland, OR","REGULAR","next_f"
"102842238","Great Job","Great Job","Great working environment with a team that supports you","Can be a grind some days","5.0","2026-02-16T07:43:36.920","Former employee - Retail Sales Associate","West Palm Beach, FL","PART_TIME","next_f"
"102833806","Sales Associates","Sales Associates","Access to swoosh account (discounted price)","Sometimes management might micromanage but do your job and theyâll leave you alone","3.0","2026-02-15T08:17:21.090","Former employee - Sales Associate","Boston, MA","REGULAR","next_f"
"102794262","Great","Great","Great company to work for","Location isnât the best but good","4.0","2026-02-11T11:43:42.213","Current employee - Software Engineer","Oregon City, OR","REGULAR","next_f"
"102759014","Enjoyed it","Enjoyed it","great support from management and company resources","not much room for immediate growth","4.0","2026-02-09T13:18:03.877","Former employee - Procurement Analyst","Beaverton, OR","REGULAR","next_f"
"102744881","Nice campus &amp; facilities","Nice campus &amp; facilities","Nice campus, free onsite gym","frequent re orgs, stock performance poor","4.0","2026-02-08T22:21:58.583","Former employee - Lead material innovator","Beaverton, OR","REGULAR","next_f"
"102744877","Plus and minus","Plus and minus","Beautiful campus Great gyms Good pay Fun perks Amazing travel","Terrible hiring practices Awful leadership (too far removed/out of touch with the day to day and donât listen to feedback). Employees put on actions plans, HR confirms the bad behavior, but then they shift HR employees around d so frequently that no one is held accountable","3.0","2026-02-08T22:21:33.343","Former employee - Senior Manager Technical Design","Beaverton, OR","REGULAR","next_f"
"102620569","Great","Great","- Pay - Benefits - Growth","- Retail hours (closing will be there till 11:30 pm) - Experience can 100% depend on leadership (Good or Bad)","4.0","2026-02-02T08:53:36.620","Former employee - CX Specialist","Houston, TX","REGULAR","next_f"
"102608885","Amazing environment","Amazing environment","Amazing environment to work in","No issues working at Nike","5.0","2026-02-01T18:55:48.380","Former employee - Retail Sales Associate","Toronto, OH","PART_TIME","next_f"
