"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103003952","Great Company","Great Company","Faith in leadership and CEO Work life balance","Don't have any cons yet","5.0","2026-03-01T19:48:54.593","Current employee - Integration Engineer","Dallas, TX","REGULAR","next_f"
"102862898","Management is lacking","Management is lacking","Benefits are very good for the area.","Lack of leadership from management, workers do whatever they want, a lot of younger workers under the of 28 years old on Production line.","1.0","2026-02-17T21:52:07.033","Current employee - Production Assembler","Allentown, PA","REGULAR","next_f"
"102810146","friendly environment","friendly environment","less pressure, very friendly environment","no growth, little to no opportunity,","4.0","2026-02-12T13:12:08.033","Former employee - Software Engineer Intern","Westford, MA","PART_TIME","next_f"
"102639660","It is what it is","It is what it is","nice learning curve throughout the company","a lot of reductions here and there","3.0","2026-02-03T04:43:38.460","Former employee - Working Student","Washington, DC","PART_TIME","next_f"
"102558929","Very nice place to work","Very nice place to work","- Salary - Benefits - Very nice location","- Pressure on results - Comunication","4.0","2026-01-29T12:28:50.640","Current employee - Software Engineer","Poland, ME","REGULAR","next_f"
"102513445","Good Job, Good Benefits, Leadership Questions","Good Job, Good Benefits, Leadership Questions","Good pay, good benefits, great work/life balance and flexibility, really good PTO. Coworkers are friendly and helpful and first couple levels of management are very understanding and competent.","Been lots of leadership turnover and what's felt like 5 or 6 internal reorganizations. Leadership doesn't inspire tons of confidence and people can be concerned about layoffs. Raises are variable, some years goods, some years not. Structure and opportunities for advancement are vague.","4.0","2026-01-27T14:59:58.213","Current employee - Software Development Engineer","Murray Hill, NJ","REGULAR","next_f"
"102408717","Nokia","Nokia","Good work life balance. Good culture","Lower pay compared to big tech","4.0","2026-01-21T22:41:46.167","Current employee - Data Engineer","New York, NY","REGULAR","next_f"
"102062686","Good Product","Good Product","Good Knowledgeable Quality Honest Generous","Intelligent Productive Tiring Work Sleep","5.0","2026-01-04T17:05:45.343","Current employee - Manager","New York, NY","PART_TIME","next_f"
"101793137","Great Company","Great Company","Managers know the technical stuff and have good inter-personal relations","Has become very top heavy","3.0","2025-12-12T13:30:21.027","Current employee - Principal Engineer","San Jose, CA","REGULAR","next_f"
"101649395","Work life balance","Work life balance","Cutting edge projects and research.","Constant headcount reduction, pay could be higher.","4.0","2025-12-04T10:26:38.870","Current employee - Director","New Providence, NJ","REGULAR","next_f"
