"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103038454","short term","short term","excellent facilities and staff. Really recommend","Location is a bit off, more homework is needed","5.0","2026-03-04T05:21:29.510","Former employee - Software Engeenier","New York, NY","","next_f"
"103029328","Automation engineer","Automation engineer","Great benefits, solid workplace and great workplace security","Limited growth opportunities for more experienced staff, inclusion rules cause hiring people that aren't professional enough","5.0","2026-03-03T12:44:48.200","Current employee - Senior QA Automation Engineer","Tel Aviv-Yafo","REGULAR","next_f"
"103022749","Nvidia IC4 Compensation","Nvidia IC4 Compensation","- ok benefits and compensation","- benefits and compensation can be better as per other faang companies","3.0","2026-03-03T05:21:02.387","Current employee - Senior Software Engineer (Ic4)","Pune","REGULAR","next_f"
"102981178","Great Company considering modern AI transition.","Great Company considering modern AI transition.","Great learning opportunities Remote work encouraged","Nothing i can think of","5.0","2026-02-27T02:19:05.403","Current employee - Senior Network Infrastructure Engineer","Bengaluru","REGULAR","next_f"
"102965404","challenging place wo work for","challenging place wo work for","This company and team offer a challenging environment with genuine impact. They encourage you to be flexible, bring forward suggestions, and test your limits. You'll gain substantial learning opportunities.","There is insufficient support and training for newcomers, poor documentation, and limited access to internal learning resources. The work environment can feel isolating due to a lack of knowledgeable support from colleagues.","4.0","2026-02-26T00:52:02.700","Former employee - Linux Kernel Engineer","Haifa","REGULAR","next_f"
"102940895","GOOD","GOOD","there is a lot of good mentorship","Office is far from home","5.0","2026-02-24T10:28:38.687","Former employee - Software Engineer","Indianapolis, IN","REGULAR","next_f"
"102924501","Blazing the trail","Blazing the trail","Always leading in the technology sector. Blazing new trails and trying new things/Approaches.","Could be more customer centric","5.0","2026-02-23T09:19:47.770","Current employee - Principal Debug Systems EE, Data Center","Hillsboro, OR","REGULAR","next_f"
"102832353","Engineer at Nvidia","Engineer at Nvidia","Overall amazing, the people, the tea,m the job, the work-life balance","Very high standards, not for everyone.","5.0","2026-02-15T02:35:22.537","Former employee - Field Engineer","Tel Aviv-Yafo","REGULAR","next_f"
"102829846","Jensenâs Kingdom","Jensenâs Kingdom","CEO has vision Pay is high Stock growth Ambitious vision First principles","Can be chaotic High pressure Large corporation","5.0","2026-02-14T12:51:54.253","Current employee - Product Manager","Santa Clara, CA","REGULAR","next_f"
"102828685","Fast-Paced, Team-Dependent","Fast-Paced, Team-Dependent","Competitive pay/stock and solid benefits, strong company name, newer office spaces depending on location, and decent opportunities for internal transfers and career mobility.","Experience is very team-dependent, expectations are high with limited onboarding/guidance, communication and processes can feel unclear, and parking/office space limitations can be frustrating.","3.0","2026-02-14T08:41:01.690","Current employee - Sales Analyst","Santa Clara, CA","REGULAR","next_f"
"102745168","Great Company","Great Company","WLB is good, smart people","Nothing that comes to mind","5.0","2026-02-08T22:50:07.063","Current employee - ML Engineer","Santa Clara, CA","REGULAR","next_f"
"102716533","CEO is a rock star, company encourages collaboration","CEO is a rock star, company encourages collaboration","It is a rare company that encourages collaboration across teams. The first principle thinking is encouraged from the top.","Slow climb on career ladder. If you are seeking to cimb up the ladder fast, NVIDIA might not be the ideal place.","5.0","2026-02-06T08:53:20.117","Current employee - Software Engineer","San Francisco, CA","REGULAR","next_f"
"102665712","Q","Q","Good payment overall, great teams","A lot of work. Higher expectations","4.0","2026-02-04T05:20:08.277","Current employee - Data Engineer","Tel Aviv-Yafo","PART_TIME","next_f"
"102653792","Great Company to work at","Great Company to work at","Growth Mindset and Great Benefits","Rigid in processes and functions","4.0","2026-02-03T15:11:39.247","Current employee - Silicon Design Engineer","Cambridge, England","REGULAR","next_f"
"102651267","rewarding but demanding","rewarding but demanding","- passionate people - great benefits","- Work life balance - workload","4.0","2026-02-03T13:00:36.680","Current employee - Devops Engineer","Colorado Springs, CO","REGULAR","next_f"
