review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
100742751,People are friendly and helpful,people are friendly and helpful,the pay could be better,4.0,2025-10-18,Associate,"New York, NY",REGULAR,People are friendly and helpful people are friendly and helpful the pay could be better,US,state_code:NY
100737653,Structured learning and training for the most part,structured learning and training for the most part,very demanding hours and lots of overtime required,3.0,2025-10-18,Senior Associate,"New York, NY",REGULAR,Structured learning and training for the most part structured learning and training for the most part very demanding hours and lots of overtime required,US,state_code:NY
100731869,learn a lot fun events,learn a lot fun events,long hours that only get worse,4.0,2025-10-17,Audit Associate,"San Francisco, CA",REGULAR,learn a lot fun events learn a lot fun events long hours that only get worse,US,state_code:CA
100715228,Good compensation and nice colleagues,good compensation and nice colleagues,bad worklife-balance and not super well compensated,4.0,2025-10-17,Business Analyst,"New York, NY",REGULAR,Good compensation and nice colleagues good compensation and nice colleagues bad worklife-balance and not super well compensated,US,state_code:NY
100712054,Good pay Learn a lot Fast paced Young company,good pay learn a lot fast paced young company,long hours demanding projects working weekeds,3.0,2025-10-16,Tax Associate,"San Jose, CA",REGULAR,Good pay Learn a lot Fast paced Young company good pay learn a lot fast paced young company long hours demanding projects working weekeds,US,state_code:CA
100710752,Great teams and learning opportunities,great teams and learning opportunities,back in office 3 days a week,5.0,2025-10-16,Tax Senior Manager,"Boston, MA",REGULAR,Great teams and learning opportunities great teams and learning opportunities back in office 3 days a week,US,state_code:MA
100710363,Good Flexible working Nice employer to work,good flexible working nice employer to work,difficult to switch teams unless you have good contacts,5.0,2025-10-16,Senior Associate,"Chicago, IL",REGULAR,Good Flexible working Nice employer to work good flexible working nice employer to work difficult to switch teams unless you have good contacts,US,state_code:IL
100704580,Great people usually Good pay Good insurance 12 free counseling sessions a year Backup child pet care fewer for pets Usually good hours depending on the project,great people usually good pay good insurance 12 free counseling sessions a year backup child pet care fewer for pets usually good hours depending on the project,really top heavy right now so promotions are much slower than it should be almost yearly reorgs very high deductible unless you want to pay for the low deductible plans even then still pricey,5.0,2025-10-16,Experienced Associate Technical Consultant,"New York, NY",REGULAR,Great people usually Good pay Good insurance 12 free counseling sessions a year Backup child pet care fewer for pets Usually good hours depending on the project great people usually good pay good insurance 12 free counseling sessions a year backup child pet care fewer for pets usually good hours depending on the project really top heavy right now so promotions are much slower than it should be almost yearly reorgs very high deductible unless you want to pay for the low deductible plans even then still pricey,US,state_code:NY
100687304,Fast growth Straight path to promo Good pay,fast growth straight path to promo good pay,long hours bad management fast pacdd,1.0,2025-10-15,Digital Assurance and Transparency Associate,"Houston, TX",REGULAR,Fast growth Straight path to promo Good pay fast growth straight path to promo good pay long hours bad management fast pacdd,US,state_code:TX
100686044,People mean well from what I saw,people mean well from what i saw,work was as dry as possible,2.0,2025-10-15,Tax Intern,"New York, NY",REGULAR,People mean well from what I saw people mean well from what i saw work was as dry as possible,US,state_code:NY
100676490,Median compensation Supportive work environment Promotional Opportunities,- median compensation - supportive work environment - promotional opportunities,- looped into one specific role,4.0,2025-10-15,Technology Consultant,"New York, NY",REGULAR,Median compensation Supportive work environment Promotional Opportunities - median compensation - supportive work environment - promotional opportunities - looped into one specific role,US,state_code:NY
100675861,Good pay and learned a lot,good pay and learned a lot,bad hours no work life balance,3.0,2025-10-15,Audit Associate,"Atlanta, GA",REGULAR,Good pay and learned a lot good pay and learned a lot bad hours no work life balance,US,state_code:GA
100675190,Good place to work Flexible work life balance,good place to work flexible work life balance,losing up or out mentality,4.0,2025-10-15,Senior Manager,"New York, NY",REGULAR,Good place to work Flexible work life balance good place to work flexible work life balance losing up or out mentality,US,state_code:NY
