"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"102984919","Meh","Meh","- decent leadership and strong business","- terrible tech - Dont take lunches typically","3.0","2026-02-27T08:29:32.560","Current employee - Registered Client Associate","Walnut Creek, CA","REGULAR","next_f"
"102969338","Great company and great people","Great company and great people","They have a good pay, learning curve and benefits","Late nights and quarterly working Saturdays can be challenging","5.0","2026-02-26T07:13:58.463","Former employee - Financial Analyst","New York, NY","REGULAR","next_f"
"102943318","SALARY","SALARY","Good culture, good pay and easy commute","Back management, politics and bad internal movement","4.0","2026-02-24T13:29:21.147","Current employee - VP","New York, NY","REGULAR","next_f"
"102932785","Review","Review","Work with great people in NY","Comp can be better and align with the street","4.0","2026-02-23T22:42:25.927","Former employee - Associate","New York, NY","REGULAR","next_f"
"102861013","Great place to work and grow","Great place to work and grow","Lots of opportunity to move around as it is a global organization and you can build a great network.","can be very demanding if you are on the technology side and involved with audit and regulatory projects","5.0","2026-02-17T17:16:19.420","Current employee - Senior Director Technology","Jersey City, NJ","REGULAR","next_f"
"102848307","NA","NA","good culture, good people, high learning","too corporate, favorites, not as much runway","4.0","2026-02-16T19:18:28.803","Current employee - Analyst","New York, NY","REGULAR","next_f"
"102771618","Great spot!","Great spot!","Nice office, friendly people. RTO is in effect but its not strict.","More reasons to come in would be cool!","5.0","2026-02-10T07:14:49.237","Current employee - Manager","Raleigh, NC","REGULAR","next_f"
"102745779","Good place","Good place","Good to collaborate with others in the environment","No free food in kitchen","4.0","2026-02-08T23:48:28.670","Former employee - Data Entry Clerk","Toronto, OH","REGULAR","next_f"
"102681915","Intern look","Intern look","Great company to work at","Super cold in the winter","5.0","2026-02-04T18:39:51.983","Current employee - Intern","New York, NY","REGULAR","next_f"
"102564597","A good culture","A good culture","Full of people who are willing to help you learn. They donât make you feel stupid for asking questions and generally want to see you succeed","Opportunities are sometimes limited. You have to really seek out ways to grow.","5.0","2026-01-29T18:28:34.317","Current employee - Associate","New York, NY","REGULAR","next_f"
"102518112","Greate company","Greate company","Lots of internal mobility and RBC has committed to expanding its US Wealth Management arm","Company is growing very quickly. Technology is lacking but they are making improvements and taking feedback.","5.0","2026-01-27T20:47:22.627","Current employee - Consultant","Chicago Heights, IL","REGULAR","next_f"
"102467619","Good company","Good company","Comparably chilled environment in a cut-throat industry","Not much to complain about","3.0","2026-01-25T12:11:17.810","Former employee - Associate","New York, NY","REGULAR","next_f"
"102255176","Depends on the team","Depends on the team","Very supported by management and higher level admin.","It all depends on the team where you are placed Wealth Management wise","4.0","2026-01-14T09:27:14.917","Current employee - Registered Client Associate","New York, NY","REGULAR","next_f"
"102239133","Analyst","Analyst","Great team environment with access to senior team members","pay is less than market average","5.0","2026-01-13T17:33:43.467","Current employee - Analyst","New York, NY","REGULAR","next_f"
"102122161","Friendly environment","Friendly environment","Friendly team members. Work was challenging and interesting. Ability to move internally.","401k does not vest immediately","4.0","2026-01-07T13:00:39.363","Former employee - Analyst","New York, NY","REGULAR","next_f"
"102092367","Solid place to work","Solid place to work","Professional culture with a transparent review process","Long working hours in particular groups","4.0","2026-01-06T07:05:59.170","Former employee - Associate","New York, NY","REGULAR","next_f"
"101874726","Good","Good","Good people, good culture, helpful","none, good entry level position","2.0","2025-12-17T17:04:36.987","Former employee - Business Analayst","Jersey City, NJ","REGULAR","next_f"
"101779172","Itâs aight","Itâs aight","Salary, growth opportunity, diversity inclusion","Poor technology, no work life balance","3.0","2025-12-11T15:43:23.813","Current employee - Investment Associate","Walnut Creek, CA","REGULAR","next_f"
"101673848","RBC Registered CA","RBC Registered CA","benefits, flexibility, learning opportunities, atmosphere","raises and bonuses do not keep up with basic cost of living","3.0","2025-12-05T14:29:15.063","Current employee - Registered Client Associate","Phoenix, AZ","REGULAR","next_f"
"101558765","Incredible people to work with","Incredible people to work with","Overall, and this is obviously dependent on luck within your department, everyone is very nice, agreeable and overextending.","Training is abysmal, service portal is useless and no one in the professional world uses Webex.","4.0","2025-11-29T23:43:13.353","Current employee - Paralegal","New York, NY","REGULAR","next_f"
"101484666","Good starting point","Good starting point","Great management and support systems","high turnover rates which leads to under staffing","5.0","2025-11-25T07:12:16.913","Current employee - Internal Auditor","Jersey City, NJ","REGULAR","next_f"
"101386406","OK but frustrating","OK but frustrating","Great benefits and stable bank culture. Ability to work from home 1 day per week.","Working for RBC Wealth Management is incredibly frustrating if you're a city person and like to get things done quickly. RBC employees often have a Midwestern slowness / lack of urgency that makes client service difficult if you live in the big city. Little to no instructions or training on the job. California managers have no idea what's going on.","3.0","2025-11-19T18:26:59.383","Current employee - Registered Client Associate","Los Angeles, CA","REGULAR","next_f"
"101265800","Work/Life Balance","Work/Life Balance","Work life balance depends on the group you are in, but was very positive for me","Culture and sometimes lack of MDs checking in","4.0","2025-11-13T12:19:13.063","Former employee - Investment Banking Associate","New York, NY","REGULAR","next_f"
"101215889","silo'd firm","silo'd firm","comp is competitive in most areas","technology is slow to update, heavily silo'd if you need to work in an enterprise role","3.0","2025-11-11T13:37:38.610","Current employee - Compliance Officer","Los Angeles, CA","REGULAR","next_f"
"101149975","Great opportunity to learn and grow your career","Great opportunity to learn and grow your career","- Strong M&amp;A and Advisory platform - Strong Corporate Banking platform","- Long hours (9am-12pm Mon to Fri)","3.0","2025-11-07T19:36:02.367","Current employee - Investment Banking Analyst","New York, NY","REGULAR","next_f"
"101097061","Good Experience","Good Experience","The people were friendly and sharp. Asked some tough questions but were fair","Long hours and lots of different work streams","5.0","2025-11-05T11:15:01.497","Former employee - Analyst","Houston, TX","REGULAR","next_f"
"100942682","Lack of true tech leadership","Lack of true tech leadership","The company means well, but thereâs a huge lack of modern tech leadership","Hired internal dev team but still wants to outsource everything to FIS? Engineering team built a whole real estate lending platform, and, the support team took full credit for it in a company-wide meeting. The engineering manager was mostly MIA.","2.0","2025-10-28T19:15:42.427","Former employee - Api Developer","Raleigh, NC","REGULAR","next_f"
"100847638","RBC Tech Lead","RBC Tech Lead","Chilled out work, less pressure, AI forward","Not a lot a opportunities to grow, lower paid compared to competitors.","4.0","2025-10-23T20:10:18.447","Current employee - Lead Engineer","Jersey City, NJ","REGULAR","next_f"
"100793506","Project Coordinator salary","Project Coordinator salary","Global company and opportunities especially in Toronto office","Set in their ways when comes wfh. Prefers employees to be onsite","4.0","2025-10-21T16:40:29.280","Current employee - Project Coordinator","New York, NY","REGULAR","next_f"
"100786445","Great company to work for","Great company to work for","It's a great company with great culture.","Depends on the department. Understand this is a large bank - and the majority of the work is driven by regulatory requirements.","5.0","2025-10-21T11:02:39.657","Current employee - Director","Los Angeles, CA","REGULAR","next_f"
"100645055","Exceeded expectations","Exceeded expectations","Family oriented, flexibility, supportive of goals","Changing initiatives, must be agile","5.0","2025-10-14T09:18:36.693","Current employee - Development Consultant","Tacoma, WA","REGULAR","next_f"
"100622675","Good place to start your career","Good place to start your career","Generally people are nice, decent support network","Learning trajectory is really team dependent","4.0","2025-10-13T12:01:52.853","Current employee - Analyst","New York, NY","REGULAR","next_f"
"100581971","Decent Pay and Job Stability, Lots of Bureaucracy","Decent Pay and Job Stability, Lots of Bureaucracy","Decent job stability, but decreasing over time.","Massively bureaucratic with governance processes that slow down the entire organization. Everything runs through Toronto, which is where the self-proclaimed experts work. US employees quickly learn that incompetency at the ""top of the house"" will cause problems in the US.","4.0","2025-10-10T20:01:09.383","Former employee - Risk Manager","New York, NY","REGULAR","next_f"
"100556355","Good","Good","Good training and helpful with people that care.","You're in a big or so easy to fall behind.","5.0","2025-10-09T14:13:35.107","Former employee - Investment Banking Summer Analyst","New York, NY","REGULAR","next_f"
"100536574","Review","Review","PTO, bank holidays, hours, culture","Training, development, tech, career opportunity","3.0","2025-10-08T20:49:07.313","Former employee - Registered Client Associate","Chicago, IL","REGULAR","next_f"
"100506981","Canadian Bank","Canadian Bank","Stable, less stress, can stay until retirement.","No growth in salary, pay does not equate to inflation unless you get promoted, which is based who you know.","4.0","2025-10-07T17:45:52.660","Former employee - Senior Market Data Analyst","New York, NY","REGULAR","next_f"
"100463318","N/A","N/A","Great company, generous compensation package","No drawbacks, aside from location","5.0","2025-10-06T04:30:55.427","Former employee - Trader Analyst","New York, NY","REGULAR","next_f"
"100436537","Fine","Fine","Chill culture, people are usually great","Lack of direction from certain people","4.0","2025-10-04T03:39:30.440","Former employee - Analyst","New York, NY","REGULAR","next_f"
"100365090","Rbc","Rbc","People are amazing and easy to work there","Need to be paid a little more","5.0","2025-09-30T20:02:46.223","Current employee - Registered Client Service Associate","Chicago, IL","REGULAR","next_f"
"100329295","Itâs ok","Itâs ok","Easy to understand your day to day. Consistency.","A lot of people vying for better positions. Relationships are everything if you want to get ahead","4.0","2025-09-29T11:41:11.603","Former employee - Vice President","New York, NY","REGULAR","next_f"
