"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"101519552","Review","Review","Cab facility, colleagues, approachable, transparency","I found less growth opportunities.","4.0","2025-11-26T23:09:43.173","Former employee - Tax Associate","HyderÄbÄd","REGULAR","next_f"
"101464451","Great Opportunities with High Demands","Great Opportunities with High Demands","Fully Remote with Home Office Support | The company provides flexibility to work from home and offers a home office stipend to ensure employees have what they need to be productive. Strong Benefits Package | Medical, dental, vision, AD&amp;D, and life insurance were comprehensive and very reasonably priced. Supportive Colleagues | Team members were generally helpful and friendly, and many were willing to answer questions or provide guidance when available. Highly Competitive Pay | Compensation was well above industry average for similar operations roles. Ryan clearly values the work their teams perform.","$6d","3.0","2025-11-24T09:25:38.443","Former employee - Operations Associate","Sacramento, CA","REGULAR","next_f"
"101356579","Great place to work","Great place to work","CEO is very clear and will open up to any question asked.","Pay can be a bit low.","4.0","2025-11-18T13:12:27.523","Current employee - Senior Consultant","Atlanta, GA","REGULAR","next_f"
"101085948","Good Work-Life Balance and Benefits, but Salary Could Be Better","Good Work-Life Balance and Benefits, but Salary Could Be Better","The company offers great employee benefits including fitness reimbursement, internet and mobile allowances, and transportation support. Medical benefits are on par with industry standards. Work-life balance is well maintained, and there are plenty of opportunities to explore and work with new technologies. The work-from-home options are also flexible, which adds to the overall comfort of working here.","The salary is slightly lower compared to the level of responsibility and work involved.","4.0","2025-11-05T02:37:51.623","Current employee - Business Analyst","HyderÄbÄd","REGULAR","next_f"
"101078468","Great place to work","Great place to work","Awesome leadership, great benefits, great pay, not overworked","Can feel very large at times","5.0","2025-11-04T16:37:51.827","Current employee - Consultant","Dallas, TX","REGULAR","next_f"
"101074415","review","review","There are lots of good benefits","Hard to see career path for Support Staff (Tech and Ops) in Canada","4.0","2025-11-04T12:38:59.563","Current employee - Senior Analyst","Toronto","REGULAR","next_f"
"100993715","Ok Place to Work","Ok Place to Work","-Work-life balance -Work from home -Benefits","-Management sometimes took complete credit for my ideas, suggestions and completed projects (**current or future employees: my advice - keep records so you can prove your credit) -Management can misinterpret career-growth discussions - my interest and discussion with my manager regarding career growth was misinterpreted as dissatisfaction in my current role, which, I believe, was a big factor in my eventual layoff","3.0","2025-10-30T21:53:33.533","Former employee","Unknown location","REGULAR","next_f"
"100922450","About company","About company","this is the best company i never seen in India. I'm happy to be a part of Ryan","Nothing to mention anything, because every employee enjoy working here","5.0","2025-10-28T02:35:50.440","Current employee - Procurement Senior Analyst","HyderÄbÄd","REGULAR","next_f"
"100879103","Great company","Great company","Great work life balance, family centered, empathetic, great benefits.","Base pay can be improved.","4.0","2025-10-25T15:09:53.093","Current employee - Senior Consultant","Dallas, TX","REGULAR","next_f"
"100866736","Great job to work with","Great job to work with","Everything is super good and close","Cons would be the parking isint the best","5.0","2025-10-24T15:02:49.690","Current employee - Dublin Bus","Dublin, Dublin","REGULAR","next_f"
"100651089","Good company","Good company","Good company, good pay if youâre on good team","None that are a glaring problem","4.0","2025-10-14T12:54:06.497","Current employee - Senior Consultant","Dallas, TX","REGULAR","next_f"
"100640831","Great Place to Work","Great Place to Work","Work life balance, polite co-workers, always a willingness to help, respected by the Team.","At this time, there are no cons to report.","4.0","2025-10-14T06:51:56.020","Current employee - Executive Assistant","Unknown location","REGULAR","next_f"
"100388119","Misleading &amp; Lack of Trust","Misleading &amp; Lack of Trust","There are no pros to report.","- Micromanagement - NO work / life balance - Do not trust their employees - Expect new team members to KNOW everything from the start - No support and asking questions or request for support is frowned upon - Poor compensation and benefits","1.0","2025-10-01T19:17:18.177","Former employee - Senior Tax Accountant","Frisco, TX","REGULAR","next_f"
"100336612","Review","Review","Hybrid, Good culture, good benefits","A lot of generational differences","5.0","2025-09-29T18:02:13.833","Current employee","Unknown location","REGULAR","next_f"
"100307172","Good company","Good company","Unlimited PTO and great coworkers","Can be quite competitive the higher in the organization you get.","4.0","2025-09-28T11:00:53.140","Current employee - Senior Manager","Chicago, IL","REGULAR","next_f"
"100228879","Best company","Best company","Flexible working hrs and work from home option","Low salary even for experineced individuals","5.0","2025-09-24T11:25:35.703","Former employee - Consultant","Unknown location","REGULAR","next_f"
"100183260","Innovation Consultant Review","Innovation Consultant Review","Other consultants are really cool Some great people/managers on other teams Monthly team talk to hear form Brint and asked any questions Volunteer opportunities 3k sign on bonus and $750 for home office supplies Office downtown Good benefits Three bonus payouts a year","Really bad micro managers Have heard of and experienced rude managers 10+ hour work days Pay isn't great especially for the amount of work Not much opportunity to travel and meet co-workers Tough to move past Senior Consultant ""Unlimited PTO"" really about 18-22 days and no distinction between PTO and sick time","4.0","2025-09-22T21:05:12.737","Current employee - Consultant","Austin, TX","REGULAR","next_f"
"100173557",".",".","Benefits,events , Transport allowance, shift allowance","Managers,no work life balance , stress , toxic managers","1.0","2025-09-22T11:38:05.707","Current employee - Analyst","HyderÄbÄd","REGULAR","next_f"
"100150733","Good and the best to work","Good and the best to work","Management people gives more freedom","Nothing as i know, mostly salary","5.0","2025-09-21T09:22:34.213","Current employee - Senior Tax Associate","HyderÄbÄd","REGULAR","next_f"
"100130852",".....",".....","Very good and the boss is nice","I don't get paid a lot","4.0","2025-09-19T16:06:09.497","Current employee - Developer","FanÄr","PART_TIME","next_f"
"99991474","Great","Great","Good environment and kind employees","Shifting schedule maybe not fixed","5.0","2025-09-14T01:35:27.793","Current employee - Technician","Pitsburg, OH","","next_f"
"99980527","Great environment","Great environment","Great Company, a lot incentive, pay transparency","Not consistent on your feedback regarding promotion, and very low increase every year","5.0","2025-09-13T02:21:42.063","Current employee - Consultant","Braga","REGULAR","next_f"
"99959764","Living","Living","It's okay to work here","It's just barely okay. Pay too low","3.0","2025-09-12T00:34:11.007","Current employee - Software Engineer","Toronto, ON","REGULAR","next_f"
"99952095","None","None","CEO Approval, good benefits, work-life balance.","Inter department fights, fighting for revenue.","3.0","2025-09-11T14:49:50.850","Former employee - Director","Braga","REGULAR","next_f"
"99914518","Great company to work at !","Great company to work at !","Company culture and work time flexibility are great!","None comment for this part","5.0","2025-09-10T06:31:14.420","Current employee - Consultant","Unknown location","REGULAR","next_f"
"99895139","A Great Place to Work","A Great Place to Work","Flexibility, benefits, culture, nice offices","Too many computer systems that don't talk to each other, constantly taking over other companies and dumping more and more work on people.","4.0","2025-09-09T11:07:07.057","Current employee - Analyst","Ontario, CA","REGULAR","next_f"
"99848809","Good place to start your career","Good place to start your career","Good culture and management structure","Excessive overtime during taxation period","4.0","2025-09-07T13:40:48.760","Former employee - Tax Associate","HyderÄbÄd","REGULAR","next_f"
"99741325","Great place to work","Great place to work","Best place to work in terms of - Benefits Compensation Work Culture","None at the moment from my end","5.0","2025-09-02T08:58:28.180","Current employee - Associate Recruiter","HyderÄbÄd","REGULAR","next_f"
"99700084","Promotion","Promotion","Relaxed work culture Open door policy","1. Dry promotions, very less increment in salary that is between 8% to 12% from associate to senior associate and 5% to 8% from senior to specialist that is way below industry standards. 2. Some managers are practicing micro management. 3. No focus on work related appreciation but focus mostly on visibility in meeting and on floor. 4. Even US managers are marking your work as exceptional but Indian managers are marking it average or below average. 5. Salary is very low as compared to industry and no market correction that was promised 2 years ago.","2.0","2025-08-31T05:23:14.913","Current employee - Tax Specialist","HyderÄbÄd","REGULAR","next_f"
"99458649","Positive experience","Positive experience","Great work life balance Great manager","No cons No cons No cons","5.0","2025-08-19T10:12:58.677","Current employee - Digital Marketing Manager","Unknown location","REGULAR","next_f"
"99421037","Great culture","Great culture","Great company to work, Diversified culture","No cafeteria, No food coupons","5.0","2025-08-18T00:28:02.243","Current employee - Tax Associate","HyderÄbÄd","REGULAR","next_f"
