"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103104086","SAP typical corporate not a bad experience!","SAP typical corporate not a bad experience!","Very talented individuals and it was the typical corporate environment.","The cons would be didnât have a lot of interaction with most of the team since remote.","4.0","2026-03-09T17:15:03.563","Current employee","Unknown location","REGULAR","next_f"
"103101896","Sales","Sales","good benefits flexibility to work remote in certain roles great individual people","AE responsibilities growing with no pay increases changing comp plans that make it very difficult to achieve quotas many internal processes that hinder productivity","4.0","2026-03-09T13:46:14.990","Current employee - Account Executive","New York, NY","REGULAR","next_f"
"103084901","Great company","Great company","Great salary, benefits and look after staff. Left to get on with your job. Outcome based culture.","Lack of social events and team events after covid.","5.0","2026-03-08T03:36:31.527","Current employee - Presales Consultant","London, England","REGULAR","next_f"
"103078696","Good work culture","Good work culture","Really happy to be a part of SAP Labs India, employee friendly, good culture","New campus - Devanahalli transit is currently a CON, everybody from city can't travel 60 to 70km weekly thrice.","5.0","2026-03-07T03:57:04.270","Current employee - Developer","Bengaluru","REGULAR","next_f"
"103078344","JOb review","JOb review","Good nice stable decent peacefful","not enough learning soemtimes not challeingn","5.0","2026-03-07T02:41:33.837","Current employee - Full Stack Java Developer","Bengaluru","REGULAR","next_f"
"103076681","Facts","Facts","Good work life balance overall","Not a competitive package, need to improve on that","4.0","2026-03-06T20:56:25.380","Current employee - Associate Software Engineer","Bengaluru","REGULAR","next_f"
"103074888","Good and challenging","Good and challenging","This was where I wanted to be after college","Pay and compensation has been on a decline the past few years as sap is going through its transformation","5.0","2026-03-06T15:47:51.317","Current employee - Senior Account Executive","Unknown location","REGULAR","next_f"
"103063440","Good company average pay","Good company average pay","Good company from stability pov work-life balance","Low salaries confused leadership everchanging goals and objectives","3.0","2026-03-05T19:25:44.137","Current employee - L&D Manager","Newtown, PA","REGULAR","next_f"
"103054092","Good","Good","All good Benefits and privelege","Nothing Growth can be little slow","5.0","2026-03-05T06:00:11.970","Former employee","Unknown location","REGULAR","next_f"
"103051170","amazing place","amazing place","SAP offers a comprehensive, integrated suite of enterprise tools that centralizes business data across departments, giving large organizations real-time visibility and streamlined operations at scale.","N/A everything is great about SAP","5.0","2026-03-05T00:48:03.073","Current employee - Software Engineer","Palo Alto, CA","REGULAR","next_f"
"103047395","Best company in market","Best company in market","Super company very please to work and gain knowledge","staff members colleuge are very friendly feels family more the college company give more opportunities to last and grow","5.0","2026-03-04T17:12:19.270","Current employee - Data Analyst","Bengaluru","REGULAR","next_f"
"103010148","Great environment","Great environment","Friendly people, not competitive, and very communicative with employees","Not a very close knit community, many remote workers which decreases interaction","4.0","2026-03-02T08:15:52.390","Current employee - Designer","San Francisco, CA","REGULAR","next_f"
"103006002","Great culture and place to work","Great culture and place to work","- They care about their people - Lots of diversity and range of products and projects - Work life balance is good","- Very large organisation - Complex structure","4.0","2026-03-02T01:32:09.963","Current employee - Director","London, England","REGULAR","next_f"
"103003847","Relaxed environment","Relaxed environment","Flexible, nothing out of the norm. Team was cool","Not much honestly, I liked it","5.0","2026-03-01T19:28:47.290","Current employee - Software Engineer Working Student","Potsdam","PART_TIME","next_f"
"102999314","SAP is great","SAP is great","- Good salary - Forefront of tech - Good relationship amongst colleagues","- Fuel card needs to come back","5.0","2026-03-01T05:42:23.497","Current employee - Business Process Consultant","Dublin, Dublin","REGULAR","next_f"
"102982726","Good company to everyone","Good company to everyone","Work Life balance Repect to empolyees","German working culture: direct and strict Technoledge","5.0","2026-02-27T05:14:38.053","Former employee - IT Technology Consultant","Walldorf, Baden-Wurttemberg","REGULAR","next_f"
"102982268","Very good","Very good","Good salary, good people culture, state-of-the-art technology stack.","Not many disadvantages about SAP","5.0","2026-02-27T04:24:39.583","Current employee - IT Consultant","Walldorf, Baden-Wurttemberg","REGULAR","next_f"
"102982180","Nice place to work","Nice place to work","Lots of opportunities Good training provided","Structural changes happen every year with new processes implemented frequently","4.0","2026-02-27T04:14:13.043","Former employee - Customer Success Manager (CSM)","Dublin, Dublin","REGULAR","next_f"
"102979754","good company but south politics","good company but south politics","good food good office and kind of better culture than other companies","south india politics and manager are biased and very strict","4.0","2026-02-26T22:57:31.080","Current employee - Associate","Bengaluru","REGULAR","next_f"
"102977652","Great company!","Great company!","WLB Good networking opportunities Location","Not challenging enough at times","5.0","2026-02-26T18:39:59.950","Current employee - Software QA Engineer","Newport Beach, CA","REGULAR","next_f"
"102946673","Good place to work","Good place to work","Good environment depends on your manager and senior leadership","Depends on your team. Mostly it is great place so none","5.0","2026-02-24T19:14:28.670","Current employee - Software Devrloper","Bengaluru","REGULAR","next_f"
"102936690","Nice environment","Nice environment","No pressure and good sense ownership","cooperate where it's not easy to move around and make an impact","5.0","2026-02-24T05:46:28.123","Current employee - Software Engineer Working Student","Berlin","PART_TIME","next_f"
"102935554","Good Company Policies Bad Managers","Good Company Policies Bad Managers","Good Company Good Perks Good Atmosphere","Bad Managers Low salary Applying for Leaves is becoming difficult","3.0","2026-02-24T04:04:10.043","Current employee - Appliaction Developer","Bengaluru","REGULAR","next_f"
"102912766","Great company!","Great company!","Great company to work for","Big company so itâs hard to get noticed","4.0","2026-02-22T08:32:56.540","Current employee - Human Resources","Palo Alto, CA","REGULAR","next_f"
"102904117","Good place to work","Good place to work","Good exposure and complex domain","The town near the office has nothing","5.0","2026-02-21T00:52:50.560","Current employee - UX Designer Working Student","Walldorf, Baden-Wurttemberg","PART_TIME","next_f"
"102896364","Uncertain business direction","Uncertain business direction","Great colleagues that make the job feel confortable and office visits pleasant.","Business direction is uncertain, changes come without notice or feedback. Shareholder greed affects employees as budgets are lower but the work volume is much larger.","3.0","2026-02-20T07:34:01.803","Current employee - SAP Basis Consultant","Bucharest, Bucuresti","REGULAR","next_f"
