"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"100499116","Solid Company with a Healthy Positive Culture","Solid Company with a Healthy Positive Culture","Culture - mission and people first mindset. Coworkers - Willing to get to work along side you Learn it all mindset - Everyone is looking to be better and help others do the same. A lot of new innovation coming out.","Why didn't I know about this place sooner! Customers are still learning what this powerful and innovative platform is capable of (con AND a pro)","5.0","2025-10-07T10:49:34.390","Current employee - Advisory Solution Consultant","Nashville, TN","REGULAR","next_f"
"103098718","Promising from the outside, frustrating reality internally","Promising from the outside, frustrating reality internally","Pension Health and dental insurance Nice office and good location","$72","1.0","2026-03-09T10:05:04.020","Current employee - Marketing","Dublin, Dublin","REGULAR","next_f"
"103089575","ServiceNow","ServiceNow","Great Benefits and company culture, competitive pay","Very political at times unfortunately","4.0","2026-03-08T17:54:15.597","Current employee - Ad Operations Manager","Santa Clara, CA","REGULAR","next_f"
"103082253","From Great to Worst","From Great to Worst","Office facilities, RSUs, salary, decent product.","Middle management behaviours have turned toxic and the culture now runs on fear and control. Most of the week is swallowed by forecast meetings, âurgentâ daily monitoring, and performative activity reporting. Outcomes matter less than optics. Instead of enabling people to do their best work, the environment punishes initiative and rewards compliance. Itâs exhausting, demotivating, and a poor use of anyoneâs time","1.0","2026-03-07T14:47:12.013","Current employee - Account Executive","Sydney","REGULAR","next_f"
"103081013","Horrible management 0-2% annual raises","Horrible management 0-2% annual raises","Work life balance is all.","Low pay, 0-2% annual raises, adjusted /added roles duties. Horrible management, politics. Horrible managers with multiple complaints gain best manger awards.","1.0","2026-03-07T10:39:39.827","Current employee - Outcomes Manager","Unknown location","REGULAR","next_f"
"103062632","Defensive AI Strategy and Employees are valued","Defensive AI Strategy and Employees are valued","- Good benefits - RSU refreshers - Work/life balance","- Base pay is lower than market - Some teams are slow and bureacratic","5.0","2026-03-05T17:39:10.587","Current employee - Staff Product Designer","Toronto, ON","REGULAR","next_f"
"103033354","Great company, great people","Great company, great people","Great people to work with. Good WLB.","Pay isnt as high as many other tech companies, product is meh","5.0","2026-03-03T18:54:02.010","Current employee - Content Designer","San Diego, CA","REGULAR","next_f"
"103010277","Solid technology but...","Solid technology but...","-The true culture of the company is that most employees will help one another without any pushback. -The technology is solid. ServiceNow has a pretty full toolbox to help IT shops with their needs. -Nice offices","-The sales teams are weak. They rely on the ITSM install base and hardly have relationships outside of IT. -The company is frugal beyond belief. While the executives are touting the cash reserves to Wall St., they leave out that that is at the expense of the employees. -Leadership is rife with favoritism. Star performers get ""solid"" ratings and minimal raises, while buddies take care of their buddies whether they perform well or not. -While ServiceNow publicly touts no layoffs, if an employee is rated with a score of 1 or 2 (out of 5), they can be fired without any notice. These can easily be looked at as quiet layoffs without the need to pay severance. (While this did not happen to me, but I saw it happen multiple times)","2.0","2026-03-02T08:24:03.050","Former employee - Solutions Consultant","Boston, MA","REGULAR","next_f"
"103006147","Good company","Good company","Friendly people and nice office","Not so much progress in the company","3.0","2026-03-02T01:49:05.183","Current employee - Senior Incident Response Analyst","Sydney","REGULAR","next_f"
"102997740","Great place","Great place","Flexible time off and holidays","Fast growing so lacks stability from leadership","5.0","2026-02-28T21:40:43.123","Current employee - Partner Manager","San Diego, CA","REGULAR","next_f"
"102988054","Strong Growth, High Expectations","Strong Growth, High Expectations","Supportive teammates and collaborative work culture. Competitive compensation and solid benefits package. Strong brand reputation in the industry.","Fast-paced environment can impact work-life balance. High performance expectations create constant pressure. Processes can sometimes feel overly complex. Frequent organizational changes require quick adaptation. Decision-making may feel top-down at times.","3.0","2026-02-27T13:02:58.797","Current employee - Staff Software Engineer","Cairo, Cairo Governorate","REGULAR","next_f"
"102983804","Review","Review","1. Work life balance 2. Team outings 3. Slow paced","No learnings outdated technology is used (still at ecma5) no one uses let keyword in servicenow lol. It is the perfect company if you want to just chill, get work done.","4.0","2026-02-27T06:56:05.963","Current employee - Software Engineer IC2","HyderÄbÄd","REGULAR","next_f"
"102974484","People Operations","People Operations","Good salaries and Benefits with stocks options","Less flexibility with the work from home","4.0","2026-02-26T13:13:03.870","Current employee","Unknown location","REGULAR","next_f"
"102963212","Uneven Leadership Accountability, Impressive Vision","Uneven Leadership Accountability, Impressive Vision","The organisation attracts smart, driven talent and operates with urgency and ambition. Appears to have a formidable market position. Vision is attractive and compelling.","$6f","2.0","2026-02-25T20:11:28.730","Former employee - Director","Unknown location","REGULAR","next_f"
"102944866","Great Culture","Great Culture","The culture is great , the perks are as good as big FAANG companies. A lot of opportunitues to learn about AI since Servicenow pushes AI in every sector.","Recent joiner couldn't find anything now","5.0","2026-02-24T15:46:58.707","Current employee - Technical Support Engineer","HyderÄbÄd","REGULAR","next_f"
"102943587","Staff software engineer","Staff software engineer","Compensation, technical skill of coworkers","Occasional travel, legacy code, regulatory requirements, interpersonal hostility","2.0","2026-02-24T13:46:44.883","Current employee - Staff Software Engineer","Santa Clara, CA","REGULAR","next_f"
"102938533","Used to be decent","Used to be decent","Back before AI, leadership used to be decent.","Post AI, things are similiar to Amazon performance.","2.0","2026-02-24T07:55:36.723","Former employee","Unknown location","REGULAR","next_f"
"102935278","comp","comp","lots of exposure and benefits","not many opps for growth","2.0","2026-02-24T03:38:57.587","Former employee - Sales Operations Analyst","San Diego, CA","REGULAR","next_f"
"102932023","Trapped in a Walled Garden: The Hidden Career Risk of Platform-Specific Development","Trapped in a Walled Garden: The Hidden Career Risk of Platform-Specific Development","Great place to work on. They follow a process, Policies. Respectful mentality. Many Benefits.","Prior to the acquisition, I was a versatile developer working across a broad technology stack with a large, active community. However, ServiceNow's closed ecosystem enforces a platform-specific development model, leaving little room to grow beyond its proprietary boundaries. This significantly narrows my marketability in the job market â especially now that the branch has decided to close â given that ServiceNow expertise has limited recognition and demand in my local market.","3.0","2026-02-23T21:09:14.107","Current employee - Senior Software Engineer","Cairo, Cairo Governorate","REGULAR","next_f"
"102890675","Generally good and nice people","Generally good and nice people","Culture is collaborative and calm.","Lots of work and sometimes things get confused. Sometimes hard to get clarity on goals.","4.0","2026-02-19T20:40:32.537","Current employee - Proj Manager","Kirkland, WA","REGULAR","next_f"
"102871606","One of the only big tech companies still standing up for culture","One of the only big tech companies still standing up for culture","It's been over a decade since I've felt this valued and supported. The tech industry's culture has been in severe decline - with former bastions like Google &amp; Meta seemingly giving up on employee well-being and inclusion. ServiceNow has not abandoned employee experience.","I suspect mileage may vary per department and your experience will always be quite dictated by the quality of your manager","5.0","2026-02-18T11:38:21.447","Current employee - Sr. Manager, Operations","Unknown location","REGULAR","next_f"
"102860217","hidden Toxic beyond relief","hidden Toxic beyond relief","Nice local office and gym","Double standards and drama daily. Nepotism extreme. No advancement nor raises, ever. Middle mgrs continuously cover up for themselves. Corrupt. Overworks you with impunity, no extra pay, no respect for off or sick days, despite all good will and weekend shifts to cover their product emergencies, salvaging their business. HR is unreachable and doesn't care, busy polishing nails. Ethics hotline is a joke, there on paper only. Even Lyra legal benefits excludes ""workplace related issues"" which you only find out about when actually needed. 401k matching also scams you into their funds, tethered to their poor performance, unable to contribute more to your own Fidelity BrokerageLink if your own portfolio performs better. Absolutely no avenue nor department to raise such concerns with. Inability to actually use ""unlimited"" vacation used as legal workaround to avoid pay.","1.0","2026-02-17T15:33:00.897","Former employee - Sr Tech Support Engineer","San Diego, CA","REGULAR","next_f"
"102859715","Nice company","Nice company","Nice company . Good work life balance","Politics and learning is less","4.0","2026-02-17T14:35:35.220","Current employee - Performance Engineer","Bengaluru","REGULAR","next_f"
"102855988","Best company to work for","Best company to work for","Lot of scope for learning and growth","Not observed any so far","5.0","2026-02-17T09:29:22.197","Current employee - Senior Staff Systems Engineer","HyderÄbÄd","REGULAR","next_f"
"102812075","Burnt out and confidence in shreds","Burnt out and confidence in shreds","Decent pay, the company is doing well","No support from management. The job was not what was advertised. The department was a shambles - completely disorganised with a lack of real strategy or direction, The goal posts seemed to change daily, and it was incredibly exhausting keeping up with our managerâs unrealistic expectations.","1.0","2026-02-12T16:27:36.523","Former employee","Unknown location","REGULAR","next_f"
"102811181","Thriving place to build on the cutting edge of AI + CRM + enterprise transformation","Thriving place to build on the cutting edge of AI + CRM + enterprise transformation","- Real âhands-onâ with AI, CRM, and workflow automationâconstant learning and impact - Strong product momentum and customer demand; easy to tie work to outcomes - Smart, supportive teammates and mentors; leadership accessible - Clear career growth paths if you lean in (enablement, certifications, stretch projects) - Customer-facing work thatâs genuinely transformative (not just slideware)","Pace is intense; priorities can shift quickly with big launches/roadmap changes","5.0","2026-02-12T14:46:24.960","Current employee - Associate Solution Consultant","Boston, MA","REGULAR","next_f"
"102806277","Good Payment","Good Payment","Good Packages, great office environment, flexible hours.","Stressful environment, top management are not suportive rather keep pushing","3.0","2026-02-12T08:21:32.480","Former employee - Staff Machine Learning Engineer","New Cairo","REGULAR","next_f"
