"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103104806","Excellent Branch Culture","Excellent Branch Culture","Our branch truly has a great culture. We work as a team, finding opportunities for growth and leveraging our skills.","Pay could be better, but the culture makes up for it.","5.0","2026-03-09T18:35:13.550","Current employee - Project Manager","Chicago, IL","REGULAR","next_f"
"103102110","Great company","Great company","Good company and really enjoyed working with my international teams","Occasional management changes occasionally had poor change management comms, resulting in uncertainty in teams.","4.0","2026-03-09T14:02:57.067","Former employee - Director","Los Angeles, CA","REGULAR","next_f"
"102930874","Work life balance","Work life balance","great work life balance and flexible work hours","Less growth opportunity and low to moderate pay","4.0","2026-02-23T18:46:54.313","Current employee - Sr Systems Engineer","Parsippany, NJ","REGULAR","next_f"
"102914535","Great Place to Work","Great Place to Work","Great compensation, perks, and benefits","Large company, not much management help.","5.0","2026-02-22T13:31:16.933","Current employee - Service Project Manager","Wendell, NC","REGULAR","next_f"
"102822469","Standard corporate","Standard corporate","The team and people there are helpful.","Being a large corporation, there is a lot of red tape and hold in place. There is room for advancement but not a bunch.","4.0","2026-02-13T11:03:36.243","Current employee - Technical Support","Buffalo Grove, IL","REGULAR","next_f"
"102743770","Overall good company","Overall good company","Siemens as a company is great to work for.","Too many people in charge and not enough boots on the ground.","4.0","2026-02-08T20:04:22.953","Current employee - Order Management Specialist","Johnson City, TN","REGULAR","next_f"
"102725935","loved it","loved it","great pay and benefits, nice mentors","none, I loved interning here","5.0","2026-02-06T23:38:55.963","Former employee - Marketing Intern","Austin, TX","REGULAR","next_f"
"102709462","High pay as entry level","High pay as entry level","New Plant, good environment, a lot of room to grow, good benefits, match 6% 401k,etc","small parking lot, no connection between 2 shift .","5.0","2026-02-06T00:50:46.140","Current employee - Working Foremen","Fort Worth, TX","REGULAR","next_f"
"102702655","Good place to work","Good place to work","Good Pay, plenty of Vacation, sound benefits","Internal Co internet is overwhelming to navigate and find answers","5.0","2026-02-05T14:58:06.430","Current employee - Software Engineer","San Jose, CA","REGULAR","next_f"
"102676013","Service Coordinator","Service Coordinator","Local Branch staff was amazing and supportive","Specifically for the Service Coordinator role-Supervisor was in Chicago, at first she was nice and I was warned that would change. Sadly they were right, she was extremely rude to people that report to her, she would take responsibility to complete tasks with Branch management then tell her chain of command that it was someone elses responsibility. They could not retain Coordinators because of her attitude so while 1 position is very much a full time job requiring overtime, I often had to cover 2 to 3 positions and could not keep up with all of the demands and she would not offer support or help just insult you. She also would try to encourage you to work off the clock. I ended up walking out after she removed 16 hours of overtime in 1 week from my time card.","3.0","2026-02-04T12:50:26.217","Former employee - Service Coordinator","Lenexa, KS","REGULAR","next_f"
"102665528","Administrative assistant","Administrative assistant","Benefits salary and people are great","Don't think I have any.","5.0","2026-02-04T05:09:22.513","Former employee - Administrative Assistant","Pittsburgh, PA","REGULAR","next_f"
"102640432","Profit over People","Profit over People","A stable and wellâestablished organization. Strong brand recognition and a solid presence in the industry. Meaningful opportunities for growth and development. Generous timeâoff policies and good overall flexibility. Remoteâwork options that support workâlife balance.","$78","3.0","2026-02-03T05:24:11.310","Former employee - Sales Representative","Charlotte, NC","REGULAR","next_f"
"102616445","Fun place to work at.","Fun place to work at.","Fun working environment and great colleges.","Low pay. Hard to advance.","3.0","2026-02-02T05:33:42.140","Former employee - Intern","Tempe, AZ","PART_TIME","next_f"
"102566938","Solid job","Solid job","Work from home, manage multiple systems and work with various individuals","Your a number not a person Everything is expected yesterday Not enough PTO","3.0","2026-01-29T21:30:34.997","Current employee - Senior Application Engineer","Philadelphia, PA","REGULAR","next_f"
"102563850","Good Benefits","Good Benefits","Good benefits and nice work place.","No cons to speak of","5.0","2026-01-29T17:34:00.910","Current employee - Assembler I","Fort Worth, TX","REGULAR","next_f"
"102559674","Doing it the same way itâs always been done","Doing it the same way itâs always been done","Stable job with a good company name on your resume","Limited to no training for new employees. People that have been with the company forever and do limited meaningful work. Limited career growth unless you make certain connections.","3.0","2026-01-29T13:05:06.437","Current employee","Sacramento, CA","REGULAR","next_f"
"102513791","Great place","Great place","Great work environment and work/life balance","No cons to speak of","3.0","2026-01-27T15:24:53.903","Former employee - Technician","Houston, TX","REGULAR","next_f"
"102487212","A","A","Good culture, great work life balance","Remote working hard to focus","5.0","2026-01-26T13:48:47.180","Current employee - Business Data Analyst","Charlotte, NC","REGULAR","next_f"
"102440066","Great Place to work","Great Place to work","European culture with good benefits and PTO","Matrix org makes defining responsibilities difficult","5.0","2026-01-23T07:43:11.057","Current employee - Technical Sales Manager","Boston, MA","REGULAR","next_f"
"102430710","Availability of overtime as wanted without pressure","Availability of overtime as wanted without pressure","Availability of overtime as wanted without pressure","There is No clear training methods","5.0","2026-01-22T19:43:53.463","Current employee - Engineering Technician","Grand Prairie, TX","REGULAR","next_f"
"102347216","software","software","better benefits, health care, PTO policy","pay is less than the market","3.0","2026-01-19T11:00:58.177","Former employee - Software Engineer","Pittsburgh, PA","REGULAR","next_f"
"102332409","Remote estimator","Remote estimator","Work from home, flexible, great team","No bonuses, low advancement opportunities","4.0","2026-01-18T19:12:32.943","Current employee - Estimator","Mechanicsburg, PA","REGULAR","next_f"
"102319615","Review","Review","Good, nice and effective workplace to be a part of it","Might be somehow with high load","4.0","2026-01-17T15:46:19.937","Former employee - Software Engineer","Egypt, WV","REGULAR","next_f"
"102241281","One of the better compensated companies in Sacramento","One of the better compensated companies in Sacramento","Compensated well and fairly secure as long as company contiues securing contracts that last multiple years","Cross department collaboration is virtually non existent. Mindset is to try and push work as fast as possible to the next person to reach numbers for bonuses regardless if its quality work and if it will affect the ability for the next stage to do their work efficiently and easily.","3.0","2026-01-13T20:29:09.383","Current employee - Industrial Engineer","Sacramento, CA","REGULAR","next_f"
