"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"102652970","My Review of TPUSA","My Review of TPUSA","My fellow employees are very kind and helpful. There are always opportunities to expand to other positions. Many tools to utilize and get experience on.","I hope we can continue to use the Microsoft Office package.","5.0","2026-02-03T14:23:51.197","Current employee - Reporting Analyst","Mount Prospect, IL","REGULAR","next_f"
"103118020","Actividades de tp","Actividades de tp","Best place to work worldly","They donât give a support for students","3.0","2026-03-10T13:35:55.243","Current employee - Content Moderator","Bogota, NJ","REGULAR","next_f"
"103095517","Just starting","Just starting","Easy interview process Easy onboarding","Bad hours No pay negotiation","3.0","2026-03-09T06:32:19.397","Current employee - Teach Support","Elizabeth City, NC","REGULAR","next_f"
"103090688","Decent company","Decent company","Consistent and reliable depending on the project you're on. Also, depends on the management team as well. Great as a temporary job and/or building experience but you are not valued as a team member. My best advice is to always create a paper trail with HR if you feel like you've been wronged by someone in management. Always create a case because if you do not and choose to just deal with it, HR will treat you like you never worked there.","Wrongful Termination and poor efforts to advocate for long time employees like myself and many others. They also refuse to unionize despite meeting the criteria to do so.","2.0","2026-03-08T20:49:42.903","Former employee - Customer Service Representative (CSR)","Baton Rouge, LA","REGULAR","next_f"
"103082126","Great and beneficial to work for","Great and beneficial to work for","Great company to work for","Too many management turn overs","4.0","2026-03-07T14:20:21.410","Current employee - Customer Service Agent","Salt Lake City, UT","REGULAR","next_f"
"103064648","A Great Place to Work","A Great Place to Work","Great Pay! + Added Bonuses","None really, they have already resolved a particular issue. Teleperformance now have Work From Home Jobs. Issue resolved.","5.0","2026-03-05T22:07:12.170","Former employee - Patient Care Associate (PCA)","Augusta, GA","REGULAR","next_f"
"103056050","Licensed Insurance Agent","Licensed Insurance Agent","Payroll was always on time.","Recruiter did not give all information accurately; including Holidays and pay raises.","2.0","2026-03-05T08:24:10.523","Former employee - Licensed Insurance Agent","Port St Lucie, FL","REGULAR","next_f"
"103051228","N/a","N/a","Paying always on time even overtimes","Very slow carrier growth path","4.0","2026-03-05T00:54:16.773","Current employee - Customer Support Agent","Greece, NY","REGULAR","next_f"
"103021318","Customer Service Representative","Customer Service Representative","Supportive and collaborative team culture Opportunities for learning and growth Clear communication from management Flexible and positive work environment Exposure to diverse projects and clients","Occasional high workload periods Limited work-from-home options Some processes are bureaucratic Career progression can be slow Strict adherence to corporate policies","5.0","2026-03-03T02:45:53.350","Former employee - Customer Service Representative","Egypt, NC","REGULAR","next_f"
"103011857","Buen ambiente laboral","Buen ambiente laboral","Es un trabajo en donde se puede trabajar tranquilo Mucho respeto","No hay nada bueno :)","5.0","2026-03-02T10:10:42.783","Current employee - Estudiante En Practica Universitaria","Peru, IN","REGULAR","next_f"
"103002128","Only if youâre desperate","Only if youâre desperate","They use the app DailyPay so you can literally get paid daily.","Call volume, micromanaging supervisors, not much PTO.","2.0","2026-03-01T14:14:22.510","Current employee - PSR I","Saint Petersburg, FL","REGULAR","next_f"
"102998687","Supportive Environment with Growth Opportunities","Supportive Environment with Growth Opportunities","nice to work with and lots of options","they do not offer work from home set up","4.0","2026-03-01T02:49:33.413","Current employee - Customer Service Representative (CSR)","Philadelphia, PA","REGULAR","next_f"
"102941518","CSA","CSA","work from home and most supervisors are easy to talk to","clients are crappy!!! Too many restrictions and members arenât happy about co pays","1.0","2026-02-24T11:12:01.167","Current employee - Customer Service Advocate","Tampa, FL","REGULAR","next_f"
"102940816","Great people, but too much work","Great people, but too much work","I love my team, and all the people I have worked with in my department. They express genuine care and concern for me and the work I do.","The pay does not match the amount of work I do, and when someone is let go, we are expected to take on their work, but for no extra pay. I feel like upper management is only concerned with making more money, but not realizing how it affects the people doing the work.","3.0","2026-02-24T10:22:40.660","Current employee - Supervisor","Los Angeles, CA","REGULAR","next_f"
"102921744","Ok Job","Ok Job","Good Benefits package, PTO, Hires quickly","The company hires quickly but the branch I worked for didnt give me a good trainer. We weren't really taught anything but self paced learning where we most of the time didn't do anything. It made me feel like I was missing out on information that pertained to my role without being taught properly.","3.0","2026-02-23T06:05:58.047","Current employee - Customer Service Representative","Sumterville, FL","REGULAR","next_f"
"102911295","TP work culture","TP work culture","No pros for this work experience","Bad salary structure and illegal salary deduction","1.0","2026-02-22T03:39:48.500","Former employee - Content Analyst","Africa, OH","REGULAR","next_f"
"102906914","Organized Communication","Organized Communication","Structured templates improved efficiency and customer response accuracy.","Less call pressure and good documentation","5.0","2026-02-21T09:59:33.127","Current employee - Email Support Executive/Inbound Customer Services","Indore, WV","REGULAR","next_f"
"102906133","Entry-Level Friendly Role","Entry-Level Friendly Role","Good environment for freshers to gain corporate exposure.","Basic starting salary compared to industry competitors.","5.0","2026-02-21T07:54:47.887","Current employee - Call Centre Executive","Indore, WV","REGULAR","next_f"
"102901469","Not great, but pretty good if you have experience working in call centers.","Not great, but pretty good if you have experience working in call centers.","Good pay. Free ice cream and pool tables in the breakroom.","Training is insufficient. Micro management. You can get doc'd for minor slip-ups, even during training.","3.0","2026-02-20T15:46:38.560","Former employee","Brownsville, TX","REGULAR","next_f"
"102896963","Horriable job","Horriable job","The pay is the only good thing they had daily pay which allows you to take money out of your check any day if needed","Everything the people the bosses the trainers and they just throw you into it and see if you sink or swim thatâs there motto and if you need further assistance, they canât help you","1.0","2026-02-20T08:24:45.840","Former employee - Customer Service Representative","Lehigh Acres, FL","REGULAR","next_f"
