"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"103029801","Can be great if they would communicate...","Can be great if they would communicate...","Weekly pay is great, and the variety of working shifts is good. 3 Months of training rather than 2 weeks.","Supervisors don't communicate well with each other. Tasks will be changed quickly when they realize they caused an error, and they put the wrong people in the wrong areas. They utilize overtime a lot even when you're training. You can routinely get put into a position/job you haven't worked before, and then you will be left to figure out what you are supposed to do by yourself. Currently going through a ""reassessment"" of what their standards are for new hires, but not actually telling their new hires these expectations. They have a habit of firing people on their last day of probation. (ie, day 89/90 you get 90 days to get to their ""standard"")","2.0","2026-03-03T13:18:20.707","Former employee - Packaging Associate","Independence, MO","REGULAR","next_f"
"103028281","Good Place To Work","Good Place To Work","The People , Clean Workspace, Benefits Are Good","Not Always Knowing Whats Going On Within Plant","5.0","2026-03-03T11:28:55.930","Former employee - Production Operator","Raeford, NC","REGULAR","next_f"
"102902321","Coordinator","Coordinator","Good salary and nice people","Layoffs often and often reorg","3.0","2026-02-20T18:12:42.583","Former employee - Project Cordinator","Remsen, IA","REGULAR","next_f"
"102891431","Good place to work but no promotion","Good place to work but no promotion","wlb is good, pay is fair, most of the coworkers are friendly","Very fast pace and very limited space for promotion","4.0","2026-02-19T22:33:30.943","Current employee - Scientist","Trumbull, CT","REGULAR","next_f"
"102885769","Performance culture with workplace politic twist","Performance culture with workplace politic twist","Not bad salary, semi flexible, good PTO","If you don't play the extrovert political game you will be pushed out. If you question why something ""needs"" to be done, you will be pushed out. There are definitely worse companies, but this one leaves much to be desired. &lt;3% merit raises each year. Will make you have goals that are unrealistic to give you a worse bonus or push you out. They monitor your wifi connection to mark in-office attendance and if you don't come in enough then your bonus could be impacted. Management does not have your back. It is very much a yes-man culture and if you do not tow the company line you will be miserable.","1.0","2026-02-19T11:34:00.940","Current employee - Supply Chain","Hoboken, NJ","REGULAR","next_f"
"102808732","united","united","none seems come to mind","coworkers had horrible work ethic","1.0","2026-02-12T11:23:43.323","Former employee - Unemployed, Laid Off","Finlandia, UT","REGULAR","next_f"
"102642991","standard cpg","standard cpg","very organized many long term employees","acquisitions create chaos at headquarters sometimes","3.0","2026-02-03T07:15:52.587","Former employee - Chemist","Trumbull, CT","REGULAR","next_f"
"102467121","Company is okay","Company is okay","Pay is okay. Good brands.","Management struggle to grow company which affects your bonus","3.0","2026-01-25T11:14:31.383","Former employee - Assistant Brand Manager (ABM)","New York, NY","REGULAR","next_f"
"102421572","Best culture and work life balance","Best culture and work life balance","Love the people, great mentors, wonderful team members. Very welcoming office and great relationships. I love coming to work!","Under resourced and underpaid for the skills I bring to the table, which contributes to retention issues","5.0","2026-01-22T10:32:21.970","Current employee","Hoboken, NJ","REGULAR","next_f"
"102389523","Opportunities for growth","Opportunities for growth","You are rewarded for raising your hand and contributing meaningfully, so growth opportunities exist if you want to reach for them. Lots of professional development resources available. Strong leadership.","Large multi-national corporation, so many bureaucracies and siloed workstreams. Culture is very dependent on what business unit you are embedded in, I'm lucky to be in a good one...","5.0","2026-01-21T05:08:32.073","Current employee - Senior Assistant Brand Manager","Hoboken, NJ","REGULAR","next_f"
"102158314","I would avoid this place","I would avoid this place","Great benefit. 401K matching is superb.","It used to be the best place to work for but now it's becoming really toxic. Unilever changed 3 CEOs last three years and now has their emplyees slaving away while not properly compensated.","1.0","2026-01-09T05:00:07.170","Current employee - Associate Brand Manager","Hoboken, NJ","REGULAR","next_f"
"102100512","Unilever","Unilever","Strong benefits and competitive salary","Work life balance Professional growth opportunities","3.0","2026-01-06T13:44:20.253","Former employee - Digital Marketing","Minneapolis, MN","REGULAR","next_f"
"102022566","Pro con","Pro con","Good Pay/ benifits work life balance","Management will lie to your face. Any mistake is a write up and 3 even if not for the same thing is automatic termination unless your buddy buddy with a manager.","3.0","2025-12-31T04:28:18.927","Former employee - Floor Staff","Jonesboro, AR","REGULAR","next_f"
"102012052","I would avoid","I would avoid","Working on world class brands, many of whom have strong missions and histories, is not to be taken lightly. Many good experiences and opportunities for growth and development (though situational to roles/function/team).","Highly matrixed org, overcomplicated by global team influences. Org has negligible strategy or plans and you will spend more time ""playing the game"" than actually doing your job. Culture is non-existent.","2.0","2025-12-30T06:49:03.993","Former employee - Sales","Hoboken, NJ","REGULAR","next_f"
"102005514","Good people, solid learning opportunities","Good people, solid learning opportunities","Ideal for both early career and later stage executives, lots of room for advancement across business units and countries","Its a big company so the typical bureaucratic issues, also sometimes it feels like we're just cogs in a machine","4.0","2025-12-29T18:17:04.153","Former employee - Marketing Executive","San Jose, CA","REGULAR","next_f"
"102001041","Not to Bad","Not to Bad","Work isnt too hard. Interview was good experience. People are great. Work is meaningful.","They are cheap, and do a lot of layoffs. Will cut teams and ask for more work from remaining individuals. Unrealistic goals at times. Doesnt seem to have a lot of room for growth.","4.0","2025-12-29T10:26:41.430","Current employee - Data Engineer","Indianapolis, IN","REGULAR","next_f"
